fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,480.0,550.0,55.0,11.46,550.0,470.02,7,631,312630.0,57000000.0
02-JAN-26,425.0,480.0,55.0,11.46,480.0,400.02,15,321,142512.48,
30-DEC-25,409.0,425.0,16.0,3.76,450.0,380.0,26,1517,614456.26,
29-DEC-25,350.0,409.0,59.0,14.43,410.0,349.0,16,522,202495.0,
26-DEC-25,335.0,350.0,15.0,4.29,350.0,300.0,20,184,62563.0,
23-DEC-25,316.0,335.0,19.0,5.67,335.0,320.0,16,206,68395.0,
22-DEC-25,315.0,316.0,1.0,0.32,325.0,310.0,17,585,184581.0,
19-DEC-25,290.0,315.0,25.0,7.94,315.0,280.0,20,643,189683.0,
18-DEC-25,290.0,290.0,0.0,0.0,290.0,280.0,18,908,259330.0,
17-DEC-25,280.0,290.0,10.0,3.45,300.0,290.0,29,484,141820.0,
16-DEC-25,280.0,280.0,0.0,0.0,299.99,280.0,26,388,111884.33,
15-DEC-25,288.0,280.0,-8.0,-2.86,300.0,257.0,25,509,140407.64,
12-DEC-25,290.0,288.0,-2.0,-0.69,290.0,288.0,10,422,122286.0,
11-DEC-25,280.0,290.0,10.0,3.45,290.0,276.0,14,173,49838.0,
10-DEC-25,288.0,280.0,-8.0,-2.86,290.0,260.0,15,354,101352.0,
09-DEC-25,290.0,288.0,-2.0,-0.69,297.0,270.0,22,602,174011.0,
05-DEC-25,290.0,290.0,0.0,0.0,300.0,250.0,25,422,123843.69,
04-DEC-25,290.0,290.0,0.0,0.0,297.0,241.0,21,709,204251.0,
03-DEC-25,290.0,290.0,0.0,0.0,300.0,275.0,19,255,73115.0,
02-DEC-25,290.0,290.0,0.0,0.0,290.0,275.5,18,162,46370.5,
01-DEC-25,295.0,290.0,-5.0,-1.72,300.0,285.0,31,808,236395.06,
2025-11-28 00:00:00,280.0,295.0,15.0,5.08,297.0,281.0,23,726,207066.0,
2025-11-27 00:00:00,275.0,280.0,5.0,1.79,297.0,280.0,14,236,66678.34,
2025-11-26 00:00:00,280.0,275.0,-5.0,-1.82,297.0,275.0,20,493,139732.0,
2025-11-25 00:00:00,285.0,280.0,-5.0,-1.79,295.99,256.0,40,478,135750.58,
2025-11-21 00:00:00,295.0,285.0,-10.0,-3.51,295.0,276.0,40,523,149529.0,
2025-11-20 00:00:00,275.0,295.0,20.0,6.78,300.0,256.0,28,592,170164.0,
2025-11-19 00:00:00,299.99,275.0,-24.99,-9.09,299.99,275.0,43,1968,563904.88,
2025-11-18 00:00:00,311.0,299.99,-11.01,-3.67,325.0,280.0,33,279,87071.2,
2025-11-17 00:00:00,330.0,311.0,-19.0,-6.11,330.0,280.0,24,442,140883.65,
2025-11-14 00:00:00,330.0,330.0,0.0,0.0,330.0,330.0,18,499,164670.0,
2025-11-13 00:00:00,311.0,330.0,19.0,5.76,345.0,280.0,22,744,246225.0,
2025-11-12 00:00:00,310.0,311.0,1.0,0.32,350.0,310.0,27,618,197727.64,
2025-11-11 00:00:00,329.99,310.0,-19.99,-6.45,340.0,310.0,16,209,69249.72,
2025-11-10 00:00:00,319.0,329.99,10.99,3.33,330.0,300.0,28,359,117284.08,
2025-11-07 00:00:00,335.0,319.0,-16.0,-5.02,329.99,300.0,37,1172,370756.43,
2025-11-06 00:00:00,330.0,335.0,5.0,1.49,350.0,301.0,22,432,142503.0,
2025-11-05 00:00:00,320.0,330.0,10.0,3.03,355.0,270.05,27,801,253627.15,
2025-11-04 00:00:00,330.0,320.0,-10.0,-3.13,365.0,301.0,36,316,104970.0,
2025-11-03 00:00:00,320.0,330.0,10.0,3.03,365.0,300.0,22,951,293140.0,
2025-10-31 00:00:00,320.0,320.0,0.0,0.0,350.0,320.0,19,551,180480.0,
2025-10-30 00:00:00,320.0,320.0,0.0,0.0,380.0,320.0,21,524,173350.0,
2025-10-29 00:00:00,345.0,320.0,-25.0,-7.81,380.0,319.99,24,1631,528544.9,
2025-10-28 00:00:00,325.0,345.0,20.0,5.8,350.0,320.0,16,226,78070.0,
2025-10-27 00:00:00,325.0,325.0,0.0,0.0,330.0,301.0,24,860,278341.0,
2025-10-24 00:00:00,330.0,325.0,-5.0,-1.54,375.0,300.0,35,1337,430817.14,
2025-10-23 00:00:00,356.0,330.0,-26.0,-7.88,374.0,300.0,24,1165,382371.75,
2025-10-22 00:00:00,373.99,356.0,-17.99,-5.05,369.99,355.0,18,168,61046.48,
2025-10-21 00:00:00,375.0,373.99,-1.01,-0.27,415.0,316.0,27,340,128762.86,
2025-10-17 00:00:00,394.0,375.0,-19.0,-5.07,394.0,320.0,25,1433,529628.95,
2025-10-16 00:00:00,390.0,394.0,4.0,1.02,420.0,360.0,23,166,65790.2,
2025-10-15 00:00:00,345.0,390.0,45.0,11.54,400.0,345.0,25,475,172520.0,
2025-10-14 00:00:00,345.0,345.0,0.0,0.0,391.0,310.0,15,363,115966.0,
2025-10-13 00:00:00,331.0,345.0,14.0,4.06,380.0,325.0,21,390,129965.0,
2025-10-10 00:00:00,345.0,331.0,-14.0,-4.23,340.0,330.0,22,288,97680.0,
2025-10-09 00:00:00,330.0,345.0,15.0,4.35,380.0,315.0,20,521,172074.23,
2025-10-08 00:00:00,350.0,330.0,-20.0,-6.06,380.0,330.0,17,602,209596.15,
2025-10-07 00:00:00,320.0,350.0,30.0,8.57,375.0,320.0,23,364,131323.83,
2025-10-06 00:00:00,380.0,320.0,-60.0,-18.75,380.0,312.1,23,193,68978.44,
2025-10-03 00:00:00,390.0,380.0,-10.0,-2.63,390.0,312.1,24,508,191971.0,
2025-10-02 00:00:00,394.99,390.0,-4.99,-1.28,394.0,385.0,23,247,96145.5,
2025-10-01 00:00:00,400.0,394.99,-5.01,-1.27,404.98,331.0,39,539,213833.58,
2025-09-30 00:00:00,419.79,400.0,-19.79,-4.95,419.79,400.0,26,228,93312.73,
2025-09-29 00:00:00,414.99,419.79,4.8,1.14,439.99,335.0,39,432,174249.25,
2025-09-26 00:00:00,379.93,414.99,35.06,8.45,419.98,390.0,21,395,163639.1,
2025-09-25 00:00:00,349.99,379.93,29.94,7.88,384.0,344.0,28,560,204533.78,
2025-09-24 00:00:00,299.69,349.99,50.3,14.37,359.61,349.99,13,83,29606.07,
2025-09-23 00:00:00,299.99,299.69,-0.3,-0.1,299.99,253.0,15,239,70083.65,
2025-09-22 00:00:00,300.0,299.99,-0.01,0.0,305.0,254.0,15,404,120838.57,
2025-09-19 00:00:00,315.0,300.0,-15.0,-5.0,324.0,300.0,21,817,260336.85,
2025-09-18 00:00:00,328.0,315.0,-13.0,-4.13,325.0,263.0,14,459,145450.0,
2025-09-17 00:00:00,339.0,328.0,-11.0,-3.35,359.0,300.0,21,588,192742.0,
2025-09-16 00:00:00,339.0,339.0,0.0,0.0,355.0,330.0,25,444,152107.65,
2025-09-12 00:00:00,319.0,339.0,20.0,5.9,370.0,271.0,19,176,58542.0,
2025-09-11 00:00:00,319.0,319.0,0.0,0.0,319.0,319.0,15,246,78474.0,
2025-09-10 00:00:00,305.0,319.0,14.0,4.39,335.0,250.0,18,278,88368.0,
2025-09-09 00:00:00,273.0,305.0,32.0,10.49,305.0,295.0,16,446,134264.0,
2025-09-08 00:00:00,245.0,273.0,28.0,10.26,275.0,220.0,23,258,70262.0,
2025-09-05 00:00:00,215.0,245.0,30.0,12.24,245.0,230.0,17,239,57055.0,
2025-09-04 00:00:00,215.0,215.0,0.0,0.0,245.0,215.0,22,469,107045.0,
2025-09-03 00:00:00,200.0,215.0,15.0,6.98,220.0,215.0,10,126,27365.0,
2025-09-02 00:00:00,200.0,200.0,0.0,0.0,200.0,190.0,12,508,101370.0,
2025-09-01 00:00:00,200.0,200.0,0.0,0.0,225.0,160.01,38,830,167209.07,
29-AUG-25,200.0,200.0,0.0,0.0,200.0,200.0,17,367,73400.0,
28-AUG-25,194.0,200.0,6.0,3.0,210.0,190.0,27,335,65486.0,
27-AUG-25,170.0,194.0,24.0,12.37,195.0,165.0,18,310,52601.0,
26-AUG-25,170.0,170.0,0.0,0.0,185.0,170.0,17,616,106390.0,
25-AUG-25,150.0,170.0,20.0,11.76,170.0,165.0,20,185,31300.0,
22-AUG-25,129.0,150.0,21.0,14.0,150.0,150.0,19,430,64500.0,
21-AUG-25,126.0,129.0,3.0,2.33,135.0,128.5,26,531,68480.0,
20-AUG-25,129.0,126.0,-3.0,-2.38,135.0,120.0,30,1305,168084.15,
19-AUG-25,129.01,129.0,-0.01,-0.01,130.0,129.0,27,1316,169844.5,
15-AUG-25,130.0,129.01,-0.99,-0.77,130.0,117.0,22,414,53748.29,
14-AUG-25,117.0,130.0,13.0,10.0,131.0,117.0,9,372,44913.0,
13-AUG-25,105.0,117.0,12.0,10.26,117.0,100.0,12,274,28524.0,
12-AUG-25,90.0,105.0,15.0,14.29,105.0,90.0,21,692,63595.0,
11-AUG-25,90.0,90.0,0.0,0.0,105.0,89.5,29,1453,130790.0,
08-AUG-25,89.89,90.0,0.11,0.12,90.01,90.0,17,1808,162720.1,
07-AUG-25,88.0,89.89,1.89,2.1,89.89,80.0,13,897,79299.89,
06-AUG-25,88.99,88.0,-0.99,-1.13,89.89,80.0,23,460,40437.8,
05-AUG-25,86.9,88.99,2.09,2.35,89.0,86.5,13,383,33644.3,
04-AUG-25,89.8,86.9,-2.9,-3.34,87.5,80.0,12,1590,134527.0,
01-AUG-25,90.0,89.8,-0.2,-0.22,105.0,85.0,13,322,28704.75,
2025-07-31 00:00:00,90.0,90.0,0.0,0.0,90.0,90.0,5,18,1620.0,
2025-07-30 00:00:00,90.0,90.0,0.0,0.0,105.0,85.0,16,452,40589.0,
2025-07-29 00:00:00,90.0,90.0,0.0,0.0,90.0,87.5,6,157,14090.0,
2025-07-28 00:00:00,89.5,90.0,0.5,0.56,90.0,80.0,12,2687,218910.0,
2025-07-25 00:00:00,89.5,89.5,0.0,0.0,89.5,88.0,16,750,66825.0,
2025-07-23 00:00:00,90.0,89.5,-0.5,-0.56,105.0,89.5,6,70,6310.0,
2025-07-22 00:00:00,90.0,90.0,0.0,0.0,90.0,90.0,6,122,10980.0,
2025-07-21 00:00:00,85.0,90.0,5.0,5.56,97.0,85.0,13,145,12899.0,
2025-07-18 00:00:00,84.99,85.0,0.01,0.01,97.0,85.0,6,83,7079.0,
2025-07-17 00:00:00,84.5,84.99,0.49,0.58,85.0,84.99,16,927,78794.15,
2025-07-16 00:00:00,84.5,84.5,0.0,0.0,95.0,84.3,10,179,15331.15,
2025-07-15 00:00:00,84.99,84.5,-0.49,-0.58,85.0,75.0,8,379,31314.9,
2025-07-14 00:00:00,84.99,84.99,0.0,0.0,95.0,80.0,13,974,79283.66,
2025-07-11 00:00:00,85.0,84.99,-0.01,-0.01,87.5,84.99,10,495,42110.28,
2025-07-10 00:00:00,85.0,85.0,0.0,0.0,95.0,85.0,11,1532,132290.0,
2025-07-09 00:00:00,90.0,85.0,-5.0,-5.88,90.0,85.0,2,40,3450.0,
2025-07-08 00:00:00,87.89,90.0,2.11,2.34,90.0,90.0,3,134,12060.0,
2025-07-07 00:00:00,90.0,87.89,-2.11,-2.4,88.0,87.0,10,369,32368.91,
2025-07-04 00:00:00,85.0,90.0,5.0,5.56,95.0,90.0,10,364,32860.0,
2025-07-03 00:00:00,88.9,85.0,-3.9,-4.59,90.0,77.11,8,71,6221.1,
2025-07-02 00:00:00,88.9,88.9,0.0,0.0,88.9,80.0,15,282,23198.45,
2025-07-01 00:00:00,89.0,88.9,-0.1,-0.11,90.0,85.0,7,55,4919.5,
