fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,599.0,700.0,49.0,8.18,700.0,650.0,7,1008,705450.0,257919300.0
02-JAN-26,550.0,599.0,49.0,8.18,600.0,550.0,44,1263,741214.0,257919300.0
30-DEC-25,530.0,550.0,20.0,3.64,550.0,500.0,60,691,370385.0,
29-DEC-25,477.99,530.0,52.01,9.81,550.0,470.0,60,2063,1024700.37,
26-DEC-25,454.9,477.99,23.09,4.83,477.99,450.0,46,572,269353.78,
23-DEC-25,440.0,454.9,14.9,3.28,470.0,439.0,46,1597,726729.44,
22-DEC-25,440.0,440.0,0.0,0.0,475.0,440.0,51,1635,731155.0,
19-DEC-25,409.0,440.0,31.0,7.05,444.57,410.0,61,3141,1334958.28,
18-DEC-25,390.0,409.0,19.0,4.65,419.99,390.0,59,4482,1797553.36,
17-DEC-25,381.04,390.0,8.96,2.3,405.0,390.0,52,3114,1219119.09,
16-DEC-25,390.0,381.04,-8.96,-2.35,410.0,381.04,96,3066,1201822.44,
15-DEC-25,394.95,390.0,-4.95,-1.27,429.95,380.05,49,908,358043.23,
12-DEC-25,395.0,394.95,-0.05,-0.01,395.0,390.0,38,2076,818348.09,
11-DEC-25,395.0,395.0,0.0,0.0,398.9,385.0,38,888,350093.6,
10-DEC-25,399.99,395.0,-4.99,-1.26,409.0,380.0,65,1081,433443.49,
09-DEC-25,414.0,399.99,-14.01,-3.5,415.0,399.0,75,1412,577880.79,
05-DEC-25,412.0,414.0,2.0,0.48,414.0,405.0,53,4017,1643171.26,
04-DEC-25,415.0,412.0,-3.0,-0.73,415.0,410.0,51,1297,535350.05,
03-DEC-25,423.0,415.0,-8.0,-1.93,423.99,415.0,47,649,273387.04,
02-DEC-25,427.0,423.0,-4.0,-0.95,427.0,385.0,58,1274,537529.13,
01-DEC-25,428.98,427.0,-1.98,-0.46,430.0,385.0,71,777,331704.56,
2025-11-28 00:00:00,427.98,428.98,1.0,0.23,429.95,425.0,60,2129,907712.0,
2025-11-27 00:00:00,425.0,427.98,2.98,0.7,434.99,420.0,48,1018,435940.39,
2025-11-26 00:00:00,430.0,425.0,-5.0,-1.18,435.0,410.0,47,807,345997.1,
2025-11-25 00:00:00,430.0,430.0,0.0,0.0,460.0,422.0,71,1129,490649.17,
2025-11-21 00:00:00,437.0,430.0,-7.0,-1.63,438.0,430.0,45,392,170637.14,
2025-11-20 00:00:00,438.0,437.0,-1.0,-0.23,450.0,423.0,62,1178,516079.1,
2025-11-19 00:00:00,433.0,438.0,5.0,1.14,440.0,430.0,64,1911,830759.84,
2025-11-18 00:00:00,443.0,433.0,-10.0,-2.31,443.0,433.0,98,1308,572111.81,
2025-11-17 00:00:00,450.0,443.0,-7.0,-1.58,460.0,435.0,33,320,142433.36,
2025-11-14 00:00:00,459.0,450.0,-9.0,-2.0,460.0,446.0,54,1988,903384.0,
2025-11-13 00:00:00,442.0,459.0,17.0,3.7,459.0,450.0,32,522,236472.0,
2025-11-12 00:00:00,444.0,442.0,-2.0,-0.45,444.99,440.0,49,541,239666.14,
2025-11-11 00:00:00,446.0,444.0,-2.0,-0.45,470.0,435.0,44,755,339049.2,
2025-11-10 00:00:00,445.0,446.0,1.0,0.22,446.0,440.0,67,1159,511714.0,
2025-11-07 00:00:00,440.0,445.0,5.0,1.12,445.0,422.0,60,1924,850105.0,
2025-11-06 00:00:00,442.0,440.0,-2.0,-0.45,444.0,435.0,52,1160,511459.0,
