fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,220.0,230.0,10.0,4.35,255.0,221.0,8,537.0,123540.0,
02-JAN-26,205.0,220.0,50.0,19.61,220.0,175.0,96,915.0,174770.0,57000000.0
30-DEC-25,170.0,205.0,35.0,17.07,205.0,185.0,98,5867,1160526.8,
29-DEC-25,159.99,170.0,10.01,5.89,190.0,158.0,72,7394,1281597.86,
26-DEC-25,150.0,159.99,9.99,6.24,160.0,150.0,89,3182,497109.8,
23-DEC-25,159.75,150.0,-9.75,-6.5,183.0,142.01,96,8904,1377113.61,
22-DEC-25,149.99,159.75,9.76,6.11,175.0,145.0,85,3472,550981.32,
19-DEC-25,140.98,149.99,9.01,6.01,150.0,135.0,71,2877,421603.12,
18-DEC-25,138.99,140.98,1.99,1.41,142.96,138.99,49,2265,318276.88,
17-DEC-25,139.64,138.99,-0.65,-0.47,144.0,131.0,81,4765,660683.01,
16-DEC-25,139.45,139.64,0.19,0.14,143.99,131.0,88,4443,606393.36,
15-DEC-25,137.98,139.45,1.47,1.05,144.99,128.0,73,7074,965861.32,
12-DEC-25,137.0,137.98,0.98,0.71,137.99,135.0,42,2246,307293.16,
11-DEC-25,133.0,137.0,4.0,2.92,139.97,133.0,43,2648,360931.93,
10-DEC-25,137.0,133.0,-4.0,-3.01,137.0,130.0,79,7279,981886.9,
09-DEC-25,141.0,137.0,-4.0,-2.92,142.99,130.0,91,4070,560811.75,
05-DEC-25,137.0,141.0,4.0,2.84,155.0,138.0,50,2899,406912.58,
04-DEC-25,138.45,137.0,-1.45,-1.06,138.0,135.5,54,2568,351617.35,
03-DEC-25,138.95,138.45,-0.5,-0.36,143.0,135.0,65,5467,751545.48,
02-DEC-25,139.5,138.95,-0.55,-0.4,142.5,135.01,82,2102,291157.79,
01-DEC-25,139.0,139.5,0.5,0.36,160.0,131.0,87,6411,885167.2,
2025-11-28 00:00:00,138.93,139.0,0.07,0.05,141.99,135.0,62,2732,380472.18,
2025-11-27 00:00:00,137.69,138.93,1.24,0.89,143.0,135.0,54,1714,237824.88,
2025-11-26 00:00:00,135.0,137.69,2.69,1.95,142.0,130.5,86,10013,1374459.23,
2025-11-25 00:00:00,140.0,135.0,-5.0,-3.7,144.99,133.0,86,20782,2883299.11,
2025-11-21 00:00:00,144.5,140.0,-4.5,-3.21,144.95,130.0,65,7366,1029780.37,
2025-11-20 00:00:00,138.6,144.5,5.9,4.08,144.5,131.0,65,11983,1654238.61,
2025-11-19 00:00:00,138.97,138.6,-0.37,-0.27,144.95,133.05,78,2402,336470.44,
2025-11-18 00:00:00,138.8,138.97,0.17,0.12,149.49,131.0,91,17825,2504740.96,
2025-11-17 00:00:00,140.0,138.8,-1.2,-0.86,140.0,131.0,38,1364,187159.16,
2025-11-14 00:00:00,143.0,140.0,-3.0,-2.14,147.0,139.0,49,4659,653611.25,
2025-11-13 00:00:00,138.5,143.0,4.5,3.15,150.0,127.0,45,9381,1318251.84,
2025-11-12 00:00:00,130.0,138.5,8.5,6.14,141.5,130.01,57,8262,1106122.58,
2025-11-11 00:00:00,140.0,130.0,-10.0,-7.69,142.0,127.0,48,6989,971481.95,
2025-11-10 00:00:00,141.5,140.0,-1.5,-1.07,143.0,137.0,63,1876,266070.6,
2025-11-07 00:00:00,137.0,141.5,4.5,3.18,142.0,135.0,60,4064,561988.5,
2025-11-06 00:00:00,139.0,137.0,-2.0,-1.46,139.85,135.0,57,7365,999358.75,
2025-11-05 00:00:00,139.0,139.0,0.0,0.0,139.99,135.0,51,4422,600707.32,
2025-11-04 00:00:00,140.0,139.0,-1.0,-0.72,145.0,131.0,87,15979,2217960.66,
2025-11-03 00:00:00,141.99,140.0,-1.99,-1.42,155.0,133.0,89,3357,479512.0,
2025-10-31 00:00:00,140.0,141.99,1.99,1.4,150.0,137.5,65,3752,526179.23,
2025-10-30 00:00:00,140.0,140.0,0.0,0.0,153.0,137.5,67,2535,363640.5,
2025-10-29 00:00:00,146.01,140.0,-6.01,-4.29,147.99,140.0,85,4649,653094.55,
2025-10-28 00:00:00,146.0,146.01,0.01,0.01,165.0,135.0,74,2503,373928.75,
2025-10-27 00:00:00,150.0,146.0,-4.0,-2.74,173.0,146.0,43,1192,190074.4,
2025-10-24 00:00:00,129.99,150.0,20.01,13.34,150.0,129.99,69,10591,1517795.21,
2025-10-23 00:00:00,133.99,129.99,-4.0,-3.08,133.99,125.0,91,2388,313352.57,
2025-10-22 00:00:00,139.95,133.99,-5.96,-4.45,139.95,133.0,63,18535,2508954.48,
2025-10-21 00:00:00,144.45,139.95,-4.5,-3.22,165.0,130.0,115,3265,481572.85,
2025-10-17 00:00:00,149.99,144.45,-5.54,-3.84,153.0,144.0,87,2530,367831.65,
2025-10-16 00:00:00,141.0,149.99,8.99,5.99,154.99,141.0,85,8469,1233281.84,
2025-10-15 00:00:00,110.0,141.0,31.0,21.99,141.5,115.99,63,36102,4748700.23,
2025-10-14 00:00:00,101.5,110.0,8.5,7.73,119.98,102.8,80,5845,652911.0,
2025-10-13 00:00:00,102.9,101.5,-1.4,-1.38,102.89,92.0,82,13693,1388660.56,
2025-10-10 00:00:00,98.0,102.9,4.9,4.76,103.0,98.0,59,2007,202306.56,
2025-10-09 00:00:00,95.0,98.0,3.0,3.06,100.0,92.0,72,12009,1175702.0,
2025-10-08 00:00:00,85.01,95.0,9.99,10.52,97.0,85.0,53,25592,2326679.14,
2025-10-07 00:00:00,84.99,85.01,0.02,0.02,89.0,83.0,45,3932,332152.9,
2025-10-06 00:00:00,85.0,84.99,-0.01,-0.01,85.0,80.0,54,2699,225570.75,
2025-10-03 00:00:00,84.47,85.0,0.53,0.62,86.99,79.0,41,4783,400720.18,
2025-10-02 00:00:00,86.45,84.47,-1.98,-2.34,86.0,78.0,54,16685,1417224.67,
2025-10-01 00:00:00,84.0,86.45,2.45,2.83,86.99,79.0,65,3013,258453.63,
2025-09-30 00:00:00,85.0,84.0,-1.0,-1.19,88.0,83.0,67,25807,2192072.51,
2025-09-29 00:00:00,85.0,85.0,0.0,0.0,91.0,80.0,56,3358,286237.05,
2025-09-26 00:00:00,76.0,85.0,9.0,10.59,87.0,75.0,51,18764,1465534.31,
2025-09-25 00:00:00,76.75,76.0,-0.75,-0.99,79.99,75.6,46,5291,405598.17,
2025-09-24 00:00:00,71.4,76.75,5.35,6.97,76.99,71.5,33,1077,79665.18,
