fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo
05-JAN-26,540.0,701.0,116.0,16.55,701.9,700.0,29,1712,1198504.5
02-JAN-26,540.0,585.0,45.0,7.69,600.0,435.0,31,547,298632.84
30-DEC-25,485.0,540.0,55.0,10.19,549.0,450.01,43,1813,970898.25
29-DEC-25,350.0,485.0,135.0,27.84,485.0,349.0,40,5370,2193978.0
26-DEC-25,300.0,350.0,50.0,14.29,350.0,300.0,46,1302,426320.0
23-DEC-25,299.7,300.0,0.3,0.1,309.99,295.0,23,1358,411099.94
22-DEC-25,299.99,299.7,-0.29,-0.1,315.0,280.01,37,6299,1893072.63
19-DEC-25,278.8,299.99,21.19,7.06,299.99,285.0,43,7613,2236015.18
18-DEC-25,278.9,278.8,-0.1,-0.04,297.0,275.0,18,4684,1298023.74
17-DEC-25,270.0,278.9,8.9,3.19,278.95,265.0,28,273,75852.95
16-DEC-25,270.0,270.0,0.0,0.0,279.0,256.01,49,3320,903404.88
15-DEC-25,279.0,270.0,-9.0,-3.33,279.0,265.0,20,1810,491633.9
12-DEC-25,279.95,279.0,-0.95,-0.34,288.0,278.95,17,201,56088.15
11-DEC-25,279.95,279.95,0.0,0.0,279.95,265.0,22,2350,635574.3
10-DEC-25,280.0,279.95,-0.05,-0.02,279.99,255.0,29,1436,393534.85
09-DEC-25,285.0,280.0,-5.0,-1.79,322.99,256.0,51,4533,1254357.81
05-DEC-25,279.0,285.0,6.0,2.11,285.0,270.0,20,2217,631363.6
04-DEC-25,277.5,279.0,1.5,0.54,279.0,267.0,25,3189,865505.0
03-DEC-25,274.0,277.5,3.5,1.26,280.0,272.0,28,953,264789.09
02-DEC-25,280.0,274.0,-6.0,-2.19,280.0,260.0,30,2073,563235.0
01-DEC-25,280.0,280.0,0.0,0.0,300.0,270.0,35,615,172058.73
2025-11-28 00:00:00,282.0,280.0,-2.0,-0.71,285.0,275.0,28,2363,650855.0
2025-11-27 00:00:00,284.95,282.0,-2.95,-1.05,285.0,282.0,17,237,67037.26
2025-11-26 00:00:00,265.0,284.95,19.95,7.0,285.0,261.0,33,2232,590143.89
2025-11-25 00:00:00,275.0,265.0,-10.0,-3.77,285.0,265.0,42,3024,836188.98
2025-11-21 00:00:00,280.0,275.0,-5.0,-1.82,285.0,275.0,31,923,256504.75
2025-11-20 00:00:00,280.0,280.0,0.0,0.0,285.0,279.0,32,482,136896.0
2025-11-19 00:00:00,271.03,280.0,8.97,3.2,285.99,275.0,31,577,163822.21
2025-11-18 00:00:00,287.0,271.03,-15.97,-5.89,297.98,271.0,59,1946,569922.49
2025-11-17 00:00:00,305.0,287.0,-18.0,-6.27,305.0,283.0,32,823,238734.69
2025-11-14 00:00:00,298.0,305.0,7.0,2.3,308.97,298.0,22,353,108490.5
2025-11-13 00:00:00,296.0,298.0,2.0,0.67,314.9,296.0,10,82,24870.4
2025-11-12 00:00:00,287.0,296.0,9.0,3.04,300.0,283.0,30,484,142759.0
2025-11-11 00:00:00,287.0,287.0,0.0,0.0,300.0,285.0,35,4144,1189998.0
