fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,3600.0,4319.0,719.0,16.65,4319.0,4319.0,1,4.00,17276,0
02-JAN-26,3000.0,3600.0,600.0,16.67,3600.0,2900.0,10,72,211600.0,2834081.0
30-DEC-25,3000.0,3000.0,0.0,0.0,3000.0,2702.0,31,484,1450806.0,
29-DEC-25,3200.0,3000.0,-200.0,-6.67,3830.0,2601.0,35,116,363232.0,
26-DEC-25,3560.0,3200.0,-360.0,-11.25,4268.0,3003.0,22,88,298863.0,
23-DEC-25,3600.0,3560.0,-40.0,-1.12,4000.0,3500.0,18,69,255223.0,
22-DEC-25,3800.0,3600.0,-200.0,-5.56,4559.0,3500.0,31,98,367107.01,
19-DEC-25,4000.0,3800.0,-200.0,-5.26,4750.0,3500.0,18,54,201289.0,
18-DEC-25,4989.0,4000.0,-989.0,-24.73,4980.0,4000.0,12,91,369922.0,
17-DEC-25,4500.0,4989.0,489.0,9.8,5000.0,4000.0,11,104,439238.0,
16-DEC-25,5000.0,4500.0,-500.0,-11.11,5975.0,4001.0,13,63,294891.0,
15-DEC-25,5600.0,5000.0,-600.0,-12.0,6700.0,4850.0,10,44,222550.0,
12-DEC-25,6999.0,5600.0,-1399.0,-24.98,6000.0,5600.0,11,54,310000.0,
11-DEC-25,6000.0,6999.0,999.0,14.27,6999.0,5100.0,7,10,60198.0,
10-DEC-25,6000.0,6000.0,0.0,0.0,6000.0,5950.0,7,32,191750.0,
09-DEC-25,7000.0,6000.0,-1000.0,-16.67,6500.0,6000.0,3,36,222000.0,
05-DEC-25,7000.0,7000.0,0.0,0.0,8000.0,8000.0,1,1,8000.0,
03-DEC-25,8000.0,7000.0,-1000.0,-14.29,7900.0,6500.0,9,37,261900.0,
02-DEC-25,9500.0,8000.0,-1500.0,-18.75,8500.0,8000.0,4,9,75000.0,
01-DEC-25,9000.0,9500.0,500.0,5.26,10800.0,8000.0,6,8,76499.0,
2025-11-28 00:00:00,8200.0,9000.0,800.0,8.89,9000.0,8395.0,4,6,50975.0,
2025-11-27 00:00:00,8200.0,8200.0,0.0,0.0,8200.0,8200.0,1,1,8200.0,
2025-11-26 00:00:00,7000.0,8200.0,1200.0,14.63,8200.0,8150.0,3,3,24550.0,
2025-11-21 00:00:00,7000.0,7000.0,0.0,0.0,7100.0,7000.0,3,19,133400.0,
2025-11-20 00:00:00,7000.0,7000.0,0.0,0.0,7000.0,7000.0,3,8,56000.0,
2025-11-19 00:00:00,8195.0,7000.0,-1195.0,-17.07,7000.0,7000.0,5,16,112000.0,
2025-11-18 00:00:00,6900.0,8195.0,1295.0,15.8,8200.0,8195.0,2,4,32790.0,
2025-11-17 00:00:00,7000.0,6900.0,-100.0,-1.45,6949.99,6400.0,6,8,54748.96,
2025-11-14 00:00:00,7000.0,7000.0,0.0,0.0,7000.0,7000.0,1,1,7000.0,
2025-11-13 00:00:00,6999.99,7000.0,0.01,0.0,7000.0,6000.0,5,9,59000.0,
2025-11-12 00:00:00,6500.0,6999.99,499.99,7.14,6999.99,6499.99,9,26,171499.85,
2025-11-11 00:00:00,6900.0,6500.0,-400.0,-6.15,7000.0,6499.99,7,20,133499.91,
2025-11-10 00:00:00,6000.0,6900.0,900.0,13.04,6999.99,6900.0,3,3,20799.99,
2025-11-07 00:00:00,5450.0,6000.0,550.0,9.17,6500.0,6000.0,5,15,90500.0,
2025-11-06 00:00:00,5449.99,5450.0,0.01,0.0,5450.0,5449.99,3,6,32699.99,
2025-11-05 00:00:00,4899.0,5449.99,550.99,10.11,5449.99,4800.01,13,30,148523.98,
2025-11-04 00:00:00,4899.0,4899.0,0.0,0.0,5500.0,3920.0,4,5,25219.0,
2025-11-03 00:00:00,4439.0,4899.0,460.0,9.39,4900.0,4899.0,2,4,19597.0,
2025-10-31 00:00:00,3899.0,4439.0,540.0,12.16,4439.0,3250.0,4,8,33131.0,
2025-10-30 00:00:00,3899.0,3899.0,0.0,0.0,3899.0,3899.0,1,1,3899.0,
2025-10-29 00:00:00,3899.0,3899.0,0.0,0.0,3300.0,3250.0,2,4,13100.0,
2025-10-27 00:00:00,3256.0,3899.0,643.0,16.49,3900.0,3899.0,2,11,42890.0,
2025-10-24 00:00:00,3899.99,3256.0,-643.99,-19.78,3899.0,3256.0,3,12,41001.0,
2025-10-23 00:00:00,3899.99,3899.99,0.0,0.0,3900.0,3899.0,3,3,11698.0,
2025-10-22 00:00:00,3950.0,3899.99,-50.01,-1.28,3899.99,3899.99,1,6,23399.94,
2025-10-21 00:00:00,3990.0,3950.0,-40.0,-1.01,3950.0,3193.0,5,28,95460.0,
2025-10-17 00:00:00,4000.0,3990.0,-10.0,-0.25,3990.0,3975.0,6,15,59655.0,
2025-10-16 00:00:00,4400.0,4000.0,-400.0,-10.0,4400.0,4000.0,6,16,67000.0,
2025-10-15 00:00:00,4440.0,4400.0,-40.0,-0.91,4400.0,4268.0,4,34,140468.0,
2025-10-14 00:00:00,4000.0,4440.0,440.0,9.91,4449.0,4268.0,4,8,35392.98,
2025-10-10 00:00:00,4100.0,4000.0,-100.0,-2.5,4100.0,4000.0,3,9,36500.0,
2025-10-09 00:00:00,4000.0,4100.0,100.0,2.44,4100.0,4100.0,1,5,20500.0,
2025-10-08 00:00:00,3990.0,4000.0,10.0,0.25,4500.0,4000.0,8,20,85500.0,
2025-10-07 00:00:00,3750.0,3990.0,240.0,6.02,3998.99,3001.0,3,7,26985.95,
2025-10-06 00:00:00,3165.0,3750.0,585.0,15.6,3750.0,2532.01,7,21,76314.02,
2025-10-03 00:00:00,3165.0,3165.0,0.0,0.0,3300.0,3165.0,3,3,9630.0,
2025-10-02 00:00:00,2639.99,3165.0,525.01,16.59,3165.0,3000.0,5,21,66300.0,
2025-10-01 00:00:00,2639.99,2639.99,0.0,0.0,3000.0,2639.99,4,39,103319.62,
2025-09-30 00:00:00,2639.99,2639.99,0.0,0.0,2800.0,2635.0,3,3,8070.0,
2025-09-29 00:00:00,2639.99,2639.99,0.0,0.0,3000.0,2639.99,2,3,8279.98,
2025-09-25 00:00:00,2200.0,2639.99,439.99,16.67,2639.99,2639.99,5,7,18479.93,
2025-09-24 00:00:00,2200.0,2200.0,0.0,0.0,2639.99,2639.99,1,4,10559.96,
2025-09-23 00:00:00,2200.0,2200.0,0.0,0.0,2639.95,2639.95,2,2,5279.9,
2025-09-22 00:00:00,2241.5,2200.0,-41.5,-1.89,2680.0,2200.0,8,21,51000.0,
2025-09-19 00:00:00,1868.0,2241.5,373.5,16.66,2241.5,2200.0,8,17,37937.0,
2025-09-18 00:00:00,1868.0,1868.0,0.0,0.0,2229.0,2229.0,3,5,11145.0,
2025-09-17 00:00:00,1559.0,1868.0,309.0,16.54,1870.0,1558.0,7,22,36975.0,
2025-09-16 00:00:00,1300.0,1559.0,259.0,16.61,1559.0,1400.0,10,39,56146.0,
2025-09-12 00:00:00,1300.0,1300.0,0.0,0.0,1548.0,1548.0,1,1,1548.0,
2025-09-11 00:00:00,1430.0,1300.0,-130.0,-10.0,1300.0,1300.0,1,5,6500.0,
2025-09-10 00:00:00,1200.0,1430.0,230.0,16.08,1430.0,1425.0,5,7,10005.0,
2025-09-09 00:00:00,1200.0,1200.0,0.0,0.0,1420.0,1420.0,1,1,1420.0,
2025-09-08 00:00:00,1199.0,1200.0,1.0,0.08,1200.0,1200.0,3,5,6000.0,
2025-09-05 00:00:00,1000.0,1199.0,199.0,16.6,1199.0,1199.0,3,10,11990.0,
2025-09-04 00:00:00,1098.0,1000.0,-98.0,-9.8,1098.0,1000.0,7,170,172307.0,
2025-09-03 00:00:00,1115.0,1098.0,-17.0,-1.55,1115.0,1098.0,2,6,6605.0,
2025-09-02 00:00:00,1198.0,1115.0,-83.0,-7.44,1250.0,1115.0,4,19,23345.0,
2025-09-01 00:00:00,1198.0,1198.0,0.0,0.0,1250.0,1250.0,1,3,3750.0,
28-AUG-25,1000.0,1198.0,198.0,16.53,1198.0,1198.0,2,12,14376.0,
27-AUG-25,1099.0,1000.0,-99.0,-9.9,1000.0,1000.0,3,7,7000.0,
26-AUG-25,1099.0,1099.0,0.0,0.0,1099.0,900.0,6,16,17385.0,
25-AUG-25,1000.0,1099.0,99.0,9.01,1100.0,950.0,8,21,21493.0,
22-AUG-25,985.0,1000.0,15.0,1.5,1180.0,985.0,3,10,10150.0,
20-AUG-25,985.0,985.0,0.0,0.0,985.0,800.0,4,51,46535.0,
19-AUG-25,985.0,985.0,0.0,0.0,985.0,985.0,2,12,11820.0,
15-AUG-25,940.0,985.0,45.0,4.57,989.0,850.0,8,39,34933.0,
14-AUG-25,791.0,940.0,149.0,15.85,940.0,940.0,4,8,7520.0,
13-AUG-25,988.0,791.0,-197.0,-24.91,791.0,791.0,1,8,6328.0,
12-AUG-25,845.0,988.0,143.0,14.47,988.0,985.0,7,45,44403.0,
08-AUG-25,845.0,845.0,0.0,0.0,845.0,845.0,1,13,10985.0,
07-AUG-25,745.0,845.0,100.0,11.83,845.0,845.0,1,13,10985.0,
06-AUG-25,739.0,745.0,6.0,0.81,745.0,740.0,5,47,34937.0,
05-AUG-25,745.0,739.0,-6.0,-0.81,744.0,605.0,5,11,8006.0,
01-AUG-25,686.0,745.0,59.0,7.92,750.0,652.0,4,17,12451.0,
2025-07-31 00:00:00,686.0,686.0,0.0,0.0,686.0,686.0,2,7,4802.0,
2025-07-28 00:00:00,686.0,686.0,0.0,0.0,686.0,686.0,1,2,1372.0,
2025-07-25 00:00:00,575.1,686.0,110.9,16.17,686.0,686.0,4,19,13034.0,
2025-07-23 00:00:00,575.1,575.1,0.0,0.0,679.0,679.0,1,1,679.0,
