fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,220.0,230.0,10.0,4.35,255.0,221.0,8,537.0,123540.0
02-JAN-26,205.0,220.0,15.0,6.82,220.0,175.0,16,915,174770.0,183930796.0
30-DEC-25,175.0,205.0,30.0,14.63,205.0,171.0,12,532,108441.9,
29-DEC-25,170.0,175.0,5.0,2.86,185.0,170.0,7,744,129985.0,
26-DEC-25,160.0,170.0,10.0,5.88,192.0,160.0,16,221,40386.0,
23-DEC-25,169.96,160.0,-9.96,-6.23,170.0,160.0,13,997,168943.47,
22-DEC-25,169.96,169.96,0.0,0.0,170.0,160.0,9,638,108438.68,
19-DEC-25,169.96,169.96,0.0,0.0,169.97,165.0,2,22,3729.4,
18-DEC-25,169.98,169.96,-0.02,-0.01,169.97,169.96,5,344,58466.28,
17-DEC-25,159.99,169.98,9.99,5.88,170.0,130.0,14,214,32208.33,
16-DEC-25,155.0,159.99,4.99,3.12,179.95,150.0,23,1498,234561.74,
15-DEC-25,155.0,155.0,0.0,0.0,180.5,155.0,13,581,96148.2,
12-DEC-25,160.0,155.0,-5.0,-3.23,172.0,155.0,18,2240,358078.0,
11-DEC-25,160.0,160.0,0.0,0.0,177.9,160.0,14,878,142207.2,
10-DEC-25,160.0,160.0,0.0,0.0,174.89,172.0,12,74,12798.01,
09-DEC-25,160.0,160.0,0.0,0.0,175.95,154.0,18,271,44979.1,
05-DEC-25,160.0,160.0,0.0,0.0,166.35,156.0,5,88,13909.05,
04-DEC-25,160.0,160.0,0.0,0.0,167.0,166.3,3,65,10812.6,
03-DEC-25,160.0,160.0,0.0,0.0,167.45,155.0,5,122,19853.9,
02-DEC-25,155.0,160.0,5.0,3.13,167.45,150.0,13,244,40089.0,
01-DEC-25,150.0,155.0,5.0,3.23,168.0,130.0,17,199,32207.05,
2025-11-28 00:00:00,150.0,150.0,0.0,0.0,170.0,150.0,5,30,5000.0,
2025-11-27 00:00:00,150.0,150.0,0.0,0.0,150.0,150.0,7,250,37500.0,
2025-11-26 00:00:00,132.0,150.0,18.0,12.0,157.5,120.0,17,521,79098.94,
2025-11-25 00:00:00,158.9,132.0,-26.9,-20.38,172.5,132.0,10,320,43601.0,
2025-11-21 00:00:00,158.9,158.9,0.0,0.0,158.89,158.75,5,27,4287.7,
2025-11-20 00:00:00,159.4,158.9,-0.5,-0.31,159.35,158.7,11,523,83134.7,
2025-11-19 00:00:00,165.0,159.4,-5.6,-3.51,164.5,154.0,23,430,69530.8,
2025-11-18 00:00:00,164.45,165.0,0.55,0.33,178.0,154.0,20,285,48203.0,
2025-11-17 00:00:00,164.45,164.45,0.0,0.0,180.0,160.0,6,64,11208.0,
2025-11-14 00:00:00,164.45,164.45,0.0,0.0,166.93,165.99,8,71,11811.2,
2025-11-13 00:00:00,163.49,164.45,0.96,0.58,164.47,140.0,6,280,45665.77,
2025-11-12 00:00:00,163.9,163.49,-0.41,-0.25,164.0,150.02,14,545,88584.46,
2025-11-11 00:00:00,163.99,163.9,-0.09,-0.05,166.95,160.0,16,338,54904.55,
2025-11-10 00:00:00,152.99,163.99,11.0,6.71,166.0,160.0,12,94,15282.55,
2025-11-07 00:00:00,148.0,152.99,4.99,3.26,153.99,148.0,19,511,78192.38,
2025-11-06 00:00:00,153.0,148.0,-5.0,-3.38,159.0,140.0,12,188,28299.42,
2025-11-05 00:00:00,150.0,153.0,3.0,1.96,153.99,153.0,22,612,94169.54,
