fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
02-JAN-26,53.0,62.0,9.0,14.52,63.0,43.0,64,1026,61700.0,700000000.0
30-DEC-25,45.0,53.0,8.0,15.09,53.99,40.0,65,7893,396637.91,
29-DEC-25,39.97,45.0,5.03,11.18,46.5,42.0,65,1217,53736.5,
26-DEC-25,39.5,39.97,0.47,1.18,39.97,39.0,59,2317,92490.72,
23-DEC-25,42.0,39.5,-2.5,-6.33,42.0,36.0,47,890,35830.06,
22-DEC-25,40.0,42.0,2.0,4.76,45.0,33.01,68,1369,54999.51,
19-DEC-25,36.0,40.0,4.0,10.0,41.0,33.55,54,3695,134980.2,
18-DEC-25,36.5,36.0,-0.5,-1.39,36.89,33.02,23,773,28128.81,
17-DEC-25,36.98,36.5,-0.48,-1.32,36.9,33.02,51,1293,47242.27,
16-DEC-25,38.59,36.98,-1.61,-4.35,38.54,33.03,80,2191,81830.22,
15-DEC-25,38.7,38.59,-0.11,-0.29,38.9,33.0,56,1786,66740.91,
12-DEC-25,38.89,38.7,-0.19,-0.49,38.9,33.0,40,1125,43170.2,
11-DEC-25,38.9,38.89,-0.01,-0.03,38.9,32.01,50,1092,41923.5,
10-DEC-25,38.92,38.9,-0.02,-0.05,38.99,33.17,68,2470,95748.25,
09-DEC-25,36.49,38.92,2.43,6.24,41.0,36.0,68,1357,51725.2,
05-DEC-25,36.0,36.49,0.49,1.34,36.5,35.0,42,1378,49275.55,
04-DEC-25,36.0,36.0,0.0,0.0,36.5,35.0,52,2520,90745.5,
03-DEC-25,35.9,36.0,0.1,0.28,36.5,34.0,42,1233,44432.9,
02-DEC-25,36.0,35.9,-0.1,-0.28,41.0,33.17,53,1420,50669.91,
01-DEC-25,36.49,36.0,-0.49,-1.36,36.5,33.01,75,2014,72643.3,
2025-11-28 00:00:00,36.0,36.49,0.49,1.34,37.0,31.5,59,1733,62995.74,
2025-11-27 00:00:00,36.0,36.0,0.0,0.0,38.0,33.0,58,815,29559.0,
2025-11-26 00:00:00,37.5,36.0,-1.5,-4.17,37.5,32.0,10,937,31669.0,
2025-11-25 00:00:00,37.0,37.5,0.5,1.33,41.0,36.2,68,2068,81357.05,
2025-11-21 00:00:00,38.0,37.0,-1.0,-2.7,38.0,34.55,37,922,34112.35,
2025-11-20 00:00:00,35.0,38.0,3.0,7.89,38.0,35.0,52,740,28014.0,
2025-11-19 00:00:00,38.5,35.0,-3.5,-10.0,38.5,32.5,54,2056,76277.5,
2025-11-18 00:00:00,38.5,38.5,0.0,0.0,39.0,32.5,69,1668,61033.0,
2025-11-17 00:00:00,36.0,38.5,2.5,6.49,40.0,31.0,26,1208,42701.5,
2025-11-14 00:00:00,36.25,36.0,-0.25,-0.69,37.0,31.0,32,980,35502.0,
2025-11-13 00:00:00,36.5,36.25,-0.25,-0.69,36.5,30.0,44,3051,102841.01,
2025-11-12 00:00:00,32.0,36.5,4.5,12.33,37.0,32.0,35,2359,81770.0,
2025-11-11 00:00:00,31.0,32.0,1.0,3.13,35.0,31.0,43,1632,53323.8,
2025-11-10 00:00:00,34.5,31.0,-3.5,-11.29,34.49,30.01,42,1703,54362.38,
2025-11-07 00:00:00,31.0,34.5,3.5,10.14,35.0,31.0,49,1829,62404.7,
2025-11-06 00:00:00,35.0,31.0,-4.0,-12.9,35.0,31.0,36,2819,90628.6,
2025-11-05 00:00:00,34.98,35.0,0.02,0.06,35.0,31.0,46,1037,36094.76,
2025-11-04 00:00:00,34.95,34.98,0.03,0.09,35.0,31.0,55,1651,56734.82,
2025-11-03 00:00:00,35.0,34.95,-0.05,-0.14,35.0,31.0,51,2941,98214.8,
2025-10-31 00:00:00,34.0,35.0,1.0,2.86,38.0,30.25,55,1408,49735.25,
2025-10-30 00:00:00,35.0,34.0,-1.0,-2.94,34.0,30.0,43,1057,35688.0,
2025-10-29 00:00:00,35.0,35.0,0.0,0.0,35.0,34.0,39,682,23858.0,
2025-10-28 00:00:00,35.0,35.0,0.0,0.0,35.0,30.0,39,932,32397.0,
2025-10-27 00:00:00,34.8,35.0,0.2,0.57,35.0,34.5,36,2956,103442.0,
2025-10-24 00:00:00,34.0,34.8,0.8,2.3,34.8,30.0,45,1162,39794.2,
2025-10-23 00:00:00,34.8,34.0,-0.8,-2.35,34.8,28.0,43,1059,35158.0,
2025-10-22 00:00:00,34.8,34.8,0.0,0.0,34.8,32.0,39,873,30374.8,
2025-10-21 00:00:00,31.0,34.8,3.8,10.92,35.0,30.0,98,3995,138074.3,
2025-10-17 00:00:00,30.0,31.0,1.0,3.23,32.0,28.0,56,2300,72252.3,
2025-10-16 00:00:00,30.0,30.0,0.0,0.0,32.0,28.65,69,7840,237923.0,
2025-10-15 00:00:00,31.5,30.0,-1.5,-5.0,31.5,28.0,46,5013,151536.8,
2025-10-14 00:00:00,31.5,31.5,0.0,0.0,32.49,27.5,39,2478,75127.13,
