fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
05-JAN-26,335.0,350.0,0.0,0.0,400.0,335.0,12,149,46474.6,126923808.0
02-JAN-26,335.0,335.0,0.0,0.0,335.0,280.0,12,149,46474.6,126923808.0
30-DEC-25,290.0,335.0,45.0,13.43,335.0,314.99,12,270,89209.38,
29-DEC-25,249.0,290.0,41.0,14.14,290.0,230.0,16,2206,595640.0,
26-DEC-25,250.0,249.0,-1.0,-0.4,249.99,249.0,11,249,62008.92,
23-DEC-25,250.0,250.0,0.0,0.0,250.0,223.8,12,665,161855.0,
22-DEC-25,229.0,250.0,21.0,8.4,255.0,230.0,11,336,85065.0,
19-DEC-25,220.89,229.0,8.11,3.54,235.0,215.0,20,2687,592728.48,
18-DEC-25,220.89,220.89,0.0,0.0,220.89,215.0,4,23,5068.69,
17-DEC-25,220.5,220.89,0.39,0.18,220.9,220.89,9,114,25181.93,
16-DEC-25,210.0,220.5,10.5,4.76,220.5,185.01,23,278,60541.09,
15-DEC-25,215.0,210.0,-5.0,-2.38,221.61,210.0,15,532,112916.98,
12-DEC-25,215.0,215.0,0.0,0.0,220.0,215.0,7,185,39800.0,
11-DEC-25,217.9,215.0,-2.9,-1.35,217.0,185.0,8,276,53768.4,
10-DEC-25,218.0,217.9,-0.1,-0.05,217.99,200.01,9,139,29698.06,
09-DEC-25,219.99,218.0,-1.99,-0.91,220.0,200.01,20,1023,222697.7,
05-DEC-25,223.0,219.99,-3.01,-1.37,223.0,210.0,12,255,56027.65,
04-DEC-25,223.0,223.0,0.0,0.0,223.0,215.0,12,446,97810.0,
03-DEC-25,225.0,223.0,-2.0,-0.9,225.0,191.0,14,202,43528.85,
02-DEC-25,225.0,225.0,0.0,0.0,268.32,190.0,9,32,8189.76,
01-DEC-25,216.99,225.0,8.01,3.56,225.0,190.0,15,199,43191.81,
2025-11-28 00:00:00,220.0,216.99,-3.01,-1.39,219.99,202.0,20,437,94455.42,
2025-11-27 00:00:00,221.99,220.0,-1.99,-0.9,221.99,220.0,8,973,214799.2,
2025-11-26 00:00:00,221.99,221.99,0.0,0.0,221.99,220.0,8,145,32158.7,
2025-11-25 00:00:00,223.5,221.99,-1.51,-0.68,222.0,205.0,19,417,92536.4,
2025-11-21 00:00:00,224.99,223.5,-1.49,-0.67,225.0,205.03,15,23255,5163735.09,
2025-11-20 00:00:00,233.0,224.99,-8.01,-3.56,230.0,224.99,9,83,18899.62,
2025-11-19 00:00:00,229.0,233.0,4.0,1.72,234.99,200.03,14,660,139775.23,
2025-11-18 00:00:00,239.95,229.0,-10.95,-4.78,235.0,210.0,19,235,53524.5,
2025-11-17 00:00:00,239.95,239.95,0.0,0.0,235.0,230.0,5,28,6510.5,
2025-11-14 00:00:00,239.5,239.95,0.45,0.19,239.95,239.0,10,327,78434.7,
2025-11-13 00:00:00,230.0,239.5,9.5,3.97,239.5,210.0,15,154,36280.5,
2025-11-12 00:00:00,220.0,230.0,10.0,4.35,238.0,205.0,13,855,191646.73,
2025-11-11 00:00:00,233.0,220.0,-13.0,-5.91,233.99,200.0,14,199,45709.02,
2025-11-10 00:00:00,234.0,233.0,-1.0,-0.43,234.99,210.0,15,304,69343.79,
2025-11-07 00:00:00,236.0,234.0,-2.0,-0.85,235.99,200.04,9,292,68461.44,
2025-11-06 00:00:00,238.99,236.0,-2.99,-1.27,238.98,236.0,18,680,160830.74,
2025-11-05 00:00:00,237.0,238.99,1.99,0.83,240.0,238.99,18,340,81429.12,
2025-11-04 00:00:00,250.0,237.0,-13.0,-5.49,245.0,214.0,22,648,157379.35,
2025-11-03 00:00:00,240.0,250.0,10.0,4.0,268.32,249.99,21,335,84962.28,
2025-10-31 00:00:00,245.0,240.0,-5.0,-2.08,240.0,239.0,26,839,201338.0,
2025-10-30 00:00:00,244.7,245.0,0.3,0.12,245.0,220.01,11,1171,285866.05,
2025-10-29 00:00:00,245.0,245.0,0.0,0.0,245.0,214.0,16,1723,398447.0,
2025-10-28 00:00:00,239.99,245.0,5.01,2.04,245.0,215.0,11,162,39210.0,
2025-10-27 00:00:00,230.0,239.99,9.99,4.16,250.0,230.0,15,2236,516608.36,
2025-10-24 00:00:00,238.99,230.0,-8.99,-3.91,240.0,214.0,24,10562,2406690.21,
2025-10-23 00:00:00,249.0,238.99,-10.01,-4.19,260.0,208.51,15,269,63535.5,
2025-10-22 00:00:00,260.0,249.0,-11.0,-4.42,259.99,248.0,11,419,105269.01,
2025-10-21 00:00:00,245.0,260.0,15.0,5.77,274.0,249.0,29,561,141673.08,
2025-10-17 00:00:00,216.0,245.0,29.0,11.84,249.0,219.99,21,500,112116.52,
2025-10-16 00:00:00,196.95,216.0,19.05,8.82,220.0,204.0,17,322,69914.16,
2025-10-15 00:00:00,194.9,196.95,2.05,1.04,218.0,190.0,17,4566,889924.85,
2025-10-14 00:00:00,195.0,194.9,-0.1,-0.05,195.0,194.9,14,379,73895.6,
2025-10-13 00:00:00,176.0,195.0,19.0,9.74,195.0,176.75,16,472,86571.75,
2025-10-10 00:00:00,170.0,176.0,6.0,3.41,176.75,170.0,24,2275,398660.0,
2025-10-09 00:00:00,164.9,170.0,5.1,3.0,175.0,166.55,10,372,63450.65,
2025-10-08 00:00:00,162.0,164.9,2.9,1.76,166.55,162.0,16,543,89608.7,
2025-10-07 00:00:00,159.5,162.0,2.5,1.54,164.9,152.0,12,2992,479761.3,
2025-10-06 00:00:00,155.0,159.5,4.5,2.82,159.8,155.0,17,920,143349.7,
2025-10-03 00:00:00,154.95,155.0,0.05,0.03,155.0,154.5,19,945,146407.2,
2025-10-02 00:00:00,154.9,154.95,0.05,0.03,155.0,139.0,12,191,29518.75,
2025-10-01 00:00:00,139.0,154.9,15.9,10.26,155.0,145.0,17,528,78476.7,
2025-09-30 00:00:00,137.0,139.0,2.0,1.44,145.0,139.0,20,4033,560743.0,
2025-09-29 00:00:00,139.0,137.0,-2.0,-1.46,139.0,130.0,6,193,26271.0,
2025-09-26 00:00:00,141.0,139.0,-2.0,-1.44,139.0,138.0,8,791,109449.0,
2025-09-25 00:00:00,128.0,141.0,13.0,9.22,143.0,132.0,11,439,60932.0,
2025-09-24 00:00:00,107.0,128.0,21.0,16.41,128.0,119.99,8,743,90524.9,
2025-09-23 00:00:00,105.0,107.0,2.0,1.87,107.0,100.5,11,1000,106987.0,
2025-09-22 00:00:00,100.0,105.0,5.0,4.76,105.0,98.5,28,3645,370515.0,
2025-09-19 00:00:00,100.0,100.0,0.0,0.0,100.0,96.0,17,3925,387691.0,
2025-09-18 00:00:00,100.0,100.0,0.0,0.0,102.5,95.0,16,758,75866.39,
2025-09-17 00:00:00,100.0,100.0,0.0,0.0,105.0,95.0,15,619,61813.0,
2025-09-16 00:00:00,104.98,100.0,-4.98,-4.98,110.0,95.0,14,459,47624.79,
2025-09-12 00:00:00,110.0,104.98,-5.02,-4.78,105.0,104.98,18,319,33490.45,
2025-09-11 00:00:00,110.0,110.0,0.0,0.0,113.0,109.99,4,20,2210.92,
2025-09-10 00:00:00,118.0,110.0,-8.0,-7.27,118.0,110.0,10,934,103186.0,
2025-09-09 00:00:00,125.0,118.0,-7.0,-5.93,123.0,105.0,8,3269,391860.1,
2025-09-08 00:00:00,123.0,125.0,2.0,1.6,130.0,110.0,9,214,25750.0,
2025-09-05 00:00:00,125.0,123.0,-2.0,-1.63,124.99,123.0,15,271,33776.77,
2025-09-04 00:00:00,105.0,125.0,20.0,16.0,125.0,107.0,15,1376,150250.0,
2025-09-03 00:00:00,105.0,105.0,0.0,0.0,105.0,104.99,10,110,11549.4,
2025-09-02 00:00:00,95.89,105.0,9.11,8.68,105.0,93.0,23,3893,372349.29,
2025-09-01 00:00:00,98.97,95.89,-3.08,-3.21,99.8,95.89,29,693,66717.14,
29-AUG-25,90.0,98.97,8.97,9.06,102.0,97.5,10,1035,101640.95,
28-AUG-25,90.0,90.0,0.0,0.0,102.0,87.0,14,8375,753759.0,
27-AUG-25,85.0,90.0,5.0,5.56,90.0,87.0,12,4335,379375.58,
26-AUG-25,87.0,85.0,-2.0,-2.35,89.5,78.0,9,1090,93753.0,
25-AUG-25,87.0,87.0,0.0,0.0,89.5,87.0,5,1112,96761.5,
22-AUG-25,78.0,87.0,9.0,10.34,87.0,78.0,14,2591,203556.0,
21-AUG-25,77.99,78.0,0.01,0.01,78.0,77.99,16,2386,186104.12,
20-AUG-25,77.0,77.99,0.99,1.27,77.99,77.0,12,5237,403352.95,
19-AUG-25,74.5,77.0,2.5,3.25,78.0,74.5,17,3204,239154.66,
15-AUG-25,74.49,74.5,0.01,0.01,74.5,74.49,9,2502,186395.83,
14-AUG-25,74.5,74.49,-0.01,-0.01,74.5,74.49,11,466,34712.81,
13-AUG-25,74.5,74.5,0.0,0.0,74.5,74.45,8,707,52654.25,
12-AUG-25,74.99,74.5,-0.49,-0.66,74.98,67.0,9,326,24400.75,
11-AUG-25,75.0,74.99,-0.01,-0.01,75.0,74.99,9,955,71624.48,
08-AUG-25,64.95,75.0,10.05,13.4,75.0,70.0,9,1262,90685.0,
07-AUG-25,59.35,64.95,5.6,8.62,65.0,59.5,10,2534,154430.6,
06-AUG-25,59.5,59.35,-0.15,-0.25,59.45,58.0,17,811,47951.48,
05-AUG-25,57.99,59.5,1.51,2.54,59.99,59.5,12,1219,72777.41,
04-AUG-25,57.99,57.99,0.0,0.0,57.99,57.99,2,62,3595.38,
01-AUG-25,58.0,57.99,-0.01,-0.02,58.0,56.0,6,437,25305.8,
2025-07-31 00:00:00,58.0,58.0,0.0,0.0,58.0,57.99,5,169,9801.65,
2025-07-30 00:00:00,56.25,58.0,1.75,3.02,60.0,58.0,8,486,28430.0,
2025-07-29 00:00:00,60.0,56.25,-3.75,-6.67,60.0,56.25,6,686,38913.8,
2025-07-28 00:00:00,59.99,60.0,0.01,0.02,60.0,60.0,5,148,8880.0,
2025-07-25 00:00:00,60.0,59.99,-0.01,-0.02,60.0,59.99,8,1145,68698.05,
2025-07-23 00:00:00,59.5,60.0,0.5,0.83,60.0,60.0,5,415,24900.0,
2025-07-22 00:00:00,58.0,59.5,1.5,2.52,60.74,59.5,12,758,45440.48,
2025-07-21 00:00:00,57.0,58.0,1.0,1.72,58.0,56.0,11,1343,77847.89,
2025-07-18 00:00:00,54.94,57.0,2.06,3.61,58.0,55.0,10,2461,137057.15,
2025-07-17 00:00:00,54.01,54.94,0.93,1.69,54.94,54.94,6,614,33733.16,
2025-07-15 00:00:00,56.0,54.01,-1.99,-3.68,55.99,54.0,9,3152,170484.57,
2025-07-14 00:00:00,54.0,56.0,2.0,3.57,56.0,53.01,7,3088,171801.34,
2025-07-10 00:00:00,54.0,54.0,0.0,0.0,55.2,53.5,12,3238,174267.6,
2025-07-09 00:00:00,55.49,54.0,-1.49,-2.76,55.2,54.0,7,376,20431.2,
2025-07-08 00:00:00,54.0,55.49,1.49,2.69,55.49,54.0,7,453,24734.47,
