fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
02-JAN-26,27.0,28.5,1.5,5.26,31.0,28.0,56,13096,379277.0,57000000.0
30-DEC-25,24.0,27.0,3.0,11.11,27.0,25.85,57,5240,138676.1,
29-DEC-25,21.0,24.0,3.0,12.5,25.0,22.0,69,12852,299287.6,
26-DEC-25,18.75,21.0,2.25,10.71,21.0,18.75,49,6165,122966.25,
23-DEC-25,18.75,18.75,0.0,0.0,21.0,18.75,37,7683,144855.75,
22-DEC-25,18.0,18.75,0.75,4.0,19.0,17.7,55,4241,76746.3,
19-DEC-25,17.35,18.0,0.65,3.61,18.5,17.5,40,12777,228856.5,
18-DEC-25,16.5,17.35,0.85,4.9,17.35,17.25,14,1741,30201.35,
17-DEC-25,16.49,16.5,0.01,0.06,17.5,16.49,50,14717,244139.31,
16-DEC-25,16.25,16.49,0.24,1.46,16.98,15.02,55,18767,308527.74,
15-DEC-25,16.5,16.25,-0.25,-1.54,17.5,16.25,45,7166,120618.93,
12-DEC-25,16.01,16.5,0.49,2.97,17.0,16.0,36,105434,1701961.85,
11-DEC-25,16.8,16.01,-0.79,-4.93,17.0,15.9,21,10870,181246.36,
10-DEC-25,16.5,16.8,0.3,1.79,17.0,13.21,35,2974,49910.3,
09-DEC-25,15.94,16.5,0.56,3.39,17.0,13.01,46,6831,113547.05,
05-DEC-25,15.5,15.94,0.44,2.76,15.95,15.0,29,7808,121036.53,
04-DEC-25,15.9,15.5,-0.4,-2.58,15.5,15.5,32,3743,58016.5,
03-DEC-25,15.2,15.9,0.7,4.4,15.95,15.2,30,4608,72831.1,
02-DEC-25,15.9,15.2,-0.7,-4.61,16.0,15.0,45,87817,1395508.0,
01-DEC-25,15.5,15.9,0.4,2.52,16.5,15.2,56,12357,197174.1,
2025-11-28 00:00:00,15.0,15.5,0.5,3.23,16.0,15.0,39,6543,101050.54,
2025-11-27 00:00:00,15.84,15.0,-0.84,-5.6,16.5,15.0,36,5894,91142.67,
2025-11-26 00:00:00,15.0,15.84,0.84,5.3,16.99,15.5,51,33875,537886.79,
2025-11-25 00:00:00,15.95,15.0,-0.95,-6.33,17.0,15.0,53,27474,436381.4,
2025-11-21 00:00:00,15.6,15.95,0.35,2.19,16.0,15.95,23,3753,59863.9,
2025-11-20 00:00:00,16.0,15.6,-0.4,-2.56,16.0,15.6,38,6249,98769.0,
2025-11-19 00:00:00,16.5,16.0,-0.5,-3.13,16.5,15.55,40,7925,129303.35,
2025-11-18 00:00:00,16.5,16.5,0.0,0.0,16.9,16.0,59,7710,125969.39,
2025-11-17 00:00:00,16.95,16.5,-0.45,-2.73,16.95,16.0,30,6949,116986.15,
2025-11-14 00:00:00,17.0,16.95,-0.05,-0.29,17.0,16.95,41,7610,129332.25,
2025-11-13 00:00:00,16.0,17.0,1.0,5.88,18.0,16.1,43,7833,132000.3,
2025-11-12 00:00:00,16.0,16.0,0.0,0.0,16.5,15.95,40,9291,149356.25,
2025-11-11 00:00:00,15.5,16.0,0.5,3.13,16.0,15.1,36,9193,146722.65,
2025-11-10 00:00:00,15.5,15.5,0.0,0.0,15.5,15.0,36,4743,73330.5,
2025-11-07 00:00:00,15.3,15.5,0.2,1.29,16.0,15.0,37,3815,60227.5,
2025-11-06 00:00:00,15.0,15.3,0.3,1.96,16.0,14.8,47,4732,74114.05,
2025-11-05 00:00:00,15.0,15.0,0.0,0.0,16.0,14.5,49,31820,492368.0,
2025-11-04 00:00:00,15.0,15.0,0.0,0.0,15.0,13.49,50,28928,433842.62,
2025-11-03 00:00:00,15.0,15.0,0.0,0.0,15.0,14.95,45,22862,342918.0,
2025-10-31 00:00:00,14.99,15.0,0.01,0.07,15.0,13.49,48,6149,92218.39,
2025-10-30 00:00:00,14.5,14.99,0.49,3.27,16.0,14.0,39,15591,233623.45,
2025-10-29 00:00:00,14.0,14.5,0.5,3.45,15.0,14.0,31,27048,392523.35,
2025-10-28 00:00:00,13.49,14.0,0.51,3.64,14.0,13.49,37,15354,210348.58,
2025-10-27 00:00:00,13.49,13.49,0.0,0.0,13.49,13.0,21,8234,110818.18,
2025-10-24 00:00:00,13.49,13.49,0.0,0.0,13.5,13.0,34,8159,109831.44,
2025-10-23 00:00:00,13.25,13.49,0.24,1.78,13.49,13.0,36,9770,131782.6,
2025-10-22 00:00:00,13.0,13.25,0.25,1.89,14.0,13.0,53,24536,325488.85,
2025-10-21 00:00:00,12.5,13.0,0.5,3.85,14.0,12.7,73,14531,191513.0,
2025-10-17 00:00:00,13.0,12.5,-0.5,-4.0,13.5,11.0,59,13421,171439.26,
2025-10-16 00:00:00,12.9,13.0,0.1,0.77,13.25,12.9,63,20939,273057.05,
2025-10-15 00:00:00,13.0,12.9,-0.1,-0.78,13.0,11.51,32,6383,82830.45,
2025-10-14 00:00:00,13.0,13.0,0.0,0.0,13.0,12.5,28,4824,62671.5,
2025-10-13 00:00:00,13.0,13.0,0.0,0.0,13.5,12.5,24,2628,34167.8,
2025-10-10 00:00:00,13.0,13.0,0.0,0.0,13.5,13.0,26,3736,48806.5,
2025-10-09 00:00:00,13.5,13.0,-0.5,-3.85,13.5,13.0,22,10189,134301.5,
2025-10-08 00:00:00,13.5,13.5,0.0,0.0,13.5,13.0,25,961,12746.0,
2025-10-07 00:00:00,13.5,13.5,0.0,0.0,13.5,11.55,20,1273,16979.8,
2025-10-06 00:00:00,13.5,13.5,0.0,0.0,14.0,13.0,21,2472,33258.0,
2025-10-03 00:00:00,13.0,13.5,0.5,3.7,14.0,11.5,30,5674,77635.45,
2025-10-02 00:00:00,12.0,13.0,1.0,7.69,13.0,11.0,27,2755,35770.0,
2025-10-01 00:00:00,12.25,12.0,-0.25,-2.08,13.0,10.5,39,15816,193293.5,
2025-09-30 00:00:00,12.95,12.25,-0.7,-5.71,13.0,12.25,33,5010,62880.0,
2025-09-29 00:00:00,13.0,12.95,-0.05,-0.39,13.0,12.25,25,2264,29345.2,
2025-09-26 00:00:00,13.0,13.0,0.0,0.0,13.5,12.0,19,1084,14593.5,
2025-09-25 00:00:00,13.0,13.0,0.0,0.0,13.97,13.0,29,6227,81499.33,
2025-09-24 00:00:00,12.01,13.0,0.99,7.62,13.0,13.0,25,6435,83655.0,
2025-09-23 00:00:00,12.9,12.01,-0.89,-7.41,14.0,12.01,32,352207,4232316.8,
2025-09-22 00:00:00,13.0,12.9,-0.1,-0.78,13.0,12.0,30,1546,19981.0,
2025-09-19 00:00:00,13.0,13.0,0.0,0.0,13.0,12.5,34,4994,64708.0,
2025-09-18 00:00:00,12.6,13.0,0.4,3.08,13.0,11.5,36,3536,44528.3,
2025-09-17 00:00:00,13.0,12.6,-0.4,-3.17,14.0,12.0,40,4602,59191.4,
2025-09-16 00:00:00,13.94,13.0,-0.94,-7.23,14.5,12.0,47,4003,52733.0,
2025-09-12 00:00:00,14.5,13.94,-0.56,-4.02,14.0,13.94,40,1554,21729.66,
2025-09-11 00:00:00,14.0,14.5,0.5,3.45,14.5,14.0,21,2813,40649.5,
2025-09-10 00:00:00,14.0,14.0,0.0,0.0,14.0,13.25,40,5766,79744.0,
2025-09-09 00:00:00,13.5,14.0,0.5,3.57,14.0,13.3,39,7910,108210.1,
2025-09-08 00:00:00,13.5,13.5,0.0,0.0,13.5,13.0,41,4662,62739.94,
2025-09-05 00:00:00,12.0,13.5,1.5,11.11,14.15,11.5,39,18377,224361.0,
2025-09-04 00:00:00,11.5,12.0,0.5,4.17,13.15,11.5,50,7669,91425.98,
2025-09-03 00:00:00,11.5,11.5,0.0,0.0,11.5,11.5,11,1309,15053.5,
2025-09-02 00:00:00,11.0,11.5,0.5,4.35,11.5,10.3,40,11536,130006.4,
2025-09-01 00:00:00,10.5,11.0,0.5,4.55,11.5,10.27,37,2585,28556.7,
29-AUG-25,10.5,10.5,0.0,0.0,11.0,10.5,22,2873,30190.5,
28-AUG-25,10.5,10.5,0.0,0.0,10.5,10.5,25,2803,29431.5,
27-AUG-25,10.5,10.5,0.0,0.0,11.0,10.3,23,2172,22501.9,
26-AUG-25,10.5,10.5,0.0,0.0,10.5,10.25,18,3462,36349.25,
25-AUG-25,10.5,10.5,0.0,0.0,11.0,10.25,25,6493,68185.5,
22-AUG-25,11.0,10.5,-0.5,-4.76,11.0,10.5,26,31191,321078.04,
21-AUG-25,10.0,11.0,1.0,9.09,11.5,9.99,40,25436,261131.74,
20-AUG-25,9.75,10.0,0.25,2.5,11.7,9.8,30,5802,57976.5,
19-AUG-25,9.5,9.75,0.25,2.56,10.0,9.5,49,32536,315533.75,
15-AUG-25,9.5,9.5,0.0,0.0,9.5,9.49,30,8945,84930.41,
14-AUG-25,9.5,9.5,0.0,0.0,10.0,9.0,20,3682,35091.0,
13-AUG-25,9.0,9.5,0.5,5.26,9.75,9.0,36,21275,198014.05,
12-AUG-25,9.0,9.0,0.0,0.0,9.0,8.5,33,4849,43639.5,
11-AUG-25,8.9,9.0,0.1,1.11,9.0,8.1,18,3535,31715.1,
08-AUG-25,7.45,8.9,1.45,16.29,8.9,7.45,30,28681,222066.2,
07-AUG-25,7.3,7.45,0.15,2.01,7.45,7.0,22,11100,81339.2,
06-AUG-25,7.0,7.3,0.3,4.11,7.3,7.29,28,7160,52265.67,
05-AUG-25,7.0,7.0,0.0,0.0,7.48,6.95,35,12486,89050.64,
04-AUG-25,7.49,7.0,-0.49,-7.0,7.5,7.0,8,5172,36481.46,
01-AUG-25,7.49,7.49,0.0,0.0,7.8,7.2,12,2868,21814.13,
2025-07-31 00:00:00,7.49,7.49,0.0,0.0,7.49,7.48,9,1383,10357.97,
2025-07-30 00:00:00,7.49,7.49,0.0,0.0,7.49,7.49,14,2210,16552.9,
2025-07-29 00:00:00,7.5,7.49,-0.01,-0.13,7.5,7.4,12,3694,27668.93,
2025-07-28 00:00:00,7.9,7.5,-0.4,-5.33,7.9,7.0,15,2433,18129.6,
2025-07-25 00:00:00,7.5,7.9,0.4,5.06,8.0,7.5,19,2175,17026.1,
2025-07-23 00:00:00,7.45,7.5,0.05,0.67,8.0,6.5,18,3229,23534.0,
2025-07-22 00:00:00,7.5,7.45,-0.05,-0.67,7.5,6.25,23,3859,28150.05,
2025-07-21 00:00:00,6.94,7.5,0.56,7.47,7.5,6.25,23,11847,84202.46,
2025-07-18 00:00:00,6.75,6.94,0.19,2.74,6.97,6.5,23,8524,57818.1,
2025-07-17 00:00:00,6.4,6.75,0.35,5.19,6.75,6.2,15,3338,21303.75,
2025-07-16 00:00:00,6.4,6.4,0.0,0.0,6.8,6.4,21,3296,21158.0,
2025-07-15 00:00:00,6.45,6.4,-0.05,-0.78,6.45,6.2,25,3432,22021.7,
2025-07-14 00:00:00,6.45,6.45,0.0,0.0,6.45,6.43,22,4712,30332.25,
