fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
02-JAN-26,70.0,70.0,0.0,0.0,70.0,61.0,37,5322,370740.0,732317516.0
30-DEC-25,50.0,70.0,20.0,28.57,71.0,52.0,33,792,50809.6,
29-DEC-25,49.0,50.0,1.0,2.0,50.0,47.0,52,21621,1078089.0,
26-DEC-25,49.0,49.0,0.0,0.0,50.0,49.0,46,5585,278545.88,
23-DEC-25,48.0,49.0,1.0,2.04,49.97,48.0,21,536,26378.6,
22-DEC-25,47.0,48.0,1.0,2.08,49.99,45.0,44,3597,171795.9,
19-DEC-25,46.5,47.0,0.5,1.06,47.0,44.0,39,5380,245925.0,
18-DEC-25,46.99,46.5,-0.49,-1.05,46.99,46.5,19,843,39338.65,
17-DEC-25,47.0,46.99,-0.01,-0.02,47.0,45.0,41,2178,102069.44,
16-DEC-25,49.15,47.0,-2.15,-4.57,49.98,43.15,60,4888,231826.7,
15-DEC-25,49.0,49.15,0.15,0.31,51.99,45.0,39,2306,112393.73,
12-DEC-25,45.0,49.0,4.0,8.16,51.99,48.5,29,2391,119442.04,
11-DEC-25,49.95,45.0,-4.95,-11.0,51.98,43.01,22,739,33242.58,
10-DEC-25,49.99,49.95,-0.04,-0.08,49.99,43.0,37,1555,76544.58,
09-DEC-25,49.4,49.99,0.59,1.18,51.99,42.01,39,1124,56743.12,
05-DEC-25,49.0,49.4,0.4,0.81,49.97,46.0,23,764,36752.23,
04-DEC-25,49.97,49.0,-0.97,-1.98,49.95,44.5,25,169310,7620717.2,
03-DEC-25,50.0,49.97,-0.03,-0.06,51.99,48.5,35,771,38791.76,
02-DEC-25,47.98,50.0,2.02,4.04,55.0,44.0,50,30870,1423902.78,
01-DEC-25,48.5,47.98,-0.52,-1.08,49.0,43.5,38,2375,110583.62,
2025-11-28 00:00:00,46.3,48.5,2.2,4.54,48.5,46.3,22,1176,56030.86,
2025-11-27 00:00:00,46.98,46.3,-0.68,-1.47,46.99,43.5,28,2019,93509.64,
2025-11-26 00:00:00,46.99,46.98,-0.01,-0.02,48.5,45.0,29,1417,66953.76,
2025-11-25 00:00:00,46.97,46.99,0.02,0.04,48.49,44.0,40,1649,77179.58,
2025-11-21 00:00:00,47.0,46.97,-0.03,-0.06,46.99,46.0,34,1260,59095.11,
2025-11-20 00:00:00,47.0,47.0,0.0,0.0,48.0,45.0,21,828,39262.87,
2025-11-19 00:00:00,46.0,47.0,1.0,2.13,48.5,43.0,42,3191,149794.0,
2025-11-18 00:00:00,49.9,46.0,-3.9,-8.48,49.9,44.0,53,2413,113436.3,
2025-11-17 00:00:00,49.75,49.9,0.15,0.3,49.99,46.0,20,1946,96002.87,
2025-11-14 00:00:00,49.48,49.75,0.27,0.54,49.75,49.0,29,2094,103685.5,
2025-11-13 00:00:00,45.0,49.48,4.48,9.05,50.0,45.0,25,1624,77487.55,
2025-11-12 00:00:00,47.74,45.0,-2.74,-6.09,53.0,45.0,31,21353,973163.26,
2025-11-11 00:00:00,47.9,47.74,-0.16,-0.34,48.99,47.74,30,1185,56750.37,
2025-11-10 00:00:00,48.99,47.9,-1.09,-2.28,48.99,46.0,24,1076,51544.98,
2025-11-07 00:00:00,48.99,48.99,0.0,0.0,48.99,46.0,41,1969,93064.43,
2025-11-06 00:00:00,48.5,48.99,0.49,1.0,48.99,46.0,30,2163,105515.89,
2025-11-05 00:00:00,48.0,48.5,0.5,1.03,50.0,46.0,34,1901,92151.99,
2025-11-04 00:00:00,48.0,48.0,0.0,0.0,50.0,45.0,51,2220,107361.3,
2025-11-03 00:00:00,46.45,48.0,1.55,3.23,50.0,42.01,43,2517,120592.67,
2025-10-31 00:00:00,44.0,46.45,2.45,5.27,49.0,42.03,33,1550,71757.5,
2025-10-30 00:00:00,50.0,44.0,-6.0,-13.64,54.85,44.0,54,53665,2434359.93,
2025-10-29 00:00:00,52.0,50.0,-2.0,-4.0,54.85,49.95,36,2808,144387.6,
2025-10-28 00:00:00,52.5,52.0,-0.5,-0.96,55.0,52.0,28,3145,164292.45,
2025-10-27 00:00:00,54.99,52.5,-2.49,-4.74,59.99,50.0,18,1159,61159.8,
2025-10-24 00:00:00,54.99,54.99,0.0,0.0,55.0,50.0,21,600,32921.83,
2025-10-23 00:00:00,47.0,54.99,7.99,14.53,55.0,48.0,30,845,45259.9,
2025-10-22 00:00:00,50.0,47.0,-3.0,-6.38,52.0,45.01,31,4471,208724.77,
2025-10-21 00:00:00,45.9,50.0,4.1,8.2,53.0,45.5,49,6011,311869.0,
2025-10-17 00:00:00,46.5,45.9,-0.6,-1.31,47.0,43.23,54,3625,165982.73,
2025-10-16 00:00:00,45.0,46.5,1.5,3.23,47.0,45.0,42,1996,92971.95,
2025-10-15 00:00:00,46.0,45.0,-1.0,-2.22,47.0,43.05,44,2529,113653.4,
2025-10-14 00:00:00,47.0,46.0,-1.0,-2.17,47.0,44.0,39,5832,267926.0,
2025-10-13 00:00:00,46.5,47.0,0.5,1.06,48.0,40.0,27,6061,284613.0,
2025-10-10 00:00:00,46.1,46.5,0.4,0.86,48.0,41.0,37,3914,182994.77,
2025-10-09 00:00:00,47.0,46.1,-0.9,-1.95,47.0,45.0,26,6299,290855.48,
2025-10-08 00:00:00,46.99,47.0,0.01,0.02,48.0,46.0,28,2222,104623.0,
2025-10-07 00:00:00,42.0,46.99,4.99,10.62,48.0,42.5,23,3247,146516.66,
2025-10-06 00:00:00,45.0,42.0,-3.0,-7.14,44.0,41.99,39,4001,170273.89,
2025-10-03 00:00:00,45.0,45.0,0.0,0.0,51.88,44.11,27,4820,219524.43,
2025-10-02 00:00:00,54.0,45.0,-9.0,-20.0,53.0,45.0,37,4067,189970.34,
2025-10-01 00:00:00,45.25,54.0,8.75,16.2,54.0,43.0,60,4167,196596.39,
2025-09-30 00:00:00,50.0,45.25,-4.75,-10.5,51.86,43.02,33,3294,153510.57,
2025-09-29 00:00:00,52.0,50.0,-2.0,-4.0,51.88,43.0,33,1371,68349.28,
2025-09-26 00:00:00,52.8,52.0,-0.8,-1.54,52.99,45.0,43,7289,341899.25,
2025-09-25 00:00:00,53.39,52.8,-0.59,-1.12,53.4,45.0,67,28430,1305568.83,
2025-09-24 00:00:00,53.3,53.39,0.09,0.17,53.97,49.0,26,2178,112139.13,
2025-09-23 00:00:00,53.96,53.3,-0.66,-1.24,53.97,49.0,27,914,48729.34,
2025-09-22 00:00:00,53.8,53.96,0.16,0.3,54.99,45.0,60,4324,219286.84,
2025-09-19 00:00:00,54.89,53.8,-1.09,-2.03,55.0,46.0,42,3670,197619.21,
2025-09-18 00:00:00,55.0,54.89,-0.11,-0.2,55.74,54.88,32,1129,62023.02,
2025-09-17 00:00:00,55.89,55.0,-0.89,-1.62,55.85,48.5,45,1290,70802.4,
2025-09-16 00:00:00,53.49,55.89,2.4,4.29,58.0,53.0,53,1648,92868.02,
2025-09-12 00:00:00,53.51,53.49,-0.02,-0.04,53.51,50.0,48,4301,228304.2,
2025-09-11 00:00:00,58.5,53.51,-4.99,-9.33,58.0,47.51,41,2093,115645.26,
2025-09-10 00:00:00,58.9,58.5,-0.4,-0.68,59.0,58.0,42,2693,158258.1,
2025-09-09 00:00:00,59.0,58.9,-0.1,-0.17,59.0,51.0,43,2266,133505.6,
2025-09-08 00:00:00,61.0,59.0,-2.0,-3.39,63.6,50.0,50,1603,94867.25,
2025-09-05 00:00:00,53.0,61.0,8.0,13.11,61.5,51.5,52,3799,207437.29,
2025-09-04 00:00:00,45.0,53.0,8.0,15.09,53.0,45.36,54,7920,384822.81,
2025-09-03 00:00:00,41.75,45.0,3.25,7.22,45.0,41.74,27,3749,158683.32,
2025-09-02 00:00:00,40.5,41.75,1.25,2.99,41.85,39.5,33,3476,145047.75,
