fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
2-JAN-26,230.0,237.0,7.0,2.95,250.0,205.0,23,673,156444.0,152986904.0
30-DEC-25,200.0,230.0,30.0,13.04,239.5,190.0,33,2485,568105.0,
29-DEC-25,169.0,200.0,31.0,15.5,200.0,137.56,27,483,94416.8,
26-DEC-25,170.0,169.0,-1.0,-0.59,169.99,155.0,28,497,84191.16,
23-DEC-25,169.0,170.0,1.0,0.59,183.0,150.0,12,188,32752.89,
22-DEC-25,169.0,169.0,0.0,0.0,179.97,137.01,28,1675,287739.91,
19-DEC-25,154.9,169.0,14.1,8.34,180.0,145.0,29,1297,207442.3,
18-DEC-25,154.9,154.9,0.0,0.0,154.9,154.0,10,583,89968.3,
17-DEC-25,154.99,154.9,-0.09,-0.06,154.99,140.0,18,493,76286.88,
16-DEC-25,140.0,154.99,14.99,9.67,154.99,148.01,29,678,103772.9,
15-DEC-25,145.0,140.0,-5.0,-3.57,145.0,125.01,22,677,95991.24,
12-DEC-25,155.0,145.0,-10.0,-6.9,150.0,143.0,20,930,135141.92,
11-DEC-25,157.0,155.0,-2.0,-1.29,164.99,143.0,20,396,59147.85,
10-DEC-25,167.5,157.0,-10.5,-6.69,165.0,154.0,31,721,112962.68,
09-DEC-25,160.0,167.5,7.5,4.48,170.0,131.04,36,2025,320234.58,
05-DEC-25,160.0,160.0,0.0,0.0,161.0,150.01,14,118,18790.1,
04-DEC-25,160.0,160.0,0.0,0.0,161.0,153.0,28,2173,341102.0,
03-DEC-25,153.0,160.0,7.0,4.38,161.0,153.01,16,164,25956.39,
02-DEC-25,160.0,153.0,-7.0,-4.58,168.0,153.0,27,711,112762.0,
01-DEC-25,160.0,160.0,0.0,0.0,180.0,155.0,22,413,68368.0,
2025-11-28 00:00:00,165.0,160.0,-5.0,-3.13,170.0,153.01,34,1977,307588.55,
2025-11-27 00:00:00,155.08,165.0,9.92,6.01,170.0,150.0,25,564,90985.5,
2025-11-26 00:00:00,173.95,155.08,-18.87,-12.17,173.94,140.0,34,1235,198199.28,
2025-11-25 00:00:00,156.0,173.95,17.95,10.32,187.0,160.0,28,3513,648553.0,
2025-11-21 00:00:00,162.0,156.0,-6.0,-3.85,167.0,156.0,14,302,48055.0,
2025-11-20 00:00:00,169.9,162.0,-7.9,-4.88,170.0,162.0,31,1232,203263.9,
2025-11-19 00:00:00,175.0,169.9,-5.1,-3.0,180.0,155.0,19,388,66955.4,
2025-11-18 00:00:00,188.0,175.0,-13.0,-7.43,180.0,150.5,43,682,119559.5,
2025-11-17 00:00:00,185.0,188.0,3.0,1.6,188.98,149.02,9,123,22258.02,
2025-11-14 00:00:00,170.0,185.0,15.0,8.11,188.98,140.02,15,289,52105.62,
2025-11-13 00:00:00,170.0,170.0,0.0,0.0,189.0,137.03,22,686,124954.8,
2025-11-12 00:00:00,170.0,170.0,0.0,0.0,177.0,140.03,15,377,64925.12,
2025-11-11 00:00:00,176.68,170.0,-6.68,-3.93,190.0,150.0,26,3174,490861.98,
2025-11-10 00:00:00,188.9,176.68,-12.22,-6.92,198.99,176.68,18,416,80435.25,
2025-11-07 00:00:00,189.5,188.9,-0.6,-0.32,199.0,185.0,27,569,106383.2,
2025-11-06 00:00:00,199.0,189.5,-9.5,-5.01,200.0,180.0,23,1004,198635.0,
2025-11-05 00:00:00,174.0,199.0,25.0,12.56,208.0,179.99,16,363,68449.61,
2025-11-04 00:00:00,173.9,174.0,0.1,0.06,174.99,145.0,39,820,142687.86,
2025-11-03 00:00:00,174.95,173.9,-1.05,-0.6,174.99,145.0,23,383,59079.27,
2025-10-31 00:00:00,173.9,174.95,1.05,0.6,175.0,150.0,30,696,120173.8,
2025-10-30 00:00:00,150.0,173.9,23.9,13.74,175.0,140.0,31,536,90641.6,
2025-10-29 00:00:00,169.99,150.0,-19.99,-13.33,174.0,150.0,22,9600,1447758.35,
2025-10-28 00:00:00,170.0,169.99,-0.01,-0.01,190.0,160.0,23,305,52399.89,
2025-10-27 00:00:00,187.0,170.0,-17.0,-10.0,190.0,153.0,17,5311,877501.95,
2025-10-24 00:00:00,185.0,187.0,2.0,1.07,187.5,175.0,15,858,157013.32,
2025-10-23 00:00:00,180.0,185.0,5.0,2.7,185.0,170.0,32,696,125472.02,
2025-10-22 00:00:00,179.0,180.0,1.0,0.56,180.0,161.0,25,781,138900.0,
2025-10-21 00:00:00,170.0,179.0,9.0,5.03,189.0,150.0,37,1401,241662.0,
2025-10-17 00:00:00,180.0,170.0,-10.0,-5.88,185.0,160.0,34,1069,191658.75,
2025-10-16 00:00:00,173.0,180.0,7.0,3.89,180.0,173.0,34,2459,437915.0,
2025-10-15 00:00:00,175.0,173.0,-2.0,-1.16,175.0,160.0,30,2851,490833.0,
2025-10-14 00:00:00,170.0,175.0,5.0,2.86,180.0,160.0,25,2635,459656.0,
2025-10-13 00:00:00,175.0,170.0,-5.0,-2.94,180.0,160.0,30,3773,631108.0,
2025-10-10 00:00:00,172.55,175.0,2.45,1.4,180.0,170.0,23,717,128220.0,
2025-10-09 00:00:00,180.0,172.55,-7.45,-4.32,180.0,155.0,23,379,67025.9,
2025-10-08 00:00:00,170.0,180.0,10.0,5.56,180.0,160.0,37,2106,352855.0,
2025-10-07 00:00:00,180.0,170.0,-10.0,-5.88,189.0,155.0,24,449,75798.0,
2025-10-06 00:00:00,165.0,180.0,15.0,8.33,189.0,152.1,35,2536,420366.2,
2025-10-03 00:00:00,190.0,165.0,-25.0,-15.15,200.0,160.0,40,2240,393532.7,
2025-10-02 00:00:00,190.0,190.0,0.0,0.0,190.0,170.0,25,261,49060.0,
2025-10-01 00:00:00,185.0,190.0,5.0,2.63,215.0,150.0,39,1101,197175.0,
2025-09-30 00:00:00,193.0,185.0,-8.0,-4.32,195.0,170.0,32,740,139295.0,
2025-09-29 00:00:00,195.0,193.0,-2.0,-1.04,218.0,171.0,27,539,107463.0,
2025-09-26 00:00:00,200.0,195.0,-5.0,-2.56,220.0,175.0,25,807,159508.91,
2025-09-25 00:00:00,200.0,200.0,0.0,0.0,220.0,170.05,20,405,82181.13,
2025-09-24 00:00:00,210.0,200.0,-10.0,-5.0,210.0,194.0,27,321,65498.0,
