fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo
05-JAN-26,72.0,86.3.1,5.69,86.3,83.7,25,7.425,633573.7
02-JAN-26,67.9,72,4.1,5.69,73,63.05,114,16447,1173105.85
30-DEC-25,67,67.9,0.9,1.33,70,55,124,10141,679579.5
29-DEC-25,49.5,67,17.5,26.12,67,50,139,31025,1686975.14
26-DEC-25,49.5,49.5,0,0,52,45.5,135,24691,1229811.97
23-DEC-25,49.5,49.5,0,0,51.5,48.57,127,18783,930978.22
22-DEC-25,52.48,49.5,-2.98,-6.02,53.5,49,160,27411,1395247.73
19-DEC-25,50,52.48,2.48,4.73,53,50,129,18624,966341.34
18-DEC-25,48,50,2,4,55,48,61,15961,809137
17-DEC-25,49.09,48,-1.09,-2.27,49.69,47.15,156,17208,825683.79
16-DEC-25,49.1,49.09,-0.01,-0.02,50,47.15,156,15001,736961.15
15-DEC-25,50,49.1,-0.9,-1.83,53,47.15,125,23457,1161261.74
12-DEC-25,51,50,-1,-2,51.99,50,97,10053,509390.33
11-DEC-25,51.9,51,-0.9,-1.76,54.99,50.1,100,17137,884573.2
10-DEC-25,50,51.9,1.9,3.66,57.99,49,111,13239,677512.01
09-DEC-25,52,50,-2,-4,58.24,47,173,25369,1269879.67
05-DEC-25,53.5,52,-1.5,-2.88,54,48,148,15959,828894.5
04-DEC-25,55,53.5,-1.5,-2.8,55,53.5,109,13980,755962.3
03-DEC-25,52.97,55,2.03,3.69,58,48.5,102,10610,571702.55
02-DEC-25,54.5,52.97,-1.53,-2.89,54.75,51,138,24863,1307009.88
01-DEC-25,54.35,54.5,0.15,0.28,59.98,53.55,150,13163,721815.24
2025-11-28 00:00:00,55.4,54.35,-1.05,-1.93,55.4,53.15,114,11213,616726.87
2025-11-27 00:00:00,55.2,55.4,0.2,0.36,58,55,84,9659,539481.99
2025-11-26 00:00:00,54.7,55.2,0.5,0.91,56.45,53,114,14221,784904.8
2025-11-25 00:00:00,56.25,54.7,-1.55,-2.83,58,52,165,21251,1166016.87
2025-11-21 00:00:00,61.95,56.25,-5.7,-10.13,61.72,55.05,110,9006,519223.51
2025-11-20 00:00:00,56.89,61.95,5.06,8.17,62,54,97,16474,954499.49
2025-11-19 00:00:00,57.8,56.89,-0.91,-1.6,60.25,55,151,12846,736301.2
2025-11-18 00:00:00,60.5,57.8,-2.7,-4.67,61,55,178,13688,800857.63
2025-11-17 00:00:00,62,60.5,-1.5,-2.48,62,58.15,86,8896,545147.6
2025-11-14 00:00:00,61.9,62,0.1,0.16,65,56,103,18097,1091804.05
2025-11-13 00:00:00,57,61.9,4.9,7.92,61.9,57.5,107,22269,1358140.72
2025-11-12 00:00:00,56,57,1,1.75,57.99,55,92,13614,774691.38
2025-11-11 00:00:00,56,56,0,0,59,54.1,111,51429,2918968.06
2025-11-10 00:00:00,55,56,1,1.79,56.99,54,134,67766,3778234.13
2025-11-07 00:00:00,56.39,55,-1.39,-2.53,56.99,54.16,133,11046,619472.78
2025-11-06 00:00:00,56.5,56.39,-0.11,-0.2,59.98,54,84,5888,332596.53
2025-11-05 00:00:00,54.75,56.5,1.75,3.1,63.95,53.05,112,28044,1551906.19
2025-11-04 00:00:00,54.06,54.75,0.69,1.26,55.5,50.75,155,50317,2725565.11
2025-11-03 00:00:00,55.5,54.06,-1.44,-2.66,57,54,144,19239,1063889.85
2025-10-31 00:00:00,55,55.5,0.5,0.9,57.95,54,119,19669,1089710.45
2025-10-30 00:00:00,55.9,55,-0.9,-1.64,55.9,53.15,115,24055,1320106.21
2025-10-29 00:00:00,56,55.9,-0.1,-0.18,57.99,55,110,22994,1296725.41
2025-10-28 00:00:00,56.38,56,-0.38,-0.68,58,55.5,123,29866,1690864.35
2025-10-27 00:00:00,56,56.38,0.38,0.67,56.5,53,127,34459,1896336.52
2025-10-24 00:00:00,56.5,56,-0.5,-0.89,57.83,55,131,22171,1245300.76
2025-10-23 00:00:00,48.99,56.5,7.51,13.29,58,49,124,36623,2012082.99
2025-10-22 00:00:00,49,48.99,-0.01,-0.02,50,48.5,130,37357,1825900.66
2025-10-21 00:00:00,49.4,49,-0.4,-0.82,52,48,234,57172,2885601.04
2025-10-17 00:00:00,46,49.4,3.4,6.88,49.5,46,160,51018,2437432.32
2025-10-16 00:00:00,40,46,6,13.04,47,40.5,151,73255,3130923.45
2025-10-15 00:00:00,34,40,6,15,40,34.5,113,75570,2870775.88
2025-10-14 00:00:00,32.9,34,1.1,3.24,34.5,32.5,109,76192,2548899.5
2025-10-13 00:00:00,31.99,32.9,0.91,2.77,33,31.5,101,42369,1368809.5
2025-10-10 00:00:00,31.1,31.99,0.89,2.78,32.95,31.5,89,10295,327167.22
2025-10-09 00:00:00,31.5,31.1,-0.4,-1.29,33,30.7,94,87565,2776767.6
2025-10-08 00:00:00,31.69,31.5,-0.19,-0.6,31.75,30.15,109,22842,718843.39
2025-10-07 00:00:00,31.5,31.69,0.19,0.6,32,30.5,80,11781,364902.76
2025-10-06 00:00:00,32,31.5,-0.5,-1.59,32,30.15,98,18977,589274.2
2025-10-03 00:00:00,30.75,32,1.25,3.91,32.49,30,106,78750,2475683.09
2025-10-02 00:00:00,30.99,30.75,-0.24,-0.78,30.99,29.85,113,11458,353787.64
