fecha,Apert.,Cierre,Abs.,Rel.(%),Max.,Min.,operación,titulos,efectivo,acciones
02-JAN-26,6.99,7.55,0.56,7.42,8.0,7.0,96,36095,264401.22,1188344665.0
30-DEC-25,7.0,6.99,-0.01,-0.14,7.0,6.51,81,30572,212827.06,
29-DEC-25,6.1,7.0,0.9,12.86,7.0,6.1,71,14114,97686.14,
26-DEC-25,6.0,6.1,0.1,1.64,6.79,6.0,78,35035,213372.03,
23-DEC-25,6.45,6.0,-0.45,-7.5,6.35,5.99,56,18894,115325.79,
22-DEC-25,6.0,6.45,0.45,6.98,7.19,6.0,51,7152,47593.58,
19-DEC-25,5.81,6.0,0.19,3.17,6.23,5.5,48,13898,83398.84,
18-DEC-25,5.82,5.81,-0.01,-0.17,6.23,5.8,22,12614,74066.17,
17-DEC-25,5.84,5.82,-0.02,-0.34,5.82,5.8,54,15454,89906.28,
16-DEC-25,5.79,5.84,0.05,0.86,6.29,5.0,67,12594,73567.61,
15-DEC-25,5.8,5.79,-0.01,-0.17,6.0,5.5,62,30406,178696.7,
12-DEC-25,5.98,5.8,-0.18,-3.1,6.5,5.5,53,40096,230616.09,
11-DEC-25,6.2,5.98,-0.22,-3.68,6.9,5.85,54,11630,73719.85,
10-DEC-25,6.85,6.2,-0.65,-10.48,7.1,6.1,53,7352,48062.9,
09-DEC-25,6.95,6.85,-0.1,-1.46,7.9,6.5,51,10367,71989.15,
05-DEC-25,6.68,6.95,0.27,3.88,7.0,6.8,44,6412,44242.6,
04-DEC-25,6.77,6.68,-0.09,-1.35,6.85,6.0,38,6300,42397.0,
03-DEC-25,6.5,6.77,0.27,3.99,6.85,6.0,49,26860,175834.25,
02-DEC-25,6.45,6.5,0.05,0.77,7.35,6.0,63,49296,305779.1,
01-DEC-25,6.65,6.45,-0.2,-3.1,7.0,5.9,82,19338,125024.13,
2025-11-28 00:00:00,6.65,6.65,0.0,0.0,7.0,6.0,62,26110,173888.27,
2025-11-27 00:00:00,6.9,6.65,-0.25,-3.76,7.0,6.51,55,8725,59680.91,
2025-11-26 00:00:00,6.9,6.9,0.0,0.0,7.5,6.79,54,22386,162714.6,
2025-11-25 00:00:00,6.9,6.9,0.0,0.0,8.0,6.5,83,27490,195952.2,
2025-11-21 00:00:00,7.5,6.9,-0.6,-8.7,7.5,6.75,65,17048,123299.13,
2025-11-20 00:00:00,7.0,7.5,0.5,6.67,8.05,6.7,73,13060,99444.21,
2025-11-19 00:00:00,7.5,7.0,-0.5,-7.14,7.8,7.0,79,22849,164927.4,
2025-11-18 00:00:00,7.45,7.5,0.05,0.67,8.05,6.65,120,26720,198214.8,
2025-11-17 00:00:00,7.5,7.45,-0.05,-0.67,8.4,7.0,57,9749,73368.99,
2025-11-14 00:00:00,7.8,7.5,-0.3,-4.0,8.99,6.5,76,19176,149366.75,
2025-11-13 00:00:00,7.0,7.8,0.8,10.26,8.0,6.0,81,12313,91791.8,
2025-11-12 00:00:00,7.3,7.0,-0.3,-4.29,8.95,7.0,103,35941,276876.2,
2025-11-11 00:00:00,8.0,7.3,-0.7,-9.59,8.99,7.0,59,11516,88395.44,
2025-11-10 00:00:00,7.8,8.0,0.2,2.5,9.3,7.7,90,12408,99067.7,
2025-11-07 00:00:00,7.91,7.8,-0.11,-1.41,8.0,7.78,90,16828,132671.07,
2025-11-06 00:00:00,7.83,7.91,0.08,1.01,8.45,7.9,79,20106,163640.52,
