Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2026-01-05,300.6,303.9,300.6,303.3,0
2026-01-02,294.2,297.4,294.2,294.2,0
2025-12-31,294.2,297.4,294.2,294.2,0
2025-12-30,287.7,294.2,287.7,287.7,0
2025-12-29,287.7,287.7,287.7,287.7,0
2025-12-26,284.8,287.7,284.8,281.8,0
2025-12-24,284.8,287.7,284.8,281.8,0
2025-12-23,284.8,284.8,284.8,281.8,0
2025-12-22,281.8,281.8,281.8,281.8,0
2025-12-19,278.9,278.9,278.9,275.9,0
2025-12-18,272.9,275.9,272.9,272.9,0
2025-12-17,272.9,272.9,272.9,272.9,0
2025-12-16,267.1,267.1,267.1,264.4,0
2025-12-15,267.1,267.1,267.1,264.4,0
2025-12-12,257.3,264.4,257.3,257.3,0
2025-12-11,257.3,257.3,257.3,257.3,0
2025-12-10,257.3,257.3,257.3,257.3,0
2025-12-09,257.3,257.3,257.3,257.3,0
2025-12-08,254.2,254.2,254.2,248.6,0
2025-12-05,248.6,248.6,248.6,248.6,0
2025-12-04,248.6,248.6,248.6,248.6,0
2025-12-03,246.8,246.8,246.8,246.8,0
2025-12-02,245.1,246.7,245.1,245.1,0
2025-12-01,243.0,245.1,243.0,243.0,0
2025-11-28,243.0,243.0,243.0,243.0,0
2025-11-27,243.0,243.0,243.0,242.5,0
2025-11-26,243.0,243.0,243.0,242.5,0
2025-11-25,242.5,242.5,242.5,242.5,0
2025-11-24,237.2,241.0,237.2,237.2,0
2025-11-21,237.2,237.2,237.2,237.2,0
2025-11-20,236.2,237.2,236.2,236.2,0
2025-11-19,236.2,236.2,236.2,236.2,0
2025-11-18,235.9,235.9,235.9,235.9,0
2025-11-17,235.9,235.9,235.9,233.0,0
2025-11-14,233.0,233.0,233.0,233.0,0
2025-11-13,227.9,233.0,227.9,230.5,0
2025-11-12,230.5,230.5,230.5,227.9,0
2025-11-11,230.5,230.5,230.5,227.9,0
2025-11-10,227.9,227.9,227.9,227.0,0
2025-11-07,227.9,227.9,227.9,227.0,0
2025-11-06,227.0,227.0,227.0,223.4,0
2025-11-05,223.4,223.4,223.4,223.4,0
2025-11-04,223.4,223.4,223.4,221.2,0
2025-11-03,221.2,221.2,221.2,221.2,0
2025-10-31,221.2,221.2,221.2,221.2,0
2025-10-30,217.6,219.3,217.6,217.6,0
2025-10-29,217.6,217.6,217.6,217.6,0
2025-10-28,211.9,211.9,211.9,211.9,0
2025-10-27,211.9,211.9,211.9,211.9,0
2025-10-24,212.0,212.0,212.0,209.8,0
2025-10-23,207.4,209.8,207.4,205.2,0
2025-10-22,207.4,207.4,207.4,205.2,0
2025-10-21,205.2,205.2,205.2,205.2,0
2025-10-20,203.2,203.2,203.2,201.0,0
2025-10-17,201.0,201.0,201.0,201.0,0
2025-10-16,201.0,201.0,201.0,201.0,0
2025-10-15,192.8,192.8,192.8,196.8,0
2025-10-14,192.8,192.8,192.8,192.8,0
2025-10-13,192.8,192.8,192.8,188.8,0
2025-10-10,188.8,188.8,188.8,184.9,0
2025-10-09,188.8,188.8,188.8,184.9,0
2025-10-08,188.8,188.8,188.8,184.9,0
2025-10-07,184.9,184.9,184.9,184.9,0
2025-10-06,182.7,184.9,182.7,180.9,0
2025-10-03,182.7,182.7,182.7,180.9,0
2025-10-02,180.9,180.9,180.9,177.2,0
2025-10-01,177.2,177.2,177.2,177.2,0
2025-09-30,175.2,175.2,175.2,175.2,0
2025-09-29,173.3,173.3,173.3,173.3,0
2025-09-26,169.6,169.6,169.6,169.6,0
2025-09-25,169.6,169.6,169.6,168.0,0
2025-09-24,169.6,169.6,169.6,168.0,0
2025-09-23,163.2,163.2,163.2,163.2,0
2025-09-22,163.2,163.2,163.2,163.2,0
2025-09-19,163.2,163.2,163.2,160.0,0
2025-09-18,160.0,160.0,160.0,160.0,0
2025-09-17,160.0,160.0,160.0,160.0,0
2025-09-16,160.0,160.0,160.0,158.5,0
2025-09-15,157.3,158.5,157.3,157.3,0
2025-09-12,157.3,157.3,157.3,156.0,0
2025-09-11,156.0,156.0,156.0,154.4,0
