Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,-6.881,-6.881,-6.881,-6.881
2023-03-08,-6.938,-6.938,-6.938,-6.938
2023-03-09,-6.826,-6.826,-6.826,-6.826
2023-03-10,-7.025,-7.025,-7.025,-7.025
2023-03-13,-7.274,-7.274,-7.274,-7.274
2023-03-14,-7.303,-7.303,-7.303,-7.303
2023-03-15,-7.025,-7.025,-7.025,-7.025
2023-03-16,-7.138,-7.138,-7.138,-7.138
2023-03-17,-6.912,-6.912,-6.912,-6.912
2023-03-20,-6.799,-6.799,-6.799,-6.799
2023-03-21,-6.741,-6.741,-6.741,-6.741
2023-03-22,-6.741,-6.741,-6.741,-6.741
2023-03-23,-6.799,-6.799,-6.799,-6.799
2023-03-24,-6.828,-6.828,-6.828,-6.828
2023-03-27,-6.772,-6.772,-6.772,-6.772
2023-03-28,-6.827,-6.827,-6.827,-6.827
2023-03-29,-6.798,-6.798,-6.798,-6.798
2023-03-30,-6.770,-6.770,-6.770,-6.770
2023-03-31,-6.799,-6.799,-6.799,-6.799
2023-04-03,-6.381,-6.381,-6.381,-6.381
2023-04-04,-6.604,-6.604,-6.604,-6.604
2023-04-05,-6.381,-6.381,-6.381,-6.381
2023-04-10,-6.381,-6.381,-6.381,-6.381
2023-04-11,-6.660,-6.660,-6.660,-6.660
2023-04-12,-6.436,-6.436,-6.436,-6.436
2023-04-13,-6.520,-6.520,-6.520,-6.520
2023-04-14,-6.463,-6.463,-6.463,-6.463
2023-04-17,-6.245,-6.245,-6.245,-6.245
2023-04-18,-6.465,-6.465,-6.465,-6.465
2023-04-20,-6.633,-6.633,-6.633,-6.633
2023-04-21,-6.882,-6.882,-6.882,-6.882
2023-04-24,-6.743,-6.743,-6.743,-6.743
2023-04-25,-6.606,-6.606,-6.606,-6.606
2023-04-26,-6.577,-6.577,-6.577,-6.577
2023-04-27,-6.577,-6.577,-6.577,-6.577
2023-04-28,-6.551,-6.551,-6.551,-6.551
2023-05-02,-6.854,-6.854,-6.854,-6.854
2023-05-03,-6.854,-6.854,-6.854,-6.854
2023-05-04,-6.960,-6.960,-6.960,-6.960
2023-05-05,-6.904,-6.904,-6.904,-6.904
2023-05-08,-7.312,-7.312,-7.312,-7.312
2023-05-09,-7.528,-7.528,-7.528,-7.528
2023-05-10,-7.500,-7.500,-7.500,-7.500
2023-05-11,-7.418,-7.418,-7.418,-7.418
2023-05-12,-6.745,-6.745,-6.745,-6.745
2023-05-15,-6.610,-6.610,-6.610,-6.610
2023-05-16,-6.504,-6.504,-6.504,-6.504
2023-05-17,-6.453,-6.453,-6.453,-6.453
2023-05-18,-6.398,-6.398,-6.398,-6.398
2023-05-19,-6.374,-6.374,-6.374,-6.374
2023-05-23,-6.197,-6.197,-6.197,-6.197
2023-05-24,-6.247,-6.247,-6.247,-6.247
2023-05-25,-6.223,-6.223,-6.223,-6.223
2023-05-26,-6.277,-6.277,-6.277,-6.277
2023-05-29,-6.900,-6.900,-6.900,-6.900
2023-05-30,-6.250,-6.250,-6.250,-6.250
2023-05-31,-6.613,-6.613,-6.613,-6.613
2023-06-01,-6.693,-6.693,-6.693,-6.693
2023-06-02,-6.797,-6.797,-6.797,-6.797
2023-06-05,-6.617,-6.617,-6.617,-6.617
2023-06-06,-6.592,-6.592,-6.592,-6.592
2023-06-07,-6.466,-6.466,-6.466,-6.466
2023-06-08,-6.515,-6.515,-6.515,-6.515
2023-06-13,-6.291,-6.291,-6.291,-6.291
2023-06-14,-6.219,-6.219,-6.219,-6.219
2023-06-15,-6.219,-6.219,-6.219,-6.219
2023-06-16,-6.393,-6.393,-6.393,-6.393
2023-06-20,-6.716,-6.716,-6.716,-6.716
2023-06-21,-6.199,-6.199,-6.199,-6.199
2023-06-22,-6.173,-6.173,-6.173,-6.173
2023-06-23,-6.007,-6.007,-6.007,-6.007
2023-06-26,-6.099,-6.099,-6.099,-6.099
2023-06-27,-5.935,-5.935,-5.935,-5.935
2023-06-28,-6.156,-6.156,-6.156,-6.156
2023-06-29,-6.209,-6.209,-6.209,-6.209
2023-06-30,-6.406,-6.406,-6.406,-6.406
2023-07-04,-6.331,-6.331,-6.331,-6.331
2023-07-06,-5.783,-5.783,-5.783,-5.783
2023-07-07,-6.096,-6.096,-6.096,-6.096
2023-07-10,-6.337,-6.337,-6.337,-6.337
2023-07-11,-6.316,-6.316,-6.316,-6.316
2023-07-12,-6.025,-6.025,-6.025,-6.025
2023-07-13,-6.338,-6.338,-6.338,-6.338
2023-07-14,-6.530,-6.530,-6.530,-6.530
2023-07-17,-6.936,-6.936,-6.936,-6.936
2023-07-18,-6.912,-6.912,-6.912,-6.912
2023-07-19,-6.745,-6.745,-6.745,-6.745
2023-07-20,0.382,0.382,0.382,0.382
2023-07-21,0.382,0.382,0.382,0.382
2023-07-25,0.372,0.372,0.372,0.372
2023-07-26,0.355,0.355,0.355,0.355
2023-07-27,0.346,0.346,0.346,0.346
2023-07-28,0.342,0.342,0.342,0.342
2023-07-31,0.356,0.356,0.356,0.356
2023-08-01,0.347,0.347,0.347,0.347
2023-08-02,0.330,0.330,0.330,0.330
2023-08-03,0.367,0.367,0.367,0.367
2023-08-04,0.353,0.353,0.353,0.353
2023-08-07,0.349,0.349,0.349,0.349
2023-08-08,0.373,0.373,0.373,0.373
2023-08-09,0.353,0.353,0.353,0.353
2023-08-10,0.342,0.342,0.342,0.342
2023-08-11,0.349,0.349,0.349,0.349
2023-08-15,0.357,0.357,0.357,0.357
2023-08-16,0.338,0.338,0.338,0.338
2023-08-17,0.341,0.341,0.341,0.341
2023-08-18,0.356,0.356,0.356,0.356
2023-08-21,0.349,0.349,0.349,0.349
2023-08-22,0.340,0.340,0.340,0.340
2023-08-23,0.340,0.340,0.340,0.340
2023-08-24,0.340,0.340,0.340,0.340
2023-08-25,0.352,0.352,0.352,0.352
2023-08-28,0.352,0.352,0.352,0.352
2023-08-29,0.349,0.349,0.349,0.349
2023-08-30,0.352,0.352,0.352,0.352
2023-08-31,0.352,0.352,0.352,0.352
2023-09-01,0.365,0.365,0.365,0.365
2023-09-04,0.365,0.365,0.365,0.365
2023-09-05,0.358,0.358,0.358,0.358
2023-09-06,0.358,0.358,0.358,0.358
2023-09-07,0.359,0.359,0.359,0.359
2023-09-08,0.352,0.352,0.352,0.352
2023-09-12,0.342,0.342,0.342,0.342
2023-09-13,0.336,0.336,0.336,0.336
2023-09-14,0.336,0.336,0.336,0.336
2023-09-15,0.341,0.341,0.341,0.341
2023-09-18,0.341,0.341,0.341,0.341
2023-09-19,0.335,0.335,0.335,0.335
2023-09-20,0.332,0.332,0.332,0.332
2023-09-21,0.332,0.332,0.332,0.332
2023-09-22,0.322,0.322,0.322,0.322
2023-09-25,0.322,0.322,0.322,0.322
2023-09-26,0.330,0.330,0.330,0.330
2023-09-27,0.329,0.329,0.329,0.329
2023-09-28,0.327,0.327,0.327,0.327
2023-09-29,0.339,0.339,0.339,0.339
2023-10-02,0.351,0.351,0.351,0.351
2023-10-03,0.346,0.346,0.346,0.346
2023-10-04,0.343,0.343,0.343,0.343
2023-10-05,-0.012,-0.012,-0.012,-0.012
2023-10-06,-0.012,-0.012,-0.012,-0.012
2023-10-09,-0.012,-0.012,-0.012,-0.012
2023-10-10,-0.012,-0.012,-0.012,-0.012
2023-10-11,-0.012,-0.012,-0.012,-0.012
2023-10-13,-0.011,-0.011,-0.011,-0.011
2023-10-16,-0.011,-0.011,-0.011,-0.011
2023-10-17,-0.011,-0.011,-0.011,-0.011
2023-10-18,-0.011,-0.011,-0.011,-0.011
2023-10-19,-0.014,-0.014,-0.014,-0.014
2023-10-20,-0.014,-0.014,-0.014,-0.014
2023-10-23,-0.017,-0.017,-0.017,-0.017
2023-10-24,-0.014,-0.014,-0.014,-0.014
2023-10-25,-0.014,-0.014,-0.014,-0.014
2023-10-26,-0.014,-0.014,-0.014,-0.014
2023-10-27,-0.014,-0.014,-0.014,-0.014
2023-10-31,-0.014,-0.014,-0.014,-0.014
2023-11-01,-0.014,-0.014,-0.014,-0.014
2023-11-02,-0.014,-0.014,-0.014,-0.014
2023-11-03,-0.014,-0.014,-0.014,-0.014
2023-11-07,-0.014,-0.014,-0.014,-0.014
2023-11-08,-0.014,-0.014,-0.014,-0.014
2023-11-09,-0.014,-0.014,-0.014,-0.014
2023-11-10,-0.014,-0.014,-0.014,-0.014
2023-11-13,-0.011,-0.011,-0.011,-0.011
2023-11-14,-0.014,-0.014,-0.014,-0.014
2023-11-15,-0.011,-0.011,-0.011,-0.011
2023-11-16,-0.011,-0.011,-0.011,-0.011
2023-11-17,-0.014,-0.014,-0.014,-0.014
2023-11-20,-0.014,-0.014,-0.014,-0.014
2023-11-21,-0.014,-0.014,-0.014,-0.014
2023-11-22,-0.011,-0.011,-0.011,-0.011
2023-11-23,-0.011,-0.011,-0.011,-0.011
2023-11-24,-0.011,-0.011,-0.011,-0.011
2023-11-27,-0.011,-0.011,-0.011,-0.011
2023-11-28,-0.011,-0.011,-0.011,-0.011
2023-11-29,-0.011,-0.011,-0.011,-0.011
2023-11-30,-0.011,-0.011,-0.011,-0.011
2023-12-01,-0.011,-0.011,-0.011,-0.011
2023-12-04,-0.011,-0.011,-0.011,-0.011
2023-12-05,-0.011,-0.011,-0.011,-0.011
2023-12-06,-0.011,-0.011,-0.011,-0.011
2023-12-07,-0.011,-0.011,-0.011,-0.011
2023-12-08,-0.011,-0.011,-0.011,-0.011
2023-12-12,-0.011,-0.011,-0.011,-0.011
2023-12-13,-0.011,-0.011,-0.011,-0.011
2023-12-14,-0.011,-0.011,-0.011,-0.011
2023-12-15,-0.011,-0.011,-0.011,-0.011
2023-12-18,-0.011,-0.011,-0.011,-0.011
2023-12-19,-0.011,-0.011,-0.011,-0.011
2023-12-20,-0.011,-0.011,-0.011,-0.011
2023-12-21,-0.011,-0.011,-0.011,-0.011
2023-12-22,-0.011,-0.011,-0.011,-0.011
2023-12-26,-0.011,-0.014,-0.011,-0.014
2023-12-27,-0.014,-0.014,-0.014,-0.014
2023-12-28,-0.014,-0.014,-0.011,-0.014
2023-12-29,-0.014,-0.014,-0.014,-0.014
2024-01-02,-0.014,-0.014,-0.014,-0.014
2024-01-03,-0.014,-0.014,-0.014,-0.014
2024-01-04,-0.014,-0.014,-0.014,-0.014
2024-01-05,-0.014,-0.014,-0.014,-0.014
2024-01-08,-0.011,-0.011,-0.011,-0.011
2024-01-09,-0.011,-0.011,-0.011,-0.011
2024-01-10,-0.011,-0.011,-0.011,-0.011
2024-01-11,-0.011,-0.011,-0.011,-0.011
2024-01-12,-0.011,-0.011,-0.011,-0.011
2024-01-15,-0.011,-0.014,-0.014,-0.014
2024-01-16,-0.014,-0.014,-0.011,-0.014
2024-01-17,-0.011,-0.014,-0.011,-0.011
2024-01-18,-0.011,-0.014,-0.011,-0.011
2024-01-19,-0.011,-0.014,-0.011,-0.011
2024-01-22,-0.014,-0.014,-0.014,-0.014
2024-01-23,-0.014,-0.014,-0.014,-0.014
2024-01-24,-0.011,-0.011,-0.011,-0.011
2024-01-25,-0.011,-0.011,-0.011,-0.011
2024-01-26,-0.011,-0.011,-0.011,-0.011
2024-01-29,-0.011,-0.011,-0.011,-0.011
2024-01-30,-0.011,-0.011,-0.011,-0.011
2024-01-31,-0.011,-0.011,-0.011,-0.011
2024-02-01,-0.011,-0.011,-0.011,-0.011
2024-02-02,-0.011,-0.011,-0.011,-0.011
2024-02-05,-0.011,-0.011,-0.011,-0.011
2024-02-06,-0.011,-0.011,-0.011,-0.011
2024-02-07,-0.011,-0.011,-0.011,-0.011
2024-02-08,-0.011,-0.011,-0.011,-0.011
2024-02-09,-0.011,-0.011,-0.011,-0.011
2024-02-14,-0.011,-0.011,-0.011,-0.011
2024-02-15,-0.011,-0.011,-0.011,-0.011
2024-02-16,-0.011,-0.011,-0.011,-0.011
2024-02-19,-0.011,-0.011,-0.011,-0.011
2024-02-20,-0.011,-0.011,-0.011,-0.011
2024-02-21,-0.011,-0.011,-0.011,-0.011
2024-02-22,-0.011,-0.011,-0.011,-0.011
2024-02-23,-0.011,-0.011,-0.011,-0.011
2024-02-26,-0.011,-0.011,-0.011,-0.011
2024-02-27,-0.011,-0.011,-0.011,-0.011
2024-02-28,-0.011,-0.011,-0.011,-0.011
2024-02-29,-0.011,-0.011,-0.011,-0.011
2024-03-01,-0.011,-0.011,-0.011,-0.011
2024-03-04,-0.011,-0.011,-0.011,-0.011
2024-03-05,-0.011,-0.011,-0.011,-0.011
2024-03-06,-0.011,-0.011,-0.011,-0.011
2024-03-07,-0.011,-0.011,-0.011,-0.011
