Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.255,0.255,0.255,0.255
2023-03-08,0.257,0.257,0.257,0.257
2023-03-09,0.257,0.257,0.257,0.257
2023-03-10,0.270,0.270,0.270,0.270
2023-03-13,0.303,0.303,0.303,0.303
2023-03-14,0.320,0.320,0.320,0.320
2023-03-15,0.320,0.320,0.320,0.320
2023-03-16,0.322,0.322,0.322,0.322
2023-03-17,0.318,0.318,0.318,0.318
2023-03-20,0.318,0.318,0.318,0.318
2023-03-21,0.310,0.310,0.310,0.310
2023-03-22,0.310,0.310,0.310,0.310
2023-03-23,0.305,0.305,0.305,0.305
2023-03-24,0.305,0.305,0.305,0.305
2023-03-27,0.299,0.299,0.299,0.299
2023-03-28,0.292,0.292,0.292,0.292
2023-03-29,0.288,0.288,0.288,0.288
2023-03-30,0.287,0.287,0.287,0.287
2023-03-31,0.287,0.287,0.287,0.287
2023-04-03,0.287,0.287,0.287,0.287
2023-04-04,0.286,0.286,0.286,0.286
2023-04-05,0.287,0.287,0.287,0.287
2023-04-10,0.279,0.279,0.279,0.279
2023-04-11,0.275,0.275,0.275,0.275
2023-04-12,0.263,0.263,0.263,0.263
2023-04-13,0.262,0.262,0.262,0.262
2023-04-14,0.262,0.262,0.262,0.262
2023-04-17,0.261,0.261,0.261,0.261
2023-04-18,0.261,0.261,0.261,0.261
2023-04-20,0.261,0.261,0.261,0.261
2023-04-21,0.261,0.261,0.261,0.261
2023-04-24,0.273,0.273,0.273,0.273
2023-04-25,0.268,0.268,0.268,0.268
2023-04-26,0.268,0.268,0.268,0.268
2023-04-27,0.272,0.272,0.272,0.272
2023-04-28,0.271,0.271,0.271,0.271
2023-05-02,0.287,0.287,0.287,0.287
2023-05-03,0.291,0.291,0.291,0.291
2023-05-04,0.290,0.290,0.290,0.290
2023-05-05,0.292,0.292,0.292,0.292
2023-05-08,0.288,0.288,0.288,0.288
2023-05-09,0.288,0.288,0.288,0.288
2023-05-10,0.292,0.292,0.292,0.292
2023-05-11,0.291,0.291,0.291,0.291
2023-05-12,0.291,0.291,0.291,0.291
2023-05-15,0.291,0.291,0.291,0.291
2023-05-16,0.287,0.287,0.287,0.287
2023-05-17,0.277,0.277,0.277,0.277
2023-05-18,0.270,0.270,0.270,0.270
2023-05-19,0.268,0.268,0.268,0.268
2023-05-23,0.270,0.270,0.270,0.270
2023-05-24,0.270,0.270,0.270,0.270
2023-05-25,0.262,0.262,0.262,0.262
2023-05-26,0.262,0.262,0.262,0.262
2023-05-29,0.262,0.262,0.262,0.262
2023-05-30,0.262,0.262,0.262,0.262
2023-05-31,0.299,0.299,0.299,0.299
2023-06-01,0.299,0.299,0.299,0.299
2023-06-02,0.295,0.295,0.295,0.295
2023-06-05,0.292,0.292,0.292,0.292
2023-06-06,0.291,0.291,0.291,0.291
2023-06-07,0.289,0.289,0.289,0.289
2023-06-08,0.274,0.274,0.274,0.274
2023-06-13,0.295,0.295,0.295,0.295
2023-06-14,0.293,0.293,0.293,0.293
2023-06-15,0.289,0.289,0.289,0.289
2023-06-16,0.285,0.285,0.285,0.285
2023-06-20,0.300,0.300,0.300,0.300
2023-06-21,0.290,0.290,0.290,0.290
2023-06-22,0.287,0.287,0.287,0.287
2023-06-23,0.280,0.280,0.280,0.280
2023-06-26,0.283,0.283,0.283,0.283
2023-06-27,0.284,0.284,0.284,0.284
2023-06-28,0.284,0.284,0.284,0.284
2023-06-29,0.284,0.284,0.284,0.284
2023-06-30,0.281,0.281,0.281,0.281
2023-07-04,0.281,0.281,0.281,0.281
2023-07-06,0.278,0.278,0.278,0.278
2023-07-07,0.270,0.270,0.270,0.270
2023-07-10,0.270,0.270,0.270,0.270
2023-07-11,0.270,0.270,0.270,0.270
2023-07-12,0.273,0.273,0.273,0.273
2023-07-13,0.274,0.274,0.274,0.274
2023-07-14,0.272,0.272,0.272,0.272
2023-07-17,0.283,0.283,0.283,0.283
2023-07-18,0.282,0.282,0.282,0.282
2023-07-19,0.280,0.280,0.280,0.280
2023-07-20,0.274,0.274,0.274,0.274
2023-07-21,0.274,0.274,0.274,0.274
2023-07-25,0.269,0.269,0.269,0.269
2023-07-26,0.266,0.266,0.266,0.266
2023-07-27,0.257,0.257,0.257,0.257
2023-07-28,0.250,0.250,0.250,0.250
2023-07-31,0.250,0.250,0.250,0.250
2023-08-01,0.248,0.248,0.248,0.248
2023-08-02,0.248,0.248,0.248,0.248
2023-08-03,0.265,0.265,0.265,0.265
2023-08-04,0.261,0.261,0.261,0.261
2023-08-07,0.261,0.261,0.261,0.261
2023-08-08,0.261,0.261,0.261,0.261
2023-08-09,0.261,0.261,0.261,0.261
2023-08-10,0.268,0.268,0.268,0.268
2023-08-11,0.268,0.268,0.268,0.268
2023-08-15,0.260,0.260,0.260,0.260
2023-08-16,0.248,0.248,0.248,0.248
2023-08-17,0.248,0.248,0.248,0.248
2023-08-18,0.244,0.244,0.244,0.244
2023-08-21,0.260,0.260,0.260,0.260
2023-08-22,0.255,0.255,0.255,0.255
2023-08-23,0.245,0.245,0.245,0.245
2023-08-24,0.239,0.239,0.239,0.239
2023-08-25,0.258,0.258,0.258,0.258
2023-08-28,0.270,0.270,0.270,0.270
2023-08-29,0.274,0.274,0.274,0.274
2023-08-30,0.274,0.274,0.274,0.274
2023-08-31,0.274,0.274,0.274,0.274
2023-09-01,0.277,0.277,0.277,0.277
2023-09-04,0.274,0.274,0.274,0.274
2023-09-05,0.271,0.271,0.271,0.271
2023-09-06,0.274,0.274,0.274,0.274
2023-09-07,0.272,0.272,0.272,0.272
2023-09-08,0.264,0.264,0.264,0.264
2023-09-12,0.264,0.264,0.264,0.264
2023-09-13,0.264,0.264,0.264,0.264
2023-09-14,0.264,0.264,0.264,0.264
2023-09-15,0.263,0.263,0.263,0.263
2023-09-18,0.263,0.263,0.263,0.263
2023-09-19,0.263,0.263,0.263,0.263
2023-09-20,0.261,0.261,0.261,0.261
2023-09-21,0.264,0.264,0.264,0.264
2023-09-22,0.266,0.266,0.266,0.266
2023-09-25,0.275,0.275,0.275,0.275
2023-09-26,0.280,0.280,0.280,0.280
2023-09-27,0.309,0.309,0.309,0.309
2023-09-28,0.325,0.325,0.325,0.325
2023-09-29,0.342,0.342,0.342,0.342
2023-10-02,0.380,0.380,0.380,0.380
2023-10-03,0.363,0.363,0.363,0.363
2023-10-04,0.378,0.378,0.378,0.378
2023-10-05,0.370,0.370,0.370,0.370
2023-10-06,0.350,0.350,0.350,0.350
2023-10-09,0.337,0.337,0.337,0.337
2023-10-10,0.334,0.334,0.334,0.334
2023-10-11,0.337,0.337,0.337,0.337
2023-10-13,0.336,0.336,0.336,0.336
2023-10-16,0.345,0.345,0.345,0.345
2023-10-17,0.345,0.345,0.345,0.345
2023-10-18,0.374,0.374,0.374,0.374
2023-10-19,0.447,0.447,0.447,0.447
2023-10-20,0.440,0.440,0.440,0.440
2023-10-23,0.466,0.466,0.466,0.466
2023-10-24,0.424,0.424,0.424,0.424
2023-10-25,0.424,0.424,0.424,0.424
2023-10-26,0.424,0.424,0.424,0.424
2023-10-27,0.415,0.415,0.415,0.415
2023-10-31,0.458,0.458,0.458,0.458
2023-11-01,0.423,0.423,0.423,0.423
2023-11-02,0.437,0.437,0.437,0.437
2023-11-03,0.477,0.477,0.477,0.477
2023-11-07,0.476,0.476,0.476,0.476
2023-11-08,0.422,0.422,0.422,0.422
2023-11-09,0.422,0.422,0.422,0.422
2023-11-10,0.420,0.420,0.420,0.420
2023-11-13,0.474,0.474,0.474,0.474
2023-11-14,0.473,0.473,0.473,0.473
2023-11-15,0.459,0.459,0.459,0.459
2023-11-16,0.456,0.456,0.456,0.456
2023-11-17,0.450,0.450,0.450,0.450
2023-11-20,0.473,0.473,0.473,0.473
2023-11-21,0.500,0.500,0.500,0.500
2023-11-22,0.540,0.540,0.540,0.540
2023-11-23,0.551,0.551,0.551,0.551
2023-11-24,0.537,0.537,0.537,0.537
2023-11-27,0.537,0.537,0.537,0.537
2023-11-28,0.523,0.523,0.523,0.523
2023-11-29,0.506,0.506,0.506,0.506
2023-11-30,0.506,0.506,0.506,0.506
2023-12-01,0.500,0.500,0.500,0.500
2023-12-04,0.470,0.470,0.470,0.470
2023-12-05,0.485,0.485,0.485,0.485
2023-12-06,0.483,0.483,0.483,0.483
2023-12-07,0.482,0.482,0.482,0.482
2023-12-08,0.456,0.456,0.456,0.456
2023-12-12,0.445,0.445,0.445,0.445
2023-12-13,0.445,0.445,0.445,0.445
2023-12-14,0.417,0.417,0.417,0.417
2023-12-15,0.417,0.417,0.417,0.417
2023-12-18,0.417,0.417,0.417,0.417
2023-12-19,0.417,0.445,0.417,0.417
2023-12-20,0.417,0.468,0.445,0.468
2023-12-21,0.466,0.466,0.455,0.455
2023-12-22,0.455,0.466,0.466,0.466
2023-12-26,0.465,0.468,0.465,0.468
2023-12-27,0.462,0.468,0.462,0.462
2023-12-28,0.459,0.459,0.459,0.459
2023-12-29,0.468,0.468,0.468,0.468
2024-01-02,0.464,0.466,0.464,0.464
2024-01-03,0.464,0.464,0.464,0.464
2024-01-04,0.464,0.464,0.464,0.464
2024-01-05,0.462,0.462,0.460,0.460
2024-01-08,0.457,0.460,0.457,0.457
2024-01-09,0.457,0.460,0.457,0.457
2024-01-10,0.457,0.457,0.457,0.457
2024-01-11,0.453,0.455,0.453,0.453
2024-01-12,0.453,0.453,0.453,0.453
2024-01-15,0.461,0.472,0.453,0.461
2024-01-16,0.461,0.466,0.461,0.461
2024-01-17,0.460,0.465,0.446,0.465
2024-01-18,0.464,0.467,0.458,0.464
2024-01-19,0.475,0.481,0.464,0.475
2024-01-22,0.458,0.464,0.458,0.458
2024-01-23,0.460,0.463,0.452,0.460
2024-01-24,0.460,0.463,0.460,0.460
2024-01-25,0.461,0.461,0.458,0.458
2024-01-26,0.447,0.458,0.447,0.447
2024-01-29,0.442,0.444,0.442,0.442
2024-01-30,0.440,0.440,0.440,0.440
2024-01-31,0.435,0.435,0.418,0.435
2024-02-01,0.424,0.438,0.424,0.424
2024-02-02,0.423,0.436,0.436,0.436
2024-02-05,0.438,0.438,0.432,0.432
2024-02-06,0.432,0.432,0.424,0.429
2024-02-07,0.409,0.436,0.409,0.409
2024-02-08,0.434,0.434,0.423,0.434
2024-02-09,0.443,0.449,0.435,0.443
2024-02-14,0.442,0.448,0.439,0.439
2024-02-15,0.442,0.445,0.442,0.442
2024-02-16,0.442,0.442,0.439,0.442
2024-02-19,0.442,0.448,0.442,0.442
2024-02-20,0.439,0.439,0.439,0.439
2024-02-21,0.439,0.436,0.412,0.423
2024-02-22,0.423,0.434,0.428,0.428
2024-02-23,0.424,0.429,0.424,0.424
2024-02-26,0.424,0.424,0.424,0.424
2024-02-27,0.425,0.425,0.422,0.425
2024-02-28,0.411,0.425,0.411,0.411
2024-02-29,0.419,0.422,0.419,0.419
2024-03-01,0.419,0.419,0.411,0.419
2024-03-04,0.419,0.433,0.419,0.419
2024-03-05,0.411,0.419,0.411,0.411
2024-03-06,0.411,0.428,0.428,0.428
2024-03-07,0.428,0.431,0.425,0.425
2024-03-08,0.425,0.425,0.411,0.411
2024-03-11,0.416,0.416,0.416,0.416
2024-03-12,0.443,0.443,0.416,0.443
2024-03-13,0.463,0.463,0.443,0.463
