Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-30,0.301,0.301,0.301,0.301
2023-01-31,0.301,0.301,0.301,0.301
2023-02-01,0.301,0.301,0.301,0.301
2023-02-02,0.306,0.306,0.306,0.306
2023-02-03,0.296,0.296,0.296,0.296
2023-02-06,0.296,0.296,0.296,0.296
2023-02-07,0.293,0.293,0.293,0.293
2023-02-08,0.287,0.287,0.287,0.287
2023-02-09,0.281,0.281,0.281,0.281
2023-02-10,0.279,0.279,0.279,0.279
2023-02-13,0.279,0.279,0.279,0.279
2023-02-14,0.279,0.279,0.279,0.279
2023-02-15,0.335,0.335,0.335,0.335
2023-02-16,0.335,0.335,0.335,0.335
2023-02-17,0.369,0.369,0.369,0.369
2023-02-22,0.360,0.360,0.360,0.360
2023-02-23,0.358,0.358,0.358,0.358
2023-02-24,0.358,0.358,0.358,0.358
2023-02-27,0.358,0.358,0.358,0.358
2023-02-28,0.358,0.358,0.358,0.358
2023-03-01,0.360,0.360,0.360,0.360
2023-03-02,0.361,0.361,0.361,0.361
2023-03-03,0.360,0.360,0.360,0.360
2023-03-06,0.361,0.361,0.361,0.361
2023-03-07,0.361,0.361,0.361,0.361
2023-03-08,0.363,0.363,0.363,0.363
2023-03-09,0.363,0.363,0.363,0.363
2023-03-10,0.363,0.363,0.363,0.363
2023-03-13,0.363,0.363,0.363,0.363
2023-03-14,0.363,0.363,0.363,0.363
2023-03-15,0.364,0.364,0.364,0.364
2023-03-16,0.371,0.371,0.371,0.371
2023-03-17,0.363,0.363,0.363,0.363
2023-03-20,0.371,0.371,0.371,0.371
2023-03-21,0.371,0.371,0.371,0.371
2023-03-22,0.371,0.371,0.371,0.371
2023-03-23,0.370,0.370,0.370,0.370
2023-03-24,0.370,0.370,0.370,0.370
2023-03-27,0.368,0.368,0.368,0.368
2023-03-28,0.346,0.346,0.346,0.346
2023-03-29,0.346,0.346,0.346,0.346
2023-03-30,0.345,0.345,0.345,0.345
2023-03-31,0.325,0.325,0.325,0.325
2023-04-03,0.328,0.328,0.328,0.328
2023-04-04,0.331,0.331,0.331,0.331
2023-04-05,0.332,0.332,0.332,0.332
2023-04-10,0.332,0.332,0.332,0.332
2023-04-11,0.325,0.325,0.325,0.325
2023-04-12,0.325,0.325,0.325,0.325
2023-04-13,0.324,0.324,0.324,0.324
2023-04-14,0.324,0.324,0.324,0.324
2023-04-17,0.323,0.323,0.323,0.323
2023-04-18,0.323,0.323,0.323,0.323
2023-04-20,0.323,0.323,0.323,0.323
2023-04-21,0.323,0.323,0.323,0.323
2023-04-24,0.328,0.328,0.328,0.328
2023-04-25,0.386,0.386,0.386,0.386
2023-04-26,0.362,0.362,0.362,0.362
2023-04-27,0.362,0.362,0.362,0.362
2023-04-28,0.361,0.361,0.361,0.361
2023-05-02,0.361,0.361,0.361,0.361
2023-05-03,0.401,0.401,0.401,0.401
2023-05-04,0.400,0.400,0.400,0.400
2023-05-05,0.422,0.422,0.422,0.422
2023-05-08,0.422,0.422,0.422,0.422
2023-05-09,0.422,0.422,0.422,0.422
2023-05-10,0.422,0.422,0.422,0.422
2023-05-11,0.461,0.461,0.461,0.461
2023-05-12,0.453,0.453,0.453,0.453
2023-05-15,0.453,0.453,0.453,0.453
2023-05-16,0.386,0.386,0.386,0.386
2023-05-17,0.383,0.383,0.383,0.383
2023-05-18,0.382,0.382,0.382,0.382
2023-05-19,0.380,0.380,0.380,0.380
2023-05-23,0.377,0.377,0.377,0.377
2023-05-24,0.377,0.377,0.377,0.377
2023-05-25,0.419,0.419,0.419,0.419
2023-05-26,0.400,0.400,0.400,0.400
2023-05-29,0.381,0.381,0.381,0.381
2023-05-30,0.379,0.379,0.379,0.379
2023-05-31,0.378,0.378,0.378,0.378
2023-06-01,0.375,0.375,0.375,0.375
2023-06-02,0.375,0.375,0.375,0.375
2023-06-05,0.370,0.370,0.370,0.370
2023-06-06,0.368,0.368,0.368,0.368
2023-06-07,0.391,0.391,0.391,0.391
2023-06-08,0.410,0.410,0.410,0.410
2023-06-13,0.440,0.440,0.440,0.440
2023-06-14,0.466,0.466,0.466,0.466
2023-06-15,0.466,0.466,0.466,0.466
2023-06-16,0.465,0.465,0.465,0.465
2023-06-20,0.461,0.461,0.461,0.461
2023-06-21,0.506,0.506,0.506,0.506
2023-06-22,0.582,0.582,0.582,0.582
2023-06-23,0.576,0.576,0.576,0.576
2023-06-26,0.582,0.582,0.582,0.582
2023-06-27,0.575,0.575,0.575,0.575
2023-06-28,0.575,0.575,0.575,0.575
2023-06-29,0.641,0.641,0.641,0.641
2023-06-30,0.641,0.641,0.641,0.641
2023-07-04,0.606,0.606,0.606,0.606
2023-07-06,0.599,0.599,0.599,0.599
2023-07-07,0.599,0.599,0.599,0.599
2023-07-10,0.666,0.666,0.666,0.666
2023-07-11,0.666,0.666,0.666,0.666
2023-07-12,0.666,0.666,0.666,0.666
2023-07-13,0.668,0.668,0.668,0.668
2023-07-14,0.682,0.682,0.682,0.682
2023-07-17,0.682,0.682,0.682,0.682
2023-07-18,0.680,0.680,0.680,0.680
2023-07-19,0.675,0.675,0.675,0.675
2023-07-20,0.687,0.687,0.687,0.687
2023-07-21,0.687,0.687,0.687,0.687
2023-07-25,0.682,0.682,0.682,0.682
2023-07-26,0.648,0.648,0.648,0.648
2023-07-27,0.643,0.643,0.643,0.643
2023-07-28,0.643,0.643,0.643,0.643
2023-07-31,0.643,0.643,0.643,0.643
2023-08-01,0.639,0.639,0.639,0.639
2023-08-02,0.656,0.656,0.656,0.656
2023-08-03,0.656,0.656,0.656,0.656
2023-08-04,0.637,0.637,0.637,0.637
2023-08-07,0.637,0.637,0.637,0.637
2023-08-08,0.704,0.704,0.704,0.704
2023-08-09,0.704,0.704,0.704,0.704
2023-08-10,0.704,0.704,0.704,0.704
2023-08-11,0.704,0.704,0.704,0.704
2023-08-15,0.692,0.692,0.692,0.692
2023-08-16,0.661,0.661,0.661,0.661
2023-08-17,0.661,0.661,0.661,0.661
2023-08-18,0.659,0.659,0.659,0.659
2023-08-21,0.659,0.659,0.659,0.659
2023-08-22,0.654,0.654,0.654,0.654
2023-08-23,0.654,0.654,0.654,0.654
2023-08-24,0.654,0.654,0.654,0.654
2023-08-25,0.623,0.623,0.623,0.623
2023-08-28,0.623,0.623,0.623,0.623
2023-08-29,0.623,0.623,0.623,0.623
2023-08-30,0.623,0.623,0.623,0.623
2023-08-31,0.623,0.623,0.623,0.623
2023-09-01,0.623,0.623,0.623,0.623
2023-09-04,0.623,0.623,0.623,0.623
2023-09-05,0.617,0.617,0.617,0.617
2023-09-06,0.617,0.617,0.617,0.617
2023-09-07,0.619,0.619,0.619,0.619
2023-09-08,0.600,0.600,0.600,0.600
2023-09-12,0.625,0.625,0.625,0.625
2023-09-13,0.714,0.714,0.714,0.714
2023-09-14,0.714,0.714,0.714,0.714
2023-09-15,0.712,0.712,0.712,0.712
2023-09-18,0.710,0.710,0.710,0.710
2023-09-19,0.710,0.710,0.710,0.710
2023-09-20,0.675,0.675,0.675,0.675
2023-09-21,0.707,0.707,0.707,0.707
2023-09-22,0.677,0.677,0.677,0.677
2023-09-25,0.677,0.677,0.677,0.677
2023-09-26,0.704,0.704,0.704,0.704
2023-09-27,0.702,0.702,0.702,0.702
2023-09-28,0.613,0.613,0.613,0.613
2023-09-29,0.788,0.788,0.788,0.788
2023-10-02,0.786,0.786,0.786,0.786
2023-10-03,0.781,0.781,0.781,0.781
2023-10-04,0.783,0.783,0.783,0.783
2023-10-05,0.778,0.778,0.778,0.778
2023-10-06,0.836,0.836,0.836,0.836
2023-10-09,0.805,0.805,0.805,0.805
2023-10-10,0.805,0.805,0.805,0.805
2023-10-11,0.805,0.805,0.805,0.805
2023-10-13,0.803,0.803,0.803,0.803
2023-10-16,0.801,0.801,0.801,0.801
2023-10-17,0.802,0.802,0.802,0.802
2023-10-18,0.802,0.802,0.802,0.802
2023-10-19,0.803,0.803,0.803,0.803
2023-10-20,0.860,0.860,0.860,0.860
2023-10-23,1.147,1.147,1.147,1.147
2023-10-24,1.143,1.143,1.143,1.143
2023-10-25,1.143,1.143,1.143,1.143
2023-10-26,1.112,1.112,1.112,1.112
2023-10-27,1.112,1.112,1.112,1.112
2023-10-31,1.170,1.170,1.170,1.170
2023-11-01,1.166,1.166,1.166,1.166
2023-11-02,1.399,1.399,1.399,1.399
2023-11-03,1.556,1.556,1.556,1.556
2023-11-07,1.548,1.548,1.548,1.548
2023-11-08,1.548,1.548,1.548,1.548
2023-11-09,1.421,1.421,1.421,1.421
2023-11-10,1.131,1.131,1.131,1.131
2023-11-13,1.196,1.196,1.196,1.196
2023-11-14,1.195,1.195,1.195,1.195
2023-11-15,1.195,1.195,1.195,1.195
2023-11-16,1.195,1.195,1.195,1.195
2023-11-17,1.130,1.130,1.130,1.130
2023-11-20,1.185,1.185,1.185,1.185
2023-11-21,1.183,1.183,1.183,1.183
2023-11-22,1.183,1.183,1.183,1.183
2023-11-23,1.126,1.126,1.126,1.126
2023-11-24,1.127,1.127,1.127,1.127
2023-11-27,1.126,1.126,1.126,1.126
2023-11-28,1.126,1.126,1.126,1.126
2023-11-29,1.099,1.099,1.099,1.099
2023-11-30,1.126,1.126,1.126,1.126
2023-12-01,1.098,1.098,1.098,1.098
2023-12-04,1.095,1.095,1.095,1.095
2023-12-05,1.095,1.095,1.095,1.095
2023-12-06,1.097,1.097,1.097,1.097
2023-12-07,1.068,1.068,1.068,1.068
2023-12-08,1.066,1.066,1.066,1.066
2023-12-12,1.066,1.066,1.066,1.066
2023-12-13,1.066,1.066,1.066,1.066
2023-12-14,1.067,1.067,1.067,1.067
2023-12-15,1.066,1.066,1.066,1.066
2023-12-18,1.066,1.066,1.066,1.066
