Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2025-11-04,0.357,0.357,0.271,0.357
2025-11-05,0.354,0.336,0.293,0.336
2025-11-06,0.336,0.313,0.291,0.309
2025-11-07,0.304,0.286,0.243,0.278
2025-11-10,0.278,0.308,0.222,0.264
2025-11-11,0.263,0.263,0.211,0.232
2025-11-12,0.232,0.241,0.189,0.189
2025-11-13,0.178,0.217,0.178,0.178
2025-11-14,0.176,0.210,0.185,0.210
2025-11-17,0.210,0.236,0.215,0.231
2025-11-18,0.228,0.228,0.187,0.212
2025-11-19,0.203,0.231,0.169,0.203
2025-11-20,0.203,0.207,0.182,0.203
2025-11-21,0.202,0.232,0.181,0.185
2025-11-25,0.181,0.214,0.165,0.185
2025-11-26,0.185,0.206,0.165,0.189
2025-11-27,0.189,0.210,0.165,0.184
2025-11-28,0.183,0.206,0.165,0.181
2025-12-01,0.181,0.193,0.165,0.181
2025-12-02,0.180,0.190,0.144,0.171
2025-12-03,0.170,0.190,0.138,0.166
2025-12-04,0.165,0.173,0.132,0.161
2025-12-05,0.161,0.162,0.153,0.161
2025-12-09,0.155,0.155,0.128,0.152
2025-12-10,0.152,0.152,0.130,0.136
2025-12-11,0.136,0.167,0.140,0.152
2025-12-12,0.152,0.159,0.151,0.155
2025-12-15,0.151,0.159,0.125,0.148
2025-12-16,0.148,0.151,0.136,0.148
2025-12-17,0.143,0.143,0.139,0.141
2025-12-18,0.141,0.141,0.139,0.141
2025-12-19,0.139,0.139,0.130,0.139
2025-12-22,0.136,0.136,0.135,0.136
2025-12-23,0.136,0.160,0.136,0.138
2025-12-26,0.149,0.166,0.131,0.149
2025-12-29,0.146,0.170,0.143,0.170
2025-12-30,0.170,0.192,0.170,0.170
2026-01-02,0.167,0.187,0.170,0.187
2026-01-05,0.185,0.219,0.202,0.219
2026-01-06,0.216,0.259,0.186,0.259
2026-01-07,0.259,0.299,0.216,0.256
2026-01-08,0.250,0.260,0.260,0.250
2026-01-09,0.248,0.293,0.289,0.248
2026-01-13,0.237,0.240,0.234,0.236
2026-01-14,0.232,0.234,0.231,0.232
2026-01-15,0.232,0.232,0.232,0.232
2026-01-16,0.226,0.226,0.204,0.223
2026-01-20,0.223,0.242,0.219,0.223
2026-01-21,0.221,0.220,0.199,0.221
2026-01-22,0.221,0.220,0.205,0.221
2026-01-23,0.218,0.231,0.196,0.218
2026-01-26,0.218,0.228,0.196,0.218
2026-01-27,0.214,0.214,0.193,0.205
2026-01-28,0.205,0.208,0.185,0.205
2026-01-29,0.205,0.199,0.190,0.196
2026-01-30,0.193,0.193,0.173,0.186
2026-02-02,0.186,0.204,0.173,0.204
2026-02-03,0.198,0.214,0.198,0.209
2026-02-04,0.209,0.227,0.190,0.217
2026-02-05,0.216,0.235,0.226,0.229
2026-02-06,0.229,0.252,0.229,0.229
2026-02-09,0.225,0.270,0.225,0.248
2026-02-10,0.243,0.265,0.243,0.262
2026-02-11,0.262,0.312,0.265,0.268
2026-02-12,0.266,0.309,0.307,0.266
2026-02-13,0.265,0.311,0.306,0.311
2026-02-18,0.309,0.367,0.319,0.352
2026-02-19,0.349,0.418,0.364,0.349
2026-02-20,0.349,0.493,0.418,0.349
2026-02-23,0.347,0.415,0.402,0.415
2026-02-24,0.411,0.489,0.424,0.411
2026-02-25,0.401,0.577,0.406,0.573
2026-02-26,0.478,0.569,0.483,0.478
2026-02-27,0.474,0.563,0.554,0.563
2026-03-02,0.560,0.668,0.560,0.667
2026-03-03,0.663,0.790,0.783,0.663
2026-03-04,0.658,0.871,0.789,0.789
2026-03-05,0.783,1.122,0.811,0.823
2026-03-06,0.817,1.114,0.951,1.037
2026-03-09,1.028,1.233,1.028,1.138
2026-03-10,1.135,1.330,0.910,1.192
2026-03-11,1.187,1.278,0.963,1.267
2026-03-12,1.259,1.474,1.270,1.361
2026-03-13,1.354,1.467,1.343,1.455
2026-03-16,1.446,1.502,1.345,1.479
2026-03-17,1.473,1.785,1.439,1.473
2026-03-18,1.462,1.683,1.462,1.606
2026-03-20,1.593,1.648,1.276,1.416
2026-03-23,1.410,1.663,1.398,1.510
2026-03-24,1.502,1.523,1.208,1.240
2026-03-25,1.232,1.477,1.232,1.401
2026-03-26,1.389,1.457,1.127,1.327
2026-03-27,1.321,1.472,1.280,1.344
2026-03-30,1.336,1.588,1.145,1.442
2026-03-31,1.442,1.482,1.314,1.442
2026-04-01,1.435,1.372,1.148,1.161
2026-04-06,1.159,1.370,0.938,1.054
2026-04-07,1.054,1.328,0.853,1.054
