Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,2.181,2.181,2.181,2.181
2023-03-08,2.199,2.199,2.199,2.199
2023-03-09,2.199,2.199,2.199,2.199
2023-03-10,2.199,2.199,2.199,2.199
2023-03-13,2.199,2.199,2.199,2.199
2023-03-14,2.199,2.199,2.199,2.199
2023-03-15,2.199,2.199,2.199,2.199
2023-03-16,2.218,2.218,2.218,2.218
2023-03-17,2.218,2.218,2.218,2.218
2023-03-20,2.218,2.218,2.218,2.218
2023-03-21,2.218,2.218,2.218,2.218
2023-03-22,2.218,2.218,2.218,2.218
2023-03-23,2.218,2.218,2.218,2.218
2023-03-24,1.799,1.799,1.799,1.799
2023-03-27,1.784,1.784,1.784,1.784
2023-03-28,1.770,1.770,1.770,1.770
2023-03-29,1.770,1.770,1.770,1.770
2023-03-30,1.762,1.762,1.762,1.762
2023-03-31,1.762,1.762,1.762,1.762
2023-04-03,1.762,1.762,1.762,1.762
2023-04-04,1.633,1.633,1.633,1.633
2023-04-05,1.803,1.803,1.803,1.803
2023-04-10,1.803,1.803,1.803,1.803
2023-04-11,1.803,1.803,1.803,1.803
2023-04-12,1.811,1.811,1.811,1.811
2023-04-13,1.844,1.844,1.844,1.844
2023-04-14,1.844,1.844,1.844,1.844
2023-04-17,1.755,1.755,1.755,1.755
2023-04-18,1.755,1.755,1.755,1.755
2023-04-20,1.755,1.755,1.755,1.755
2023-04-21,1.633,1.633,1.633,1.633
2023-04-24,1.633,1.633,1.633,1.633
2023-04-25,1.626,1.626,1.626,1.626
2023-04-26,1.626,1.626,1.626,1.626
2023-04-27,1.626,1.626,1.626,1.626
2023-04-28,1.822,1.822,1.822,1.822
2023-05-02,2.186,2.186,2.186,2.186
2023-05-03,2.186,2.186,2.186,2.186
2023-05-04,2.613,2.613,2.613,2.613
2023-05-05,2.592,2.592,2.592,2.592
2023-05-08,2.592,2.592,2.592,2.592
2023-05-09,3.000,3.000,3.000,3.000
2023-05-10,3.000,3.000,3.000,3.000
2023-05-11,3.227,3.227,3.227,3.227
2023-05-12,3.227,3.227,3.227,3.227
2023-05-15,3.227,3.227,3.227,3.227
2023-05-16,4.134,4.134,4.134,4.134
2023-05-17,4.883,4.883,4.883,4.883
2023-05-18,4.883,4.883,4.883,4.883
2023-05-19,5.642,5.642,5.642,5.642
2023-05-23,5.598,5.598,5.598,5.598
2023-05-24,5.598,5.598,5.598,5.598
2023-05-25,5.577,5.577,5.577,5.577
2023-05-26,5.769,5.769,5.769,5.769
2023-05-29,5.769,5.769,5.769,5.769
2023-05-30,5.769,5.769,5.769,5.769
2023-05-31,5.747,5.747,5.747,5.747
2023-06-01,5.747,5.747,5.747,5.747
2023-06-02,6.705,6.705,6.705,6.705
2023-06-05,6.818,6.818,6.818,6.818
2023-06-06,6.792,6.792,6.792,6.792
2023-06-07,7.519,7.519,7.519,7.519
2023-06-08,7.556,7.556,7.556,7.556
2023-06-13,8.396,8.396,8.396,8.396
2023-06-14,7.407,7.407,7.407,7.407
2023-06-15,7.407,7.407,7.407,7.407
2023-06-16,8.852,8.852,8.852,8.852
2023-06-20,7.782,7.782,7.782,7.782
2023-06-21,7.353,7.353,7.353,7.353
2023-06-22,7.353,7.353,7.353,7.353
2023-06-23,8.655,8.655,8.655,8.655
2023-06-26,7.353,7.353,7.353,7.353
2023-06-27,7.273,7.273,7.273,7.273
2023-06-28,7.273,7.273,7.273,7.273
2023-06-29,7.194,7.194,7.194,7.194
2023-06-30,7.194,7.194,7.194,7.194
2023-07-04,7.194,7.194,7.194,7.194
2023-07-06,7.117,7.117,7.117,7.117
2023-07-07,7.117,7.117,7.117,7.117
2023-07-10,7.092,7.092,7.092,7.092
2023-07-11,7.092,7.092,7.092,7.092
2023-07-12,7.092,7.092,7.092,7.092
2023-07-13,7.117,7.117,7.117,7.117
2023-07-14,7.385,7.385,7.385,7.385
2023-07-17,7.385,7.385,7.385,7.385
2023-07-18,7.359,7.359,7.359,7.359
2023-07-19,6.993,6.993,6.993,6.993
2023-07-20,6.944,6.944,6.944,6.944
2023-07-21,6.944,6.944,6.944,6.944
2023-07-25,7.069,7.069,7.069,7.069
2023-07-26,7.069,7.069,7.069,7.069
2023-07-27,6.832,6.832,6.832,6.832
2023-07-28,6.832,6.832,6.832,6.832
2023-07-31,6.832,6.832,6.832,6.832
2023-08-01,5.918,5.918,5.918,5.918
2023-08-02,5.918,5.918,5.918,5.918
2023-08-03,5.918,5.918,5.918,5.918
2023-08-04,5.898,5.898,5.898,5.898
2023-08-07,5.932,5.932,5.932,5.932
2023-08-08,5.932,5.932,5.932,5.932
2023-08-09,6.780,6.780,6.780,6.780
2023-08-10,6.780,6.780,6.780,6.780
2023-08-11,6.780,6.780,6.780,6.780
2023-08-15,6.667,6.667,6.667,6.667
2023-08-16,6.369,6.369,6.369,6.369
2023-08-17,6.369,6.369,6.369,6.369
2023-08-18,6.349,6.349,6.349,6.349
2023-08-21,6.349,6.349,6.349,6.349
2023-08-22,6.289,6.289,6.289,6.289
2023-08-23,6.289,6.289,6.289,6.289
2023-08-24,6.289,6.289,6.289,6.289
2023-08-25,6.289,6.289,6.289,6.289
2023-08-28,6.289,6.289,6.289,6.289
2023-08-29,6.289,6.289,6.289,6.289
2023-08-30,6.289,6.289,6.289,6.289
2023-08-31,6.289,6.289,6.289,6.289
2023-09-01,6.289,6.289,6.289,6.289
2023-09-04,6.321,6.321,6.321,6.321
2023-09-05,6.262,6.262,6.262,6.262
2023-09-06,6.854,6.854,6.854,6.854
2023-09-07,6.250,6.250,6.250,6.250
2023-09-08,6.061,6.061,6.061,6.061
2023-09-12,6.006,6.006,6.006,6.006
2023-09-13,6.006,6.006,6.006,6.006
2023-09-14,6.006,6.006,6.006,6.006
2023-09-15,5.988,5.988,5.988,5.988
2023-09-18,5.988,5.988,5.988,5.988
2023-09-19,5.988,5.988,5.988,5.988
2023-09-20,5.935,5.935,5.935,5.935
2023-09-21,5.935,5.935,5.935,5.935
2023-09-22,5.917,5.917,5.917,5.917
2023-09-25,5.917,5.917,5.917,5.917
2023-09-26,5.900,5.900,5.900,5.900
2023-09-27,5.882,5.882,5.882,5.882
2023-09-28,5.848,5.848,5.848,5.848
2023-09-29,5.848,5.848,5.848,5.848
2023-10-02,5.848,5.848,5.848,5.848
2023-10-03,5.814,5.814,5.814,5.814
2023-10-04,5.814,5.814,5.814,5.814
2023-10-05,5.780,5.780,5.780,5.780
2023-10-06,5.780,5.780,5.780,5.780
2023-10-09,5.764,5.764,5.764,5.764
2023-10-10,5.764,5.764,5.764,5.764
2023-10-11,5.764,5.764,5.764,5.764
2023-10-13,5.747,5.747,5.747,5.747
2023-10-16,5.747,5.747,5.747,5.747
2023-10-17,5.747,5.747,5.747,5.747
2023-10-18,5.747,5.747,5.747,5.747
2023-10-19,5.764,5.764,5.764,5.764
2023-10-20,5.747,5.747,5.747,5.747
2023-10-23,6.868,6.868,6.868,6.868
2023-10-24,6.848,6.848,6.848,6.848
2023-10-25,6.848,6.848,6.848,6.848
2023-10-26,6.848,6.848,6.848,6.848
2023-10-27,6.848,6.848,6.848,6.848
2023-10-31,6.590,6.590,6.590,6.590
2023-11-01,6.571,6.571,6.571,6.571
2023-11-02,6.571,6.571,6.571,6.571
2023-11-03,6.571,6.571,6.571,6.571
2023-11-07,6.553,6.553,6.553,6.553
2023-11-08,6.553,6.553,6.553,6.553
2023-11-09,7.835,7.835,7.835,7.835
2023-11-10,7.812,7.812,7.812,7.812
2023-11-13,7.812,7.812,7.812,7.812
2023-11-14,7.790,7.790,7.790,7.790
2023-11-15,7.790,7.790,7.790,7.790
2023-11-16,7.790,7.790,7.790,7.790
2023-11-17,7.790,7.790,7.790,7.790
2023-11-20,7.790,7.790,7.790,7.790
2023-11-21,7.768,7.768,7.768,7.768
2023-11-22,7.768,7.768,7.768,7.768
2023-11-23,7.768,7.768,7.768,7.768
2023-11-24,7.768,7.768,7.768,7.768
2023-11-27,7.768,7.768,7.768,7.768
2023-11-28,7.768,7.768,7.768,7.768
2023-11-29,9.294,9.294,9.294,9.294
2023-11-30,9.294,9.294,9.294,9.294
2023-12-01,11.130,11.130,11.130,11.130
2023-12-04,11.099,11.099,11.099,11.099
2023-12-05,11.099,11.099,11.099,11.099
2023-12-06,11.130,11.130,11.130,11.130
2023-12-07,11.099,11.099,11.099,11.099
2023-12-08,13.239,13.239,13.239,13.239
2023-12-12,13.239,13.239,13.239,13.239
2023-12-13,13.239,13.239,13.239,13.239
2023-12-14,15.775,15.775,15.775,15.775
2023-12-15,15.775,15.775,15.775,15.775
2023-12-18,15.775,15.775,15.775,15.775
2023-12-19,15.775,15.775,15.775,15.775
2023-12-20,15.775,15.775,15.775,15.775
2023-12-21,15.730,15.730,15.730,15.730
2023-12-22,15.730,15.730,15.730,15.730
2023-12-26,15.686,15.686,15.686,15.686
2023-12-27,15.686,15.686,15.686,15.686
2023-12-28,15.686,15.686,15.686,15.686
2023-12-29,15.686,15.686,15.686,15.686
2024-01-02,15.642,15.642,15.642,15.642
2024-01-03,15.642,17.318,13.966,17.318
2024-01-04,17.318,13.966,13.966,13.966
2024-01-05,13.928,13.928,13.928,13.928
2024-01-08,13.928,13.928,13.928,13.928
2024-01-09,13.928,13.928,13.928,13.928
2024-01-10,13.928,16.685,16.685,16.685
2024-01-11,16.732,16.732,16.732,16.732
2024-01-12,16.732,19.497,19.497,19.497
2024-01-15,19.497,19.497,19.497,19.497
2024-01-16,19.497,15.698,15.698,15.698
2024-01-17,15.655,15.655,15.655,15.655
2024-01-18,15.611,15.611,15.611,15.611
2024-01-19,15.611,18.611,18.611,18.611
2024-01-22,18.611,18.597,18.056,18.056
2024-01-23,18.006,18.006,18.006,18.006
2024-01-24,18.006,17.590,17.452,17.452
2024-01-25,17.500,17.500,17.500,17.500
2024-01-26,17.500,17.500,17.500,17.500
2024-01-29,17.500,17.500,17.500,17.500
2024-01-30,17.452,17.452,17.452,17.452
2024-01-31,17.452,17.452,17.452,17.452
2024-02-01,17.452,17.452,17.452,17.452
2024-02-02,17.403,17.403,17.403,17.403
2024-02-05,17.452,17.452,17.452,17.452
2024-02-06,17.452,17.452,17.452,17.452
2024-02-07,17.403,17.403,17.403,17.403
2024-02-08,17.403,17.403,17.403,17.403
2024-02-09,17.452,17.452,17.452,17.452
2024-02-14,17.403,17.403,17.403,17.403
2024-02-15,17.403,17.403,17.403,17.403
2024-02-16,17.403,17.403,17.403,17.403
2024-02-19,17.403,17.403,17.403,17.403
2024-02-20,17.403,17.403,17.403,17.403
2024-02-21,17.403,17.403,17.403,17.403
2024-02-22,17.403,17.403,17.403,17.403
2024-02-23,17.452,17.452,17.452,17.452
2024-02-26,17.452,17.452,17.452,17.452
2024-02-27,17.500,17.500,17.500,17.500
2024-02-28,17.500,17.361,17.083,17.083
2024-02-29,17.083,17.083,17.083,17.083
2024-03-01,17.083,17.083,17.083,17.083
2024-03-04,16.944,16.944,16.944,16.944
2024-03-05,16.944,16.944,16.944,16.944
2024-03-06,16.944,16.944,16.944,16.944
2024-03-07,16.944,16.944,16.944,16.944
2024-03-08,16.944,16.944,16.944,16.944
2024-03-11,16.898,16.898,16.898,16.898
2024-03-12,16.898,16.898,16.898,16.898
2024-03-13,16.898,16.898,16.898,16.898
2024-03-14,16.851,16.851,16.851,16.851
2024-03-15,16.851,16.851,16.851,16.851
2024-03-18,16.851,16.851,16.851,16.851
2024-03-20,16.851,16.851,16.851,16.851
2024-03-21,16.851,16.851,16.851,16.851
2024-03-22,16.851,20.166,20.166,20.166
2024-03-25,20.166,20.166,20.166,20.166
2024-03-26,20.110,20.110,20.110,20.110
2024-03-27,20.166,20.166,20.166,20.166
2024-04-01,20.166,20.166,20.166,20.166
2024-04-02,20.166,20.166,20.166,20.166
2024-04-03,20.166,23.757,23.757,23.757
2024-04-04,23.757,23.757,23.757,23.757
2024-04-05,23.757,23.757,23.757,23.757
2024-04-09,23.823,23.546,23.546,23.546
2024-04-10,23.546,20.637,20.637,20.637
2024-04-11,20.637,20.637,20.637,20.637
2024-04-12,20.637,20.637,20.637,20.637
2024-04-15,20.580,20.580,20.580,20.580
2024-04-16,20.580,20.580,20.580,20.580
2024-04-17,20.580,20.580,20.580,20.580
2024-04-18,20.580,20.580,20.580,20.580
2024-04-22,20.523,20.523,20.523,20.523
2024-04-23,20.523,23.416,23.416,23.416
2024-04-24,23.416,23.416,23.416,23.416
2024-04-25,23.416,20.523,20.523,20.523
2024-04-26,20.523,20.523,20.523,20.523
2024-04-29,20.523,20.386,20.386,20.386
2024-04-30,20.386,20.386,20.386,20.386
2024-05-02,20.386,19.284,19.284,19.284
2024-05-03,19.231,19.231,19.231,19.231
2024-05-06,19.231,19.231,19.231,19.231
2024-05-07,19.178,19.178,19.178,19.178
2024-05-08,19.178,19.041,19.041,19.041
2024-05-09,19.041,19.041,19.041,19.041
2024-05-10,19.041,19.178,18.904,18.904
2024-05-14,18.904,18.904,18.904,18.904
2024-05-15,18.904,18.904,18.904,18.904
2024-05-16,18.904,18.904,18.904,18.904
2024-05-17,18.904,15.151,15.151,15.151
2024-05-20,15.151,18.164,18.164,18.164
2024-05-21,18.164,18.164,18.164,18.164
2024-05-22,18.164,18.164,18.164,18.164
2024-05-23,18.164,18.164,18.164,18.164
2024-05-24,18.164,18.164,18.164,18.164
2024-05-27,18.164,18.164,18.164,18.164
2024-05-28,18.164,18.164,18.164,18.164
2024-05-29,18.164,17.534,17.534,17.534
2024-05-30,17.582,17.582,17.582,17.582
2024-05-31,17.582,21.099,21.099,21.099
2024-06-04,21.099,19.093,19.093,19.093
2024-06-05,19.093,19.093,19.093,19.093
2024-06-06,19.041,19.041,19.041,19.041
2024-06-07,19.093,17.857,17.857,17.857
2024-06-10,17.520,17.520,17.520,17.520
2024-06-11,17.857,17.857,17.857,17.857
2024-06-12,17.857,17.857,17.857,17.857
2024-06-13,17.857,17.857,17.857,17.857
2024-06-14,17.857,17.857,16.484,16.484
2024-06-18,16.484,17.033,17.033,17.033
2024-06-19,18.733,18.733,18.733,18.733
2024-06-20,18.733,18.733,18.733,18.733
2024-06-21,19.697,19.697,19.697,19.697
2024-06-25,19.697,19.697,19.697,19.697
2024-06-26,19.697,19.697,19.697,19.697
2024-06-27,19.697,19.697,19.697,19.697
2024-06-28,19.643,19.643,19.643,19.643
2024-07-01,19.643,19.643,19.643,19.643
2024-07-02,19.643,19.643,19.643,19.643
2024-07-03,19.643,19.643,19.643,19.643
2024-07-04,19.643,19.643,19.643,19.643
2024-07-08,19.643,19.643,19.643,19.643
2024-07-09,19.643,19.643,19.643,19.643
2024-07-10,19.643,19.643,19.643,19.643
2024-07-11,19.589,19.589,19.589,19.589
2024-07-12,19.589,20.411,20.411,20.411
2024-07-15,20.411,20.411,20.411,20.411
2024-07-16,20.467,20.467,20.467,20.467
2024-07-17,20.411,20.411,20.411,20.411
2024-07-18,20.411,20.548,20.466,20.466
2024-07-19,20.466,20.548,20.548,20.548
2024-07-22,20.107,21.448,21.448,21.448
2024-07-23,21.918,20.548,20.548,20.548
2024-07-25,20.548,20.548,20.521,20.521
2024-07-26,20.521,20.521,20.521,20.521
2024-07-29,20.634,20.634,20.634,20.634
2024-07-30,20.464,20.464,20.464,20.464
2024-07-31,20.464,21.858,21.858,21.858
2024-08-01,21.858,17.814,17.760,17.760
2024-08-02,17.760,17.787,17.760,17.787
2024-08-05,17.787,17.787,17.787,17.787
2024-08-06,17.787,17.787,16.940,16.940
2024-08-07,16.940,16.940,16.940,16.940
2024-08-08,16.940,16.940,16.940,16.940
2024-08-09,16.940,16.940,16.940,16.940
2024-08-12,16.940,16.940,16.940,16.940
2024-08-13,16.940,16.940,16.940,16.940
2024-08-14,16.940,16.940,16.940,16.940
2024-08-15,16.940,16.940,16.940,16.940
2024-08-16,16.940,16.940,16.940,16.940
2024-08-20,16.940,16.913,16.393,16.393
2024-08-21,16.393,16.393,16.393,16.393
2024-08-22,16.393,16.393,16.393,16.393
2024-08-23,16.393,16.393,16.393,16.393
2024-08-26,16.438,16.438,16.438,16.438
2024-08-27,16.438,16.438,16.438,16.438
2024-08-28,16.438,16.438,16.438,16.438
2024-08-29,16.438,16.438,16.438,16.438
2024-08-30,16.393,16.393,16.393,16.393
2024-09-02,16.393,16.393,16.393,16.393
2024-09-03,16.393,16.366,16.366,16.366
2024-09-04,16.366,16.311,16.311,16.311
2024-09-05,16.311,16.311,16.311,16.311
2024-09-06,16.311,16.311,16.311,16.311
2024-09-09,16.311,16.257,16.257,16.257
2024-09-10,16.257,16.257,16.257,16.257
2024-09-11,16.213,16.213,16.213,16.213
2024-09-12,16.213,16.213,16.076,16.076
2024-09-13,16.076,16.076,14.441,16.049
2024-09-17,16.049,16.049,16.049,16.049
2024-09-18,16.049,16.049,16.049,16.049
2024-09-19,14.986,14.986,14.986,14.986
2024-09-20,14.986,14.986,14.986,14.986
2024-09-23,14.946,14.946,14.946,14.946
2024-09-24,14.946,14.946,14.946,14.946
2024-09-25,14.946,14.946,14.946,14.946
2024-09-26,14.946,14.946,14.946,14.946
2024-09-27,14.946,14.946,14.946,14.946
2024-09-30,14.905,14.905,14.905,14.905
2024-10-01,14.905,14.905,14.905,14.905
2024-10-02,14.905,14.905,14.905,14.905
2024-10-03,14.905,14.905,14.905,14.905
2024-10-04,14.905,14.905,14.905,14.905
2024-10-07,14.865,13.514,13.514,13.514
2024-10-08,13.514,13.784,13.784,13.514
2024-10-09,13.514,13.514,13.514,13.514
2024-10-10,13.333,14.667,13.333,13.333
2024-10-11,13.298,13.298,13.298,13.298
2024-10-14,12.887,12.887,12.887,12.887
2024-10-15,12.887,12.887,12.887,12.887
2024-10-16,12.887,14.175,14.175,14.175
2024-10-17,14.103,13.846,13.846,14.103
2024-10-18,14.066,14.066,14.066,14.066
2024-10-21,14.066,12.558,12.558,12.558
