Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.189,0.189,0.189,0.189
2023-03-08,0.191,0.191,0.191,0.191
2023-03-09,0.191,0.191,0.191,0.191
2023-03-10,0.228,0.228,0.228,0.228
2023-03-13,0.228,0.228,0.228,0.228
2023-03-14,0.228,0.228,0.228,0.228
2023-03-15,0.228,0.228,0.228,0.228
2023-03-16,0.230,0.230,0.230,0.230
2023-03-17,0.230,0.230,0.230,0.230
2023-03-20,0.230,0.230,0.230,0.230
2023-03-21,0.230,0.230,0.230,0.230
2023-03-22,0.230,0.230,0.230,0.230
2023-03-23,0.230,0.230,0.230,0.230
2023-03-24,0.230,0.230,0.230,0.230
2023-03-27,0.228,0.228,0.228,0.228
2023-03-28,0.226,0.226,0.226,0.226
2023-03-29,0.226,0.226,0.226,0.226
2023-03-30,0.225,0.225,0.225,0.225
2023-03-31,0.225,0.225,0.225,0.225
2023-04-03,0.225,0.225,0.225,0.225
2023-04-04,0.224,0.224,0.224,0.224
2023-04-05,0.225,0.225,0.225,0.225
2023-04-10,0.225,0.225,0.225,0.225
2023-04-11,0.225,0.225,0.225,0.225
2023-04-12,0.226,0.226,0.226,0.226
2023-04-13,0.225,0.225,0.225,0.225
2023-04-14,0.225,0.225,0.225,0.225
2023-04-17,0.224,0.224,0.224,0.224
2023-04-18,0.204,0.204,0.204,0.204
2023-04-20,0.204,0.204,0.204,0.204
2023-04-21,0.204,0.204,0.204,0.204
2023-04-24,0.196,0.196,0.196,0.196
2023-04-25,0.195,0.195,0.195,0.195
2023-04-26,0.203,0.203,0.203,0.203
2023-04-27,0.203,0.203,0.203,0.203
2023-04-28,0.202,0.202,0.202,0.202
2023-05-02,0.202,0.202,0.202,0.202
2023-05-03,0.202,0.202,0.202,0.202
2023-05-04,0.202,0.202,0.202,0.202
2023-05-05,0.200,0.200,0.200,0.200
2023-05-08,0.200,0.200,0.200,0.200
2023-05-09,0.200,0.200,0.200,0.200
2023-05-10,0.200,0.200,0.200,0.200
2023-05-11,0.199,0.199,0.199,0.199
2023-05-12,0.199,0.199,0.199,0.199
2023-05-15,0.199,0.199,0.199,0.199
2023-05-16,0.197,0.197,0.197,0.197
2023-05-17,0.230,0.230,0.230,0.230
2023-05-18,0.230,0.230,0.230,0.230
2023-05-19,0.230,0.230,0.230,0.230
2023-05-23,0.228,0.228,0.228,0.228
2023-05-24,0.251,0.251,0.251,0.251
2023-05-25,0.250,0.250,0.250,0.250
2023-05-26,0.269,0.269,0.269,0.269
2023-05-29,0.269,0.269,0.269,0.269
2023-05-30,0.269,0.269,0.269,0.269
2023-05-31,0.268,0.268,0.268,0.268
2023-06-01,0.230,0.230,0.230,0.230
2023-06-02,0.268,0.268,0.268,0.268
2023-06-05,0.227,0.227,0.227,0.227
2023-06-06,0.226,0.226,0.226,0.226
2023-06-07,0.226,0.226,0.226,0.226
2023-06-08,0.226,0.226,0.226,0.226
2023-06-13,0.269,0.269,0.269,0.269
2023-06-14,0.259,0.259,0.259,0.259
2023-06-15,0.259,0.259,0.259,0.259
2023-06-16,0.259,0.259,0.259,0.259
2023-06-20,0.272,0.272,0.272,0.272
2023-06-21,0.257,0.257,0.257,0.257
2023-06-22,0.257,0.257,0.257,0.257
2023-06-23,0.258,0.258,0.258,0.258
2023-06-26,0.261,0.261,0.261,0.261
2023-06-27,0.258,0.258,0.258,0.258
2023-06-28,0.258,0.258,0.258,0.258
2023-06-29,0.255,0.255,0.255,0.255
2023-06-30,0.255,0.255,0.255,0.255
2023-07-04,0.255,0.255,0.255,0.255
2023-07-06,0.253,0.253,0.253,0.253
2023-07-07,0.253,0.253,0.253,0.253
2023-07-10,0.252,0.252,0.252,0.252
2023-07-11,0.252,0.252,0.252,0.252
2023-07-12,0.252,0.252,0.252,0.252
2023-07-13,0.253,0.253,0.253,0.253
2023-07-14,0.251,0.251,0.251,0.251
2023-07-17,0.251,0.251,0.251,0.251
2023-07-18,0.250,0.250,0.250,0.250
