Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.263,0.263,0.263,0.263
2023-03-08,0.266,0.266,0.266,0.266
2023-03-09,0.266,0.266,0.266,0.266
2023-03-10,0.266,0.266,0.266,0.266
2023-03-13,0.266,0.266,0.266,0.266
2023-03-14,0.266,0.266,0.266,0.266
2023-03-15,0.257,0.257,0.257,0.257
2023-03-16,0.259,0.259,0.259,0.259
2023-03-17,0.259,0.259,0.259,0.259
2023-03-20,0.259,0.259,0.259,0.259
2023-03-21,0.259,0.259,0.259,0.259
2023-03-22,0.251,0.251,0.251,0.251
2023-03-23,0.268,0.268,0.268,0.268
2023-03-24,0.272,0.272,0.272,0.272
2023-03-27,0.270,0.270,0.270,0.270
2023-03-28,0.267,0.267,0.267,0.267
2023-03-29,0.267,0.267,0.267,0.267
2023-03-30,0.266,0.266,0.266,0.266
2023-03-31,0.266,0.266,0.266,0.266
2023-04-03,0.266,0.266,0.266,0.266
2023-04-04,0.265,0.265,0.265,0.265
2023-04-05,0.270,0.270,0.270,0.270
2023-04-10,0.266,0.266,0.266,0.266
2023-04-11,0.266,0.266,0.266,0.266
2023-04-12,0.272,0.272,0.272,0.272
2023-04-13,0.270,0.270,0.270,0.270
2023-04-14,0.270,0.270,0.270,0.270
2023-04-17,0.265,0.265,0.265,0.265
2023-04-18,0.265,0.265,0.265,0.265
2023-04-20,0.265,0.265,0.265,0.265
2023-04-21,0.265,0.265,0.265,0.265
2023-04-24,0.278,0.278,0.278,0.278
2023-04-25,0.280,0.280,0.280,0.280
2023-04-26,0.285,0.285,0.285,0.285
2023-04-27,0.285,0.285,0.285,0.285
2023-04-28,0.283,0.283,0.283,0.283
2023-05-02,0.283,0.283,0.283,0.283
2023-05-03,0.283,0.283,0.283,0.283
2023-05-04,0.286,0.286,0.286,0.286
2023-05-05,0.284,0.284,0.284,0.284
2023-05-08,0.296,0.296,0.296,0.296
2023-05-09,0.296,0.296,0.296,0.296
2023-05-10,0.304,0.304,0.304,0.304
2023-05-11,0.303,0.303,0.303,0.303
2023-05-12,0.307,0.307,0.307,0.307
2023-05-15,0.303,0.303,0.303,0.303
2023-05-16,0.299,0.299,0.299,0.299
2023-05-17,0.297,0.297,0.297,0.297
2023-05-18,0.297,0.297,0.297,0.297
2023-05-19,0.296,0.296,0.296,0.296
2023-05-23,0.305,0.305,0.305,0.305
2023-05-24,0.305,0.305,0.305,0.305
2023-05-25,0.296,0.296,0.296,0.296
2023-05-26,0.296,0.296,0.296,0.296
2023-05-29,0.304,0.304,0.304,0.304
2023-05-30,0.300,0.300,0.300,0.300
2023-05-31,0.299,0.299,0.299,0.299
2023-06-01,0.303,0.303,0.303,0.303
2023-06-02,0.303,0.303,0.303,0.303
2023-06-05,0.295,0.295,0.295,0.295
2023-06-06,0.294,0.294,0.294,0.294
2023-06-07,0.289,0.289,0.289,0.289
2023-06-08,0.297,0.297,0.297,0.297
2023-06-13,0.284,0.284,0.284,0.284
2023-06-14,0.296,0.296,0.296,0.296
2023-06-15,0.296,0.296,0.296,0.296
2023-06-16,0.300,0.300,0.300,0.300
2023-06-20,0.323,0.323,0.323,0.323
2023-06-21,0.309,0.309,0.309,0.309
2023-06-22,0.312,0.312,0.312,0.312
2023-06-23,0.309,0.309,0.309,0.309
2023-06-26,0.316,0.316,0.316,0.316
2023-06-27,0.309,0.309,0.309,0.309
2023-06-28,0.309,0.309,0.309,0.309
2023-06-29,0.309,0.309,0.309,0.309
2023-06-30,0.299,0.299,0.299,0.299
2023-07-04,0.299,0.299,0.299,0.299
2023-07-06,0.306,0.306,0.306,0.306
2023-07-07,0.299,0.299,0.299,0.299
2023-07-10,0.301,0.301,0.301,0.301
2023-07-11,0.301,0.301,0.301,0.301
2023-07-12,0.301,0.301,0.301,0.301
2023-07-13,0.295,0.295,0.295,0.295
2023-07-14,0.283,0.283,0.283,0.283
2023-07-17,0.300,0.300,0.300,0.300
2023-07-18,0.299,0.299,0.299,0.299
2023-07-19,0.297,0.297,0.297,0.297
2023-07-20,0.295,0.295,0.295,0.295
2023-07-21,0.295,0.295,0.295,0.295
2023-07-25,0.293,0.293,0.293,0.293
2023-07-26,0.293,0.293,0.293,0.293
2023-07-27,0.295,0.295,0.295,0.295
2023-07-28,0.301,0.301,0.301,0.301
