Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-10,0.032,0.032,0.032,0.032
2023-01-11,0.030,0.030,0.030,0.030
2023-01-12,0.031,0.031,0.031,0.031
2023-01-13,0.029,0.029,0.029,0.029
2023-01-16,0.034,0.034,0.034,0.034
2023-01-17,0.032,0.032,0.032,0.032
2023-01-18,0.032,0.032,0.032,0.032
2023-01-19,0.028,0.028,0.028,0.028
2023-01-20,0.027,0.027,0.027,0.027
2023-01-23,0.025,0.025,0.025,0.025
2023-01-24,0.028,0.028,0.028,0.028
2023-01-25,0.026,0.026,0.026,0.026
2023-01-26,0.027,0.027,0.027,0.027
2023-01-27,0.031,0.031,0.031,0.031
2023-01-30,0.030,0.030,0.030,0.030
2023-01-31,0.031,0.031,0.031,0.031
2023-02-01,0.033,0.033,0.033,0.033
2023-02-02,0.032,0.032,0.032,0.032
2023-02-03,0.031,0.031,0.031,0.031
2023-02-06,0.031,0.031,0.031,0.031
2023-02-07,0.030,0.030,0.030,0.030
2023-02-08,0.029,0.029,0.029,0.029
2023-02-09,0.028,0.028,0.028,0.028
2023-02-10,0.028,0.028,0.028,0.028
2023-02-13,0.028,0.028,0.028,0.028
2023-02-14,0.029,0.029,0.029,0.029
2023-02-15,0.029,0.029,0.029,0.029
2023-02-16,0.029,0.029,0.029,0.029
2023-02-17,0.034,0.034,0.034,0.034
2023-02-22,0.033,0.033,0.033,0.033
2023-02-23,0.033,0.033,0.033,0.033
2023-02-24,0.034,0.034,0.034,0.034
2023-02-27,0.034,0.034,0.034,0.034
2023-02-28,0.034,0.034,0.034,0.034
2023-03-01,0.037,0.037,0.037,0.037
2023-03-02,0.037,0.037,0.037,0.037
2023-03-03,0.037,0.037,0.037,0.037
2023-03-06,0.037,0.037,0.037,0.037
2023-03-07,0.037,0.037,0.037,0.037
2023-03-08,0.036,0.036,0.036,0.036
2023-03-09,0.030,0.030,0.030,0.030
2023-03-10,0.034,0.034,0.034,0.034
2023-03-13,0.034,0.034,0.034,0.034
2023-03-14,0.035,0.035,0.035,0.035
2023-03-15,0.035,0.035,0.035,0.035
2023-03-16,0.036,0.036,0.036,0.036
2023-03-17,0.035,0.035,0.035,0.035
2023-03-20,0.036,0.036,0.036,0.036
2023-03-21,0.035,0.035,0.035,0.035
2023-03-22,0.035,0.035,0.035,0.035
2023-03-23,0.035,0.035,0.035,0.035
2023-03-24,0.035,0.035,0.035,0.035
2023-03-27,0.035,0.035,0.035,0.035
2023-03-28,0.034,0.034,0.034,0.034
2023-03-29,0.035,0.035,0.035,0.035
2023-03-30,0.035,0.035,0.035,0.035
2023-03-31,0.040,0.040,0.040,0.040
2023-04-03,0.040,0.040,0.040,0.040
2023-04-04,0.040,0.040,0.040,0.040
2023-04-05,0.040,0.040,0.040,0.040
2023-04-10,0.040,0.040,0.040,0.040
2023-04-11,0.040,0.040,0.040,0.040
2023-04-12,0.047,0.047,0.047,0.047
2023-04-13,0.047,0.047,0.047,0.047
2023-04-14,0.047,0.047,0.047,0.047
2023-04-17,0.047,0.047,0.047,0.047
2023-04-18,0.046,0.046,0.046,0.046
2023-04-20,0.046,0.046,0.046,0.046
2023-04-21,0.046,0.046,0.046,0.046
2023-04-24,0.046,0.046,0.046,0.046
2023-04-25,0.046,0.046,0.046,0.046
2023-04-26,0.053,0.053,0.053,0.053
2023-04-27,0.053,0.053,0.053,0.053
2023-04-28,0.043,0.043,0.043,0.043
2023-05-02,0.045,0.045,0.045,0.045
2023-05-03,0.045,0.045,0.045,0.045
2023-05-04,0.044,0.044,0.044,0.044
2023-05-05,0.040,0.040,0.040,0.040
2023-05-08,0.040,0.040,0.040,0.040
2023-05-09,0.047,0.047,0.047,0.047
2023-05-10,0.047,0.047,0.047,0.047
2023-05-11,0.052,0.052,0.052,0.052
2023-05-12,0.048,0.048,0.048,0.048
2023-05-15,0.052,0.052,0.052,0.052
2023-05-16,0.047,0.047,0.047,0.047
2023-05-17,0.055,0.055,0.055,0.055
2023-05-18,0.045,0.045,0.045,0.045
2023-05-19,0.053,0.053,0.053,0.053
2023-05-23,0.055,0.055,0.055,0.055
2023-05-24,0.064,0.064,0.064,0.064
2023-05-25,0.064,0.064,0.064,0.064
2023-05-26,0.058,0.058,0.058,0.058
2023-05-29,0.063,0.063,0.063,0.063
2023-05-30,0.062,0.062,0.062,0.062
2023-05-31,0.050,0.050,0.050,0.050
2023-06-01,0.057,0.057,0.057,0.057
2023-06-02,0.048,0.048,0.048,0.048
2023-06-05,0.055,0.055,0.055,0.055
2023-06-06,0.054,0.054,0.054,0.054
2023-06-07,0.053,0.053,0.053,0.053
2023-06-08,0.056,0.056,0.056,0.056
2023-06-13,0.056,0.056,0.056,0.056
2023-06-14,0.063,0.063,0.063,0.063
2023-06-15,0.062,0.062,0.062,0.062
2023-06-16,0.059,0.059,0.059,0.059
2023-06-20,0.064,0.064,0.064,0.064
2023-06-21,0.058,0.058,0.058,0.058
2023-06-22,0.055,0.055,0.055,0.055
2023-06-23,0.054,0.054,0.054,0.054
2023-06-26,0.055,0.055,0.055,0.055
2023-06-27,0.054,0.054,0.054,0.054
2023-06-28,0.054,0.054,0.054,0.054
2023-06-29,0.054,0.054,0.054,0.054
2023-06-30,0.052,0.052,0.052,0.052
2023-07-04,0.052,0.052,0.052,0.052
2023-07-06,0.051,0.051,0.051,0.051
2023-07-07,0.049,0.049,0.049,0.049
2023-07-10,0.042,0.042,0.042,0.042
2023-07-11,0.050,0.050,0.050,0.050
2023-07-12,0.051,0.051,0.051,0.051
