Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.091,0.091,0.091,0.091
2023-03-08,0.091,0.091,0.091,0.091
2023-03-09,0.091,0.091,0.091,0.091
2023-03-10,0.091,0.091,0.091,0.091
2023-03-13,0.100,0.100,0.100,0.100
2023-03-14,0.104,0.104,0.104,0.104
2023-03-15,0.100,0.100,0.100,0.100
2023-03-16,0.100,0.100,0.100,0.100
2023-03-17,0.121,0.121,0.121,0.121
2023-03-20,0.138,0.138,0.138,0.138
2023-03-21,0.138,0.138,0.138,0.138
2023-03-22,0.138,0.138,0.138,0.138
2023-03-23,0.138,0.138,0.138,0.138
2023-03-24,0.138,0.138,0.138,0.138
2023-03-27,0.158,0.158,0.158,0.158
2023-03-28,0.156,0.156,0.156,0.156
2023-03-29,0.156,0.156,0.156,0.156
2023-03-30,0.156,0.156,0.156,0.156
2023-03-31,0.156,0.156,0.156,0.156
2023-04-03,0.123,0.123,0.123,0.123
2023-04-04,0.122,0.122,0.122,0.122
2023-04-05,0.180,0.180,0.180,0.180
2023-04-10,0.180,0.180,0.180,0.180
2023-04-11,0.180,0.180,0.180,0.180
2023-04-12,0.181,0.181,0.181,0.181
2023-04-13,0.180,0.180,0.180,0.180
2023-04-14,0.180,0.180,0.180,0.180
2023-04-17,0.176,0.176,0.176,0.176
2023-04-18,0.176,0.176,0.176,0.176
2023-04-20,0.204,0.204,0.204,0.204
2023-04-21,0.245,0.245,0.245,0.245
2023-04-24,0.245,0.245,0.245,0.245
2023-04-25,0.244,0.244,0.244,0.244
2023-04-26,0.244,0.244,0.244,0.244
2023-04-27,0.244,0.244,0.244,0.244
2023-04-28,0.243,0.243,0.243,0.243
2023-05-02,0.243,0.243,0.243,0.243
2023-05-03,0.243,0.243,0.243,0.243
2023-05-04,0.242,0.242,0.242,0.242
2023-05-05,0.280,0.280,0.280,0.280
2023-05-08,0.328,0.328,0.328,0.328
2023-05-09,0.320,0.320,0.320,0.320
2023-05-10,0.320,0.320,0.320,0.320
2023-05-11,0.319,0.319,0.319,0.319
2023-05-12,0.319,0.319,0.319,0.319
2023-05-15,0.319,0.319,0.319,0.319
2023-05-16,0.315,0.315,0.315,0.315
2023-05-17,0.375,0.375,0.375,0.375
2023-05-18,0.375,0.375,0.375,0.375
2023-05-19,0.428,0.428,0.428,0.428
2023-05-23,0.425,0.425,0.425,0.425
2023-05-24,0.502,0.502,0.502,0.502
2023-05-25,0.596,0.596,0.596,0.596
2023-05-26,0.596,0.596,0.596,0.596
2023-05-29,0.596,0.596,0.596,0.596
2023-05-30,0.596,0.596,0.596,0.596
2023-05-31,0.594,0.594,0.594,0.594
2023-06-01,0.575,0.575,0.575,0.575
2023-06-02,0.667,0.667,0.667,0.667
2023-06-05,0.720,0.720,0.720,0.720
2023-06-06,0.717,0.717,0.717,0.717
2023-06-07,0.808,0.808,0.808,0.808
2023-06-08,0.808,0.808,0.808,0.808
2023-06-13,0.966,0.966,0.966,0.966
2023-06-14,0.956,0.956,0.956,0.956
2023-06-15,0.956,0.956,0.956,0.956
2023-06-16,0.956,0.956,0.956,0.956
2023-06-20,1.004,1.004,1.004,1.004
2023-06-21,0.949,0.949,0.949,0.949
2023-06-22,0.952,0.952,0.952,0.952
2023-06-23,0.942,0.942,0.942,0.942
2023-06-26,1.103,1.103,1.103,1.103
2023-06-27,1.273,1.273,1.273,1.273
2023-06-28,1.273,1.273,1.273,1.273
2023-06-29,1.259,1.259,1.259,1.259
2023-06-30,1.259,1.259,1.259,1.259
2023-07-04,1.259,1.259,1.259,1.259
2023-07-06,1.246,1.246,1.246,1.246
2023-07-07,1.246,1.246,1.246,1.246
2023-07-10,1.241,1.241,1.241,1.241
2023-07-11,1.241,1.241,1.241,1.241
2023-07-12,1.241,1.241,1.241,1.241
2023-07-13,1.246,1.246,1.246,1.246
2023-07-14,1.237,1.237,1.237,1.237
2023-07-17,1.060,1.060,1.060,1.060
2023-07-18,1.056,1.056,1.056,1.056
2023-07-19,1.049,1.049,1.049,1.049
2023-07-20,0.833,0.833,0.833,0.833
2023-07-21,0.868,0.868,0.868,0.868
2023-07-25,0.862,0.862,0.862,0.862
2023-07-26,0.862,0.862,0.862,0.862
2023-07-27,0.788,0.788,0.788,0.788
2023-07-28,0.788,0.788,0.788,0.788
2023-07-31,0.788,0.788,0.788,0.788
2023-08-01,0.782,0.782,0.782,0.782
2023-08-02,0.782,0.782,0.782,0.782
2023-08-03,0.782,0.782,0.782,0.782
2023-08-04,0.624,0.624,0.624,0.624
2023-08-07,0.627,0.627,0.627,0.627
2023-08-08,0.593,0.593,0.593,0.593
2023-08-09,0.573,0.573,0.573,0.573
2023-08-10,0.559,0.559,0.559,0.559
2023-08-11,0.536,0.536,0.536,0.536
2023-08-15,0.523,0.523,0.523,0.523
2023-08-16,0.490,0.490,0.490,0.490
2023-08-17,0.490,0.490,0.490,0.490
2023-08-18,0.473,0.473,0.473,0.473
2023-08-21,0.378,0.378,0.378,0.378
2023-08-22,0.349,0.349,0.349,0.349
2023-08-23,0.336,0.336,0.336,0.336
2023-08-24,0.330,0.330,0.330,0.330
2023-08-25,0.327,0.327,0.327,0.327
2023-08-28,0.327,0.327,0.327,0.327
2023-08-29,0.327,0.327,0.327,0.327
2023-08-30,0.327,0.327,0.327,0.327
2023-08-31,0.327,0.327,0.327,0.327
2023-09-01,0.327,0.327,0.327,0.327
2023-09-04,0.327,0.327,0.327,0.327
2023-09-05,0.324,0.324,0.324,0.324
2023-09-06,0.324,0.324,0.324,0.324
2023-09-07,0.322,0.322,0.322,0.322
2023-09-08,0.312,0.312,0.312,0.312
2023-09-12,0.309,0.309,0.309,0.309
2023-09-13,0.309,0.309,0.309,0.309
2023-09-14,0.309,0.309,0.309,0.309
2023-09-15,0.308,0.308,0.308,0.308
2023-09-18,0.308,0.308,0.308,0.308
2023-09-19,0.308,0.308,0.308,0.308
2023-09-20,0.306,0.306,0.306,0.306
2023-09-21,0.306,0.306,0.306,0.306
2023-09-22,0.305,0.305,0.305,0.305
2023-09-25,0.305,0.305,0.305,0.305
2023-09-26,0.304,0.304,0.304,0.304
2023-09-27,0.303,0.303,0.303,0.303
2023-09-28,0.301,0.301,0.301,0.301
2023-09-29,0.301,0.301,0.301,0.301
2023-10-02,0.301,0.301,0.301,0.301
2023-10-03,0.299,0.299,0.299,0.299
2023-10-04,0.299,0.299,0.299,0.299
2023-10-05,0.298,0.298,0.298,0.298
2023-10-06,0.298,0.298,0.298,0.298
2023-10-09,0.297,0.297,0.297,0.297
2023-10-10,0.297,0.297,0.297,0.297
2023-10-11,0.297,0.297,0.297,0.297
2023-10-13,0.296,0.296,0.296,0.296
2023-10-16,0.296,0.296,0.296,0.296
2023-10-17,0.296,0.296,0.296,0.296
2023-10-18,0.296,0.296,0.296,0.296
2023-10-19,0.297,0.297,0.297,0.297
2023-10-20,0.296,0.296,0.296,0.296
2023-10-23,0.296,0.296,0.296,0.296
2023-10-24,0.295,0.295,0.295,0.295
2023-10-25,0.295,0.295,0.295,0.295
2023-10-26,0.295,0.295,0.295,0.295
2023-10-27,0.295,0.295,0.295,0.295
2023-10-31,0.295,0.295,0.295,0.295
2023-11-01,0.294,0.294,0.294,0.294
2023-11-02,0.294,0.294,0.294,0.294
2023-11-03,0.294,0.294,0.294,0.294
2023-11-07,0.293,0.293,0.293,0.293
2023-11-08,0.293,0.293,0.293,0.293
2023-11-09,0.293,0.293,0.293,0.293
2023-11-10,0.293,0.293,0.293,0.293
2023-11-13,0.293,0.293,0.293,0.293
2023-11-14,0.292,0.292,0.292,0.292
2023-11-15,0.292,0.292,0.292,0.292
2023-11-16,0.292,0.292,0.292,0.292
2023-11-17,0.278,0.278,0.278,0.278
2023-11-20,0.278,0.278,0.278,0.278
2023-11-21,0.277,0.277,0.277,0.277
2023-11-22,0.291,0.291,0.291,0.291
2023-11-23,0.291,0.291,0.291,0.291
2023-11-24,0.291,0.291,0.291,0.291
2023-11-27,0.291,0.291,0.291,0.291
