Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2026-01-08,13.012,15.452,14.245,14.245
2026-01-09,14.076,0.000,0.000,14.076
2026-01-13,13.490,14.787,13.863,14.781
2026-01-14,14.561,16.015,13.809,15.175
2026-01-15,15.175,15.175,13.809,14.719
2026-01-16,14.336,14.484,13.006,13.302
2026-01-20,13.302,13.863,12.415,12.563
2026-01-21,12.467,13.464,11.352,12.467
2026-01-22,12.467,12.467,11.352,11.440
2026-01-23,11.259,12.125,11.114,11.114
2026-01-26,11.114,11.547,11.259,11.547
2026-01-27,11.370,11.364,10.462,11.364
2026-01-28,11.364,11.370,10.233,11.370
2026-01-29,11.370,12.223,11.370,12.223
2026-01-30,12.011,12.570,11.173,12.011
2026-02-02,12.011,12.011,12.011,12.011
2026-02-03,11.644,12.805,10.696,12.727
2026-02-04,12.727,13.810,13.268,13.539
2026-02-05,13.470,14.547,13.470,14.547
2026-02-06,14.547,15.894,13.470,15.894
2026-02-09,15.629,17.219,15.629,16.752
2026-02-10,16.456,16.133,14.286,14.572
2026-02-11,14.572,16.456,13.167,14.572
2026-02-12,14.440,15.472,14.492,15.343
2026-02-13,15.284,16.697,15.412,16.568
2026-02-18,16.446,19.120,16.573,17.848
2026-02-19,17.704,18.968,17.172,17.172
2026-02-20,17.172,18.968,17.172,17.693
2026-02-23,17.591,18.858,15.087,15.841
2026-02-24,15.699,18.682,15.699,18.315
2026-02-25,17.883,20.681,17.032,17.759
2026-02-26,17.630,20.529,17.150,17.391
2026-02-27,17.254,17.491,17.014,17.254
2026-03-02,17.171,20.272,17.291,17.887
2026-03-03,17.802,21.125,14.244,17.802
2026-03-04,17.655,20.009,17.185,17.185
2026-03-05,17.064,18.700,16.363,16.363
2026-03-06,16.241,17.169,15.197,17.169
2026-03-09,17.011,18.391,17.011,17.241
2026-03-10,17.194,18.313,16.506,16.965
2026-03-11,16.887,20.082,14.833,17.115
2026-03-12,17.011,18.145,17.011,17.691
2026-03-13,17.599,20.307,17.599,17.599
2026-03-16,17.481,20.975,17.481,18.938
2026-03-17,18.853,19.411,15.172,19.411
2026-03-18,19.269,21.927,18.162,21.041
2026-03-20,20.870,25.042,19.991,19.991
2026-03-23,19.912,19.912,16.278,19.801
2026-03-24,19.693,20.022,18.716,18.716
2026-03-25,18.595,19.557,15.351,18.811
2026-03-26,18.646,19.074,17.145,18.324
2026-03-27,18.246,18.139,16.859,17.926
2026-03-30,17.808,19.078,16.960,17.808
2026-03-31,17.808,17.808,17.384,17.384
2026-04-01,17.303,17.299,15.826,16.037
