Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,1.560,1.560,1.560,1.560
2023-03-08,1.573,1.573,1.573,1.573
2023-03-09,1.573,1.573,1.573,1.573
2023-03-10,1.573,1.573,1.573,1.573
2023-03-13,1.656,1.656,1.656,1.656
2023-03-14,1.656,1.656,1.656,1.656
2023-03-15,1.573,1.573,1.573,1.573
2023-03-16,1.628,1.628,1.628,1.628
2023-03-17,1.464,1.464,1.464,1.464
2023-03-20,1.669,1.669,1.669,1.669
2023-03-21,1.669,1.669,1.669,1.669
2023-03-22,1.628,1.628,1.628,1.628
2023-03-23,1.628,1.628,1.628,1.628
2023-03-24,1.628,1.628,1.628,1.628
2023-03-27,1.614,1.614,1.614,1.614
2023-03-28,1.601,1.601,1.601,1.601
2023-03-29,1.597,1.597,1.597,1.597
2023-03-30,1.590,1.590,1.590,1.590
2023-03-31,1.590,1.590,1.590,1.590
2023-04-03,1.570,1.570,1.570,1.570
2023-04-04,1.563,1.563,1.563,1.563
2023-04-05,1.717,1.717,1.717,1.717
2023-04-10,1.717,1.717,1.717,1.717
2023-04-11,1.717,1.717,1.717,1.717
2023-04-12,1.724,1.724,1.724,1.724
2023-04-13,1.717,1.717,1.717,1.717
2023-04-14,1.717,1.717,1.717,1.717
2023-04-17,1.584,1.584,1.584,1.584
2023-04-18,1.584,1.584,1.584,1.584
2023-04-20,1.551,1.551,1.551,1.551
2023-04-21,1.673,1.673,1.673,1.673
2023-04-24,1.694,1.694,1.694,1.694
2023-04-25,1.707,1.707,1.707,1.707
2023-04-26,1.825,1.825,1.825,1.825
2023-04-27,1.825,1.825,1.825,1.825
2023-04-28,1.818,1.818,1.818,1.818
2023-05-02,1.818,1.818,1.818,1.818
2023-05-03,1.818,1.818,1.818,1.818
2023-05-04,1.810,1.810,1.810,1.810
2023-05-05,1.796,1.796,1.796,1.796
2023-05-08,1.996,1.996,1.996,1.996
2023-05-09,1.996,1.996,1.996,1.996
2023-05-10,1.996,1.996,1.996,1.996
2023-05-11,1.988,1.988,1.988,1.988
2023-05-12,1.948,1.948,1.948,1.948
2023-05-15,1.948,1.948,1.948,1.948
2023-05-16,1.886,1.886,1.886,1.886
2023-05-17,1.871,1.871,1.871,1.871
2023-05-18,1.832,1.832,1.832,1.832
2023-05-19,1.747,1.747,1.747,1.747
2023-05-23,1.830,1.830,1.830,1.830
2023-05-24,1.830,1.830,1.830,1.830
2023-05-25,1.804,1.804,1.804,1.804
2023-05-26,1.804,1.804,1.804,1.804
