Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-30,0.510,0.510,0.510,0.510
2023-01-31,0.510,0.510,0.510,0.510
2023-02-01,0.510,0.510,0.510,0.510
2023-02-02,0.501,0.501,0.501,0.501
2023-02-03,0.485,0.485,0.485,0.485
2023-02-06,0.485,0.485,0.485,0.485
2023-02-07,0.480,0.480,0.480,0.480
2023-02-08,0.511,0.511,0.511,0.511
2023-02-09,0.501,0.501,0.501,0.501
2023-02-10,0.497,0.497,0.497,0.497
2023-02-13,0.509,0.509,0.509,0.509
2023-02-14,0.509,0.509,0.509,0.509
2023-02-15,0.512,0.512,0.512,0.512
2023-02-16,0.512,0.512,0.512,0.512
2023-02-17,0.512,0.512,0.512,0.512
2023-02-22,0.500,0.500,0.500,0.500
2023-02-23,0.500,0.500,0.500,0.500
2023-02-24,0.500,0.500,0.500,0.500
2023-02-27,0.500,0.500,0.500,0.500
2023-02-28,0.501,0.501,0.501,0.501
2023-03-01,0.501,0.501,0.501,0.501
2023-03-02,0.502,0.502,0.502,0.502
2023-03-03,0.502,0.502,0.502,0.502
2023-03-06,0.503,0.503,0.503,0.503
2023-03-07,0.503,0.503,0.503,0.503
2023-03-08,0.506,0.506,0.506,0.506
2023-03-09,0.506,0.506,0.506,0.506
2023-03-10,0.506,0.506,0.506,0.506
2023-03-13,0.507,0.507,0.507,0.507
2023-03-14,0.507,0.507,0.507,0.507
2023-03-15,0.507,0.507,0.507,0.507
2023-03-16,0.510,0.510,0.510,0.510
2023-03-17,0.510,0.510,0.510,0.510
2023-03-20,0.510,0.510,0.510,0.510
2023-03-21,0.510,0.510,0.510,0.510
2023-03-22,0.510,0.510,0.510,0.510
2023-03-23,0.510,0.510,0.510,0.510
2023-03-24,0.510,0.510,0.510,0.510
2023-03-27,0.507,0.507,0.507,0.507
2023-03-28,0.501,0.501,0.501,0.501
2023-03-29,0.501,0.501,0.501,0.501
2023-03-30,0.501,0.501,0.501,0.501
2023-03-31,0.499,0.499,0.499,0.499
2023-04-03,0.499,0.499,0.499,0.499
2023-04-04,0.499,0.499,0.499,0.499
2023-04-05,0.499,0.499,0.499,0.499
2023-04-10,0.499,0.499,0.499,0.499
2023-04-11,0.499,0.499,0.499,0.499
2023-04-12,0.501,0.501,0.501,0.501
2023-04-13,0.500,0.500,0.500,0.500
2023-04-14,0.499,0.499,0.499,0.499
2023-04-17,0.498,0.498,0.498,0.498
2023-04-18,0.498,0.498,0.498,0.498
2023-04-20,0.498,0.498,0.498,0.498
2023-04-21,0.498,0.498,0.498,0.498
2023-04-24,0.531,0.531,0.531,0.531
2023-04-25,0.529,0.529,0.529,0.529
2023-04-26,0.529,0.529,0.529,0.529
2023-04-27,0.529,0.529,0.529,0.529
2023-04-28,0.527,0.527,0.527,0.527
2023-05-02,0.527,0.527,0.527,0.527
2023-05-03,0.527,0.527,0.527,0.527
2023-05-04,0.525,0.525,0.525,0.525
2023-05-05,0.521,0.521,0.521,0.521
2023-05-08,0.520,0.520,0.520,0.520
2023-05-09,0.520,0.520,0.520,0.520
2023-05-10,0.520,0.520,0.520,0.520
2023-05-11,0.518,0.518,0.518,0.518
2023-05-12,0.518,0.518,0.518,0.518
2023-05-15,0.518,0.518,0.518,0.518
2023-05-16,0.512,0.512,0.512,0.512
2023-05-17,0.508,0.508,0.508,0.508
2023-05-18,0.508,0.508,0.508,0.508
2023-05-19,0.505,0.505,0.505,0.505
2023-05-23,0.501,0.501,0.501,0.501
2023-05-24,0.501,0.501,0.501,0.501
2023-05-25,0.539,0.539,0.539,0.539
2023-05-26,0.539,0.539,0.539,0.539
2023-05-29,0.539,0.539,0.539,0.539
2023-05-30,0.539,0.539,0.539,0.539
2023-05-31,0.537,0.537,0.537,0.537
2023-06-01,0.537,0.537,0.537,0.537
2023-06-02,0.537,0.537,0.537,0.537
2023-06-05,0.530,0.530,0.530,0.530
2023-06-06,0.528,0.528,0.528,0.528
2023-06-07,0.527,0.527,0.527,0.527
2023-06-08,0.527,0.527,0.527,0.527
2023-06-09,0.526,0.526,0.526,0.526
2023-06-13,0.523,0.523,0.523,0.523
2023-06-14,0.519,0.519,0.519,0.519
2023-06-15,0.519,0.519,0.519,0.519
2023-06-16,0.518,0.518,0.518,0.518
2023-06-20,0.544,0.544,0.544,0.544
2023-06-21,0.515,0.515,0.515,0.515
2023-06-22,0.514,0.514,0.514,0.514
2023-06-23,0.510,0.510,0.510,0.510
2023-06-26,0.514,0.514,0.514,0.514
2023-06-27,0.508,0.508,0.508,0.508
2023-06-28,0.508,0.508,0.508,0.508
2023-06-29,0.504,0.504,0.504,0.504
2023-06-30,0.504,0.504,0.504,0.504
2023-07-04,0.504,0.504,0.504,0.504
2023-07-06,0.498,0.498,0.498,0.498
2023-07-07,0.498,0.498,0.498,0.498
2023-07-10,0.496,0.496,0.496,0.496
2023-07-11,0.496,0.496,0.496,0.496
2023-07-12,0.496,0.496,0.496,0.496
2023-07-13,0.498,0.498,0.498,0.498
2023-07-14,0.495,0.495,0.495,0.495
2023-07-17,0.495,0.495,0.495,0.495
2023-07-18,0.546,0.546,0.546,0.546
2023-07-19,0.542,0.542,0.542,0.542
2023-07-20,0.538,0.538,0.538,0.538
2023-07-21,0.538,0.538,0.538,0.538
2023-07-25,0.548,0.548,0.548,0.548
2023-07-26,0.548,0.548,0.548,0.548
2023-07-27,0.544,0.544,0.544,0.544
2023-07-28,0.544,0.544,0.544,0.544
2023-07-31,0.544,0.544,0.544,0.544
2023-08-01,0.540,0.540,0.540,0.540
2023-08-02,0.540,0.540,0.540,0.540
2023-08-03,0.540,0.540,0.540,0.540
2023-08-04,0.538,0.538,0.538,0.538
2023-08-07,0.538,0.538,0.538,0.538
2023-08-08,0.538,0.538,0.538,0.538
2023-08-09,0.538,0.538,0.538,0.538
2023-08-10,0.538,0.538,0.538,0.538
2023-08-11,0.538,0.538,0.538,0.538
2023-08-15,0.529,0.529,0.529,0.529
2023-08-16,0.506,0.506,0.506,0.506
2023-08-17,0.506,0.506,0.506,0.506
2023-08-18,0.504,0.504,0.504,0.504
2023-08-21,0.504,0.504,0.504,0.504
2023-08-22,0.501,0.501,0.501,0.501
2023-08-23,0.501,0.501,0.501,0.501
2023-08-24,0.501,0.501,0.501,0.501
2023-08-25,0.501,0.501,0.501,0.501
2023-08-28,0.520,0.520,0.520,0.520
2023-08-29,0.520,0.520,0.520,0.520
2023-08-30,0.520,0.520,0.520,0.520
2023-08-31,0.520,0.520,0.520,0.520
2023-09-01,0.520,0.520,0.520,0.520
