Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.025,0.025,0.025,0.025
2023-03-08,0.025,0.025,0.025,0.025
2023-03-09,0.025,0.025,0.025,0.025
2023-03-10,0.025,0.025,0.025,0.025
2023-03-13,0.025,0.025,0.025,0.025
2023-03-14,0.025,0.025,0.025,0.025
2023-03-15,0.025,0.025,0.025,0.025
2023-03-16,0.025,0.025,0.025,0.025
2023-03-17,0.025,0.025,0.025,0.025
2023-03-20,0.025,0.025,0.025,0.025
2023-03-21,0.025,0.025,0.025,0.025
2023-03-22,0.025,0.025,0.025,0.025
2023-03-23,0.025,0.025,0.025,0.025
2023-03-24,0.025,0.025,0.025,0.025
2023-03-27,0.025,0.025,0.025,0.025
2023-03-28,0.025,0.025,0.025,0.025
2023-03-29,0.025,0.025,0.025,0.025
2023-03-30,0.025,0.025,0.025,0.025
2023-03-31,0.025,0.025,0.025,0.025
2023-04-03,0.025,0.025,0.025,0.025
2023-04-04,0.024,0.024,0.024,0.024
2023-04-05,0.025,0.025,0.025,0.025
2023-04-10,0.025,0.025,0.025,0.025
2023-04-11,0.025,0.025,0.025,0.025
2023-04-12,0.025,0.025,0.025,0.025
2023-04-13,0.025,0.025,0.025,0.025
2023-04-14,0.025,0.025,0.025,0.025
2023-04-17,0.024,0.024,0.024,0.024
2023-04-18,0.020,0.020,0.020,0.020
2023-04-20,0.020,0.020,0.020,0.020
2023-04-21,0.020,0.020,0.020,0.020
2023-04-24,0.020,0.020,0.020,0.020
2023-04-25,0.020,0.020,0.020,0.020
2023-04-26,0.020,0.020,0.020,0.020
2023-04-27,0.020,0.020,0.020,0.020
2023-04-28,0.020,0.020,0.020,0.020
2023-05-02,0.020,0.020,0.020,0.020
2023-05-03,0.020,0.020,0.020,0.020
2023-05-04,0.020,0.020,0.020,0.020
2023-05-05,0.020,0.020,0.020,0.020
2023-05-08,0.024,0.024,0.024,0.024
2023-05-09,0.024,0.024,0.024,0.024
2023-05-10,0.024,0.024,0.024,0.024
2023-05-11,0.024,0.024,0.024,0.024
2023-05-12,0.024,0.024,0.024,0.024
2023-05-15,0.024,0.024,0.024,0.024
2023-05-16,0.024,0.024,0.024,0.024
2023-05-17,0.023,0.023,0.023,0.023
2023-05-18,0.023,0.023,0.023,0.023
2023-05-19,0.023,0.023,0.023,0.023
2023-05-23,0.023,0.023,0.023,0.023
2023-05-24,0.019,0.019,0.019,0.019
2023-05-25,0.019,0.019,0.019,0.019
2023-05-26,0.019,0.019,0.019,0.019
2023-05-29,0.023,0.023,0.023,0.023
2023-05-30,0.019,0.019,0.019,0.019
2023-05-31,0.019,0.019,0.019,0.019
2023-06-01,0.023,0.023,0.023,0.023
2023-06-02,0.023,0.023,0.023,0.023
2023-06-05,0.023,0.023,0.023,0.023
2023-06-06,0.023,0.023,0.023,0.023
2023-06-07,0.023,0.023,0.023,0.023
2023-06-08,0.023,0.023,0.023,0.023
2023-06-13,0.022,0.022,0.022,0.022
2023-06-14,0.022,0.022,0.022,0.022
2023-06-15,0.022,0.022,0.022,0.022
2023-06-16,0.022,0.022,0.022,0.022
2023-06-20,0.023,0.023,0.023,0.023
2023-06-21,0.022,0.022,0.022,0.022
2023-06-22,0.022,0.022,0.022,0.022
2023-06-23,0.022,0.022,0.022,0.022
2023-06-26,0.022,0.022,0.022,0.022
2023-06-27,0.022,0.022,0.022,0.022
2023-06-28,0.022,0.022,0.022,0.022
2023-06-29,0.022,0.022,0.022,0.022
2023-06-30,0.022,0.022,0.022,0.022
2023-07-04,0.022,0.022,0.022,0.022
