Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-03-07,0.082,0.082,0.082,0.082
2023-03-08,0.083,0.083,0.083,0.083
2023-03-09,0.083,0.083,0.083,0.083
2023-03-10,0.083,0.083,0.083,0.083
2023-03-13,0.083,0.083,0.083,0.083
2023-03-14,0.083,0.083,0.083,0.083
2023-03-15,0.083,0.083,0.083,0.083
2023-03-16,0.084,0.084,0.084,0.084
2023-03-17,0.088,0.088,0.088,0.088
2023-03-20,0.088,0.088,0.088,0.088
2023-03-21,0.084,0.084,0.084,0.084
2023-03-22,0.084,0.084,0.084,0.084
2023-03-23,0.079,0.079,0.079,0.079
2023-03-24,0.084,0.084,0.084,0.084
2023-03-27,0.083,0.083,0.083,0.083
2023-03-28,0.082,0.082,0.082,0.082
2023-03-29,0.078,0.078,0.078,0.078
2023-03-30,0.078,0.078,0.078,0.078
2023-03-31,0.078,0.078,0.078,0.078
2023-04-03,0.082,0.082,0.082,0.082
2023-04-04,0.082,0.082,0.082,0.082
2023-04-05,0.078,0.078,0.078,0.078
2023-04-10,0.078,0.078,0.078,0.078
2023-04-11,0.078,0.078,0.078,0.078
2023-04-12,0.078,0.078,0.078,0.078
2023-04-13,0.074,0.074,0.074,0.074
2023-04-14,0.066,0.066,0.066,0.066
2023-04-17,0.065,0.065,0.065,0.065
2023-04-18,0.065,0.065,0.065,0.065
2023-04-20,0.069,0.069,0.069,0.069
2023-04-21,0.069,0.069,0.069,0.069
2023-04-24,0.078,0.078,0.078,0.078
2023-04-25,0.077,0.077,0.077,0.077
2023-04-26,0.077,0.077,0.077,0.077
2023-04-27,0.089,0.089,0.089,0.089
2023-04-28,0.081,0.081,0.081,0.081
2023-05-02,0.097,0.097,0.097,0.097
2023-05-03,0.097,0.097,0.097,0.097
2023-05-04,0.089,0.089,0.089,0.089
2023-05-05,0.084,0.084,0.084,0.084
2023-05-08,0.104,0.104,0.104,0.104
2023-05-09,0.104,0.104,0.104,0.104
2023-05-10,0.104,0.104,0.104,0.104
2023-05-11,0.100,0.100,0.100,0.100
2023-05-12,0.096,0.096,0.096,0.096
2023-05-15,0.096,0.096,0.096,0.096
2023-05-16,0.094,0.094,0.094,0.094
2023-05-17,0.094,0.094,0.094,0.094
2023-05-18,0.094,0.094,0.094,0.094
2023-05-19,0.089,0.089,0.089,0.089
2023-05-23,0.093,0.093,0.093,0.093
2023-05-24,0.089,0.089,0.089,0.089
2023-05-25,0.088,0.088,0.088,0.088
2023-05-26,0.092,0.092,0.092,0.092
2023-05-29,0.096,0.096,0.096,0.096
2023-05-30,0.088,0.088,0.088,0.088
2023-05-31,0.088,0.088,0.088,0.088
2023-06-01,0.088,0.088,0.088,0.088
2023-06-02,0.088,0.088,0.088,0.088
2023-06-05,0.087,0.087,0.087,0.087
2023-06-06,0.087,0.087,0.087,0.087
2023-06-07,0.086,0.086,0.086,0.086
2023-06-08,0.086,0.086,0.086,0.086
2023-06-13,0.082,0.082,0.082,0.082
2023-06-14,0.067,0.067,0.067,0.067
2023-06-15,0.067,0.067,0.067,0.067
2023-06-16,0.081,0.081,0.081,0.081
2023-06-20,0.086,0.086,0.086,0.086
2023-06-21,0.077,0.077,0.077,0.077
2023-06-22,0.077,0.077,0.077,0.077
2023-06-23,0.080,0.080,0.080,0.080
2023-06-26,0.081,0.081,0.081,0.081
2023-06-27,0.080,0.080,0.080,0.080
2023-06-28,0.080,0.080,0.080,0.080
2023-06-29,0.079,0.079,0.079,0.079
2023-06-30,0.090,0.090,0.090,0.090
2023-07-04,0.090,0.090,0.090,0.090
2023-07-06,0.085,0.085,0.085,0.085
2023-07-07,0.082,0.082,0.082,0.082
2023-07-10,0.082,0.082,0.082,0.082
2023-07-11,0.082,0.082,0.082,0.082
2023-07-12,0.082,0.082,0.082,0.082
2023-07-13,0.078,0.078,0.078,0.078
2023-07-14,0.078,0.078,0.078,0.078
2023-07-17,0.078,0.078,0.078,0.078
2023-07-18,0.077,0.077,0.077,0.077
2023-07-19,0.077,0.077,0.077,0.077
2023-07-20,0.076,0.076,0.076,0.076
2023-07-21,0.076,0.076,0.076,0.076
2023-07-25,0.076,0.076,0.076,0.076
2023-07-26,0.076,0.076,0.076,0.076
2023-07-27,0.079,0.079,0.079,0.079
2023-07-28,0.079,0.079,0.079,0.079
2023-07-31,0.079,0.079,0.079,0.079
2023-08-01,0.078,0.078,0.078,0.078
2023-08-02,0.078,0.078,0.078,0.078
2023-08-03,0.078,0.078,0.078,0.078
2023-08-04,0.078,0.078,0.078,0.078
2023-08-07,0.078,0.078,0.078,0.078
2023-08-08,0.092,0.092,0.092,0.092
2023-08-09,0.092,0.092,0.092,0.092
2023-08-10,0.095,0.095,0.095,0.095
2023-08-11,0.095,0.095,0.095,0.095
2023-08-15,0.093,0.093,0.093,0.093
2023-08-16,0.102,0.102,0.102,0.102
2023-08-17,0.121,0.121,0.121,0.121
2023-08-18,0.152,0.152,0.152,0.152
2023-08-21,0.206,0.206,0.206,0.206
2023-08-22,0.201,0.201,0.201,0.201
2023-08-23,0.195,0.195,0.195,0.195
2023-08-24,0.192,0.192,0.192,0.192
2023-08-25,0.189,0.189,0.189,0.189
2023-08-28,0.189,0.189,0.189,0.189
2023-08-29,0.182,0.182,0.182,0.182
2023-08-30,0.154,0.154,0.154,0.154
2023-08-31,0.157,0.157,0.157,0.157
2023-09-01,0.154,0.154,0.154,0.154
2023-09-04,0.154,0.154,0.154,0.154
2023-09-05,0.156,0.156,0.156,0.156
2023-09-06,0.162,0.162,0.162,0.162
2023-09-07,0.162,0.162,0.162,0.162
2023-09-08,0.158,0.158,0.158,0.158
2023-09-12,0.156,0.156,0.156,0.156
2023-09-13,0.156,0.156,0.156,0.156
2023-09-14,0.156,0.156,0.156,0.156
2023-09-15,0.150,0.150,0.150,0.150
2023-09-18,0.156,0.156,0.156,0.156
2023-09-19,0.156,0.156,0.156,0.156
2023-09-20,0.154,0.154,0.154,0.154
2023-09-21,0.154,0.154,0.154,0.154
2023-09-22,0.142,0.142,0.142,0.142
2023-09-25,0.139,0.139,0.139,0.139
2023-09-26,0.139,0.139,0.139,0.139
2023-09-27,0.138,0.138,0.138,0.138
2023-09-28,0.135,0.135,0.135,0.135
2023-09-29,0.132,0.132,0.132,0.132
2023-10-02,0.120,0.120,0.120,0.120
2023-10-03,0.119,0.119,0.119,0.119
2023-10-04,0.119,0.119,0.119,0.119
2023-10-05,0.118,0.118,0.118,0.118
2023-10-06,0.116,0.116,0.116,0.116
2023-10-09,0.115,0.115,0.115,0.115
2023-10-10,0.115,0.115,0.115,0.115
2023-10-11,0.115,0.115,0.115,0.115
2023-10-13,0.124,0.124,0.124,0.124
2023-10-16,0.115,0.115,0.115,0.115
2023-10-17,0.115,0.115,0.115,0.115
2023-10-18,0.115,0.115,0.115,0.115
2023-10-19,0.115,0.115,0.115,0.115
2023-10-20,0.112,0.112,0.112,0.112
2023-10-23,0.121,0.121,0.121,0.121
2023-10-24,0.115,0.115,0.115,0.115
2023-10-25,0.109,0.109,0.109,0.109
2023-10-26,0.109,0.109,0.109,0.109
2023-10-27,0.115,0.115,0.115,0.115
2023-10-31,0.112,0.112,0.112,0.112
2023-11-01,0.109,0.109,0.109,0.109
2023-11-02,0.106,0.106,0.106,0.106
2023-11-03,0.106,0.106,0.106,0.106
2023-11-07,0.105,0.105,0.105,0.105
2023-11-08,0.105,0.105,0.105,0.105
2023-11-09,0.114,0.114,0.114,0.114
2023-11-10,0.108,0.108,0.108,0.108
2023-11-13,0.114,0.114,0.114,0.114
2023-11-14,0.113,0.113,0.113,0.113
2023-11-15,0.091,0.091,0.091,0.091
2023-11-16,0.113,0.113,0.113,0.113
2023-11-17,0.099,0.099,0.099,0.099
2023-11-20,0.113,0.113,0.113,0.113
2023-11-21,0.107,0.107,0.107,0.107
2023-11-22,0.107,0.107,0.107,0.107
2023-11-23,0.113,0.113,0.113,0.113
2023-11-24,0.110,0.110,0.110,0.110
2023-11-27,0.110,0.110,0.110,0.110
2023-11-28,0.110,0.110,0.110,0.110
2023-11-29,0.110,0.110,0.110,0.110
2023-11-30,0.124,0.124,0.124,0.124
2023-12-01,0.113,0.113,0.113,0.113
2023-12-04,0.113,0.113,0.113,0.113
2023-12-05,0.113,0.113,0.113,0.113
2023-12-06,0.110,0.110,0.110,0.110
2023-12-07,0.110,0.110,0.110,0.110
2023-12-08,0.099,0.099,0.099,0.099
2023-12-12,0.110,0.110,0.110,0.110
2023-12-13,0.101,0.101,0.101,0.101
2023-12-14,0.101,0.101,0.101,0.101
2023-12-15,0.101,0.101,0.101,0.101
2023-12-18,0.101,0.113,0.101,0.101
2023-12-19,0.101,0.110,0.110,0.110
2023-12-20,0.110,0.113,0.113,0.113
2023-12-21,0.112,0.112,0.112,0.112
2023-12-22,0.112,0.112,0.112,0.112
2023-12-26,0.112,0.112,0.112,0.112
2023-12-27,0.112,0.112,0.112,0.112
