Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-02,0.055,0.055,0.055,0.055
2023-01-03,0.054,0.054,0.054,0.054
2023-01-04,0.052,0.052,0.052,0.052
2023-01-05,0.052,0.052,0.052,0.052
2023-01-06,0.052,0.052,0.052,0.052
2023-01-10,0.060,0.060,0.060,0.060
2023-01-11,0.058,0.058,0.058,0.058
2023-01-12,0.057,0.057,0.057,0.057
2023-01-13,0.056,0.056,0.056,0.056
2023-01-16,0.056,0.056,0.056,0.056
2023-01-17,0.056,0.056,0.056,0.056
2023-01-18,0.056,0.056,0.056,0.056
2023-01-19,0.054,0.054,0.054,0.054
2023-01-20,0.054,0.054,0.054,0.054
2023-01-23,0.054,0.054,0.054,0.054
2023-01-24,0.054,0.054,0.054,0.054
2023-01-25,0.051,0.051,0.051,0.051
2023-01-26,0.051,0.051,0.051,0.051
2023-01-27,0.050,0.050,0.050,0.050
2023-01-30,0.049,0.049,0.049,0.049
2023-01-31,0.054,0.054,0.054,0.054
2023-02-01,0.054,0.054,0.054,0.054
2023-02-02,0.056,0.056,0.056,0.056
2023-02-03,0.056,0.056,0.056,0.056
2023-02-06,0.058,0.058,0.058,0.058
2023-02-07,0.061,0.061,0.061,0.061
2023-02-08,0.066,0.066,0.066,0.066
2023-02-09,0.068,0.068,0.068,0.068
2023-02-10,0.067,0.067,0.067,0.067
2023-02-13,0.067,0.067,0.067,0.067
2023-02-14,0.067,0.067,0.067,0.067
2023-02-15,0.072,0.072,0.072,0.072
2023-02-16,0.076,0.076,0.076,0.076
2023-02-17,0.080,0.080,0.080,0.080
2023-02-22,0.078,0.078,0.078,0.078
2023-02-23,0.078,0.078,0.078,0.078
2023-02-24,0.078,0.078,0.078,0.078
2023-02-27,0.078,0.078,0.078,0.078
2023-02-28,0.078,0.078,0.078,0.078
2023-03-01,0.078,0.078,0.078,0.078
2023-03-02,0.078,0.078,0.078,0.078
2023-03-03,0.084,0.084,0.084,0.084
2023-03-06,0.085,0.085,0.085,0.085
2023-03-07,0.097,0.097,0.097,0.097
2023-03-08,0.098,0.098,0.098,0.098
2023-03-09,0.098,0.098,0.098,0.098
2023-03-10,0.095,0.095,0.095,0.095
2023-03-13,0.093,0.093,0.093,0.093
2023-03-14,0.093,0.093,0.093,0.093
2023-03-15,0.094,0.094,0.094,0.094
2023-03-16,0.094,0.094,0.094,0.094
2023-03-17,0.094,0.094,0.094,0.094
2023-03-20,0.093,0.093,0.093,0.093
2023-03-21,0.093,0.093,0.093,0.093
2023-03-22,0.079,0.079,0.079,0.079
2023-03-23,0.079,0.079,0.079,0.079
2023-03-24,0.079,0.079,0.079,0.079
2023-03-27,0.092,0.092,0.092,0.092
2023-03-28,0.099,0.099,0.099,0.099
2023-03-29,0.099,0.099,0.099,0.099
2023-03-30,0.092,0.092,0.092,0.092
2023-03-31,0.076,0.076,0.076,0.076
2023-04-03,0.086,0.086,0.086,0.086
2023-04-04,0.086,0.086,0.086,0.086
2023-04-05,0.086,0.086,0.086,0.086
2023-04-10,0.095,0.095,0.095,0.095
2023-04-11,0.095,0.095,0.095,0.095
2023-04-12,0.114,0.114,0.114,0.114
2023-04-13,0.113,0.113,0.113,0.113
2023-04-14,0.113,0.113,0.113,0.113
2023-04-17,0.113,0.113,0.113,0.113
2023-04-18,0.102,0.102,0.102,0.102
2023-04-20,0.104,0.104,0.104,0.104
2023-04-21,0.104,0.104,0.104,0.104
2023-04-24,0.098,0.098,0.098,0.098
2023-04-25,0.083,0.083,0.083,0.083
2023-04-26,0.083,0.083,0.083,0.083
2023-04-27,0.097,0.097,0.097,0.097
