Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-30,-6.081,-6.081,-6.081,-6.081
2023-01-31,-6.654,-6.654,-6.654,-6.654
2023-02-01,-6.495,-6.495,-6.495,-6.495
2023-02-02,-6.466,-6.466,-6.466,-6.466
2023-02-03,-6.201,-6.201,-6.201,-6.201
2023-02-06,-6.050,-6.050,-6.050,-6.050
2023-02-07,-6.105,-6.105,-6.105,-6.105
2023-02-08,-6.128,-6.128,-6.128,-6.128
2023-02-09,-5.950,-5.950,-5.950,-5.950
2023-02-10,-5.986,-5.986,-5.986,-5.986
2023-02-13,-5.986,-5.986,-5.986,-5.986
2023-02-14,-5.986,-5.986,-5.986,-5.986
2023-02-15,-6.186,-6.186,-6.186,-6.186
2023-02-16,-6.186,-6.186,-6.186,-6.186
2023-02-17,-5.986,-5.986,-5.986,-5.986
2023-02-22,-6.039,-6.039,-6.039,-6.039
2023-02-23,-6.095,-6.095,-6.095,-6.095
2023-02-24,-6.954,-6.954,-6.954,-6.954
2023-02-27,-7.505,-7.505,-7.505,-7.505
2023-02-28,-7.450,-7.450,-7.450,-7.450
2023-03-01,-7.172,-7.172,-7.172,-7.172
2023-03-02,-7.189,-7.189,-7.189,-7.189
2023-03-03,-6.966,-6.966,-6.966,-6.966
2023-03-06,-6.950,-6.950,-6.950,-6.950
2023-03-07,-6.894,-6.894,-6.894,-6.894
2023-03-08,-6.940,-6.940,-6.940,-6.940
2023-03-09,-6.828,-6.828,-6.828,-6.828
2023-03-10,-7.020,-7.020,-7.020,-7.020
2023-03-13,-7.283,-7.283,-7.283,-7.283
2023-03-14,-7.308,-7.308,-7.308,-7.308
2023-03-15,-7.035,-7.035,-7.035,-7.035
2023-03-16,-7.126,-7.126,-7.126,-7.126
2023-03-17,-6.900,-6.900,-6.900,-6.900
2023-03-20,-6.787,-6.787,-6.787,-6.787
2023-03-21,-6.730,-6.730,-6.730,-6.730
2023-03-22,-6.730,-6.730,-6.730,-6.730
2023-03-23,-6.787,-6.787,-6.787,-6.787
2023-03-24,-6.815,-6.815,-6.815,-6.815
2023-03-27,-6.780,-6.780,-6.780,-6.780
2023-03-28,-6.814,-6.814,-6.814,-6.814
2023-03-29,-6.787,-6.787,-6.787,-6.787
2023-03-30,-6.783,-6.783,-6.783,-6.783
2023-03-31,-6.791,-6.791,-6.791,-6.791
2023-04-03,-6.372,-6.372,-6.372,-6.372
2023-04-04,-6.614,-6.614,-6.614,-6.614
2023-04-05,-6.374,-6.374,-6.374,-6.374
2023-04-10,-6.375,-6.375,-6.375,-6.375
2023-04-11,-6.652,-6.652,-6.652,-6.652
2023-04-12,-6.428,-6.428,-6.428,-6.428
2023-04-13,-6.517,-6.517,-6.517,-6.517
2023-04-14,-6.458,-6.458,-6.458,-6.458
2023-04-17,-6.250,-6.250,-6.250,-6.250
2023-04-18,-6.463,-6.463,-6.463,-6.463
2023-04-20,-6.632,-6.632,-6.632,-6.632
2023-04-21,-6.880,-6.880,-6.880,-6.880
2023-04-24,-6.742,-6.742,-6.742,-6.742
2023-04-25,-6.609,-6.609,-6.609,-6.609
2023-04-26,-6.590,-6.590,-6.590,-6.590
2023-04-27,-6.590,-6.590,-6.590,-6.590
2023-04-28,-6.559,-6.559,-6.559,-6.559
2023-05-02,-6.861,-6.861,-6.861,-6.861
2023-05-03,-6.856,-6.856,-6.856,-6.856
2023-05-04,-6.974,-6.974,-6.974,-6.974
2023-05-05,-6.915,-6.915,-6.915,-6.915
2023-05-08,-7.313,-7.313,-7.313,-7.313
2023-05-09,-7.530,-7.530,-7.530,-7.530
2023-05-10,-7.503,-7.503,-7.503,-7.503
2023-05-11,-7.413,-7.413,-7.413,-7.413
2023-05-12,-6.739,-6.739,-6.739,-6.739
2023-05-15,-6.604,-6.604,-6.604,-6.604
2023-05-16,-6.511,-6.511,-6.511,-6.511
2023-05-17,-6.457,-6.457,-6.457,-6.457
2023-05-18,-6.404,-6.404,-6.404,-6.404
2023-05-19,-6.363,-6.363,-6.363,-6.363
2023-05-23,-6.185,-6.185,-6.185,-6.185
2023-05-24,-6.238,-6.238,-6.238,-6.238
2023-05-25,-6.228,-6.228,-6.228,-6.228
2023-05-26,-6.282,-6.282,-6.282,-6.282
2023-05-29,-6.908,-6.908,-6.908,-6.908
2023-05-30,-6.256,-6.256,-6.256,-6.256
2023-05-31,-6.624,-6.624,-6.624,-6.624
2023-06-01,-6.702,-6.702,-6.702,-6.702
2023-06-02,-6.805,-6.805,-6.805,-6.805
2023-06-05,-6.616,-6.616,-6.616,-6.616
2023-06-06,-6.584,-6.584,-6.584,-6.584
2023-06-07,-6.473,-6.473,-6.473,-6.473
2023-06-08,-6.524,-6.524,-6.524,-6.524
2023-06-13,-6.293,-6.293,-6.293,-6.293
2023-06-14,-6.230,-6.230,-6.230,-6.230
2023-06-15,-6.230,-6.230,-6.230,-6.230
2023-06-16,-6.385,-6.385,-6.385,-6.385
2023-06-20,-6.706,-6.706,-6.706,-6.706
2023-06-21,-6.201,-6.201,-6.201,-6.201
