Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-10,0.184,0.184,0.184,0.184
2023-01-11,0.157,0.157,0.157,0.157
2023-01-12,0.157,0.157,0.157,0.157
2023-01-13,0.151,0.151,0.151,0.151
2023-01-16,0.151,0.151,0.151,0.151
2023-01-17,0.149,0.149,0.149,0.149
2023-01-18,0.149,0.149,0.149,0.149
2023-01-19,0.146,0.146,0.146,0.146
2023-01-20,0.146,0.146,0.146,0.146
2023-01-23,0.167,0.167,0.167,0.167
2023-01-24,0.176,0.176,0.176,0.176
2023-01-25,0.166,0.166,0.166,0.166
2023-01-26,0.166,0.166,0.166,0.166
2023-01-27,0.166,0.166,0.166,0.166
2023-01-30,0.165,0.165,0.165,0.165
2023-01-31,0.178,0.178,0.178,0.178
2023-02-01,0.174,0.174,0.174,0.174
2023-02-02,0.170,0.170,0.170,0.170
2023-02-03,0.165,0.165,0.165,0.165
2023-02-06,0.165,0.165,0.165,0.165
2023-02-07,0.169,0.169,0.169,0.169
2023-02-08,0.166,0.166,0.166,0.166
2023-02-09,0.157,0.157,0.157,0.157
2023-02-10,0.148,0.148,0.148,0.148
2023-02-13,0.139,0.139,0.139,0.139
2023-02-14,0.161,0.161,0.161,0.161
2023-02-15,0.159,0.159,0.159,0.159
2023-02-16,0.159,0.159,0.159,0.159
2023-02-17,0.159,0.159,0.159,0.159
2023-02-22,0.155,0.155,0.155,0.155
2023-02-23,0.155,0.155,0.155,0.155
2023-02-24,0.155,0.155,0.155,0.155
2023-02-27,0.155,0.155,0.155,0.155
2023-02-28,0.155,0.155,0.155,0.155
2023-03-01,0.151,0.151,0.151,0.151
2023-03-02,0.152,0.152,0.152,0.152
2023-03-03,0.152,0.152,0.152,0.152
2023-03-06,0.149,0.149,0.149,0.149
2023-03-07,0.149,0.149,0.149,0.149
2023-03-08,0.151,0.151,0.151,0.151
2023-03-09,0.151,0.151,0.151,0.151
2023-03-10,0.151,0.151,0.151,0.151
2023-03-13,0.146,0.146,0.146,0.146
2023-03-14,0.146,0.146,0.146,0.146
2023-03-15,0.146,0.146,0.146,0.146
2023-03-16,0.129,0.129,0.129,0.129
2023-03-17,0.128,0.128,0.128,0.128
2023-03-20,0.146,0.146,0.146,0.146
2023-03-21,0.145,0.145,0.145,0.145
2023-03-22,0.139,0.139,0.139,0.139
2023-03-23,0.121,0.121,0.121,0.121
2023-03-24,0.139,0.139,0.139,0.139
2023-03-27,0.124,0.124,0.124,0.124
2023-03-28,0.132,0.132,0.132,0.132
2023-03-29,0.133,0.133,0.133,0.133
2023-03-30,0.140,0.140,0.140,0.140
2023-03-31,0.143,0.143,0.143,0.143
2023-04-03,0.131,0.131,0.131,0.131
2023-04-04,0.131,0.131,0.131,0.131
2023-04-05,0.133,0.133,0.133,0.133
2023-04-10,0.131,0.131,0.131,0.131
2023-04-11,0.133,0.133,0.133,0.133
2023-04-12,0.135,0.135,0.135,0.135
2023-04-13,0.137,0.137,0.137,0.137
2023-04-14,0.137,0.137,0.137,0.137
2023-04-17,0.158,0.158,0.158,0.158
2023-04-18,0.143,0.143,0.143,0.143
2023-04-20,0.143,0.143,0.143,0.143
2023-04-21,0.143,0.143,0.143,0.143
2023-04-24,0.149,0.149,0.149,0.149
2023-04-25,0.157,0.157,0.157,0.157
2023-04-26,0.146,0.146,0.146,0.146
2023-04-27,0.145,0.145,0.145,0.145
2023-04-28,0.144,0.144,0.144,0.144
2023-05-02,0.166,0.166,0.166,0.166
2023-05-03,0.162,0.162,0.162,0.162
2023-05-04,0.165,0.165,0.165,0.165
2023-05-05,0.164,0.164,0.164,0.164
2023-05-08,0.182,0.182,0.182,0.182
2023-05-09,0.181,0.181,0.181,0.181
2023-05-10,0.182,0.182,0.182,0.182
2023-05-11,0.181,0.181,0.181,0.181
2023-05-12,0.181,0.181,0.181,0.181
2023-05-15,0.181,0.181,0.181,0.181
2023-05-16,0.177,0.177,0.177,0.177
2023-05-17,0.174,0.174,0.174,0.174
2023-05-18,0.165,0.165,0.165,0.165
2023-05-19,0.164,0.164,0.164,0.164
2023-05-23,0.163,0.163,0.163,0.163
2023-05-24,0.161,0.161,0.161,0.161
2023-05-25,0.161,0.161,0.161,0.161
2023-05-26,0.161,0.161,0.161,0.161
2023-05-29,0.161,0.161,0.161,0.161
2023-05-30,0.157,0.157,0.157,0.157
2023-05-31,0.150,0.150,0.150,0.150
2023-06-01,0.153,0.153,0.153,0.153
2023-06-02,0.153,0.153,0.153,0.153
2023-06-05,0.145,0.145,0.145,0.145
2023-06-06,0.151,0.151,0.151,0.151
2023-06-07,0.147,0.147,0.147,0.147
2023-06-08,0.144,0.144,0.144,0.144
2023-06-13,0.142,0.142,0.142,0.142
2023-06-14,0.141,0.141,0.141,0.141
2023-06-15,0.141,0.141,0.141,0.141
2023-06-16,0.141,0.141,0.141,0.141
2023-06-20,0.148,0.148,0.148,0.148
2023-06-21,0.140,0.140,0.140,0.140
2023-06-22,0.140,0.140,0.140,0.140
2023-06-23,0.138,0.138,0.138,0.138
2023-06-26,0.138,0.138,0.138,0.138
2023-06-27,0.116,0.116,0.116,0.116
2023-06-28,0.135,0.135,0.135,0.135
2023-06-29,0.136,0.136,0.136,0.136
2023-06-30,0.135,0.135,0.135,0.135
2023-07-04,0.134,0.134,0.134,0.134
2023-07-06,0.113,0.113,0.113,0.113
2023-07-07,0.129,0.129,0.129,0.129
2023-07-10,0.125,0.125,0.125,0.125
2023-07-11,0.105,0.105,0.105,0.105
2023-07-12,0.122,0.122,0.122,0.122
2023-07-13,0.119,0.119,0.119,0.119
2023-07-14,0.126,0.126,0.126,0.126
2023-07-17,0.125,0.125,0.125,0.125
2023-07-18,0.122,0.122,0.122,0.122
2023-07-19,0.121,0.121,0.121,0.121
2023-07-20,0.117,0.117,0.117,0.117
2023-07-21,0.117,0.117,0.117,0.117
2023-07-25,0.115,0.115,0.115,0.115
2023-07-26,0.113,0.113,0.113,0.113
2023-07-27,0.112,0.112,0.112,0.112
2023-07-28,0.111,0.111,0.111,0.111
2023-07-31,0.112,0.112,0.112,0.112
2023-08-01,0.111,0.111,0.111,0.111
2023-08-02,0.110,0.110,0.110,0.110
2023-08-03,0.106,0.106,0.106,0.106
2023-08-04,0.108,0.108,0.108,0.108
2023-08-07,0.108,0.108,0.108,0.108
2023-08-08,0.108,0.108,0.108,0.108
2023-08-09,0.107,0.107,0.107,0.107
2023-08-10,0.107,0.107,0.107,0.107
2023-08-11,0.096,0.096,0.096,0.096
2023-08-15,0.106,0.106,0.106,0.106
2023-08-16,0.101,0.101,0.101,0.101
2023-08-17,0.098,0.098,0.098,0.098
2023-08-18,0.098,0.098,0.098,0.098
2023-08-21,0.097,0.097,0.097,0.097
2023-08-22,0.095,0.095,0.095,0.095
2023-08-23,0.094,0.094,0.094,0.094
2023-08-24,0.092,0.092,0.092,0.092
2023-08-25,0.095,0.095,0.095,0.095
2023-08-28,0.095,0.095,0.095,0.095
2023-08-29,0.095,0.095,0.095,0.095
2023-08-30,0.094,0.094,0.094,0.094
2023-08-31,0.094,0.094,0.094,0.094
2023-09-01,0.094,0.094,0.094,0.094
2023-09-04,0.094,0.094,0.094,0.094
2023-09-05,0.093,0.093,0.093,0.093
2023-09-06,0.091,0.091,0.091,0.091
2023-09-07,0.091,0.091,0.091,0.091
2023-09-08,0.090,0.090,0.090,0.090
2023-09-12,0.088,0.088,0.088,0.088
2023-09-13,0.087,0.087,0.087,0.087
2023-09-14,0.086,0.086,0.086,0.086
2023-09-15,0.086,0.086,0.086,0.086
2023-09-18,0.081,0.081,0.081,0.081
2023-09-19,0.079,0.079,0.079,0.079
2023-09-20,0.078,0.078,0.078,0.078
2023-09-21,0.078,0.078,0.078,0.078
2023-09-22,0.077,0.077,0.077,0.077
2023-09-25,0.075,0.075,0.075,0.075
2023-09-26,0.075,0.075,0.075,0.075
2023-09-27,0.075,0.075,0.075,0.075
2023-09-28,0.074,0.074,0.074,0.074
2023-09-29,0.075,0.075,0.075,0.075
2023-10-02,0.074,0.074,0.074,0.074
2023-10-03,0.074,0.074,0.074,0.074
2023-10-04,0.075,0.075,0.075,0.075
2023-10-05,0.079,0.079,0.079,0.079
2023-10-06,0.095,0.095,0.095,0.095
2023-10-09,0.105,0.105,0.105,0.105
2023-10-10,0.095,0.095,0.095,0.095
2023-10-11,0.092,0.092,0.092,0.092
2023-10-13,0.096,0.096,0.096,0.096
2023-10-16,0.099,0.099,0.099,0.099
2023-10-17,0.099,0.099,0.099,0.099
2023-10-18,0.104,0.104,0.104,0.104
2023-10-19,0.119,0.119,0.119,0.119
2023-10-20,0.120,0.120,0.120,0.120
2023-10-23,0.144,0.144,0.144,0.144
2023-10-24,0.141,0.141,0.141,0.141
2023-10-25,0.130,0.130,0.130,0.130
2023-10-26,0.128,0.128,0.128,0.128
2023-10-27,0.125,0.125,0.125,0.125
2023-10-31,0.117,0.117,0.117,0.117
2023-11-01,0.109,0.109,0.109,0.109
2023-11-02,0.104,0.104,0.104,0.104
2023-11-03,0.113,0.113,0.113,0.113
2023-11-07,0.113,0.113,0.113,0.113
2023-11-08,0.124,0.124,0.124,0.124
2023-11-09,0.122,0.122,0.122,0.122
2023-11-10,0.120,0.120,0.120,0.120
2023-11-13,0.124,0.124,0.124,0.124
2023-11-14,0.138,0.138,0.138,0.138
2023-11-15,0.127,0.127,0.127,0.127
2023-11-16,0.128,0.128,0.128,0.128
2023-11-17,0.124,0.124,0.124,0.124
2023-11-20,0.121,0.121,0.121,0.121
2023-11-21,0.118,0.118,0.118,0.118
2023-11-22,0.110,0.110,0.110,0.110
2023-11-23,0.110,0.110,0.110,0.110
2023-11-24,0.110,0.110,0.110,0.110
2023-11-27,0.110,0.110,0.110,0.110
2023-11-28,0.110,0.110,0.110,0.110
2023-11-29,0.110,0.110,0.110,0.110
2023-11-30,0.110,0.110,0.110,0.110
2023-12-01,0.110,0.110,0.110,0.110
2023-12-04,0.109,0.109,0.109,0.109
2023-12-05,0.109,0.109,0.109,0.109
2023-12-06,0.108,0.108,0.108,0.108
2023-12-07,0.109,0.109,0.109,0.109
2023-12-08,0.099,0.099,0.099,0.099
2023-12-12,0.109,0.109,0.109,0.109
2023-12-13,0.109,0.109,0.109,0.109
2023-12-14,0.110,0.110,0.110,0.110
2023-12-15,0.109,0.109,0.109,0.109
2023-12-18,0.109,0.109,0.109,0.109
2023-12-19,0.109,0.109,0.108,0.109
2023-12-20,0.109,0.109,0.109,0.109
2023-12-21,0.109,0.109,0.109,0.109
2023-12-22,0.109,0.109,0.109,0.109
2023-12-26,0.109,0.109,0.109,0.109
2023-12-27,0.109,0.109,0.109,0.109
2023-12-28,0.109,0.109,0.109,0.109
2023-12-29,0.109,0.131,0.109,0.109
2024-01-02,0.109,0.114,0.109,0.109
2024-01-03,0.109,0.109,0.109,0.109
2024-01-04,0.109,0.123,0.122,0.122
2024-01-05,0.122,0.121,0.117,0.121
2024-01-08,0.121,0.131,0.121,0.121
2024-01-09,0.121,0.123,0.121,0.121
2024-01-10,0.121,0.127,0.119,0.127
2024-01-11,0.128,0.125,0.122,0.123
2024-01-12,0.124,0.124,0.124,0.124
2024-01-15,0.121,0.121,0.121,0.121
2024-01-16,0.120,0.121,0.112,0.120
2024-01-17,0.120,0.120,0.117,0.117
2024-01-18,0.117,0.118,0.108,0.108
2024-01-19,0.108,0.117,0.116,0.117
2024-01-22,0.116,0.120,0.114,0.114
2024-01-23,0.114,0.116,0.115,0.115
2024-01-24,0.119,0.119,0.110,0.119
2024-01-25,0.120,0.120,0.119,0.120
2024-01-26,0.118,0.119,0.117,0.118
2024-01-29,0.118,0.116,0.114,0.116
2024-01-30,0.116,0.116,0.116,0.116
2024-01-31,0.119,0.120,0.116,0.119
2024-02-01,0.119,0.119,0.114,0.118
2024-02-02,0.118,0.121,0.118,0.119
2024-02-05,0.131,0.131,0.131,0.131
2024-02-06,0.127,0.127,0.125,0.127
2024-02-07,0.126,0.126,0.124,0.124
2024-02-08,0.131,0.131,0.124,0.131
2024-02-09,0.131,0.132,0.131,0.131
2024-02-14,0.132,0.143,0.132,0.132
2024-02-15,0.132,0.141,0.132,0.132
2024-02-16,0.130,0.135,0.129,0.130
2024-02-19,0.127,0.130,0.127,0.127
2024-02-20,0.121,0.129,0.121,0.121
2024-02-21,0.121,0.121,0.121,0.121
2024-02-22,0.126,0.126,0.126,0.126
2024-02-23,0.127,0.123,0.121,0.121
2024-02-26,0.121,0.127,0.125,0.125
2024-02-27,0.126,0.125,0.124,0.124
2024-02-28,0.125,0.136,0.124,0.125
2024-02-29,0.125,0.136,0.125,0.133
2024-03-01,0.133,0.136,0.127,0.129
2024-03-04,0.129,0.130,0.125,0.129
2024-03-05,0.127,0.129,0.122,0.127
2024-03-06,0.127,0.127,0.127,0.127
2024-03-07,0.127,0.126,0.126,0.126
2024-03-08,0.126,0.124,0.124,0.124
2024-03-11,0.146,0.146,0.135,0.146
2024-03-12,0.144,0.147,0.136,0.144
2024-03-13,0.143,0.143,0.143,0.143
2024-03-14,0.143,0.147,0.136,0.136
2024-03-15,0.136,0.135,0.121,0.132
2024-03-18,0.132,0.135,0.132,0.132
2024-03-20,0.132,0.135,0.132,0.132
2024-03-21,0.132,0.135,0.132,0.132
2024-03-22,0.132,0.135,0.129,0.129
2024-03-25,0.135,0.135,0.129,0.135
2024-03-26,0.134,0.134,0.133,0.134
2024-03-27,0.134,0.135,0.134,0.134
2024-04-01,0.134,0.135,0.135,0.135
2024-04-02,0.159,0.159,0.135,0.159
2024-04-03,0.158,0.158,0.157,0.158
2024-04-04,0.158,0.158,0.158,0.158
2024-04-05,0.158,0.158,0.158,0.158
2024-04-09,0.216,0.216,0.202,0.216
2024-04-10,0.216,0.216,0.213,0.213
2024-04-11,0.213,0.243,0.215,0.243
2024-04-12,0.243,0.253,0.243,0.243
2024-04-15,0.258,0.261,0.244,0.258
2024-04-16,0.229,0.278,0.229,0.229
2024-04-17,0.229,0.261,0.243,0.256
2024-04-18,0.256,0.259,0.216,0.216
2024-04-22,0.243,0.255,0.215,0.243
2024-04-23,0.243,0.249,0.220,0.220
2024-04-24,0.220,0.255,0.192,0.192
2024-04-25,0.192,0.226,0.223,0.223
2024-04-26,0.240,0.242,0.240,0.240
2024-04-29,0.240,0.231,0.220,0.220
2024-04-30,0.228,0.231,0.220,0.228
2024-05-02,0.228,0.231,0.227,0.227
2024-05-03,0.222,0.241,0.222,0.222
2024-05-06,0.222,0.254,0.241,0.241
2024-05-07,0.241,0.241,0.239,0.239
2024-05-08,0.243,0.244,0.243,0.243
2024-05-09,0.243,0.231,0.225,0.225
2024-05-10,0.238,0.238,0.231,0.238
2024-05-14,0.237,0.244,0.235,0.237
2024-05-15,0.230,0.236,0.224,0.230
2024-05-16,0.230,0.230,0.230,0.230
2024-05-17,0.256,0.256,0.229,0.256
2024-05-20,0.256,0.271,0.230,0.255
2024-05-21,0.255,0.272,0.247,0.255
2024-05-22,0.255,0.272,0.244,0.267
2024-05-23,0.267,0.266,0.258,0.263
2024-05-24,0.263,0.268,0.258,0.264
2024-05-27,0.264,0.264,0.264,0.264
2024-05-28,0.271,0.271,0.261,0.271
2024-05-29,0.271,0.272,0.271,0.271
2024-05-30,0.271,0.272,0.271,0.272
2024-05-31,0.272,0.299,0.299,0.299
2024-06-04,0.299,0.329,0.299,0.329
2024-06-05,0.329,0.381,0.334,0.374
2024-06-06,0.374,0.374,0.374,0.374
2024-06-07,0.374,0.435,0.381,0.381
2024-06-10,0.373,0.400,0.373,0.400
2024-06-11,0.408,0.422,0.408,0.408
2024-06-12,0.393,0.408,0.393,0.393
2024-06-13,0.392,0.393,0.392,0.392
2024-06-14,0.381,0.392,0.381,0.381
2024-06-18,0.381,0.381,0.362,0.362
2024-06-19,0.362,0.402,0.371,0.371
2024-06-20,0.355,0.368,0.355,0.355
2024-06-21,0.355,0.366,0.355,0.363
2024-06-25,0.363,0.366,0.366,0.366
2024-06-26,0.366,0.355,0.353,0.353
2024-06-27,0.353,0.353,0.353,0.353
2024-06-28,0.353,0.353,0.349,0.349
2024-07-01,0.348,0.352,0.327,0.348
2024-07-02,0.323,0.327,0.299,0.323
2024-07-03,0.348,0.352,0.299,0.348
2024-07-04,0.348,0.340,0.337,0.337
2024-07-08,0.338,0.338,0.336,0.338
2024-07-09,0.337,0.352,0.326,0.337
2024-07-10,0.334,0.340,0.334,0.334
2024-07-11,0.334,0.345,0.334,0.336
2024-07-12,0.380,0.394,0.335,0.380
2024-07-15,0.380,0.380,0.340,0.380
2024-07-16,0.367,0.381,0.367,0.367
2024-07-17,0.367,0.366,0.353,0.353
2024-07-18,0.353,0.365,0.353,0.353
2024-07-19,0.347,0.353,0.347,0.347
2024-07-22,0.341,0.370,0.341,0.341
2024-07-23,0.348,0.353,0.348,0.348
2024-07-25,0.347,0.380,0.353,0.353
2024-07-26,0.366,0.378,0.366,0.366
2024-07-29,0.368,0.396,0.391,0.391
2024-07-30,0.389,0.390,0.390,0.390
2024-07-31,0.390,0.392,0.390,0.390
2024-08-01,0.390,0.390,0.352,0.390
2024-08-02,0.390,0.390,0.390,0.390
2024-08-05,0.379,0.390,0.379,0.379
2024-08-06,0.379,0.389,0.379,0.379
2024-08-07,0.379,0.379,0.377,0.378
2024-08-08,0.377,0.392,0.377,0.379
2024-08-09,0.379,0.379,0.373,0.377
2024-08-12,0.338,0.373,0.338,0.338
2024-08-13,0.339,0.374,0.362,0.362
2024-08-14,0.361,0.361,0.345,0.345
2024-08-15,0.344,0.352,0.344,0.344
2024-08-16,0.343,0.343,0.338,0.343
2024-08-20,0.347,0.350,0.338,0.347
2024-08-21,0.347,0.379,0.347,0.360
2024-08-22,0.360,0.356,0.349,0.349
2024-08-23,0.349,0.347,0.346,0.347
2024-08-26,0.348,0.353,0.348,0.348
2024-08-27,0.348,0.380,0.353,0.353
2024-08-28,0.374,0.389,0.342,0.374
2024-08-29,0.374,0.366,0.365,0.366
2024-08-30,0.366,0.366,0.366,0.366
2024-09-02,0.366,0.405,0.374,0.374
2024-09-03,0.374,0.379,0.374,0.374
2024-09-04,0.374,0.366,0.352,0.352
2024-09-05,0.352,0.352,0.341,0.347
2024-09-06,0.346,0.379,0.352,0.352
2024-09-09,0.351,0.351,0.338,0.338
2024-09-10,0.325,0.333,0.319,0.325
2024-09-11,0.324,0.324,0.323,0.324
2024-09-12,0.324,0.324,0.318,0.324
2024-09-13,0.324,0.351,0.324,0.338
2024-09-17,0.350,0.351,0.337,0.350
2024-09-18,0.344,0.348,0.324,0.344
2024-09-19,0.324,0.345,0.324,0.324
2024-09-20,0.324,0.345,0.337,0.342
2024-09-23,0.335,0.342,0.335,0.335
2024-09-24,0.336,0.336,0.336,0.336
2024-09-25,0.337,0.350,0.337,0.337
2024-09-26,0.337,0.337,0.323,0.323
2024-09-27,0.323,0.323,0.323,0.323
2024-09-30,0.323,0.333,0.323,0.333
2024-10-01,0.323,0.331,0.323,0.323
2024-10-02,0.323,0.323,0.323,0.323
2024-10-03,0.322,0.330,0.320,0.322
2024-10-04,0.322,0.322,0.309,0.309
2024-10-07,0.309,0.321,0.309,0.309
2024-10-08,0.309,0.321,0.309,0.321
2024-10-09,0.321,0.321,0.321,0.321
2024-10-10,0.317,0.317,0.317,0.317
2024-10-11,0.327,0.327,0.316,0.327
2024-10-14,0.316,0.357,0.316,0.316
2024-10-15,0.344,0.344,0.306,0.344
2024-10-16,0.345,0.357,0.355,0.345
2024-10-17,0.343,0.356,0.342,0.342
2024-10-18,0.342,0.346,0.342,0.342
2024-10-21,0.342,0.346,0.341,0.341
2024-10-22,0.342,0.342,0.342,0.342
2024-10-23,0.340,0.340,0.340,0.340
2024-10-24,0.339,0.343,0.327,0.337
2024-10-25,0.325,0.325,0.306,0.325
2024-10-28,0.324,0.387,0.324,0.324
2024-10-29,0.319,0.333,0.332,0.333
2024-10-30,0.329,0.328,0.283,0.328
2024-10-31,0.325,0.325,0.280,0.315
2024-11-01,0.325,0.372,0.325,0.325
2024-11-05,0.324,0.370,0.318,0.354
2024-11-06,0.342,0.349,0.342,0.342
2024-11-07,0.334,0.363,0.334,0.334
2024-11-08,0.350,0.354,0.350,0.350
