Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-10,0.210,0.210,0.210,0.210
2023-01-11,0.202,0.202,0.202,0.202
2023-01-12,0.203,0.203,0.203,0.203
2023-01-13,0.200,0.200,0.200,0.200
2023-01-16,0.200,0.200,0.200,0.200
2023-01-17,0.198,0.198,0.198,0.198
2023-01-18,0.198,0.198,0.198,0.198
2023-01-19,0.193,0.193,0.193,0.193
2023-01-20,0.226,0.226,0.226,0.226
2023-01-23,0.226,0.226,0.226,0.226
2023-01-24,0.230,0.230,0.230,0.230
2023-01-25,0.217,0.217,0.217,0.217
2023-01-26,0.217,0.217,0.217,0.217
2023-01-27,0.217,0.217,0.217,0.217
2023-01-30,0.216,0.216,0.216,0.216
2023-01-31,0.216,0.216,0.216,0.216
2023-02-01,0.216,0.216,0.216,0.216
2023-02-02,0.212,0.212,0.212,0.212
2023-02-03,0.205,0.205,0.205,0.205
2023-02-06,0.205,0.205,0.205,0.205
2023-02-07,0.203,0.203,0.203,0.203
2023-02-08,0.199,0.199,0.199,0.199
2023-02-09,0.195,0.195,0.195,0.195
2023-02-10,0.193,0.193,0.193,0.193
2023-02-13,0.193,0.193,0.193,0.193
2023-02-14,0.193,0.193,0.193,0.193
2023-02-15,0.193,0.193,0.193,0.193
2023-02-16,0.193,0.193,0.193,0.193
2023-02-17,0.194,0.194,0.194,0.194
2023-02-22,0.189,0.189,0.189,0.189
2023-02-23,0.189,0.189,0.189,0.189
2023-02-24,0.189,0.189,0.189,0.189
2023-02-27,0.189,0.189,0.189,0.189
2023-02-28,0.189,0.189,0.189,0.189
2023-03-01,0.189,0.189,0.189,0.189
2023-03-02,0.189,0.189,0.189,0.189
2023-03-03,0.189,0.189,0.189,0.189
2023-03-06,0.190,0.190,0.190,0.190
2023-03-07,0.190,0.190,0.190,0.190
2023-03-08,0.191,0.191,0.191,0.191
2023-03-09,0.191,0.191,0.191,0.191
2023-03-10,0.228,0.228,0.228,0.228
2023-03-13,0.228,0.228,0.228,0.228
2023-03-14,0.228,0.228,0.228,0.228
2023-03-15,0.229,0.229,0.229,0.229
2023-03-16,0.230,0.230,0.230,0.230
2023-03-17,0.230,0.230,0.230,0.230
2023-03-20,0.230,0.230,0.230,0.230
2023-03-21,0.230,0.230,0.230,0.230
2023-03-22,0.230,0.230,0.230,0.230
2023-03-23,0.230,0.230,0.230,0.230
2023-03-24,0.230,0.230,0.230,0.230
2023-03-27,0.229,0.229,0.229,0.229
2023-03-28,0.226,0.226,0.226,0.226
2023-03-29,0.226,0.226,0.226,0.226
2023-03-30,0.226,0.226,0.226,0.226
2023-03-31,0.225,0.225,0.225,0.225
2023-04-03,0.225,0.225,0.225,0.225
2023-04-04,0.225,0.225,0.225,0.225
2023-04-05,0.225,0.225,0.225,0.225
2023-04-10,0.225,0.225,0.225,0.225
2023-04-11,0.225,0.225,0.225,0.225
2023-04-12,0.226,0.226,0.226,0.226
2023-04-13,0.225,0.225,0.225,0.225
2023-04-14,0.225,0.225,0.225,0.225
2023-04-17,0.224,0.224,0.224,0.224
2023-04-18,0.204,0.204,0.204,0.204
2023-04-20,0.204,0.204,0.204,0.204
2023-04-21,0.204,0.204,0.204,0.204
2023-04-24,0.194,0.194,0.194,0.194
2023-04-25,0.193,0.193,0.193,0.193
2023-04-26,0.204,0.204,0.204,0.204
2023-04-27,0.204,0.204,0.204,0.204
2023-04-28,0.203,0.203,0.203,0.203
2023-05-02,0.203,0.203,0.203,0.203
2023-05-03,0.203,0.203,0.203,0.203
2023-05-04,0.202,0.202,0.202,0.202
2023-05-05,0.200,0.200,0.200,0.200
2023-05-08,0.200,0.200,0.200,0.200
2023-05-09,0.200,0.200,0.200,0.200
2023-05-10,0.200,0.200,0.200,0.200
2023-05-11,0.199,0.199,0.199,0.199
2023-05-12,0.199,0.199,0.199,0.199
2023-05-15,0.199,0.199,0.199,0.199
2023-05-16,0.197,0.197,0.197,0.197
2023-05-17,0.233,0.233,0.233,0.233
2023-05-18,0.233,0.233,0.233,0.233
2023-05-19,0.231,0.231,0.231,0.231
2023-05-23,0.229,0.229,0.229,0.229
2023-05-24,0.251,0.251,0.251,0.251
2023-05-25,0.250,0.250,0.250,0.250
2023-05-26,0.270,0.270,0.270,0.270
2023-05-29,0.270,0.270,0.270,0.270
2023-05-30,0.270,0.270,0.270,0.270
2023-05-31,0.269,0.269,0.269,0.269
2023-06-01,0.230,0.230,0.230,0.230
2023-06-02,0.269,0.269,0.269,0.269
2023-06-05,0.227,0.227,0.227,0.227
2023-06-06,0.226,0.226,0.226,0.226
