Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-10,1.034,1.034,1.034,1.034
2023-01-11,0.995,0.995,0.995,0.995
2023-01-12,0.998,0.998,0.998,0.998
2023-01-13,0.987,0.987,0.987,0.987
2023-01-16,0.987,0.987,0.987,0.987
2023-01-17,1.132,1.132,1.132,1.132
2023-01-18,1.158,1.158,1.158,1.158
2023-01-19,1.202,1.202,1.202,1.202
2023-01-20,1.202,1.202,1.202,1.202
2023-01-23,1.302,1.302,1.302,1.302
2023-01-24,1.353,1.353,1.353,1.353
2023-01-25,1.324,1.324,1.324,1.324
2023-01-26,1.324,1.324,1.324,1.324
2023-01-27,1.277,1.277,1.277,1.277
2023-01-30,1.267,1.267,1.267,1.267
2023-01-31,1.315,1.315,1.315,1.315
2023-02-01,1.503,1.503,1.503,1.503
2023-02-02,1.474,1.474,1.474,1.474
2023-02-03,1.559,1.559,1.559,1.559
2023-02-06,1.562,1.562,1.562,1.562
2023-02-07,1.545,1.545,1.545,1.545
2023-02-08,1.514,1.514,1.514,1.514
2023-02-09,1.484,1.484,1.484,1.484
2023-02-10,1.472,1.472,1.472,1.472
2023-02-13,1.472,1.472,1.472,1.472
2023-02-14,1.598,1.598,1.598,1.598
2023-02-15,1.598,1.598,1.598,1.598
2023-02-16,1.600,1.600,1.600,1.600
2023-02-17,1.600,1.600,1.600,1.600
2023-02-22,1.562,1.562,1.562,1.562
2023-02-23,1.562,1.562,1.562,1.562
2023-02-24,1.559,1.559,1.559,1.559
2023-02-27,1.558,1.558,1.558,1.558
2023-02-28,1.558,1.558,1.558,1.558
2023-03-01,1.558,1.558,1.558,1.558
2023-03-02,1.562,1.562,1.562,1.562
2023-03-03,1.562,1.562,1.562,1.562
2023-03-06,1.564,1.564,1.564,1.564
2023-03-07,1.564,1.564,1.564,1.564
2023-03-08,1.575,1.575,1.575,1.575
2023-03-09,1.575,1.575,1.575,1.575
2023-03-10,1.574,1.574,1.574,1.574
2023-03-13,1.659,1.659,1.659,1.659
2023-03-14,1.658,1.658,1.658,1.658
2023-03-15,1.577,1.577,1.577,1.577
2023-03-16,1.627,1.627,1.627,1.627
2023-03-17,1.460,1.460,1.460,1.460
2023-03-20,1.668,1.668,1.668,1.668
2023-03-21,1.668,1.668,1.668,1.668
2023-03-22,1.627,1.627,1.627,1.627
2023-03-23,1.626,1.626,1.626,1.626
2023-03-24,1.626,1.626,1.626,1.626
2023-03-27,1.618,1.618,1.618,1.618
2023-03-28,1.600,1.600,1.600,1.600
2023-03-29,1.596,1.596,1.596,1.596
2023-03-30,1.595,1.595,1.595,1.595
2023-03-31,1.590,1.590,1.590,1.590
2023-04-03,1.569,1.569,1.569,1.569
2023-04-04,1.567,1.567,1.567,1.567
2023-04-05,1.717,1.717,1.717,1.717
2023-04-10,1.717,1.717,1.717,1.717
2023-04-11,1.717,1.717,1.717,1.717
2023-04-12,1.724,1.724,1.724,1.724
2023-04-13,1.718,1.718,1.718,1.718
2023-04-14,1.717,1.717,1.717,1.717
2023-04-17,1.586,1.586,1.586,1.586
2023-04-18,1.585,1.585,1.585,1.585
2023-04-20,1.549,1.549,1.549,1.549
2023-04-21,1.671,1.671,1.671,1.671
2023-04-24,1.692,1.692,1.692,1.692
2023-04-25,1.706,1.706,1.706,1.706
2023-04-26,1.831,1.831,1.831,1.831
2023-04-27,1.829,1.829,1.829,1.829
2023-04-28,1.822,1.822,1.822,1.822
2023-05-02,1.822,1.822,1.822,1.822
2023-05-03,1.821,1.821,1.821,1.821
2023-05-04,1.816,1.816,1.816,1.816
2023-05-05,1.800,1.800,1.800,1.800
2023-05-08,1.998,1.998,1.998,1.998
2023-05-09,1.998,1.998,1.998,1.998
2023-05-10,1.998,1.998,1.998,1.998
2023-05-11,1.988,1.988,1.988,1.988
2023-05-12,1.949,1.949,1.949,1.949
2023-05-15,1.949,1.949,1.949,1.949
2023-05-16,1.890,1.890,1.890,1.890
2023-05-17,1.874,1.874,1.874,1.874
2023-05-18,1.835,1.835,1.835,1.835
2023-05-19,1.746,1.746,1.746,1.746
2023-05-23,1.829,1.829,1.829,1.829
2023-05-24,1.829,1.829,1.829,1.829
2023-05-25,1.807,1.807,1.807,1.807
2023-05-26,1.808,1.808,1.808,1.808
2023-05-29,1.808,1.808,1.808,1.808
2023-05-30,1.808,1.808,1.808,1.808
2023-05-31,1.801,1.801,1.801,1.801
2023-06-01,1.801,1.801,1.801,1.801
2023-06-02,1.878,1.878,1.878,1.878
2023-06-05,1.854,1.854,1.854,1.854
2023-06-06,2.071,2.071,2.071,2.071
2023-06-07,1.880,1.880,1.880,1.880
2023-06-08,2.011,2.011,2.011,2.011
2023-06-13,1.994,1.994,1.994,1.994
2023-06-14,1.964,1.964,1.964,1.964
2023-06-15,1.920,1.920,1.920,1.920
2023-06-16,1.914,1.914,1.914,1.914
2023-06-20,1.940,1.940,1.940,1.940
2023-06-21,1.837,1.837,1.837,1.837
2023-06-22,1.834,1.834,1.834,1.834
2023-06-23,1.709,1.709,1.709,1.709
2023-06-26,1.651,1.651,1.651,1.651
2023-06-27,1.560,1.560,1.560,1.560
2023-06-28,1.560,1.560,1.560,1.560
2023-06-29,1.547,1.547,1.547,1.547
2023-06-30,1.655,1.655,1.655,1.655
2023-07-04,1.654,1.654,1.654,1.654
2023-07-06,1.635,1.635,1.635,1.635
2023-07-07,1.635,1.635,1.635,1.635
2023-07-10,1.627,1.627,1.627,1.627
2023-07-11,1.627,1.627,1.627,1.627
2023-07-12,1.768,1.768,1.768,1.768
2023-07-13,1.526,1.526,1.526,1.526
2023-07-14,1.765,1.765,1.765,1.765
2023-07-17,1.765,1.765,1.765,1.765
2023-07-18,2.041,2.041,2.041,2.041
2023-07-19,2.026,2.026,2.026,2.026
2023-07-20,2.011,2.011,2.011,2.011
2023-07-21,2.011,2.011,2.011,2.011
2023-07-25,1.997,1.997,1.997,1.997
2023-07-26,1.993,1.993,1.993,1.993
2023-07-27,1.928,1.928,1.928,1.928
2023-07-28,1.913,1.913,1.913,1.913
2023-07-31,1.708,1.708,1.708,1.708
2023-08-01,1.696,1.696,1.696,1.696
2023-08-02,1.697,1.697,1.697,1.697
2023-08-03,1.697,1.697,1.697,1.697
2023-08-04,1.691,1.691,1.691,1.691
2023-08-07,1.691,1.691,1.691,1.691
2023-08-08,1.691,1.691,1.691,1.691
2023-08-09,1.691,1.691,1.691,1.691
2023-08-10,1.690,1.690,1.690,1.690
2023-08-11,1.689,1.689,1.689,1.689
2023-08-15,1.661,1.661,1.661,1.661
2023-08-16,1.587,1.587,1.587,1.587
2023-08-17,1.586,1.586,1.586,1.586
2023-08-18,1.581,1.581,1.581,1.581
2023-08-21,1.568,1.568,1.568,1.568
2023-08-22,1.509,1.509,1.509,1.509
2023-08-23,1.478,1.478,1.478,1.478
2023-08-24,1.478,1.478,1.478,1.478
2023-08-25,1.478,1.478,1.478,1.478
2023-08-28,1.478,1.478,1.478,1.478
2023-08-29,1.478,1.478,1.478,1.478
2023-08-30,1.510,1.510,1.510,1.510
2023-08-31,1.573,1.573,1.573,1.573
2023-09-01,1.541,1.541,1.541,1.541
2023-09-04,1.541,1.541,1.541,1.541
2023-09-05,1.525,1.525,1.525,1.525
2023-09-06,1.587,1.587,1.587,1.587
2023-09-07,1.592,1.592,1.592,1.592
2023-09-08,1.542,1.542,1.542,1.542
2023-09-12,1.524,1.524,1.524,1.524
2023-09-13,1.523,1.523,1.523,1.523
2023-09-14,1.412,1.412,1.412,1.412
2023-09-15,1.496,1.496,1.496,1.496
2023-09-18,1.493,1.493,1.493,1.493
2023-09-19,1.473,1.473,1.473,1.473
2023-09-20,1.460,1.460,1.460,1.460
2023-09-21,1.459,1.459,1.459,1.459
2023-09-22,1.446,1.446,1.446,1.446
2023-09-25,1.430,1.430,1.430,1.430
2023-09-26,1.443,1.443,1.443,1.443
2023-09-27,1.380,1.380,1.380,1.380
2023-09-28,1.345,1.345,1.345,1.345
2023-09-29,1.403,1.403,1.403,1.403
2023-10-02,1.457,1.457,1.457,1.457
2023-10-03,1.423,1.423,1.423,1.423
2023-10-04,1.450,1.450,1.450,1.450
2023-10-05,1.441,1.441,1.441,1.441
2023-10-06,1.422,1.422,1.422,1.422
2023-10-09,1.409,1.409,1.409,1.409
2023-10-10,1.376,1.376,1.376,1.376
2023-10-11,1.396,1.396,1.396,1.396
2023-10-13,1.351,1.351,1.351,1.351
2023-10-16,1.435,1.435,1.435,1.435
2023-10-17,1.407,1.407,1.407,1.407
2023-10-18,1.407,1.407,1.407,1.407
2023-10-19,1.481,1.481,1.481,1.481
2023-10-20,1.695,1.695,1.695,1.695
2023-10-23,1.867,1.867,1.867,1.867
2023-10-24,2.001,2.001,2.001,2.001
2023-10-25,1.990,1.990,1.990,1.990
2023-10-26,1.858,1.858,1.858,1.858
2023-10-27,1.851,1.851,1.851,1.851
2023-10-31,1.984,1.984,1.984,1.984
2023-11-01,1.852,1.852,1.852,1.852
2023-11-02,1.824,1.824,1.824,1.824
2023-11-03,1.785,1.785,1.785,1.785
2023-11-07,1.776,1.776,1.776,1.776
2023-11-08,1.705,1.705,1.705,1.705
2023-11-09,1.709,1.709,1.709,1.709
2023-11-10,1.700,1.700,1.700,1.700
2023-11-13,1.700,1.700,1.700,1.700
2023-11-14,1.698,1.698,1.698,1.698
2023-11-15,1.698,1.698,1.698,1.698
2023-11-16,1.697,1.697,1.697,1.697
2023-11-17,1.698,1.698,1.698,1.698
2023-11-20,1.696,1.696,1.696,1.696
2023-11-21,1.693,1.693,1.693,1.693
2023-11-22,1.693,1.693,1.693,1.693
2023-11-23,1.693,1.693,1.693,1.693
2023-11-24,1.694,1.694,1.694,1.694
2023-11-27,1.693,1.693,1.693,1.693
2023-11-28,1.693,1.693,1.693,1.693
2023-11-29,1.693,1.693,1.693,1.693
2023-11-30,1.693,1.693,1.693,1.693
2023-12-01,1.692,1.692,1.692,1.692
2023-12-04,1.688,1.688,1.688,1.688
2023-12-05,1.688,1.688,1.688,1.688
2023-12-06,1.691,1.691,1.691,1.691
2023-12-07,1.689,1.689,1.689,1.689
2023-12-08,1.659,1.659,1.659,1.659
2023-12-12,1.658,1.658,1.658,1.658
2023-12-13,1.630,1.630,1.630,1.630
2023-12-14,1.633,1.633,1.633,1.633
2023-12-15,1.574,1.574,1.574,1.574
2023-12-18,1.574,1.574,1.574,1.574
2023-12-19,1.574,1.574,1.574,1.574
2023-12-20,1.574,1.544,1.518,1.518
2023-12-21,1.514,1.514,1.514,1.514
2023-12-22,1.514,1.541,1.514,1.514
2023-12-26,1.537,1.537,1.537,1.537
2023-12-27,1.511,1.511,1.511,1.511
2023-12-28,1.511,1.511,1.511,1.511
2023-12-29,1.511,1.511,1.511,1.511
2024-01-02,1.505,1.644,1.505,1.644
2024-01-03,1.644,1.644,1.643,1.644
2024-01-04,1.647,1.619,1.396,1.577
2024-01-05,1.570,1.583,1.583,1.583
2024-01-08,1.584,1.584,1.584,1.584
2024-01-09,1.584,1.584,1.584,1.584
2024-01-10,1.584,1.584,1.570,1.571
2024-01-11,1.574,1.574,1.563,1.574
2024-01-12,1.575,1.575,1.575,1.575
2024-01-15,1.575,1.575,1.575,1.575
2024-01-16,1.575,1.492,1.492,1.575
2024-01-17,1.573,1.559,1.559,1.559
2024-01-18,1.556,1.555,1.389,1.555
2024-01-19,1.555,1.553,1.528,1.528
2024-01-22,1.524,1.606,1.549,1.606
2024-01-23,1.605,1.605,1.605,1.605
2024-01-24,1.605,1.579,1.579,1.605
2024-01-25,1.606,1.537,1.537,1.537
2024-01-26,1.537,1.537,1.537,1.537
2024-01-29,1.537,1.497,1.442,1.442
2024-01-30,1.438,1.438,1.438,1.438
2024-01-31,1.427,1.399,1.399,1.399
2024-02-01,1.399,1.399,1.288,1.378
2024-02-02,1.374,1.367,1.367,1.374
2024-02-05,1.375,1.382,1.382,1.382
2024-02-06,1.376,1.379,1.376,1.376
2024-02-07,1.375,1.353,1.312,1.312
2024-02-08,1.312,1.298,1.270,1.295
2024-02-09,1.296,1.296,1.295,1.295
2024-02-14,1.292,1.290,1.290,1.290
2024-02-15,1.290,1.292,1.292,1.292
2024-02-16,1.294,1.270,1.132,1.229
2024-02-19,1.229,1.268,1.243,1.268
2024-02-20,1.267,1.267,1.266,1.267
2024-02-21,1.266,1.266,1.265,1.266
2024-02-22,1.266,1.264,1.264,1.264
2024-02-23,1.266,1.266,1.244,1.244
2024-02-26,1.244,1.244,1.244,1.244
2024-02-27,1.249,1.249,1.249,1.249
2024-02-28,1.249,1.261,1.261,1.261
2024-02-29,1.261,1.261,1.261,1.261
2024-03-01,1.261,1.252,1.252,1.252
2024-03-04,1.252,1.252,1.252,1.252
2024-03-05,1.252,1.253,1.110,1.110
2024-03-06,1.110,1.247,1.110,1.166
2024-03-07,1.164,1.242,1.053,1.109
2024-03-08,1.109,1.233,1.109,1.136
2024-03-11,1.134,1.230,1.228,1.228
2024-03-12,1.228,1.189,1.162,1.189
2024-03-13,1.189,1.228,1.189,1.228
2024-03-14,1.226,1.226,1.226,1.226
2024-03-15,1.226,1.227,1.187,1.187
2024-03-18,1.187,1.187,1.187,1.187
2024-03-20,1.187,1.222,1.187,1.187
2024-03-21,1.187,1.221,1.221,1.221
2024-03-22,1.221,1.298,1.223,1.270
2024-03-25,1.268,1.323,1.323,1.323
2024-03-26,1.322,1.370,1.350,1.370
2024-03-27,1.372,1.372,1.372,1.372
2024-04-01,1.373,1.407,1.380,1.407
2024-04-02,1.380,1.407,1.380,1.380
2024-04-03,1.380,1.380,1.297,1.297
2024-04-04,1.297,1.421,1.380,1.380
2024-04-05,1.380,1.380,1.380,1.380
2024-04-09,1.382,1.382,1.382,1.382
2024-04-10,1.382,1.396,1.395,1.395
2024-04-11,1.397,1.396,1.396,1.397
2024-04-12,1.397,1.398,1.384,1.398
2024-04-15,1.394,1.394,1.394,1.394
2024-04-16,1.394,1.394,1.392,1.392
2024-04-17,1.392,1.380,1.380,1.380
2024-04-18,1.380,1.380,1.380,1.380
2024-04-22,1.378,1.378,1.351,1.378
2024-04-23,1.378,1.378,1.378,1.378
2024-04-24,1.378,1.378,1.378,1.378
2024-04-25,1.378,1.378,1.378,1.378
2024-04-26,1.376,1.376,1.335,1.335
2024-04-29,1.334,1.329,1.210,1.328
2024-04-30,1.328,1.375,1.328,1.375
2024-05-02,1.375,1.375,1.375,1.375
2024-05-03,1.373,1.373,1.373,1.373
2024-05-06,1.372,1.290,1.207,1.290
2024-05-07,1.316,1.370,1.316,1.316
2024-05-08,1.316,1.397,1.370,1.397
2024-05-09,1.397,1.411,1.411,1.411
2024-05-10,1.410,1.424,1.424,1.424
2024-05-14,1.423,1.423,1.423,1.423
2024-05-15,1.451,1.505,1.423,1.451
2024-05-16,1.451,1.451,1.451,1.451
2024-05-17,1.465,1.451,1.451,1.451
2024-05-20,1.450,1.505,1.505,1.450
2024-05-21,1.452,1.452,1.425,1.452
2024-05-22,1.452,1.507,1.452,1.507
2024-05-23,1.507,1.507,1.507,1.507
2024-05-24,1.508,1.508,1.508,1.508
2024-05-27,1.508,1.618,1.563,1.563
2024-05-28,1.563,1.563,1.562,1.562
2024-05-29,1.562,1.644,1.644,1.644
2024-05-30,1.645,1.645,1.619,1.619
2024-05-31,1.619,1.646,1.645,1.646
2024-06-04,1.645,1.837,1.645,1.645
2024-06-05,1.645,1.837,1.700,1.782
2024-06-06,1.781,1.781,1.781,1.781
2024-06-07,1.838,1.920,1.920,1.920
2024-06-10,1.883,2.018,2.018,2.018
2024-06-11,2.060,2.060,2.059,2.060
2024-06-12,2.060,2.390,2.198,2.390
2024-06-13,2.389,2.389,2.334,2.334
2024-06-14,2.335,2.390,2.334,2.335
2024-06-18,2.336,2.336,2.199,2.199
2024-06-19,2.200,2.200,2.200,2.200
2024-06-20,2.201,2.201,2.201,2.201
2024-06-21,2.201,2.201,2.201,2.201
2024-06-25,2.201,2.201,2.201,2.201
2024-06-26,2.202,2.337,2.202,2.202
2024-06-27,2.339,2.339,2.339,2.339
2024-06-28,2.337,2.337,2.254,2.254
2024-07-01,2.252,2.279,2.252,2.279
2024-07-02,2.279,2.279,2.279,2.279
2024-07-03,2.278,2.608,2.608,2.608
2024-07-04,2.607,2.524,2.524,2.524
2024-07-08,2.527,2.609,2.541,2.609
2024-07-09,2.606,2.606,2.577,2.577
2024-07-10,2.576,2.576,2.576,2.576
2024-07-11,2.575,2.577,2.575,2.575
2024-07-12,2.574,2.603,2.466,2.466
2024-07-15,2.466,2.603,2.466,2.466
2024-07-16,2.468,2.441,2.331,2.331
2024-07-17,2.331,2.468,2.331,2.331
2024-07-18,2.328,2.328,1.863,2.326
2024-07-19,2.324,2.324,2.310,2.310
2024-07-22,2.273,2.277,2.273,2.273
2024-07-23,2.325,2.325,2.192,2.192
2024-07-25,2.190,2.190,2.190,2.190
2024-07-26,2.189,2.244,2.244,2.244
2024-07-29,2.257,2.257,2.257,2.257
2024-07-30,2.242,2.242,2.242,2.242
2024-07-31,2.242,2.515,2.242,2.242
2024-08-01,2.240,2.596,2.322,2.596
2024-08-02,2.595,2.595,2.540,2.540
2024-08-05,2.540,2.621,2.540,2.621
2024-08-06,2.622,2.594,2.593,2.593
2024-08-07,2.592,2.594,2.594,2.592
2024-08-08,2.591,2.565,2.565,2.565
2024-08-09,2.565,2.456,2.456,2.456
2024-08-12,2.457,2.320,2.320,2.320
2024-08-13,2.323,2.582,2.186,2.186
2024-08-14,2.185,2.185,2.157,2.157
2024-08-15,2.160,2.542,2.460,2.542
2024-08-16,2.538,2.565,2.511,2.511
2024-08-20,2.510,2.592,2.456,2.456
2024-08-21,2.456,2.456,2.456,2.456
2024-08-22,2.458,2.458,2.458,2.458
2024-08-23,2.455,2.455,2.318,2.455
2024-08-26,2.462,2.599,2.462,2.462
2024-08-27,2.464,2.464,2.464,2.464
2024-08-28,2.462,2.325,2.325,2.325
2024-08-29,2.325,2.435,2.188,2.435
2024-08-30,2.432,2.432,2.432,2.432
2024-09-02,2.431,2.595,2.458,2.458
2024-09-03,2.458,2.458,2.322,2.458
2024-09-04,2.431,2.431,2.322,2.431
2024-09-05,2.431,2.431,2.431,2.431
2024-09-06,2.428,2.319,2.319,2.319
2024-09-09,2.319,2.319,2.319,2.319
2024-09-10,2.319,2.592,2.319,2.592
2024-09-11,2.591,2.591,2.454,2.454
2024-09-12,2.449,2.449,2.313,2.313
2024-09-13,2.316,2.452,2.316,2.452
2024-09-17,2.450,2.422,2.395,2.450
2024-09-18,2.450,2.409,2.409,2.409
2024-09-19,2.449,2.449,2.313,2.449
2024-09-20,2.448,2.448,2.448,2.448
2024-09-23,2.442,2.442,2.442,2.442
2024-09-24,2.447,2.447,2.447,2.447
2024-09-25,2.393,2.311,2.175,2.175
2024-09-26,2.173,2.173,2.173,2.173
2024-09-27,2.173,2.173,2.173,2.173
2024-09-30,2.170,2.170,2.169,2.170
2024-10-01,2.169,2.304,2.169,2.169
2024-10-02,2.169,2.169,2.169,2.169
2024-10-03,2.302,2.305,2.300,2.302
2024-10-04,2.297,2.219,2.165,2.216
2024-10-07,2.213,2.297,2.270,2.293
2024-10-08,2.293,2.297,2.162,2.270
2024-10-09,2.268,2.295,2.294,2.294
2024-10-10,2.266,2.240,2.134,2.240
2024-10-11,2.232,2.260,2.260,2.260
2024-10-14,2.188,2.317,2.317,2.188
2024-10-15,2.188,2.188,2.188,2.188
2024-10-16,2.188,2.188,2.188,2.188
2024-10-17,2.181,2.181,2.181,2.181
2024-10-18,2.174,2.174,2.174,2.174
2024-10-21,2.172,2.172,2.044,2.172
2024-10-22,2.171,2.171,2.146,2.171
2024-10-23,2.036,2.036,2.036,2.036
2024-10-24,2.029,2.283,2.029,2.283
2024-10-25,2.081,2.081,2.081,2.081
2024-10-28,2.073,2.073,1.951,1.951
2024-10-29,1.919,2.158,1.919,1.919
2024-10-30,1.896,2.015,1.896,1.896
2024-10-31,1.881,1.999,1.999,1.999
2024-11-01,1.992,2.062,1.992,1.992
2024-11-05,1.985,1.985,1.985,1.985
2024-11-06,1.956,1.956,1.956,1.956
2024-11-07,1.943,1.937,1.937,1.937
2024-11-08,1.920,1.925,1.812,1.812
2024-11-11,1.791,1.925,1.791,1.791
2024-11-12,1.789,2.125,1.901,2.125
2024-11-13,2.116,2.228,2.005,2.228
2024-11-14,2.222,2.222,2.222,2.222
2024-11-15,2.199,2.199,1.979,2.089
