Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-24,0.287,0.287,0.287,0.287
2023-01-25,0.305,0.305,0.305,0.305
2023-01-26,0.332,0.332,0.332,0.332
2023-01-27,0.332,0.332,0.332,0.332
2023-01-30,0.321,0.321,0.321,0.321
2023-01-31,0.320,0.320,0.320,0.320
2023-02-01,0.320,0.320,0.320,0.320
2023-02-02,0.314,0.314,0.314,0.314
2023-02-03,0.304,0.304,0.304,0.304
2023-02-06,0.292,0.292,0.292,0.292
2023-02-07,0.282,0.282,0.282,0.282
2023-02-08,0.276,0.276,0.276,0.276
2023-02-09,0.262,0.262,0.262,0.262
2023-02-10,0.260,0.260,0.260,0.260
2023-02-13,0.256,0.256,0.256,0.256
2023-02-14,0.260,0.260,0.260,0.260
2023-02-15,0.253,0.253,0.253,0.253
2023-02-16,0.256,0.256,0.256,0.256
2023-02-17,0.260,0.260,0.260,0.260
2023-02-22,0.259,0.259,0.259,0.259
2023-02-23,0.257,0.257,0.257,0.257
2023-02-24,0.257,0.257,0.257,0.257
2023-02-27,0.266,0.266,0.266,0.266
2023-02-28,0.261,0.261,0.261,0.261
2023-03-01,0.261,0.261,0.261,0.261
2023-03-02,0.257,0.257,0.257,0.257
2023-03-03,0.254,0.254,0.254,0.254
2023-03-06,0.255,0.255,0.255,0.255
2023-03-07,0.255,0.255,0.255,0.255
2023-03-08,0.256,0.256,0.256,0.256
2023-03-09,0.256,0.256,0.256,0.256
2023-03-10,0.271,0.271,0.271,0.271
2023-03-13,0.304,0.304,0.304,0.304
2023-03-14,0.320,0.320,0.320,0.320
2023-03-15,0.321,0.321,0.321,0.321
2023-03-16,0.322,0.322,0.322,0.322
2023-03-17,0.315,0.315,0.315,0.315
2023-03-20,0.315,0.315,0.315,0.315
2023-03-21,0.309,0.309,0.309,0.309
2023-03-22,0.308,0.308,0.308,0.308
2023-03-23,0.305,0.305,0.305,0.305
2023-03-24,0.303,0.303,0.303,0.303
2023-03-27,0.301,0.301,0.301,0.301
2023-03-28,0.290,0.290,0.290,0.290
2023-03-29,0.286,0.286,0.286,0.286
2023-03-30,0.286,0.286,0.286,0.286
2023-03-31,0.285,0.285,0.285,0.285
2023-04-03,0.285,0.285,0.285,0.285
2023-04-04,0.284,0.284,0.284,0.284
2023-04-05,0.285,0.285,0.285,0.285
2023-04-10,0.278,0.278,0.278,0.278
2023-04-11,0.274,0.274,0.274,0.274
2023-04-12,0.265,0.265,0.265,0.265
2023-04-13,0.264,0.264,0.264,0.264
2023-04-14,0.263,0.263,0.263,0.263
2023-04-17,0.261,0.261,0.261,0.261
2023-04-18,0.261,0.261,0.261,0.261
2023-04-20,0.261,0.261,0.261,0.261
2023-04-21,0.262,0.262,0.262,0.262
2023-04-24,0.273,0.273,0.273,0.273
2023-04-25,0.269,0.269,0.269,0.269
2023-04-26,0.268,0.268,0.268,0.268
2023-04-27,0.275,0.275,0.275,0.275
2023-04-28,0.274,0.274,0.274,0.274
2023-05-02,0.286,0.286,0.286,0.286
2023-05-03,0.293,0.293,0.293,0.293
2023-05-04,0.290,0.290,0.290,0.290
2023-05-05,0.293,0.293,0.293,0.293
2023-05-08,0.289,0.289,0.289,0.289
2023-05-09,0.289,0.289,0.289,0.289
2023-05-10,0.292,0.292,0.292,0.292
2023-05-11,0.290,0.290,0.290,0.290
2023-05-12,0.290,0.290,0.290,0.290
2023-05-15,0.290,0.290,0.290,0.290
2023-05-16,0.286,0.286,0.286,0.286
2023-05-17,0.276,0.276,0.276,0.276
2023-05-18,0.269,0.269,0.269,0.269
2023-05-19,0.267,0.267,0.267,0.267
2023-05-23,0.271,0.271,0.271,0.271
2023-05-24,0.269,0.269,0.269,0.269
2023-05-25,0.263,0.263,0.263,0.263
2023-05-26,0.263,0.263,0.263,0.263
2023-05-29,0.263,0.263,0.263,0.263
2023-05-30,0.263,0.263,0.263,0.263
2023-05-31,0.301,0.301,0.301,0.301
2023-06-01,0.299,0.299,0.299,0.299
2023-06-02,0.297,0.297,0.297,0.297
2023-06-05,0.293,0.293,0.293,0.293
2023-06-06,0.291,0.291,0.291,0.291
2023-06-07,0.288,0.288,0.288,0.288
2023-06-08,0.274,0.274,0.274,0.274
2023-06-13,0.296,0.296,0.296,0.296
2023-06-14,0.293,0.293,0.293,0.293
2023-06-15,0.288,0.288,0.288,0.288
2023-06-16,0.284,0.284,0.284,0.284
