Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-30,0.138,0.138,0.138,0.138
2023-01-31,0.136,0.136,0.136,0.136
2023-02-01,0.138,0.138,0.138,0.138
2023-02-02,0.135,0.135,0.135,0.135
2023-02-03,0.132,0.132,0.132,0.132
2023-02-06,0.133,0.133,0.133,0.133
2023-02-07,0.141,0.141,0.141,0.141
2023-02-08,0.142,0.142,0.142,0.142
2023-02-09,0.139,0.139,0.139,0.139
2023-02-10,0.136,0.136,0.136,0.136
2023-02-13,0.136,0.136,0.136,0.136
2023-02-14,0.140,0.140,0.140,0.140
2023-02-15,0.140,0.140,0.140,0.140
2023-02-16,0.138,0.138,0.138,0.138
2023-02-17,0.136,0.136,0.136,0.136
2023-02-22,0.131,0.131,0.131,0.131
2023-02-23,0.129,0.129,0.129,0.129
2023-02-24,0.122,0.122,0.122,0.122
2023-02-27,0.122,0.122,0.122,0.122
2023-02-28,0.122,0.122,0.122,0.122
2023-03-01,0.122,0.122,0.122,0.122
2023-03-02,0.122,0.122,0.122,0.122
2023-03-03,0.122,0.122,0.122,0.122
2023-03-06,0.117,0.117,0.117,0.117
2023-03-07,0.123,0.123,0.123,0.123
2023-03-08,0.123,0.123,0.123,0.123
2023-03-09,0.123,0.123,0.123,0.123
2023-03-10,0.123,0.123,0.123,0.123
2023-03-13,0.120,0.120,0.120,0.120
2023-03-14,0.116,0.116,0.116,0.116
2023-03-15,0.103,0.103,0.103,0.103
2023-03-16,0.104,0.104,0.104,0.104
2023-03-17,0.120,0.120,0.120,0.120
2023-03-20,0.120,0.120,0.120,0.120
2023-03-21,0.118,0.118,0.118,0.118
2023-03-22,0.118,0.118,0.118,0.118
2023-03-23,0.118,0.118,0.118,0.118
2023-03-24,0.118,0.118,0.118,0.118
2023-03-27,0.117,0.117,0.117,0.117
2023-03-28,0.116,0.116,0.116,0.116
2023-03-29,0.116,0.116,0.116,0.116
2023-03-30,0.116,0.116,0.116,0.116
2023-03-31,0.115,0.115,0.115,0.115
2023-04-03,0.114,0.114,0.114,0.114
2023-04-04,0.114,0.114,0.114,0.114
2023-04-05,0.114,0.114,0.114,0.114
2023-04-10,0.114,0.114,0.114,0.114
2023-04-11,0.114,0.114,0.114,0.114
2023-04-12,0.115,0.115,0.115,0.115
2023-04-13,0.114,0.114,0.114,0.114
2023-04-14,0.112,0.112,0.112,0.112
2023-04-17,0.106,0.106,0.106,0.106
2023-04-18,0.126,0.126,0.126,0.126
2023-04-20,0.122,0.122,0.122,0.122
2023-04-21,0.130,0.130,0.130,0.130
2023-04-24,0.129,0.129,0.129,0.129
2023-04-25,0.129,0.129,0.129,0.129
