Date,Precio_Inicio_USD,Alto_USD,Bajo_USD,Precio_Cierre_USD
2023-01-30,0.202,0.202,0.202,0.202
2023-01-31,0.197,0.197,0.197,0.197
2023-02-01,0.194,0.194,0.194,0.194
2023-02-02,0.184,0.184,0.184,0.184
2023-02-03,0.205,0.205,0.205,0.205
2023-02-06,0.214,0.214,0.214,0.214
2023-02-07,0.207,0.207,0.207,0.207
2023-02-08,0.207,0.207,0.207,0.207
2023-02-09,0.197,0.197,0.197,0.197
2023-02-10,0.195,0.195,0.195,0.195
2023-02-13,0.197,0.197,0.197,0.197
2023-02-14,0.195,0.195,0.195,0.195
2023-02-15,0.193,0.193,0.193,0.193
2023-02-16,0.189,0.189,0.189,0.189
2023-02-17,0.187,0.187,0.187,0.187
2023-02-22,0.182,0.182,0.182,0.182
2023-02-23,0.174,0.174,0.174,0.174
2023-02-24,0.164,0.164,0.164,0.164
2023-02-27,0.180,0.180,0.180,0.180
2023-02-28,0.176,0.176,0.176,0.176
2023-03-01,0.180,0.180,0.180,0.180
2023-03-02,0.179,0.179,0.179,0.179
2023-03-03,0.179,0.179,0.179,0.179
2023-03-06,0.179,0.179,0.179,0.179
2023-03-07,0.177,0.177,0.177,0.177
2023-03-08,0.182,0.182,0.182,0.182
2023-03-09,0.176,0.176,0.176,0.176
2023-03-10,0.176,0.176,0.176,0.176
2023-03-13,0.176,0.176,0.176,0.176
2023-03-14,0.176,0.176,0.176,0.176
2023-03-15,0.176,0.176,0.176,0.176
2023-03-16,0.167,0.167,0.167,0.167
2023-03-17,0.175,0.175,0.175,0.175
2023-03-20,0.173,0.173,0.173,0.173
2023-03-21,0.173,0.173,0.173,0.173
2023-03-22,0.170,0.170,0.170,0.170
2023-03-23,0.166,0.166,0.166,0.166
2023-03-24,0.167,0.167,0.167,0.167
2023-03-27,0.166,0.166,0.166,0.166
2023-03-28,0.176,0.176,0.176,0.176
2023-03-29,0.176,0.176,0.176,0.176
2023-03-30,0.175,0.175,0.175,0.175
2023-03-31,0.171,0.171,0.171,0.171
2023-04-03,0.171,0.171,0.171,0.171
2023-04-04,0.170,0.170,0.170,0.170
2023-04-05,0.170,0.170,0.170,0.170
2023-04-10,0.170,0.170,0.170,0.170
2023-04-11,0.167,0.167,0.167,0.167
2023-04-12,0.168,0.168,0.168,0.168
2023-04-13,0.166,0.166,0.166,0.166
