Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.755,0.833,0.833,0.646,237.709
2025-12-30,0.678,0.772,0.772,0.772,246.152
2025-12-29,0.590,0.678,0.678,0.518,6960.498
2025-12-26,0.603,0.603,0.603,0.532,223.413
2025-12-23,0.603,0.603,0.603,0.568,146.478
2025-12-22,0.603,0.603,0.603,0.571,199.459
2025-12-19,0.544,0.616,0.649,0.533,601.816
2025-12-18,0.493,0.550,0.550,0.495,212.715
2025-12-17,0.443,0.493,0.495,0.476,59.970
2025-12-16,0.458,0.458,0.511,0.458,42.815
2025-12-15,0.484,0.458,0.511,0.458,125.024
2025-12-12,0.505,0.497,0.525,0.459,970.007
2025-12-11,0.536,0.505,0.536,0.438,324.113
2025-12-10,0.540,0.536,0.540,0.437,191.784
2025-12-09,0.544,0.540,0.544,0.435,339.633
2025-12-05,0.563,0.563,0.563,0.563,90.098
2025-12-04,0.563,0.563,0.575,0.531,118.914
2025-12-03,0.575,0.567,0.585,0.535,105.884
2025-12-02,0.592,0.579,0.583,0.510,129.493
2025-12-01,0.576,0.597,0.597,0.576,98.210
2025-11-28,0.597,0.576,0.597,0.558,280.173
2025-11-27,0.581,0.598,0.598,0.590,134.883
2025-11-26,0.614,0.581,0.598,0.493,201.103
2025-11-25,0.536,0.614,0.639,0.536,143.398
2025-11-21,0.556,0.548,0.556,0.464,1895.409
2025-11-20,0.572,0.559,0.572,0.559,344.289
2025-11-19,0.593,0.572,0.593,0.508,346.151
2025-11-18,0.593,0.593,0.593,0.530,84.152
2025-11-17,0.622,0.601,0.622,0.558,477.576
2025-11-14,0.622,0.622,0.622,0.622,36.094
2025-11-13,0.625,0.629,0.629,0.586,415.597
2025-11-12,0.570,0.632,0.649,0.570,287.481
2025-11-11,0.568,0.570,0.584,0.531,137.503
2025-11-10,0.568,0.570,0.570,0.507,230.066
2025-11-07,0.568,0.568,0.595,0.568,496.742
2025-11-06,0.627,0.577,0.626,0.573,205.322
2025-11-05,0.627,0.627,0.627,0.626,78.957
2025-11-04,0.673,0.633,0.669,0.628,507.182
2025-11-03,0.678,0.673,0.678,0.583,268.960
2025-10-31,0.678,0.678,0.678,0.592,142.227
2025-10-30,0.712,0.689,0.712,0.636,530.957
2025-10-29,0.712,0.712,0.712,0.689,57.899
2025-10-28,0.755,0.731,0.731,0.605,201.241
2025-10-27,0.731,0.755,0.755,0.731,83.011
2025-10-24,0.782,0.739,0.786,0.739,301.550
2025-10-23,0.804,0.799,0.848,0.643,5668.898
2025-10-22,0.804,0.804,0.848,0.828,68.713
2025-10-21,0.673,0.804,0.804,0.682,101.502
2025-10-17,0.567,0.687,0.696,0.567,590.337
2025-10-16,0.567,0.567,0.567,0.567,255.202
2025-10-15,0.579,0.579,0.579,0.579,4434.510
2025-10-14,0.545,0.591,0.596,0.545,1414.041
