Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,6.457,6.797,6.797,5.183,1305.345
2025-12-30,5.960,6.603,6.777,5.908,828.699
2025-12-29,4.980,5.960,5.974,4.866,13941.711
2025-12-26,4.918,5.085,5.110,3.942,1494.040
2025-12-23,4.968,4.918,4.968,4.720,1174.972
2025-12-22,4.968,4.968,4.968,4.720,2304.364
2025-12-19,4.665,5.075,5.075,4.665,1165.518
2025-12-18,4.672,4.716,4.716,4.580,691.104
2025-12-17,4.690,4.672,4.745,4.672,925.589
2025-12-16,4.894,4.841,5.484,4.822,1248.345
2025-12-15,4.898,4.894,5.295,4.894,352.181
2025-12-12,5.053,5.033,5.052,4.664,620.218
2025-12-11,5.053,5.053,5.053,4.664,403.833
2025-12-10,5.441,5.053,5.441,5.053,1351.434
2025-12-09,5.232,5.441,5.636,4.800,1455.631
2025-12-05,5.391,5.415,5.415,5.270,416.518
2025-12-04,5.230,5.391,5.415,4.948,385.409
2025-12-03,5.454,5.268,5.454,5.065,567.879
2025-12-02,5.509,5.493,5.509,5.489,875.096
2025-12-01,5.536,5.556,5.762,4.532,382.781
2025-11-28,5.556,5.536,5.556,5.495,1359.771
2025-11-27,5.464,5.567,5.567,5.464,766.123
2025-11-26,5.732,5.464,5.752,5.464,657.515
2025-11-25,5.835,5.732,5.893,4.990,1329.671
2025-11-21,5.987,5.966,5.966,5.102,159.367
2025-11-20,6.011,6.010,6.011,5.757,792.380
2025-11-19,5.926,6.011,6.032,5.926,856.593
2025-11-18,5.997,5.936,5.999,5.151,355.897
2025-11-17,6.134,6.072,6.074,6.052,121.359
2025-11-14,5.795,6.134,6.159,5.795,699.236
2025-11-13,6.464,5.856,6.464,5.640,8599.462
2025-11-12,6.582,6.538,6.582,6.538,157.343
2025-11-11,6.582,6.582,6.867,5.529,10371.675
2025-11-10,6.939,6.608,6.939,6.608,938.809
2025-11-07,6.608,6.939,6.939,6.917,707.718
2025-11-06,7.095,6.714,7.095,6.714,867.717
2025-11-05,7.135,7.095,7.135,7.095,540.297
2025-11-04,7.008,7.206,7.225,7.188,909.026
2025-11-03,7.008,7.008,7.234,5.972,767.631
2025-10-31,6.782,7.008,7.455,7.008,653.218
2025-10-30,7.582,6.893,7.582,6.801,8557.070
2025-10-29,7.582,7.582,7.812,6.893,3984.918
2025-10-28,7.735,7.787,7.787,6.843,1548.213
2025-10-27,7.783,7.735,7.787,7.717,567.129
2025-10-24,7.390,7.861,7.861,7.390,269.326
2025-10-23,6.824,7.555,7.555,6.824,1051.734
2025-10-22,6.336,6.824,7.555,6.824,700.425
2025-10-21,6.575,6.336,7.238,6.093,3798.629
2025-10-17,6.643,6.713,6.713,6.220,3320.646
2025-10-16,6.698,6.643,6.695,6.419,1583.666
2025-10-15,6.800,6.841,6.856,6.455,564.583
2025-10-14,6.919,6.939,6.975,6.587,925.887
2025-10-13,6.622,7.067,7.072,6.145,4437.530
2025-10-10,6.494,6.759,7.284,6.759,3955.475
2025-10-09,6.975,6.494,7.570,6.489,732.480
2025-10-08,7.511,6.975,7.511,6.489,3327.923
2025-10-07,7.554,7.511,7.543,6.083,727.744
2025-10-06,7.741,7.725,7.736,7.725,494.606
2025-10-03,7.050,7.741,7.741,7.433,708.611
2025-10-02,6.491,7.196,7.620,5.644,456.943
2025-10-01,7.902,6.491,7.902,6.491,4009.273
2025-09-30,7.711,7.991,7.991,7.985,159.804
2025-09-29,7.790,7.796,7.796,6.347,1463.975
2025-09-26,7.077,7.962,7.962,7.372,610.141
2025-09-25,7.738,7.143,8.334,7.143,4568.012
2025-09-24,6.548,7.738,7.738,7.738,216.676
2025-09-23,7.017,6.739,7.351,6.739,6546.807
2025-09-22,7.872,7.017,7.964,7.014,259.338
2025-09-19,8.029,8.029,8.123,8.029,1186.902
2025-09-18,7.498,8.029,8.123,7.498,856.999
2025-09-17,8.123,7.498,7.904,6.498,3619.685
2025-09-16,8.389,8.200,8.831,7.885,707.050
2025-09-12,8.616,8.527,8.616,8.527,531.697
2025-09-11,8.744,8.705,8.731,8.705,243.842
2025-09-10,8.892,8.820,8.892,8.787,372.254
2025-09-09,8.521,8.928,9.164,8.528,937.754
2025-09-08,8.587,8.581,9.248,8.581,356.902
2025-09-05,7.981,8.719,8.719,7.981,837.115
2025-09-04,8.008,7.981,8.049,7.981,1680.146
2025-09-03,7.497,8.138,8.179,7.484,12904.146
2025-09-02,7.638,7.638,7.638,6.111,1153.984
2025-09-01,7.617,7.638,7.638,7.534,547.613
2025-08-29,7.758,7.751,7.758,7.737,3844.856
2025-08-28,7.737,7.758,7.772,7.066,2853.544
2025-08-27,7.911,7.875,7.896,7.875,1173.523
2025-08-26,7.983,7.983,7.983,7.258,1450.443
2025-08-25,7.258,7.983,7.983,7.911,1995.782
2025-08-22,7.258,7.258,7.258,6.895,427.839
2025-08-21,7.323,7.323,7.323,6.591,1017.203
2025-08-20,7.177,7.323,7.323,7.104,898.347
2025-08-19,6.090,7.243,7.243,6.090,881.613
