Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,1.583,1.813,1.813,1.550,1030.762
2026-01-02,1.445,1.632,1.632,1.360,484.407
2025-12-30,1.422,1.477,1.564,1.321,2135.753
2025-12-29,1.217,1.422,1.425,1.213,703.841
2025-12-26,1.189,1.242,1.242,1.065,222.012
2025-12-23,1.121,1.189,1.189,1.136,242.708
2025-12-22,1.118,1.121,1.153,1.100,655.007
2025-12-19,1.051,1.142,1.142,1.015,687.506
2025-12-18,1.063,1.063,1.063,1.026,950.275
2025-12-17,1.026,1.063,1.099,1.063,519.678
2025-12-16,1.059,1.059,1.135,1.059,423.163
2025-12-15,1.089,1.059,1.135,0.972,531.043
2025-12-12,1.127,1.119,1.127,1.119,475.266
2025-12-11,1.088,1.127,1.127,1.073,193.696
2025-12-10,1.119,1.088,1.127,1.010,393.906
2025-12-09,1.127,1.119,1.154,1.049,676.296
2025-12-05,1.167,1.167,1.207,1.006,498.164
2025-12-04,1.167,1.167,1.195,0.969,821.605
2025-12-03,1.175,1.175,1.216,1.114,296.252
2025-12-02,1.183,1.183,1.183,1.124,189.190
2025-12-01,1.214,1.193,1.235,1.173,972.819
2025-11-28,1.152,1.214,1.222,1.156,852.123
2025-11-27,1.134,1.155,1.225,1.155,274.962
2025-11-26,1.155,1.134,1.225,1.134,576.214
2025-11-25,1.175,1.155,1.221,1.056,559.796
2025-11-21,1.244,1.202,1.244,1.164,630.392
2025-11-20,1.164,1.249,1.270,1.084,720.423
2025-11-19,1.270,1.164,1.270,1.164,2387.404
2025-11-18,1.318,1.272,1.378,1.187,369.102
2025-11-17,1.416,1.335,1.416,1.202,604.651
2025-11-14,1.416,1.416,1.416,1.416,706.738
2025-11-13,1.349,1.432,1.497,1.215,1068.221
2025-11-12,1.360,1.365,1.536,1.360,867.607
2025-11-11,1.448,1.360,1.492,1.360,303.860
2025-11-10,1.405,1.454,1.454,1.322,516.670
2025-11-07,1.476,1.405,1.454,1.322,1633.288
2025-11-06,1.477,1.500,1.567,1.347,637.883
2025-11-05,1.432,1.477,1.589,1.209,1135.305
2025-11-04,1.492,1.447,1.650,1.361,474.548
2025-11-03,1.447,1.492,1.650,1.356,1325.226
2025-10-31,1.447,1.447,1.582,1.447,815.913
2025-10-30,1.471,1.471,1.746,1.471,796.645
2025-10-29,1.585,1.471,1.746,1.471,2428.975
2025-10-28,1.534,1.628,1.652,1.510,368.429
2025-10-27,1.534,1.534,1.557,1.420,1313.549
2025-10-24,1.573,1.549,1.787,1.430,2053.466
2025-10-23,1.735,1.608,1.823,1.462,1863.410
2025-10-22,1.823,1.735,1.803,1.730,297.497
2025-10-21,1.827,1.823,2.022,1.540,627.499
2025-10-17,1.960,1.866,1.960,1.592,2634.970
2025-10-16,1.940,1.960,2.090,1.791,327.314
2025-10-15,1.753,1.982,2.033,1.753,876.626
2025-10-14,1.789,1.789,2.028,1.608,601.483
2025-10-13,1.753,1.827,2.013,1.721,688.374
2025-10-10,1.866,1.790,1.839,1.785,528.286
2025-10-09,1.785,1.866,2.055,1.704,930.634
2025-10-08,1.893,1.785,2.055,1.785,1133.565
2025-10-07,1.731,1.893,2.028,1.731,710.242
2025-10-06,2.101,1.769,2.101,1.725,381.307
2025-10-03,2.156,2.101,2.156,1.725,1061.200
2025-10-02,2.229,2.201,2.223,2.173,542.582
2025-10-01,2.257,2.229,2.285,1.868,1206.736
2025-09-30,2.396,2.283,2.396,2.283,532.607
2025-09-29,2.395,2.422,2.539,1.933,1005.477
2025-09-26,2.240,2.447,2.476,2.300,964.853
2025-09-25,2.083,2.261,2.286,2.048,1217.463
2025-09-24,1.784,2.083,2.141,2.083,176.227
2025-09-23,1.838,1.836,1.838,1.550,429.434
2025-09-22,1.838,1.838,1.869,1.556,740.432
2025-09-19,1.969,1.875,2.025,1.875,1627.105
2025-09-18,2.050,1.969,2.031,1.644,909.062
2025-09-17,2.119,2.050,2.244,1.875,1204.638
2025-09-16,2.139,2.139,2.240,2.082,959.670
2025-09-12,2.045,2.173,2.372,1.737,375.269
2025-09-11,2.066,2.066,2.066,2.066,508.251
2025-09-10,1.992,2.084,2.188,1.633,577.191
2025-09-09,1.791,2.001,2.001,1.936,880.997
2025-09-08,1.618,1.803,1.816,1.453,464.082
2025-09-05,1.442,1.643,1.643,1.543,382.663
2025-09-04,1.442,1.442,1.643,1.442,717.941
2025-09-03,1.363,1.466,1.500,1.466,186.537
2025-09-02,1.389,1.389,1.389,1.319,703.958
2025-09-01,1.389,1.389,1.562,1.111,1161.174
2025-08-29,1.413,1.413,1.413,1.413,518.728
2025-08-28,1.371,1.413,1.484,1.343,462.799
2025-08-27,1.222,1.395,1.402,1.186,378.152
