Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,1.975,2.308,2.308,2.143,2325.915
2026-01-02,1.869,2.036,2.039,1.869,2519.422
2025-12-30,1.842,1.912,1.912,1.738,1287.400
2025-12-29,1.661,1.842,1.912,1.634,3561.697
2025-12-26,1.614,1.696,1.696,1.597,955.833
2025-12-23,1.561,1.614,1.668,1.558,2578.884
2025-12-22,1.561,1.561,1.686,1.561,2594.588
2025-12-19,1.482,1.595,1.611,1.486,4838.558
2025-12-18,1.429,1.499,1.539,1.429,6586.857
2025-12-17,1.396,1.429,1.484,1.429,4467.274
2025-12-16,1.475,1.441,1.551,1.441,4545.471
2025-12-15,1.494,1.475,1.626,1.437,1354.173
2025-12-12,1.535,1.535,1.535,1.516,3180.521
2025-12-11,1.535,1.535,1.550,1.496,1360.644
2025-12-10,1.555,1.535,1.590,1.477,1684.584
2025-12-09,1.609,1.555,1.613,1.551,2245.942
2025-12-05,1.657,1.665,1.665,1.629,6609.699
2025-12-04,1.669,1.657,1.669,1.649,2153.460
2025-12-03,1.714,1.682,1.718,1.682,1107.727
2025-12-02,1.742,1.726,1.742,1.571,2193.101
2025-12-01,1.765,1.757,1.770,1.584,1365.039
2025-11-28,1.761,1.765,1.769,1.749,3735.440
2025-11-27,1.753,1.765,1.794,1.732,1797.692
2025-11-26,1.773,1.753,1.794,1.691,1426.792
2025-11-25,1.773,1.773,1.897,1.740,2023.296
2025-11-21,1.842,1.813,1.847,1.813,719.381
2025-11-20,1.854,1.850,1.905,1.791,2184.924
2025-11-19,1.833,1.854,1.863,1.820,3517.188
2025-11-18,1.878,1.836,1.878,1.836,2425.230
2025-11-17,1.931,1.901,1.974,1.867,611.302
2025-11-14,1.970,1.931,1.974,1.914,3877.185
2025-11-13,1.918,1.991,1.991,1.952,1025.909
2025-11-12,1.948,1.939,1.953,1.931,1051.629
2025-11-11,1.957,1.948,2.062,1.909,1487.710
2025-11-10,1.960,1.965,1.965,1.938,2254.247
2025-11-07,1.938,1.960,1.960,1.859,3744.956
2025-11-06,1.979,1.970,1.987,1.947,2289.432
2025-11-05,1.970,1.979,2.014,1.925,3279.928
2025-11-04,1.944,1.989,2.007,1.953,1248.999
2025-11-03,1.985,1.944,2.125,1.944,2021.995
2025-10-31,2.009,1.985,1.989,1.899,6638.553
2025-10-30,2.082,2.043,2.077,2.043,2669.351
2025-10-29,2.089,2.082,2.091,2.045,3156.029
2025-10-28,2.166,2.145,2.166,2.100,1479.537
2025-10-27,2.053,2.166,2.171,2.058,2990.609
2025-10-24,2.050,2.073,2.288,2.050,1640.242
2025-10-23,1.998,2.096,2.120,1.998,6885.489
2025-10-22,1.998,1.998,2.071,1.949,6773.460
2025-10-21,1.954,1.998,2.096,1.949,16905.065
2025-10-17,1.990,1.995,2.080,1.965,6113.065
2025-10-16,1.960,1.990,2.090,1.960,2574.761
2025-10-15,1.931,2.002,2.033,1.930,12901.309
2025-10-14,1.867,1.971,2.023,1.867,5264.183
2025-10-13,1.907,1.907,2.066,1.907,3769.235
2025-10-10,1.812,1.947,2.082,1.812,8214.237
2025-10-09,1.736,1.812,1.812,1.747,6403.949
2025-10-08,1.774,1.736,1.963,1.731,4524.226
2025-10-07,1.622,1.774,1.866,1.622,10713.644
2025-10-06,1.603,1.658,1.658,1.515,21250.677
2025-10-03,1.415,1.603,1.603,1.415,13868.369
2025-10-02,1.552,1.445,1.552,1.247,19224.191
2025-10-01,1.439,1.552,1.563,1.439,10515.604
2025-09-30,1.455,1.455,1.455,1.455,3957.446
2025-09-29,1.500,1.471,1.529,1.443,1762.376
2025-09-26,1.551,1.533,1.562,1.474,1130.985
2025-09-25,1.601,1.577,1.637,1.494,4011.775
2025-09-24,1.387,1.601,1.607,1.387,2734.247
2025-09-23,1.406,1.428,1.440,1.409,13032.602
2025-09-22,1.406,1.406,1.440,1.406,3358.635
2025-09-19,1.375,1.434,1.438,1.394,7015.022
2025-09-18,1.438,1.375,1.438,1.375,3623.725
2025-09-17,1.356,1.438,1.500,1.350,1013.994
2025-09-16,1.388,1.369,1.388,1.356,4116.277
2025-09-12,1.462,1.410,1.474,1.410,4644.010
2025-09-11,1.503,1.477,1.520,1.425,1556.716
2025-09-10,1.541,1.515,1.764,1.515,2166.262
2025-09-09,1.837,1.549,1.837,1.299,38723.662
2025-09-08,1.651,1.849,1.882,1.651,2241.151
2025-09-05,1.777,1.677,2.012,1.677,2854.816
2025-09-04,1.677,1.777,1.844,1.676,11075.678
2025-09-03,1.568,1.704,1.704,1.568,2181.866
2025-09-02,1.490,1.597,1.701,1.493,7455.671
2025-09-01,1.549,1.490,1.590,1.458,3071.201
2025-08-29,1.618,1.576,1.618,1.307,16668.041
2025-08-28,1.647,1.618,1.696,1.555,8164.122
2025-08-27,1.646,1.675,1.754,1.646,1716.659
2025-08-26,1.560,1.662,1.720,1.611,1072.949
2025-08-25,1.669,1.560,1.814,1.560,3258.019
2025-08-22,1.517,1.669,1.705,1.517,2980.000
2025-08-21,1.530,1.530,1.574,1.428,8606.647
2025-08-20,1.428,1.530,1.530,1.471,1081.065
2025-08-19,1.404,1.441,1.463,1.404,8451.228
2025-08-15,1.381,1.426,1.467,1.381,13094.855
2025-08-14,1.361,1.391,1.391,1.361,3288.034
2025-08-13,1.330,1.361,1.474,1.285,6224.509
2025-08-12,1.414,1.346,1.529,1.346,3420.848
2025-08-11,1.560,1.443,1.560,1.443,759.732
2025-08-08,1.217,1.560,1.560,1.217,2971.764
2025-08-07,1.132,1.217,1.326,1.113,4693.070
2025-08-06,1.126,1.144,1.222,1.065,13406.344
2025-08-05,1.159,1.160,1.162,1.097,1776.336
2025-08-04,1.137,1.159,1.162,1.097,1456.220
2025-08-01,1.028,1.133,1.157,1.052,4601.619
2025-07-31,1.069,1.037,1.167,1.033,2934.516
2025-07-30,1.075,1.075,1.181,1.075,2667.042
2025-07-29,1.091,1.075,1.181,1.066,6031.138
2025-07-28,1.157,1.108,1.199,1.083,1722.728
2025-07-25,1.045,1.157,1.249,1.049,11114.498
2025-07-23,1.092,1.054,1.159,1.050,4449.543
2025-07-22,1.234,1.114,1.244,1.114,3912.467
2025-07-21,1.028,1.234,1.234,1.028,3294.824
2025-07-18,0.925,1.028,1.028,0.925,18387.836
2025-07-17,0.901,0.925,0.927,0.899,1566.051
2025-07-16,0.882,0.910,0.934,0.908,594.848
2025-07-15,0.919,0.894,0.929,0.894,719.483
2025-07-14,0.903,0.919,0.947,0.885,2032.096
2025-07-11,0.889,0.911,0.919,0.889,2702.992
2025-07-10,0.899,0.899,0.930,0.886,1958.772
2025-07-09,0.939,0.899,0.939,0.894,1591.947
2025-07-08,0.945,0.945,0.945,0.936,1092.394
2025-07-07,0.908,0.963,0.963,0.899,1741.705
2025-07-04,0.908,0.908,0.908,0.899,2113.023
2025-07-03,0.854,0.908,0.908,0.899,337.866
2025-07-02,0.904,0.867,0.931,0.867,8876.719
2025-07-01,0.922,0.904,0.940,0.904,1187.924
2025-06-30,0.913,0.932,0.949,0.895,7961.084
2025-06-27,0.926,0.922,0.927,0.904,1307.561
2025-06-26,0.932,0.941,0.942,0.937,2771.018
2025-06-25,0.942,0.932,0.942,0.918,806.610
2025-06-20,0.965,0.950,0.974,0.950,2886.422
2025-06-19,0.931,0.972,0.981,0.952,8957.648
2025-06-18,0.949,0.929,0.959,0.924,915.329
2025-06-17,0.880,0.949,0.978,0.881,1353.875
2025-06-13,0.849,0.899,0.939,0.869,1523.598
2025-06-12,0.865,0.860,0.891,0.860,806.909
2025-06-11,0.830,0.865,0.865,0.860,2021.200
2025-06-10,0.814,0.834,0.895,0.814,1112.940
2025-06-09,0.809,0.819,0.819,0.800,6016.205
2025-06-06,0.808,0.809,0.809,0.798,1885.130
2025-06-05,0.842,0.833,0.843,0.802,2988.120
2025-06-04,0.803,0.844,0.845,0.803,6827.836
2025-06-03,0.830,0.803,0.830,0.803,2543.329
2025-05-30,0.839,0.829,0.839,0.803,1204.855
2025-05-29,0.803,0.840,0.877,0.803,1220.833
2025-05-28,0.803,0.803,0.876,0.803,1770.382
2025-05-27,0.803,0.803,0.825,0.794,2068.373
2025-05-26,0.803,0.803,0.814,0.782,5195.418
2025-05-23,0.782,0.803,0.803,0.793,8372.971
2025-05-22,0.731,0.782,0.792,0.751,3618.070
2025-05-21,0.723,0.735,0.775,0.733,683.022
2025-05-20,0.732,0.724,0.732,0.692,3271.386
2025-05-19,0.703,0.732,0.745,0.692,1460.422
2025-05-16,0.694,0.707,0.718,0.691,781.168
2025-05-15,0.636,0.698,0.698,0.636,338.137
2025-05-14,0.626,0.637,0.641,0.637,1505.080
2025-05-13,0.658,0.637,0.658,0.637,2126.397
2025-05-12,0.659,0.658,0.659,0.626,274.182
2025-05-09,0.633,0.678,0.678,0.633,909.851
2025-05-08,0.638,0.633,0.644,0.633,718.249
2025-05-07,0.638,0.638,0.644,0.633,750.667
2025-05-06,0.652,0.652,0.652,0.647,3665.290
2025-05-05,0.664,0.652,0.663,0.635,474.246
2025-05-02,0.648,0.666,0.666,0.615,3878.585
2025-04-30,0.648,0.648,0.648,0.637,4478.534
2025-04-29,0.685,0.673,0.685,0.649,2690.453
2025-04-28,0.704,0.699,0.704,0.692,2278.300
2025-04-25,0.699,0.704,0.704,0.686,2938.116
2025-04-24,0.674,0.699,0.699,0.686,361.078
2025-04-23,0.681,0.681,0.711,0.665,1753.507
2025-04-22,0.746,0.713,0.746,0.713,3111.357
2025-04-16,0.752,0.750,0.752,0.739,4022.477
2025-04-15,0.752,0.752,0.752,0.751,666.256
2025-04-14,0.752,0.752,0.752,0.739,1087.789
2025-04-11,0.792,0.792,0.792,0.779,1073.260
2025-04-10,0.792,0.792,0.792,0.779,1173.636
2025-04-09,0.792,0.792,0.806,0.792,3573.912
2025-04-08,0.786,0.827,0.842,0.786,1591.080
2025-04-07,0.860,0.789,0.860,0.789,548.801
2025-04-04,0.874,0.860,0.895,0.845,624.328
2025-04-03,0.833,0.876,0.897,0.833,311.837
2025-04-02,0.836,0.836,0.865,0.829,2485.756
2025-04-01,0.894,0.843,0.894,0.843,4607.011
2025-03-31,0.916,0.894,0.914,0.893,304.930
2025-03-28,0.934,0.920,0.934,0.920,720.650
2025-03-27,0.885,0.938,0.953,0.909,938.749
2025-03-26,0.777,0.885,0.930,0.792,892.304
2025-03-25,0.720,0.778,0.793,0.720,8161.429
2025-03-24,0.724,0.724,0.724,0.724,1388.936
2025-03-21,0.736,0.736,0.736,0.713,448.949
2025-03-20,0.727,0.736,0.736,0.721,776.888
2025-03-18,0.761,0.756,0.760,0.756,934.186
2025-03-17,0.780,0.761,0.780,0.761,1840.734
2025-03-14,0.719,0.772,0.773,0.719,1444.609
2025-03-13,0.726,0.719,0.739,0.719,1102.845
2025-03-12,0.725,0.725,0.725,0.694,424.167
2025-03-11,0.735,0.720,0.745,0.719,876.066
2025-03-10,0.756,0.743,0.757,0.743,2978.060
2025-03-07,0.770,0.760,0.776,0.747,7711.998
2025-03-06,0.780,0.772,0.848,0.772,1284.456
2025-03-05,0.847,0.779,0.846,0.779,1714.947
2025-02-28,0.857,0.847,0.888,0.847,613.801
2025-02-27,0.895,0.857,0.895,0.857,276.507
2025-02-26,0.900,0.900,0.900,0.861,716.698
2025-02-25,0.914,0.907,0.914,0.907,521.823
2025-02-24,0.790,0.916,0.916,0.790,1678.832
2025-02-21,0.765,0.792,0.802,0.771,3566.696
2025-02-20,0.748,0.773,0.773,0.748,1108.563
2025-02-19,0.754,0.752,0.754,0.725,324.967
2025-02-18,0.770,0.756,0.758,0.750,650.167
2025-02-17,0.726,0.770,0.806,0.726,902.489
2025-02-14,0.713,0.729,0.778,0.713,432.815
2025-02-13,0.718,0.718,0.783,0.718,4014.851
2025-02-12,0.690,0.722,0.723,0.675,5200.274
2025-02-11,0.688,0.694,0.719,0.688,369.782
2025-02-10,0.695,0.689,0.695,0.662,877.249
2025-02-07,0.715,0.699,0.732,0.682,3096.314
2025-02-06,0.732,0.724,0.732,0.674,618.405
2025-02-05,0.758,0.741,0.761,0.724,7548.996
2025-02-04,0.765,0.761,0.765,0.761,895.710
2025-02-03,0.771,0.766,0.771,0.765,1173.913
2025-01-31,0.688,0.777,0.777,0.687,3815.391
2025-01-30,0.684,0.696,0.698,0.646,633.909
2025-01-29,0.628,0.685,0.690,0.612,1096.480
2025-01-28,0.625,0.632,0.632,0.603,3131.267
2025-01-27,0.654,0.627,0.654,0.619,865.118
2025-01-24,0.675,0.658,0.672,0.623,1001.861
2025-01-23,0.682,0.681,0.700,0.628,8079.118
2025-01-22,0.725,0.688,0.725,0.688,1196.514
2025-01-21,0.729,0.729,0.745,0.729,1664.852
2025-01-20,0.745,0.727,0.782,0.727,863.712
2025-01-17,0.877,0.750,0.890,0.731,3957.192
2025-01-16,0.921,0.883,0.916,0.883,1412.442
2025-01-08,0.002,0.002,0.000,0.000,5167.079
2025-01-07,0.002,0.002,0.000,0.000,5647.791
2025-01-03,0.002,0.002,0.000,0.000,2747.526
