Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,0.725,0.758,0.841,0.729,407.319
2026-01-02,0.697,0.748,0.748,0.595,594.052
2025-12-30,0.591,0.713,0.713,0.643,4033.809
2025-12-29,0.556,0.591,0.660,0.549,4454.633
2025-12-26,0.532,0.568,0.568,0.532,1764.052
2025-12-23,0.567,0.532,0.649,0.504,4886.847
2025-12-22,0.532,0.567,0.621,0.515,1955.221
2025-12-19,0.511,0.544,0.544,0.489,1528.101
2025-12-18,0.509,0.517,0.524,0.509,1166.277
2025-12-17,0.512,0.509,0.528,0.480,2420.971
2025-12-16,0.527,0.528,0.545,0.495,2293.470
2025-12-15,0.522,0.527,0.548,0.484,3653.031
2025-12-12,0.532,0.536,0.536,0.525,1194.299
2025-12-11,0.517,0.532,0.544,0.517,1402.767
2025-12-10,0.532,0.517,0.532,0.505,3816.117
2025-12-09,0.548,0.532,0.556,0.505,2179.603
2025-12-05,0.551,0.567,0.623,0.555,1636.816
2025-12-04,0.557,0.551,0.555,0.545,1414.390
2025-12-03,0.563,0.561,0.579,0.547,3045.160
2025-12-02,0.569,0.567,0.581,0.551,1187.914
2025-12-01,0.572,0.574,0.658,0.539,3642.663
2025-11-28,0.572,0.572,0.584,0.556,1565.729
2025-11-27,0.568,0.573,0.590,0.557,980.721
2025-11-26,0.557,0.568,0.586,0.538,5667.873
2025-11-25,0.577,0.557,0.598,0.548,11889.893
2025-11-21,0.609,0.590,0.611,0.548,4341.401
2025-11-20,0.587,0.612,0.612,0.555,7003.550
2025-11-19,0.588,0.587,0.614,0.563,1424.515
2025-11-18,0.588,0.589,0.634,0.555,10617.808
2025-11-17,0.601,0.596,0.601,0.562,803.258
2025-11-14,0.614,0.601,0.631,0.597,2805.198
2025-11-13,0.601,0.620,0.651,0.551,5719.097
2025-11-12,0.570,0.608,0.621,0.570,4853.544
2025-11-11,0.614,0.570,0.623,0.557,4262.755
2025-11-10,0.623,0.617,0.630,0.604,1172.117
2025-11-07,0.604,0.623,0.626,0.595,2475.720
2025-11-06,0.622,0.613,0.626,0.604,4473.405
2025-11-05,0.622,0.622,0.627,0.604,2688.932
2025-11-04,0.633,0.628,0.656,0.592,10026.947
2025-11-03,0.642,0.633,0.701,0.601,2167.776
2025-10-31,0.633,0.642,0.678,0.622,2378.749
2025-10-30,0.643,0.643,0.703,0.632,1671.142
2025-10-29,0.671,0.643,0.680,0.643,3001.354
2025-10-28,0.689,0.689,0.779,0.637,1764.647
2025-10-27,0.708,0.689,0.816,0.689,897.000
2025-10-24,0.620,0.715,0.715,0.620,7234.486
2025-10-23,0.653,0.633,0.653,0.609,1527.059
2025-10-22,0.682,0.653,0.682,0.648,12226.874
2025-10-21,0.704,0.682,0.804,0.634,2346.846
2025-10-17,0.746,0.719,0.761,0.716,1830.008
2025-10-16,0.701,0.746,0.771,0.701,6135.731
2025-10-15,0.559,0.716,0.719,0.589,24129.574
2025-10-14,0.526,0.571,0.622,0.533,3386.468
