Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,11.869,14.240,14.240,14.240,56.960
2026-01-02,10.197,12.237,12.237,9.857,719.239
2025-12-30,10.428,10.428,10.428,9.392,5042.774
2025-12-29,11.123,10.428,13.312,9.041,1262.537
2025-12-26,12.633,11.356,15.145,10.656,1060.550
2025-12-23,12.775,12.633,14.194,12.420,905.688
2025-12-22,13.485,12.775,16.178,12.420,1302.722
2025-12-19,14.498,13.773,17.216,12.686,729.572
2025-12-18,18.281,14.657,18.248,14.657,1355.522
2025-12-17,16.490,18.281,18.322,14.657,1609.520
2025-12-16,18.911,17.020,22.598,15.132,1115.321
2025-12-15,21.180,18.911,25.340,18.343,841.717
2025-12-12,27.202,21.764,23.319,21.764,1204.819
2025-12-11,23.319,27.202,27.202,19.821,233.960
2025-12-10,23.319,23.319,23.319,23.125,745.239
2025-12-09,27.206,23.319,25.262,23.319,862.806
2025-12-05,28.158,28.158,32.180,32.180,32.180
2025-12-03,32.415,28.363,32.010,26.337,1061.183
2025-12-02,38.760,32.640,34.680,32.640,305.998
2025-12-01,37.037,39.095,44.444,32.922,314.811
2025-11-28,33.745,37.037,37.037,34.547,209.774
2025-11-27,33.814,33.814,33.814,33.814,33.814
2025-11-26,28.866,33.814,33.814,33.608,101.237
2025-11-21,29.511,29.511,29.933,29.511,562.395
2025-11-20,29.636,29.636,29.636,29.636,237.087
2025-11-19,34.695,29.636,29.636,29.636,474.174
2025-11-18,29.250,34.739,34.760,34.739,139.000
2025-11-17,30.043,29.614,29.828,27.468,234.974
2025-11-14,30.043,30.043,30.043,30.043,30.043
2025-11-13,30.369,30.369,30.369,26.030,255.965
2025-11-12,28.521,30.715,30.715,28.521,752.522
2025-11-11,30.276,28.521,30.715,28.521,585.783
2025-11-10,26.432,30.396,30.837,30.396,91.630
2025-11-07,24.009,26.432,28.634,26.432,398.678
2025-11-06,24.396,24.396,24.396,24.396,146.374
2025-11-05,21.929,24.396,24.396,21.486,664.834
2025-11-04,22.147,22.147,24.864,17.722,114.010
2025-11-03,20.068,22.147,22.152,22.147,88.594
2025-10-31,17.627,20.068,20.068,14.693,149.778
2025-10-30,17.918,17.918,17.918,17.918,17.918
2025-10-29,17.918,17.918,15.165,14.936,60.202
2025-10-27,15.366,18.400,18.405,18.400,202.407
2025-10-24,18.589,15.520,18.584,15.520,195.429
2025-10-23,19.006,19.006,19.006,19.001,57.008
2025-10-22,19.250,19.006,19.006,19.006,114.035
2025-10-21,19.444,19.250,19.250,15.560,465.205
2025-10-17,19.900,19.851,19.851,19.776,296.791
2025-10-16,21.891,19.900,21.891,19.900,333.333
2025-10-15,22.561,22.358,22.358,21.687,713.760
2025-10-14,20.747,23.029,23.076,22.137,183.574
2025-10-10,22.174,21.633,22.174,21.633,197.404
2025-10-09,21.633,22.174,22.174,22.174,110.871
2025-10-08,21.579,21.633,24.337,21.633,462.412
2025-10-07,20.281,21.579,21.628,16.230,145.949
2025-10-06,17.496,20.730,20.730,13.997,421.857
2025-10-03,17.496,17.496,18.242,17.496,53.234
2025-10-02,14.898,17.861,17.861,16.930,374.153
2025-10-01,14.898,14.898,16.930,14.898,583.068
2025-09-30,15.068,15.068,15.982,15.040,46.062
