Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,0.725,0.758,0.841,0.729,407.319
2026-01-02,0.697,0.748,0.748,0.595,594.052
2025-12-30,0.608,0.713,0.713,0.594,376.927
2025-12-29,0.591,0.608,0.643,0.591,451.807
2025-12-26,0.568,0.603,0.681,0.568,143.314
2025-12-23,0.603,0.568,0.603,0.568,599.516
2025-12-22,0.603,0.603,0.603,0.568,384.807
2025-12-19,0.616,0.616,0.616,0.598,13.517
2025-12-18,0.623,0.623,0.623,0.623,214.241
2025-12-17,0.586,0.623,0.623,0.476,118.022
2025-12-16,0.586,0.605,0.681,0.567,887.147
2025-12-15,0.586,0.586,0.683,0.586,363.647
2025-12-12,0.622,0.602,0.668,0.602,1391.675
2025-12-11,0.622,0.622,0.691,0.622,552.690
2025-12-10,0.622,0.622,0.680,0.668,49.740
2025-12-09,0.622,0.622,0.684,0.599,174.812
2025-12-05,0.644,0.644,0.669,0.628,55.950
2025-12-04,0.644,0.644,0.672,0.669,43.494
2025-12-03,0.648,0.648,0.678,0.628,80.445
2025-12-02,0.632,0.653,0.683,0.612,163.562
2025-12-01,0.617,0.638,0.691,0.535,132.539
2025-11-28,0.617,0.617,0.700,0.617,20.576
2025-11-27,0.619,0.619,0.619,0.619,154.639
2025-11-26,0.544,0.619,0.649,0.495,326.181
2025-11-25,0.655,0.544,0.711,0.544,179.798
2025-11-21,0.670,0.670,0.670,0.669,18.076
2025-11-20,0.675,0.673,0.675,0.672,351.967
2025-11-19,0.699,0.675,0.696,0.652,294.373
2025-11-18,0.697,0.699,0.755,0.653,204.337
2025-11-17,0.706,0.706,0.773,0.687,48.103
2025-11-14,0.706,0.706,0.716,0.712,50.692
2025-11-13,0.709,0.713,0.714,0.607,198.116
2025-11-12,0.719,0.717,0.720,0.658,388.699
2025-11-11,0.720,0.719,0.733,0.702,240.915
2025-11-10,0.674,0.722,0.731,0.705,67.324
2025-11-07,0.652,0.674,0.678,0.652,344.460
2025-11-06,0.685,0.662,0.712,0.627,126.676
2025-11-05,0.671,0.685,0.689,0.685,421.529
2025-11-04,0.669,0.678,0.723,0.669,1398.888
2025-11-03,0.721,0.669,0.859,0.596,282.379
2025-10-31,0.601,0.721,0.721,0.633,168.469
2025-10-30,0.607,0.611,0.689,0.611,68.994
2025-10-29,0.607,0.607,0.611,0.606,54.141
2025-10-28,0.627,0.623,0.628,0.519,124.454
2025-10-27,0.647,0.627,0.769,0.519,89.979
2025-10-24,0.615,0.653,0.667,0.500,203.897
2025-10-23,0.628,0.628,0.731,0.512,52.732
2025-10-22,0.580,0.628,0.634,0.590,136.165
2025-10-21,0.580,0.580,0.682,0.487,235.594
2025-10-17,0.592,0.592,0.647,0.474,67.154
2025-10-16,0.547,0.592,0.647,0.522,193.990
2025-10-15,0.457,0.559,0.584,0.549,87.846
2025-10-14,0.394,0.467,0.472,0.436,346.976
2025-10-13,0.403,0.403,0.424,0.381,88.792
2025-10-10,0.465,0.411,0.481,0.411,642.106
