Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.180,0.211,0.214,0.146,209.721
2025-12-30,0.156,0.184,0.188,0.139,1378.651
2025-12-29,0.139,0.156,0.162,0.146,186.780
2025-12-26,0.140,0.142,0.142,0.138,328.214
2025-12-23,0.149,0.140,0.149,0.128,127.147
2025-12-22,0.142,0.149,0.160,0.117,195.172
2025-12-19,0.130,0.145,0.149,0.122,489.236
2025-12-18,0.134,0.132,0.135,0.121,103.074
2025-12-17,0.136,0.134,0.135,0.121,173.112
2025-12-16,0.146,0.140,0.146,0.125,309.494
2025-12-15,0.146,0.146,0.147,0.125,252.424
2025-12-12,0.151,0.150,0.151,0.128,167.782
2025-12-11,0.151,0.151,0.151,0.124,162.936
2025-12-10,0.151,0.151,0.152,0.129,372.127
2025-12-09,0.142,0.151,0.159,0.140,201.031
2025-12-05,0.145,0.147,0.147,0.141,198.212
2025-12-04,0.145,0.145,0.147,0.141,365.026
2025-12-03,0.145,0.146,0.148,0.138,180.036
2025-12-02,0.147,0.146,0.167,0.135,206.732
2025-12-01,0.150,0.148,0.150,0.136,298.944
2025-11-28,0.148,0.150,0.152,0.130,259.242
2025-11-27,0.148,0.148,0.157,0.136,121.893
2025-11-26,0.155,0.148,0.155,0.132,130.594
2025-11-25,0.153,0.155,0.169,0.149,335.493
2025-11-21,0.160,0.156,0.160,0.146,143.813
2025-11-20,0.148,0.161,0.161,0.148,118.603
2025-11-19,0.163,0.148,0.163,0.138,322.936
2025-11-18,0.163,0.163,0.165,0.138,258.724
2025-11-17,0.155,0.165,0.172,0.133,183.268
2025-11-14,0.156,0.155,0.159,0.133,152.369
2025-11-13,0.158,0.157,0.158,0.130,446.165
2025-11-12,0.140,0.160,0.162,0.140,358.798
2025-11-11,0.136,0.140,0.154,0.136,233.979
2025-11-10,0.152,0.137,0.152,0.132,239.482
2025-11-07,0.137,0.152,0.154,0.137,274.911
2025-11-06,0.157,0.139,0.157,0.139,405.679
2025-11-05,0.157,0.157,0.157,0.139,161.570
2025-11-04,0.158,0.158,0.158,0.140,256.487
2025-11-03,0.158,0.158,0.158,0.140,444.009
2025-10-31,0.154,0.158,0.172,0.137,224.843
2025-10-30,0.161,0.156,0.156,0.138,164.007
2025-10-29,0.161,0.161,0.161,0.156,109.642
2025-10-28,0.165,0.165,0.165,0.142,152.888
2025-10-27,0.164,0.165,0.165,0.163,488.164
2025-10-24,0.162,0.166,0.166,0.143,189.677
2025-10-23,0.170,0.166,0.170,0.136,171.335
2025-10-22,0.170,0.170,0.170,0.156,148.025
2025-10-21,0.151,0.170,0.171,0.146,672.877
2025-10-17,0.149,0.154,0.159,0.139,359.464
2025-10-16,0.149,0.149,0.159,0.143,1183.697
2025-10-15,0.160,0.152,0.160,0.142,770.004
2025-10-14,0.163,0.163,0.169,0.143,389.664
2025-10-13,0.159,0.167,0.172,0.146,485.843
2025-10-10,0.157,0.162,0.162,0.146,634.500
2025-10-09,0.162,0.157,0.162,0.147,269.266
2025-10-08,0.162,0.162,0.162,0.146,174.748
2025-10-07,0.162,0.162,0.165,0.146,368.123
2025-10-06,0.166,0.166,0.171,0.152,217.673
2025-10-03,0.160,0.166,0.180,0.152,547.980
2025-10-02,0.176,0.164,0.176,0.155,289.272
2025-10-01,0.169,0.176,0.178,0.152,197.745
2025-09-30,0.180,0.171,0.182,0.166,217.942
2025-09-29,0.179,0.181,0.185,0.156,226.366
2025-09-26,0.165,0.183,0.192,0.182,166.669
2025-09-25,0.185,0.167,0.199,0.167,499.415
2025-09-24,0.196,0.185,0.196,0.161,463.290
2025-09-23,0.205,0.202,0.205,0.172,451.469
2025-09-22,0.205,0.205,0.214,0.184,473.963
2025-09-19,0.209,0.209,0.250,0.169,394.372
2025-09-18,0.219,0.209,0.212,0.175,243.058
2025-09-17,0.200,0.219,0.238,0.188,430.559
2025-09-16,0.189,0.202,0.221,0.155,434.057
2025-09-12,0.179,0.192,0.199,0.154,417.631
2025-09-11,0.173,0.181,0.194,0.172,152.961
2025-09-10,0.173,0.174,0.202,0.150,404.317
2025-09-09,0.174,0.174,0.174,0.140,323.157
2025-09-08,0.173,0.175,0.175,0.172,339.931
2025-09-05,0.148,0.176,0.176,0.151,733.110
2025-09-04,0.148,0.148,0.152,0.124,305.113
2025-09-03,0.157,0.150,0.157,0.150,112.393
2025-09-02,0.156,0.160,0.174,0.134,204.250
2025-09-01,0.163,0.156,0.163,0.132,255.726
2025-08-29,0.163,0.166,0.168,0.136,196.200
2025-08-28,0.163,0.163,0.177,0.155,517.934
2025-08-27,0.157,0.165,0.169,0.156,204.696
2025-08-26,0.158,0.158,0.159,0.138,528.435
2025-08-25,0.159,0.158,0.159,0.158,104.573
2025-08-22,0.159,0.159,0.159,0.131,72.818
2025-08-21,0.161,0.160,0.161,0.160,83.034
2025-08-20,0.161,0.161,0.161,0.132,174.202
2025-08-19,0.163,0.163,0.165,0.163,318.887
2025-08-15,0.167,0.165,0.168,0.165,149.285
