Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,1.105,1.154,1.319,1.105,153.230
2026-01-02,1.139,1.139,1.139,0.952,157.969
2025-12-30,1.008,1.164,1.164,1.095,310.078
2025-12-29,0.865,1.008,1.008,0.799,2070.351
2025-12-26,0.887,0.884,0.887,0.884,220.046
2025-12-23,0.887,0.887,0.887,0.794,574.361
2025-12-22,0.813,0.887,0.905,0.816,301.863
2025-12-19,0.801,0.830,0.852,0.779,2148.345
2025-12-18,0.809,0.809,0.809,0.788,18.573
2025-12-17,0.808,0.809,0.809,0.809,92.275
2025-12-16,0.794,0.834,0.834,0.700,228.975
2025-12-15,0.813,0.794,0.838,0.794,427.069
2025-12-12,0.836,0.836,0.855,0.836,154.683
2025-12-11,0.847,0.836,0.843,0.719,208.972
2025-12-10,0.847,0.847,0.847,0.777,115.422
2025-12-09,0.855,0.847,0.855,0.777,865.518
2025-12-05,0.897,0.885,0.897,0.845,225.373
2025-12-04,0.897,0.897,0.897,0.865,393.443
2025-12-03,0.912,0.904,0.912,0.774,176.373
2025-12-02,0.918,0.918,1.095,0.775,33.414
2025-12-01,0.893,0.926,0.926,0.782,177.744
2025-11-28,0.905,0.893,0.905,0.831,388.705
2025-11-27,0.915,0.907,0.915,0.907,885.770
2025-11-26,0.915,0.915,0.915,0.907,132.613
2025-11-25,0.922,0.915,0.915,0.845,381.593
2025-11-21,0.949,0.942,0.949,0.864,21769.541
2025-11-20,0.986,0.953,0.974,0.953,80.015
2025-11-19,0.970,0.986,0.995,0.847,591.766
2025-11-18,1.017,0.971,0.996,0.890,226.895
2025-11-17,1.030,1.030,1.009,0.987,27.942
2025-11-14,1.028,1.030,1.030,1.026,336.630
2025-11-13,0.998,1.039,1.039,0.911,157.399
2025-11-12,0.965,1.009,1.044,0.900,840.925
2025-11-11,1.022,0.965,1.027,0.878,200.566
2025-11-10,1.031,1.026,1.035,0.925,305.479
2025-11-07,1.040,1.031,1.040,0.881,301.592
2025-11-06,1.070,1.056,1.070,1.056,719.923
2025-11-05,1.061,1.070,1.074,1.070,364.499
2025-11-04,1.130,1.071,1.108,0.967,711.480
2025-11-03,1.085,1.130,1.213,1.130,384.097
2025-10-31,1.108,1.085,1.085,1.080,910.208
2025-10-30,1.125,1.126,1.126,1.011,1313.723
2025-10-29,1.126,1.126,1.126,0.983,1831.098
2025-10-28,1.133,1.156,1.156,1.015,185.040
2025-10-27,1.085,1.133,1.180,1.085,2437.982
2025-10-24,1.139,1.096,1.144,1.020,11471.355
2025-10-23,1.213,1.165,1.267,1.016,309.627
2025-10-22,1.267,1.213,1.267,1.209,513.007
2025-10-21,1.194,1.267,1.335,1.213,690.415
2025-10-17,1.075,1.219,1.239,1.094,557.794
2025-10-16,0.980,1.075,1.095,1.015,347.832
2025-10-15,0.990,1.001,1.108,0.965,4521.976
2025-10-14,1.011,1.011,1.011,1.011,383.276
2025-10-13,0.932,1.033,1.033,0.936,458.537
2025-10-10,0.919,0.952,0.956,0.919,2156.084
2025-10-09,0.892,0.919,0.946,0.901,343.162
2025-10-08,0.876,0.892,0.901,0.876,484.633
2025-10-07,0.863,0.876,0.892,0.822,2594.707
2025-10-06,0.857,0.882,0.883,0.857,792.425
2025-10-03,0.857,0.857,0.857,0.854,809.327
2025-10-02,0.874,0.874,0.875,0.784,166.584
2025-10-01,0.784,0.874,0.875,0.818,442.871
2025-09-30,0.782,0.793,0.828,0.793,3200.588
2025-09-29,0.802,0.791,0.802,0.750,151.593
2025-09-26,0.831,0.820,0.820,0.814,645.336
2025-09-25,0.762,0.839,0.851,0.786,362.690
2025-09-24,0.637,0.762,0.762,0.714,538.839
2025-09-23,0.643,0.656,0.656,0.616,655.558
2025-09-22,0.613,0.643,0.643,0.604,2270.312
2025-09-19,0.625,0.625,0.625,0.600,2423.069
2025-09-18,0.625,0.625,0.641,0.594,474.165
2025-09-17,0.625,0.625,0.656,0.594,386.331
2025-09-16,0.662,0.631,0.694,0.599,300.472
2025-09-12,0.705,0.673,0.673,0.673,214.682
2025-09-11,0.712,0.712,0.732,0.712,14.319
2025-09-10,0.771,0.718,0.771,0.718,673.978
2025-09-09,0.820,0.774,0.807,0.689,2571.260
2025-09-08,0.812,0.826,0.859,0.727,170.079
2025-09-05,0.838,0.825,0.838,0.825,226.538
2025-09-04,0.704,0.838,0.838,0.718,1007.713
2025-09-03,0.716,0.716,0.716,0.716,78.728
2025-09-02,0.666,0.729,0.729,0.646,2585.759
2025-09-01,0.687,0.666,0.693,0.666,463.313
2025-08-29,0.636,0.699,0.721,0.689,718.311
2025-08-28,0.636,0.636,0.721,0.615,5326.919
2025-08-27,0.611,0.647,0.647,0.625,2727.359
2025-08-26,0.631,0.617,0.649,0.566,680.356
2025-08-25,0.631,0.631,0.649,0.631,702.188
2025-08-22,0.566,0.631,0.631,0.566,1477.184
2025-08-21,0.571,0.571,0.571,0.571,1362.402
2025-08-20,0.564,0.571,0.571,0.564,2952.803
2025-08-19,0.551,0.569,0.576,0.551,1767.588
2025-08-15,0.559,0.559,0.559,0.559,1399.368
2025-08-14,0.563,0.563,0.563,0.563,262.380
2025-08-13,0.563,0.563,0.563,0.563,397.991
2025-08-12,0.573,0.570,0.573,0.512,186.550
2025-08-11,0.585,0.585,0.585,0.585,558.693
2025-08-08,0.507,0.585,0.585,0.546,707.371
2025-08-07,0.463,0.507,0.507,0.464,1204.607
2025-08-06,0.469,0.468,0.469,0.457,378.166
2025-08-05,0.471,0.483,0.487,0.483,591.206
2025-08-04,0.471,0.471,0.471,0.471,29.207
