Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.092,0.097,0.105,0.095,1289.181
2025-12-30,0.083,0.094,0.094,0.090,482.016
2025-12-29,0.073,0.083,0.087,0.076,1040.277
2025-12-26,0.067,0.075,0.075,0.067,436.360
2025-12-23,0.067,0.067,0.075,0.067,514.037
2025-12-22,0.064,0.067,0.067,0.063,272.343
2025-12-19,0.063,0.065,0.067,0.063,829.491
2025-12-18,0.060,0.064,0.064,0.063,110.668
2025-12-17,0.060,0.060,0.064,0.060,894.611
2025-12-16,0.061,0.062,0.064,0.057,1166.898
2025-12-15,0.062,0.061,0.066,0.061,456.199
2025-12-12,0.062,0.064,0.066,0.062,6614.698
2025-12-11,0.065,0.062,0.066,0.062,704.416
2025-12-10,0.064,0.065,0.066,0.051,193.977
2025-12-09,0.062,0.064,0.066,0.051,441.302
2025-12-05,0.062,0.064,0.064,0.060,486.873
2025-12-04,0.064,0.062,0.062,0.062,233.373
2025-12-03,0.062,0.064,0.065,0.062,295.102
2025-12-02,0.065,0.062,0.065,0.061,5693.627
2025-12-01,0.064,0.065,0.068,0.063,811.416
2025-11-28,0.062,0.064,0.066,0.062,415.846
2025-11-27,0.065,0.062,0.068,0.062,375.846
2025-11-26,0.062,0.065,0.070,0.064,2218.090
2025-11-25,0.066,0.062,0.070,0.062,1799.511
2025-11-21,0.066,0.067,0.067,0.067,252.377
2025-11-20,0.068,0.066,0.068,0.066,418.158
2025-11-19,0.070,0.068,0.070,0.066,547.432
2025-11-18,0.070,0.070,0.072,0.068,533.995
2025-11-17,0.073,0.071,0.073,0.069,502.086
2025-11-14,0.073,0.073,0.073,0.073,555.074
2025-11-13,0.069,0.074,0.078,0.070,572.669
2025-11-12,0.070,0.070,0.072,0.070,655.359
2025-11-11,0.068,0.070,0.070,0.066,643.803
2025-11-10,0.068,0.068,0.068,0.066,323.042
2025-11-07,0.067,0.068,0.070,0.066,265.319
2025-11-06,0.067,0.068,0.072,0.066,331.755
2025-11-05,0.067,0.067,0.072,0.065,2203.975
2025-11-04,0.068,0.068,0.068,0.061,1961.314
2025-11-03,0.068,0.068,0.068,0.068,1550.262
2025-10-31,0.068,0.068,0.068,0.061,416.900
2025-10-30,0.067,0.069,0.074,0.064,1073.637
2025-10-29,0.064,0.067,0.069,0.064,1803.876
2025-10-28,0.064,0.066,0.066,0.064,992.679
2025-10-27,0.064,0.064,0.064,0.061,522.974
2025-10-24,0.064,0.064,0.064,0.062,523.505
2025-10-23,0.065,0.066,0.066,0.063,642.215
2025-10-22,0.063,0.065,0.068,0.063,1586.203
2025-10-21,0.061,0.063,0.068,0.062,933.299
2025-10-17,0.065,0.062,0.067,0.055,852.932
2025-10-16,0.064,0.065,0.066,0.064,1358.493
2025-10-15,0.066,0.066,0.066,0.058,420.886
2025-10-14,0.067,0.067,0.067,0.065,325.060
2025-10-13,0.069,0.069,0.072,0.066,180.974
2025-10-10,0.070,0.070,0.073,0.070,263.962
2025-10-09,0.073,0.070,0.073,0.070,726.347
2025-10-08,0.073,0.073,0.073,0.070,68.935
2025-10-07,0.073,0.073,0.073,0.062,91.832
2025-10-06,0.075,0.075,0.077,0.072,183.847
2025-10-03,0.072,0.075,0.077,0.064,429.162
2025-10-02,0.068,0.073,0.073,0.062,201.862
2025-10-01,0.069,0.068,0.073,0.059,1090.821
2025-09-30,0.074,0.070,0.074,0.070,358.904
2025-09-29,0.075,0.075,0.075,0.071,169.332
2025-09-26,0.077,0.077,0.080,0.071,86.047
2025-09-25,0.077,0.077,0.083,0.077,485.115
2025-09-24,0.071,0.077,0.077,0.077,497.946
2025-09-23,0.079,0.074,0.086,0.074,25933.314
2025-09-22,0.080,0.079,0.080,0.074,122.433
2025-09-19,0.081,0.081,0.081,0.078,404.425
2025-09-18,0.079,0.081,0.081,0.072,278.302
