Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,6.594,7.484,7.484,7.484,22.453
2026-01-02,6.458,6.798,6.798,5.184,1305.489
2025-12-30,5.961,6.604,6.778,5.909,828.780
2025-12-29,4.981,5.961,5.975,4.866,13943.081
2025-12-26,4.918,5.085,5.110,3.943,1494.074
2025-12-23,4.968,4.918,4.968,4.720,1174.999
2025-12-22,4.968,4.968,4.968,4.720,2304.417
2025-12-19,4.664,5.074,5.074,4.664,1165.456
2025-12-18,4.672,4.716,4.716,4.580,691.109
2025-12-17,4.690,4.672,4.745,4.672,925.596
2025-12-16,4.894,4.841,5.484,4.822,1248.361
2025-12-15,4.898,4.894,5.295,4.894,352.186
2025-12-12,5.052,5.033,5.052,4.664,620.179
2025-12-11,5.052,5.052,5.052,4.664,403.808
2025-12-10,5.441,5.052,5.441,5.052,1351.349
2025-12-09,5.231,5.441,5.635,4.800,1455.539
2025-12-05,5.390,5.414,5.414,5.270,416.478
2025-12-04,5.229,5.390,5.414,4.948,385.372
2025-12-03,5.454,5.267,5.454,5.065,567.853
2025-12-02,5.508,5.492,5.508,5.488,874.938
2025-12-01,5.535,5.556,5.761,4.531,382.724
2025-11-28,5.556,5.535,5.556,5.494,1359.568
2025-11-27,5.464,5.567,5.567,5.464,766.131
2025-11-26,5.732,5.464,5.753,5.464,657.522
2025-11-25,5.835,5.732,5.893,4.990,1329.685
2025-11-21,5.986,5.965,5.965,5.101,159.337
2025-11-20,6.012,6.012,6.012,5.758,792.544
2025-11-19,5.927,6.012,6.033,5.927,856.770
2025-11-18,5.996,5.935,5.998,5.150,355.845
2025-11-17,6.133,6.071,6.073,6.052,121.345
2025-11-14,5.794,6.133,6.159,5.794,699.157
2025-11-13,6.464,5.857,6.464,5.640,8600.059
2025-11-12,6.582,6.538,6.582,6.538,157.349
2025-11-11,6.582,6.582,6.867,5.529,10372.057
2025-11-10,6.938,6.608,6.938,6.608,938.759
2025-11-07,6.608,6.938,6.938,6.916,707.679
2025-11-06,7.095,6.714,7.095,6.714,867.725
2025-11-05,7.135,7.095,7.135,7.095,540.302
2025-11-04,7.007,7.206,7.224,7.188,908.982
2025-11-03,7.007,7.007,7.233,5.972,767.594
2025-10-31,6.781,7.007,7.455,7.007,653.187
2025-10-30,7.583,6.893,7.583,6.801,8558.033
2025-10-29,7.583,7.583,7.812,6.893,3985.367
2025-10-28,7.735,7.787,7.787,6.843,1548.089
2025-10-27,7.782,7.735,7.787,7.716,567.084
2025-10-24,7.388,7.860,7.860,7.388,269.271
2025-10-23,6.823,7.554,7.554,6.823,1051.535
2025-10-22,6.335,6.823,7.554,6.823,700.292
2025-10-21,6.574,6.335,7.237,6.092,3797.910
2025-10-17,6.642,6.711,6.711,6.219,3320.032
2025-10-16,6.696,6.642,6.694,6.418,1583.373
2025-10-15,6.799,6.839,6.855,6.453,564.447
2025-10-14,6.919,6.940,6.976,6.587,925.966
2025-10-13,6.621,7.066,7.071,6.144,4436.736
2025-10-10,6.495,6.760,7.285,6.760,3956.220
2025-10-09,6.977,6.495,7.572,6.490,732.617
2025-10-08,7.512,6.977,7.512,6.490,3328.549
2025-10-07,7.555,7.512,7.545,6.084,727.881
2025-10-06,7.739,7.722,7.734,7.722,494.471
2025-10-03,7.048,7.739,7.739,7.431,708.417
2025-10-02,6.490,7.195,7.618,5.643,456.867
2025-10-01,7.901,6.490,7.901,6.490,4008.600
2025-09-30,7.711,7.991,7.991,7.985,159.812
2025-09-29,7.790,7.796,7.796,6.347,1463.989
2025-09-26,7.075,7.960,7.960,7.370,609.965
2025-09-25,7.738,7.143,8.333,7.143,4567.826
2025-09-24,6.548,7.738,7.738,7.738,216.667
2025-09-23,7.019,6.740,7.353,6.740,6548.343
2025-09-22,7.874,7.019,7.966,7.016,259.399
2025-09-19,8.031,8.031,8.125,8.031,1187.249
2025-09-18,7.500,8.031,8.125,7.500,857.250
2025-09-17,8.125,7.500,7.906,6.500,3620.743
2025-09-16,8.391,8.202,8.833,7.886,707.192
2025-09-12,8.615,8.526,8.615,8.526,531.639
2025-09-11,8.744,8.705,8.731,8.705,243.834
2025-09-10,8.890,8.818,8.890,8.785,372.163
2025-09-09,8.524,8.930,9.167,8.530,937.997
2025-09-08,8.587,8.580,9.247,8.580,356.863
2025-09-05,7.981,8.719,8.719,7.981,837.081
2025-09-04,8.008,7.981,8.048,7.981,1680.079
2025-09-03,7.498,8.139,8.180,7.485,12905.446
2025-09-02,7.639,7.639,7.639,6.111,1154.082
2025-09-01,7.618,7.639,7.639,7.535,547.660
2025-08-29,7.760,7.753,7.760,7.739,3845.660
2025-08-28,7.739,7.760,7.774,7.067,2854.141
2025-08-27,7.908,7.872,7.894,7.872,1173.127
2025-08-26,7.983,7.983,7.983,7.257,1450.290
2025-08-25,7.257,7.983,7.983,7.910,1995.572
2025-08-22,7.257,7.257,7.257,6.894,427.794
2025-08-21,7.321,7.321,7.321,6.589,1016.837
2025-08-20,7.174,7.321,7.321,7.101,898.023
2025-08-19,6.090,7.243,7.243,6.090,881.619
2025-08-15,5.998,6.186,6.757,4.880,568.453
