Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.238,0.238,0.238,0.207,1260.163
2025-12-30,0.174,0.243,0.247,0.181,176.606
2025-12-29,0.170,0.174,0.174,0.163,3747.268
2025-12-26,0.174,0.174,0.177,0.174,988.452
2025-12-23,0.170,0.174,0.177,0.170,93.608
2025-12-22,0.167,0.170,0.177,0.160,609.638
2025-12-19,0.169,0.170,0.170,0.159,891.356
2025-12-18,0.172,0.170,0.172,0.170,144.150
2025-12-17,0.172,0.172,0.172,0.165,374.018
2025-12-16,0.186,0.178,0.189,0.163,876.803
2025-12-15,0.185,0.186,0.197,0.170,425.090
2025-12-12,0.175,0.190,0.202,0.188,464.213
2025-12-11,0.194,0.175,0.202,0.167,129.198
2025-12-10,0.194,0.194,0.194,0.167,297.492
2025-12-09,0.192,0.194,0.202,0.163,220.533
2025-12-05,0.197,0.199,0.201,0.185,147.837
2025-12-04,0.201,0.197,0.201,0.179,30654.534
2025-12-03,0.203,0.202,0.211,0.197,157.179
2025-12-02,0.196,0.204,0.224,0.180,5809.477
2025-12-01,0.200,0.197,0.202,0.179,455.077
2025-11-28,0.191,0.200,0.200,0.191,230.580
2025-11-27,0.194,0.191,0.194,0.179,385.607
2025-11-26,0.194,0.194,0.200,0.186,276.098
2025-11-25,0.194,0.194,0.200,0.181,318.266
2025-11-21,0.198,0.198,0.198,0.194,249.136
2025-11-20,0.199,0.199,0.203,0.191,166.227
2025-11-19,0.195,0.199,0.205,0.182,634.183
2025-11-18,0.212,0.195,0.212,0.187,480.866
2025-11-17,0.214,0.214,0.215,0.197,412.029
2025-11-14,0.212,0.214,0.214,0.210,445.002
2025-11-13,0.195,0.215,0.217,0.195,336.172
2025-11-12,0.209,0.197,0.233,0.197,4270.133
2025-11-11,0.210,0.209,0.215,0.209,249.014
2025-11-10,0.216,0.211,0.216,0.203,227.070
2025-11-07,0.216,0.216,0.216,0.203,409.975
2025-11-06,0.217,0.219,0.219,0.206,472.318
2025-11-05,0.215,0.217,0.224,0.206,412.498
2025-11-04,0.217,0.217,0.226,0.203,485.358
2025-11-03,0.210,0.217,0.226,0.190,545.175
2025-10-31,0.199,0.210,0.222,0.190,324.401
2025-10-30,0.230,0.202,0.252,0.202,11187.316
2025-10-29,0.239,0.230,0.252,0.230,663.546
2025-10-28,0.248,0.245,0.260,0.245,775.330
2025-10-27,0.260,0.248,0.283,0.236,288.626
2025-10-24,0.262,0.262,0.262,0.238,156.920
2025-10-23,0.229,0.268,0.268,0.234,220.565
2025-10-22,0.244,0.229,0.253,0.219,1017.177
2025-10-21,0.224,0.244,0.258,0.222,1519.829
2025-10-17,0.231,0.228,0.234,0.215,825.785
2025-10-16,0.224,0.231,0.234,0.224,462.547
2025-10-15,0.234,0.229,0.239,0.219,577.507
2025-10-14,0.244,0.239,0.244,0.228,1389.658
2025-10-13,0.246,0.249,0.254,0.212,1507.484
2025-10-10,0.249,0.251,0.260,0.222,989.696
2025-10-09,0.254,0.249,0.254,0.243,1573.042
2025-10-08,0.254,0.254,0.260,0.249,565.836
2025-10-07,0.227,0.254,0.260,0.230,792.410
2025-10-06,0.249,0.232,0.243,0.232,941.260
2025-10-03,0.249,0.249,0.287,0.244,1213.513
2025-10-02,0.305,0.254,0.299,0.254,1072.067
2025-10-01,0.255,0.305,0.305,0.243,1109.460
2025-09-30,0.285,0.258,0.296,0.246,876.202
