Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-05,0.237,,0.276,0.082,
2026-01-02,0.231,0.245,0.248,0.214,3987.443
2025-12-30,0.233,0.236,0.243,0.191,2362.112
2025-12-29,0.172,0.233,0.233,0.174,5863.661
2025-12-26,0.176,0.176,0.185,0.161,4364.130
2025-12-23,0.176,0.176,0.183,0.172,3303.684
2025-12-22,0.186,0.176,0.190,0.174,4951.198
2025-12-19,0.181,0.190,0.192,0.181,3502.506
2025-12-18,0.176,0.183,0.202,0.176,2964.958
2025-12-17,0.180,0.176,0.182,0.173,3025.591
2025-12-16,0.186,0.186,0.189,0.178,2787.296
2025-12-15,0.189,0.186,0.200,0.178,4392.064
2025-12-12,0.198,0.194,0.202,0.194,1979.753
2025-12-11,0.202,0.198,0.214,0.195,3437.906
2025-12-10,0.194,0.202,0.225,0.190,2633.160
2025-12-09,0.202,0.194,0.226,0.183,4935.405
2025-12-05,0.215,0.209,0.217,0.193,3334.250
2025-12-04,0.221,0.215,0.221,0.215,3040.878
2025-12-03,0.215,0.223,0.235,0.197,2316.461
2025-12-02,0.222,0.216,0.223,0.208,5332.558
2025-12-01,0.224,0.224,0.247,0.220,2970.433
2025-11-28,0.228,0.224,0.228,0.219,2537.971
2025-11-27,0.228,0.228,0.239,0.227,2224.668
2025-11-26,0.226,0.228,0.233,0.219,3236.721
2025-11-25,0.232,0.226,0.239,0.214,4808.317
2025-11-21,0.261,0.237,0.260,0.232,2188.969
2025-11-20,0.241,0.262,0.262,0.229,4041.065
2025-11-19,0.245,0.241,0.255,0.233,3117.279
2025-11-18,0.256,0.245,0.259,0.233,3394.903
2025-11-17,0.266,0.260,0.266,0.250,2339.689
2025-11-14,0.266,0.266,0.279,0.240,4685.854
2025-11-13,0.247,0.269,0.269,0.249,5892.151
2025-11-12,0.246,0.250,0.254,0.241,3399.260
2025-11-11,0.246,0.246,0.259,0.237,12808.109
2025-11-10,0.242,0.247,0.251,0.238,16644.203
2025-11-07,0.248,0.242,0.251,0.239,2728.955
2025-11-06,0.253,0.252,0.268,0.242,1488.794
2025-11-05,0.245,0.253,0.286,0.237,6946.760
2025-11-04,0.244,0.248,0.251,0.229,12321.723
2025-11-03,0.251,0.244,0.258,0.244,4809.629
2025-10-31,0.249,0.251,0.262,0.244,4926.358
2025-10-30,0.257,0.253,0.257,0.244,6066.665
2025-10-29,0.257,0.257,0.266,0.253,5959.216
2025-10-28,0.266,0.264,0.274,0.262,7979.539
2025-10-27,0.264,0.266,0.267,0.250,8949.205
2025-10-24,0.269,0.267,0.276,0.262,5935.657
2025-10-23,0.239,0.275,0.283,0.239,9805.473
2025-10-22,0.239,0.239,0.244,0.236,8898.151
2025-10-21,0.241,0.239,0.253,0.234,14062.383
2025-10-17,0.229,0.246,0.246,0.229,12126.529
2025-10-16,0.199,0.229,0.234,0.201,15576.734
2025-10-15,0.173,0.203,0.203,0.175,14587.276
2025-10-14,0.171,0.176,0.179,0.169,13220.433
2025-10-13,0.169,0.174,0.175,0.167,7250.050
2025-10-10,0.168,0.173,0.178,0.170,1769.428
2025-10-09,0.170,0.168,0.178,0.166,15017.672
2025-10-08,0.171,0.170,0.172,0.163,3887.741
2025-10-07,0.170,0.171,0.173,0.165,1973.514
2025-10-06,0.177,0.174,0.177,0.167,3257.458
2025-10-03,0.170,0.177,0.180,0.166,13685.368
2025-10-02,0.175,0.174,0.175,0.168,1996.544
2025-10-01,0.175,0.175,0.177,0.172,2947.519
2025-09-30,0.179,0.177,0.180,0.175,4516.007
2025-09-29,0.177,0.181,0.181,0.176,3496.095
2025-09-26,0.183,0.180,0.189,0.180,2586.382
2025-09-25,0.180,0.185,0.196,0.174,2678.422
2025-09-24,0.179,0.180,0.180,0.173,8759.719
2025-09-23,0.178,0.184,0.184,0.172,6495.666
2025-09-22,0.173,0.178,0.178,0.169,4826.871
2025-09-19,0.177,0.177,0.178,0.174,4124.317
2025-09-18,0.178,0.177,0.181,0.174,4403.424
2025-09-17,0.181,0.178,0.181,0.175,8898.380
2025-09-16,0.186,0.183,0.186,0.177,2371.303
2025-09-12,0.186,0.189,0.199,0.180,17302.867
2025-09-11,0.188,0.188,0.200,0.181,3240.601
2025-09-10,0.180,0.189,0.196,0.176,7501.603
2025-09-09,0.177,0.180,0.182,0.173,6751.554
2025-09-08,0.182,0.178,0.183,0.173,3047.273
2025-09-05,0.183,0.184,0.187,0.171,3893.683
2025-09-04,0.163,0.183,0.184,0.164,6107.829
