Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.680,0.680,0.680,0.561,358.993
2025-12-30,0.695,0.695,0.695,0.574,1796.873
2025-12-29,0.660,0.695,0.695,0.619,221.347
2025-12-26,0.639,0.674,0.710,0.578,126.797
2025-12-23,0.656,0.639,0.656,0.639,264.817
2025-12-22,0.586,0.656,0.681,0.568,504.839
2025-12-19,0.598,0.598,0.710,0.544,1679.594
2025-12-18,0.605,0.605,0.615,0.594,2125.480
2025-12-17,0.605,0.605,0.623,0.583,1755.694
2025-12-16,0.624,0.624,0.643,0.511,1624.585
2025-12-15,0.605,0.624,0.662,0.495,593.719
2025-12-12,0.641,0.622,0.653,0.583,1546.482
2025-12-11,0.582,0.641,0.680,0.544,594.930
2025-12-10,0.521,0.582,0.622,0.582,413.588
2025-12-09,0.444,0.521,0.532,0.443,378.921
2025-12-05,0.442,0.460,0.527,0.442,695.134
2025-12-04,0.402,0.442,0.479,0.402,266.656
2025-12-03,0.365,0.405,0.434,0.365,628.728
2025-12-02,0.339,0.367,0.388,0.339,1296.434
2025-12-01,0.317,0.342,0.349,0.298,5360.052
2025-11-28,0.317,0.317,0.317,0.309,301.001
2025-11-27,0.318,0.317,0.318,0.317,130.496
2025-11-26,0.325,0.318,0.326,0.317,120.815
2025-11-25,0.317,0.325,0.326,0.301,130.903
2025-11-21,0.325,0.325,0.325,0.316,46.589
2025-11-20,0.326,0.326,0.326,0.318,1135.331
2025-11-19,0.326,0.326,0.334,0.313,79.655
2025-11-18,0.335,0.326,0.335,0.314,180.734
2025-11-17,0.339,0.339,0.339,0.305,39.918
2025-11-14,0.339,0.339,0.339,0.339,162.049
2025-11-13,0.330,0.343,0.343,0.343,121.269
2025-11-12,0.347,0.333,0.350,0.333,911.687
2025-11-11,0.347,0.347,0.346,0.309,52.266
2025-11-10,0.322,0.348,0.348,0.313,1747.053
2025-11-07,0.344,0.322,0.352,0.313,809.107
2025-11-06,0.356,0.349,0.372,0.340,312.328
2025-11-05,0.336,0.356,0.380,0.356,338.535
2025-11-04,0.357,0.339,0.362,0.325,222.737
2025-11-03,0.362,0.357,0.362,0.321,207.880
2025-10-31,0.344,0.362,0.362,0.359,443.309
2025-10-30,0.386,0.349,0.386,0.349,580.161
2025-10-29,0.381,0.386,0.386,0.381,342.716
2025-10-28,0.396,0.392,0.398,0.345,653.376
2025-10-27,0.387,0.396,0.399,0.345,685.033
2025-10-24,0.403,0.391,0.403,0.381,308.501
2025-10-23,0.411,0.412,0.412,0.331,596.803
2025-10-22,0.409,0.411,0.412,0.407,168.783
2025-10-21,0.392,0.409,0.412,0.375,436.911
2025-10-17,0.398,0.400,0.420,0.398,305.343
2025-10-16,0.413,0.398,0.422,0.373,979.567
2025-10-15,0.427,0.422,0.431,0.407,950.710
2025-10-14,0.440,0.436,0.440,0.436,219.247
2025-10-13,0.408,0.450,0.450,0.445,126.305
2025-10-10,0.416,0.416,0.468,0.406,319.480
2025-10-09,0.465,0.416,0.468,0.416,389.372
2025-10-08,0.467,0.465,0.465,0.449,495.173
2025-10-07,0.470,0.467,0.469,0.467,126.669
2025-10-06,0.480,0.480,0.480,0.387,80.854
2025-10-03,0.464,0.480,0.480,0.480,359.130
2025-10-02,0.474,0.474,0.497,0.389,76.438
2025-10-01,0.494,0.474,0.493,0.418,458.329
2025-09-30,0.497,0.499,0.502,0.499,114.540
2025-09-29,0.522,0.502,0.522,0.502,466.933
2025-09-26,0.533,0.533,0.532,0.532,23.946
2025-09-25,0.539,0.538,0.538,0.530,132.795
2025-09-24,0.539,0.539,0.538,0.536,86.667
2025-09-23,0.557,0.555,0.557,0.490,121.545
2025-09-22,0.551,0.557,0.557,0.490,178.213
2025-09-19,0.565,0.562,0.581,0.550,223.554
2025-09-18,0.500,0.565,0.568,0.562,314.655
2025-09-17,0.500,0.500,0.581,0.562,92.678
2025-09-16,0.629,0.505,0.631,0.505,291.249
2025-09-12,0.640,0.639,0.641,0.639,67.173
2025-09-11,0.648,0.646,0.648,0.583,172.122
