Date,Apert._USD,Cierre_USD,Max._USD,Min._USD,efectivo_USD
2026-01-02,0.024,0.026,0.027,0.024,898.713
2025-12-30,0.024,0.024,0.024,0.023,739.753
2025-12-29,0.021,0.024,0.024,0.021,339.542
2025-12-26,0.021,0.022,0.024,0.021,757.175
2025-12-23,0.023,0.021,0.023,0.021,409.247
2025-12-22,0.021,0.023,0.026,0.021,168.891
2025-12-19,0.021,0.022,0.023,0.020,302.279
2025-12-18,0.021,0.021,0.023,0.021,271.404
2025-12-17,0.021,0.021,0.021,0.021,329.448
2025-12-16,0.022,0.022,0.024,0.019,278.244
2025-12-15,0.022,0.022,0.023,0.021,675.857
2025-12-12,0.023,0.023,0.025,0.021,896.293
2025-12-11,0.024,0.023,0.027,0.023,286.513
2025-12-10,0.027,0.024,0.028,0.024,186.797
2025-12-09,0.027,0.027,0.031,0.025,279.787
2025-12-05,0.027,0.028,0.028,0.027,177.967
2025-12-04,0.027,0.027,0.028,0.024,170.543
2025-12-03,0.026,0.027,0.028,0.024,712.456
2025-12-02,0.026,0.027,0.030,0.024,1247.569
2025-12-01,0.027,0.027,0.029,0.024,514.503
2025-11-28,0.027,0.027,0.029,0.025,715.590
2025-11-27,0.028,0.027,0.029,0.027,246.107
2025-11-26,0.028,0.028,0.031,0.028,670.988
2025-11-25,0.028,0.028,0.033,0.027,808.050
2025-11-21,0.032,0.029,0.032,0.028,519.811
2025-11-20,0.030,0.032,0.034,0.028,421.017
2025-11-19,0.032,0.030,0.033,0.030,698.253
2025-11-18,0.032,0.032,0.034,0.028,840.249
2025-11-17,0.032,0.032,0.036,0.030,314.888
2025-11-14,0.033,0.032,0.039,0.028,641.059
2025-11-13,0.030,0.034,0.035,0.026,398.229
2025-11-12,0.032,0.031,0.039,0.031,1214.902
2025-11-11,0.035,0.032,0.039,0.031,387.869
2025-11-10,0.034,0.035,0.041,0.034,436.422
2025-11-07,0.035,0.034,0.035,0.034,584.454
2025-11-06,0.035,0.035,0.038,0.035,732.500
2025-11-05,0.034,0.035,0.035,0.031,445.890
2025-11-04,0.036,0.034,0.038,0.032,730.695
2025-11-03,0.029,0.036,0.041,0.031,652.524
2025-10-31,0.029,0.029,0.029,0.027,566.517
2025-10-30,0.030,0.029,0.030,0.029,449.935
2025-10-29,0.030,0.030,0.030,0.029,409.172
2025-10-28,0.030,0.030,0.031,0.028,195.644
2025-10-27,0.031,0.030,0.031,0.030,766.623
2025-10-24,0.031,0.031,0.036,0.031,728.587
2025-10-23,0.034,0.031,0.033,0.031,1355.258
2025-10-22,0.034,0.034,0.037,0.032,1139.963
2025-10-21,0.032,0.034,0.038,0.032,982.311
2025-10-17,0.033,0.033,0.033,0.030,1110.564
2025-10-16,0.032,0.033,0.035,0.032,2272.535
2025-10-15,0.028,0.033,0.034,0.030,1544.787
2025-10-14,0.029,0.029,0.031,0.028,788.056
2025-10-13,0.021,0.030,0.030,0.020,715.981
2025-10-10,0.018,0.021,0.021,0.019,375.963
2025-10-09,0.018,0.018,0.021,0.016,514.913
2025-10-08,0.016,0.018,0.019,0.016,150.456
2025-10-07,0.017,0.016,0.017,0.014,288.439
2025-10-06,0.018,0.017,0.018,0.017,135.162
2025-10-03,0.017,0.018,0.018,0.017,689.343
2025-10-02,0.018,0.017,0.018,0.014,368.218
2025-10-01,0.018,0.018,0.018,0.017,276.907
2025-09-30,0.018,0.018,0.018,0.017,343.916
2025-09-29,0.017,0.018,0.018,0.017,483.235
2025-09-26,0.019,0.018,0.019,0.018,578.415
2025-09-25,0.019,0.019,0.019,0.019,211.003
2025-09-24,0.017,0.019,0.019,0.018,347.550
2025-09-23,0.020,0.017,0.019,0.017,266.891
2025-09-22,0.018,0.020,0.020,0.018,982.444
2025-09-19,0.017,0.019,0.019,0.018,284.603
2025-09-18,0.017,0.017,0.018,0.017,324.322
2025-09-17,0.017,0.017,0.017,0.016,418.435
2025-09-16,0.016,0.017,0.017,0.016,856.402
2025-09-12,0.017,0.017,0.017,0.016,557.280
2025-09-11,0.017,0.017,0.019,0.016,313.849
2025-09-10,0.017,0.017,0.018,0.016,634.153
