Moneda,Tasa (Bs/USD),Fecha Extracción
USD,211.8829,2025-10-28
USD,232.9734,2025-11-14
USD,232.9734,2025-11-17
USD,240.3209,2025-11-18
USD,240.3209,2025-11-19
USD,240.3209,2025-11-20
USD,241.578,2025-11-21
USD,243.1105,2025-11-25
USD,244.6504,2025-11-26
USD,244.6504,2025-11-27
USD,245.6697,2025-11-28
USD,247.3003,2025-12-01
USD,247.4071,2025-12-02
USD,249.1989,2025-12-03
USD,251.8867,2025-12-04
USD,257.9287,2025-12-05
USD,262.1036,2025-12-09
USD,262.1036,2025-12-10
USD,265.0662,2025-12-11
USD,267.7499,2025-12-12
USD,270.7893,2025-12-15
USD,273.5861,2025-12-16
USD,276.5769,2025-12-17
USD,279.5629,2025-12-18
USD,285.4024,2025-12-19
USD,285.4024,2025-12-22
USD,291.3524,2025-12-23
USD,291.3524,2025-12-26
USD,294.9699,2025-12-29
USD,298.1431,2025-12-30
USD,301.3709,2026-01-02
USD,301.3709,2026-01-02
USD,301.3709,2026-01-03
USD,308.3709,2026-01-06
USD,311.8709,2026-01-07
USD,321.8709,2026-01-08
USD,333.3709,2026-01-13
USD,329.3750,2026-01-14
USD,341.7409,2026-01-16
USD,344.5009,2026-01-20
USD,347.2609,2026-01-21
USD,349.9209,2026-01-22
USD,352.7063,2026-01-23
USD,355.5525,2026-01-26
USD,358.9244,2026-01-27
USD,361.4906,2026-01-28
USD,363.6623,2026-01-29
USD,367.3069,2026-01-30
USD,370.2544,2026-02-02
USD,372.1057,2026-02-03
USD,375.0825,2026-02-04
USD,378.4582,2026-02-05
USD,381.1074,2026-02-06
USD,382.6318,2026-02-09
USD,385.2720,2026-02-10
USD,388.7394,2026-02-11
USD,390.2944,2026-02-12
USD,393.2216,2026-02-13
USD,396.3674,2026-02-18
USD,398.7456,2026-02-19
USD,402.3343,2026-02-20
USD,405.3518,2026-02-23
USD,407.3786,2026-02-24
USD,411.0518,2026-02-25
USD,414.0418,2026-02-26
USD,417.3518,2026-02-27
USD,419.9873,2026-03-02
USD,421.8772,2026-03-03
USD,424.8772,2026-03-04
USD,427.8772,2026-03-05
USD,431.0113,2026-03-06
USD,435.0113,2026-03-09
USD,436.2113,2026-03-10
USD,438.0113,2026-03-11
USD,440.9613,2026-03-12
USD,443.2587,2026-03-13
USD,446.2587,2026-03-16
USD,448.2587,2026-03-17
USD,451.5587,2026-03-18
USD,455.2587,2026-03-20
USD,457.0787,2026-03-23
USD,459.4587,2026-03-24
USD,462.587,2026-03-25
USD,466.6687,2026-03-26
USD,468.5187,2026-03-27

