Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-28,295.0,1770640.0,15,6412.0
2025-12-01,285.01,166685.05,-999,565.0
2025-12-02,280.0,52070.5,-10,182.0
2025-12-03,275.0,43945.0,-15,155.0
2025-12-04,290.0,192626.05,0,669.0
2025-12-06,290.0,121778.69,0,415.0
2025-12-09,288.0,171995.0,-2,595.0
2025-12-10,288.0,114102.0,0,404.0
2025-12-11,280.0,49838.0,0,173.0
2025-12-13,290.0,159406.0,0,555.0
2025-12-15,280.0,151911.64,-8,556.0
2025-12-16,280.0,111594.33,0,387.0
2025-12-17,290.0,167920.0,10,574.0
2025-12-18,290.0,249760.0,0,875.0
2025-12-19,315.0,189683.0,25,643.0
2025-12-22,316.0,233481.0,1,748.0
2025-12-23,330.0,50305.0,14,152.0
2025-12-26,350.0,59063.0,14,152.0
2025-12-29,409.0,192679.0,59,498.0
2025-12-30,425.0,614456.26,16,1517.0
2026-01-02,480.0,142512.48,55,321.0
2026-01-05,550.0,312630.0,70,
2026-01-06,790.0,316900.0,240,459.0
2026-01-07,790.0,1928970.0,0,2443.0
2026-01-08,900.0,857075.5,110,949.0
2026-01-09,1103.95,52815.3,20395,52
