Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,429.0,2807272.21,4.0,6804.0
2025-11-28,429.0,5321519.1,102.0,12478.0
2025-12-01,427.9,374690.26,-108.0,877.0
2025-12-02,423.0,2635714.13,-4.0,6389.0
2025-12-03,420.0,272269.04,-3.0,648.0
2025-12-04,412.5,967102.15,-25.0,2369.0
2025-12-06,414.0,1608973.26,2.0,3935.0
2025-12-09,409.89,534749.19,-411.0,1304.0
2025-12-10,398.9,359180.69,-109.0,894.0
2025-12-11,395.0,344168.6,0.0,873.0
2025-12-13,394.95,821113.09,-5.0,2083.0
2025-12-15,390.0,356068.28,-495.0,903.0
2025-12-16,393.5,1206715.94,35.0,3079.0
2025-12-17,390.0,7308254.09,896.0,18730.0
2025-12-18,410.0,1222455.86,20.0,3055.0
2025-12-19,440.0,1330998.28,31.0,3132.0
2025-12-22,440.0,731155.0,0.0,1635.0
2025-12-23,454.9,720360.84,149.0,1583.0
2025-12-26,475.0,366283.68,149.0,1583.0
2025-12-29,535.0,2724710.37,5701.0,5608.0
2025-12-30,550.0,3871515.0,20.0,7236.0
2026-01-02,599.0,713070.0,40.0,1216.0
2026-01-05,700.0,705450.0,101.0,1216.0
2026-01-06,910.0,659407.0,210.0,740.0
2026-01-07,1078.7,14557347.0,179.0,13571.0
2026-01-08,1078.75,14394455.75,-1025.0,13571.0
2026-01-09,1250.0,64094924.74,17125,51301
