fecha,accion,precio,variacion_abs,monto_efectivo,hora
2025-11-28,BPV,54.4,0.0,1868386.92,--
2025-12-01,BPV,54.5,0.1,1069257.24,--
2025-12-02,BPV,52.97,-1.53,2213429.88,--
2025-12-03,BPV,55.0,2.03,40927337.55,--
2025-12-04,BPV,53.5,-1.5,1338746.30,--
2025-12-06,BPV,50.0,-3.5,12498856.84,--
2025-12-09,BPV,50.0,0.0,6823910.17,--
2025-12-10,BPV,51.9,1.9,701993.01,--
2025-12-11,BPV,51.0,-0.9,6875993.20,--
2025-12-13,BPV,50.7,-0.3,574957.33,--
2025-12-15,BPV,49.8,-0.9,1729252.74,--
2025-12-16,BPV,49.09,-0.71,1289651.85,--
2025-12-17,BPV,48.0,-1.09,3154553.79,--
2025-12-18,BPV,55.0,7.0,3376337.00,--
2025-12-19,BPV,52.49,-2.51,45724487.02,--
2025-12-22,BPV,49.5,-2.99,6766641.73,--
2025-12-23,BPV,49.5,0.0,3270354.92,--
2025-12-26,BPV,51.0,1.5,27400941.17,--
2025-12-29,BPV,67.0,16.0,3261240.39,--
2025-12-30,BPV,67.9,0.9,7888510.00,--
2026-01-02,BPV,72.0,4.1,1596905.85,12:50:48
2026-01-05,BPV,86.0,14.0,633573.75,09:22:36
2026-01-06,BPV,147.5,61.5,6853959.45,12:07:05
2026-01-07,BPV,165.0,17.5,14897034.13,13:00:11
2026-01-08,BPV,195.3,17.5,7855302.25,13:00:11
