Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,138.94,9314917.87,125.0,69587.0
2025-11-28,139.0,24276527.18,7.0,172012.0
2025-12-01,138.0,542646.7,-1.0,3903.0
2025-12-02,138.95,2641607.79,-55.0,20117.0
2025-12-03,138.0,7718750.98,-95.0,55905.0
2025-12-04,137.0,6814860.08,-145.0,48685.0
2025-12-06,141.0,2664517.67,4.0,19376.0
2025-12-09,137.0,6212628.75,-4.0,45257.0
2025-12-10,135.0,2347092.9,-2.0,17386.0
2025-12-11,136.99,10391593.13,399.0,76197.0
2025-12-13,137.98,692216.64,98.0,5105.0
2025-12-15,139.92,15461532.52,194.0,98205.0
2025-12-16,139.65,13817946.46,2.0,84197.0
2025-12-17,138.99,8124787.01,-65.0,58450.0
2025-12-18,141.0,5370332.1,201.0,37869.0
2025-12-19,149.99,1134904.62,901.0,7927.0
2025-12-22,159.75,137861643.52,976.0,869416.0
2025-12-23,150.0,3928143.61,-975.0,27464.0
2025-12-26,156.99,12938088.46,-975.0,27464.0
2025-12-29,170.0,5390262.86,1001.0,31616.0
2025-12-30,205.0,17385106.8,35.0,103178.0
2026-01-02,255.0,1198596.0,50.0,4847.0
2026-01-05,306.0,5742.0,51.0,0.0
2026-01-06,495.0,6652865.07,189.0,15664.0
2026-01-07,577.85,6719156.45,8285,11568
