Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,282.0,848781.26,-295.0,3129.0
2025-11-28,280.0,650855.0,-2.0,2363.0
2025-12-01,280.0,163408.73,0.0,584.0
2025-12-02,274.0,714735.0,-6.0,2643.0
2025-12-03,279.0,1322199.09,5.0,4843.0
2025-12-04,279.0,815265.0,15.0,3009.0
2025-12-06,284.9,226807.8,59.0,824.0
2025-12-09,280.0,1250717.81,-5.0,4520.0
2025-12-10,279.95,393254.9,-5.0,1435.0
2025-12-11,279.95,635574.3,0.0,2350.0
2025-12-13,278.95,189961.8,-1.0,688.0
2025-12-15,270.0,491633.9,-9.0,1810.0
2025-12-16,278.0,903404.88,8.0,3320.0
2025-12-17,278.8,75852.95,88.0,273.0
2025-12-18,297.0,1977996.14,181.0,7157.0
2025-12-19,299.99,1995723.19,2119.0,6812.0
2025-12-22,299.7,2188072.63,-29.0,7299.0
2025-12-23,300.0,375999.94,3.0,1241.0
2025-12-26,350.0,9640472.0,3.0,1241.0
2025-12-29,485.0,2189103.0,135.0,5361.0
2025-12-30,540.0,6693958.25,55.0,16223.0
2026-01-02,585.0,298632.84,45.0,547.0
2026-01-05,701.0,1198504.5,116.0,547.0
2026-01-06,841.15,2646563.05,14015.0,3201.0
2026-01-07,1000.01,1769610.18,15886,1770
