Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,44.48,134494.39,-141.0,3263.0
2025-11-28,44.0,49685.51,-48.0,1117.0
2025-12-01,44.0,203708.83,5.0,4492.0
2025-12-02,42.0,384557.38,-2.0,9275.0
2025-12-03,40.0,203434.46,-2.0,6261.0
2025-12-04,40.0,71679.33,-1.0,1752.0
2025-12-06,40.0,93358.05,0.0,2328.0
2025-12-09,38.98,1312479.45,-102.0,51653.0
2025-12-10,38.84,188798.99,-16.0,5364.0
2025-12-11,38.95,92832.29,395.0,2427.0
2025-12-13,39.9,107893.76,95.0,2735.0
2025-12-15,39.0,51380.69,-89.0,1324.0
2025-12-16,39.0,57026.56,0.0,1457.0
2025-12-17,38.44,84847.49,-56.0,2197.0
2025-12-18,38.4,38315.8,-4.0,1003.0
2025-12-19,38.34,89747.64,-6.0,2378.0
2025-12-22,38.29,82722.8,-5.0,2163.0
2025-12-23,39.0,145671.25,71.0,3702.0
2025-12-26,42.0,84520.71,71.0,3702.0
2025-12-29,46.0,124252.25,4.0,2729.0
2025-12-30,52.0,84440.9,301.0,1714.0
2026-01-02,55.0,47375.0,6.0,901.0
2026-01-06,77.9,486961.2,129.0,6585.0
2026-01-07,77.0,144447.7,-9,1911
