Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,8200.0,1572200.0,0.0,231.0
2025-11-28,9000.0,1560575.0,800.0,228.0
2025-12-01,9500.0,76499.0,500.0,8.0
2025-12-02,8000.0,75000.0,-1500.0,9.0
2025-12-03,6500.0,291900.0,-1500.0,42.0
2025-12-06,8000.0,8000.0,1000.0,1.0
2025-12-09,6000.0,222000.0,-1000.0,36.0
2025-12-10,6000.0,191750.0,0.0,32.0
2025-12-11,6000.0,46200.0,0.0,8.0
2025-12-13,5600.0,287600.0,-1399.0,50.0
2025-12-15,5000.0,162550.0,-600.0,32.0
2025-12-16,5975.0,108926.0,975.0,22.0
2025-12-17,4989.0,439238.0,489.0,104.0
2025-12-18,4001.0,199961.0,-988.0,49.0
2025-12-19,3998.0,201289.0,-2.0,54.0
2025-12-22,3600.0,367107.01,-200.0,98.0
2025-12-23,3200.0,273263.0,0.0,69.0
2025-12-29,3000.0,1628232.0,-200.0,538.0
2025-12-30,3000.0,2656806.0,0.0,886.0
2026-01-02,3600.0,2116000.0,-100.0,68.0
2026-01-06,5100.0,60566.0,781.0,12.0
2026-01-07,5100.0,331900.0,0,65
