Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,400.0,3649.99,-10.0,9.0
2025-11-28,400.0,17600.0,-10.0,44.0
2025-12-01,400.0,31443.24,0.0,84.0
2025-12-02,350.0,43040.54,-50.0,120.0
2025-12-03,389.95,4699.45,3995.0,12.0
2025-12-04,380.0,37840.0,30.0,95.0
2025-12-06,384.99,55439.96,-1501.0,144.0
2025-12-09,375.0,7515.0,-999.0,20.0
2025-12-10,374.99,37856.38,-10.0,101.0
2025-12-11,374.99,11880.85,0.0,32.0
2025-12-13,374.99,5579.86,0.0,15.0
2025-12-15,374.98,23469.46,-1.0,64.0
2025-12-16,374.9,24746.98,-8.0,66.0
2025-12-17,400.0,57890.0,251.0,154.0
2025-12-18,419.0,49036.0,44.0,117.0
2025-12-19,400.0,19563.0,-19.0,47.0
2025-12-22,422.0,58240.0,1.0,138.0
2025-12-23,422.0,26079.63,0.0,62.0
2025-12-26,450.0,32340.0.63,0.0,62.0
2025-12-29,451.0,28530.0,1.0,60.0
2025-12-30,495.0,177371.0,44.0,357.0
2026-01-02,590.0,51330.0,95.0,87.0
2026-01-06,715.0,625332.0,116.0,884.0
2026-01-07,855.0,71520.0,140,85
