Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,282.0,22650.0,0.0,151.0
2025-11-28,280.0,4150.0,20.0,25.0
2025-12-01,167.4,23872.65,174.0,144.0
2025-12-02,160.0,40089.0,5.0,244.0
2025-12-03,160.0,12819.15,0.0,77.0
2025-12-04,166.5,1333.5,65.0,8.0
2025-12-06,166.0,13909.05,6.0,88.0
2025-12-09,174.0,31076.7,14.0,187.0
2025-12-10,172.0,11766.01,12.0,68.0
2025-12-11,172.0,142207.2,12.0,878.0
2025-12-13,155.0,353428.0,-5.0,2210.0
2025-12-15,179.49,44223.2,2449.0,246.0
2025-12-16,159.99,134887.97,499.0,875.0
2025-12-17,169.98,32208.33,999.0,214.0
2025-12-18,169.97,58466.28,-1.0,344.0
2025-12-19,169.97,3399.4,1.0,20.0
2025-12-22,169.96,108438.68,0.0,638.0
2025-12-23,160.0,163843.47,-996.0,967.0
2025-12-26,170.0,258190.8,-996.0,967.0
2025-12-29,185.0,157185.0,15.0,904.0
2025-12-30,205.0,108441.9,30.0,532.0
2026-01-02,220.0,174770.0,15.0,915.0
2026-01-06,275.9,571295.0,459.0,2074.0
2026-01-07,330.0,89945.0,0,269
