Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,150.0,34377.25,2.0,237.0
2025-11-28,170.0,68082.0,-5.0,484.0
2025-12-01,140.0,19665.0,0.0,136.0
2025-12-02,142.0,31738.65,-3.0,229.0
2025-12-03,133.0,16829.07,-9.0,120.0
2025-12-04,140.0,28582.0,0.0,204.0
2025-12-06,139.99,22398.4,-1.0,160.0
2025-12-09,139.0,80437.65,-99.0,582.0
2025-12-10,137.99,49346.09,-101.0,359.0
2025-12-11,137.95,83394.35,-4.0,615.0
2025-12-13,134.99,269912.77,499.0,2115.0
2025-12-15,121.0,302086.24,-7.0,2787.0
2025-12-16,134.0,11186.39,13.0,84.0
2025-12-17,134.5,17515.75,135.0,132.0
2025-12-18,150.0,47850.0,155.0,352.0
2025-12-19,170.0,165531.0,20.0,1089.0
2025-12-22,169.9,249182.5,-1.0,1576.0
2025-12-23,169.88,35473.9,-2.0,216.0
2025-12-26,150.0,2812957.92,-2.0,216.0
2025-12-29,195.0,3147510.38,2515.0,18515.0
2025-12-30,222.0,5697858.0,27.0,35369.0
2026-01-02,222.0,57240.0,0.0,271.0
2026-01-06,320.0,449746.0,50.0,1458.0
2026-01-07,379.0,1701260.26,59,5145
