Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,15.0,4024.86,15.0,262.0
2025-11-28,16.14,3508.65,264.0,217.0
2025-12-01,13.99,21223.72,49.0,1457.0
2025-12-02,15.0,5866.48,1.0,387.0
2025-12-03,14.4,65422.67,4.0,4984.0
2025-12-04,14.43,23863.86,5.0,1707.0
2025-12-06,13.5,36197.71,-62.0,2634.0
2025-12-09,14.2,29996.8,-13.0,2233.0
2025-12-10,14.2,16265.86,0.0,1009.0
2025-12-11,15.98,6835.84,8.0,437.0
2025-12-13,15.95,6923.25,5.0,435.0
2025-12-15,15.9,28600.24,0.0,1871.0
2025-12-16,16.5,37332.45,-5.0,2214.0
2025-12-17,16.9,38340.2,0.0,2245.0
2025-12-19,17.4,17836.97,6.0,1023.0
2025-12-22,18.85,38183.66,146.0,2548.0
2025-12-23,17.99,5809.02,-86.0,323.0
2025-12-29,17.0,51142.9,1.0,2958.0
2025-12-30,17.2,5585.65,2.0,324.0
2026-01-02,20.0,26912.96,3.0,1479.0
2026-01-06,20.0,48956.78,495.0,2702.0
2026-01-07,24.99,95069.9,499,4320
