Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-28,419.99,12599.7,-20.0,30.0
2025-12-01,352.01,34813.06,-8798.0,89.0
2025-12-02,398.99,17006.83,4698.0,46.0
2025-12-03,394.0,17777.92,42.0,50.0
2025-12-04,350.0,27442.83,-2.0,76.0
2025-12-06,398.99,4391.92,4899.0,11.0
2025-12-09,305.0,4145.98,-45.0,12.0
2025-12-10,306.0,30000.15,-44.0,25.0
2025-12-11,340.0,7820.0,-10.0,24.0
2025-12-13,340.0,49730.0,-725.0,145.0
2025-12-15,380.0,33441.3,-19.0,92.0
2025-12-16,380.0,35521.59,5999.0,93.0
2025-12-17,370.0,11382.0,-1199.0,31.0
2025-12-18,379.0,1204130.87,-299.0,4001.0
2025-12-19,370.0,17760.0,-9.0,48.0
2025-12-22,371.0,158847.85,1.0,428.0
2025-12-23,367.95,11039.7,-305.0,30.0
2025-12-29,398.99,31105.66,3099.0,78.0
2025-12-30,398.99,59050.52,0.0,148.0
2026-01-02,420.0,42570.33,2101.0,105.0
2026-01-06,600.0,631096.0,99.0,1052.0
2026-01-07,600.0,48426.0,0,70
